Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel system,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Exhaust system,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,"Weight incl. oil, gas, etc",Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Starter,Valves per cylinder,Fuel control,Torque,Ignition,Color options,Max RPM,Diameter,Comments,Fuel consumption,Greenhouse gases,Front wheel travel,Rear wheel travel,Rake (fork angle),Trail,Modifications compared to previous model,Oil capacity,Wheels
Suzuki GS 400,1976,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",398.0 ccm (24.29 cubic inches),"Twin, four-stroke",36.0 HP (26.3  kW)) @ 8500 RPM,165.0 km/h (102.5 mph),9.0:1,65.0 x 60.0 mm (2.6 x 2.4 inches),,,Air,6-speed,Chain   (final drive),,,,,,3.00-18 ,3.50-18 ,Single disc,Expanding brake,,185.0 kg (407.9 pounds),,,,,,,,14.00 litres (3.70 US gallons),,2,Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,
Yamaha XS 650,1976,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",654.0 ccm (39.91 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 6800 RPM,181.0 km/h (112.5 mph),8.4:1,75.0 x 74.0 mm (3.0 x 2.9 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.50-19 ,4.00-18 ,Dual disc,Expanding brake,,227.0 kg (500.4 pounds),,,,,,,,15.00 litres (3.96 US gallons),,2,Overhead Cams (OHC),,,,,,,,,,,,,,,
Honda CB 500 F,1976,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"In-line four, four-stroke",48.0 HP (35.0  kW)) @ 9000 RPM,179.0 km/h (111.2 mph),9.0:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.25-19 ,3.50-18 ,Single disc,Expanding brake,,202.0 kg (445.3 pounds),,,,,,,,14.00 litres (3.70 US gallons),,2,Overhead Cams (OHC),,,,,,,,,,,,,,,
Jawa 350,1976,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",23.0 HP (16.8  kW)) @ 5000 RPM,132.0 km/h (82.0 mph),9.2:1,58.0 x 65.0 mm (2.3 x 2.6 inches),,,Air,4-speed,Chain   (final drive),,,,,,3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,,168.0 kg (370.4 pounds),,,,,,,,15.00 litres (3.96 US gallons),,,Port control,,,,,,,,,,,,,,,
Zündapp KS 125 Sport,1976,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7600 RPM,125.0 km/h (77.7 mph),12.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,,Air,5-speed,Chain   (final drive),,,,,,2.75-18 ,3.25-18 ,Expanding brake,Expanding brake,,116.0 kg (255.7 pounds),,,,,,,,14.00 litres (3.70 US gallons),,,Port control,,,,,,,,,,,,,,,
Maico MD 250-6,1976,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,245.0 ccm (14.95 cubic inches),"Single cylinder, two-stroke",28.0 HP (20.4  kW)) @ 7000 RPM,159.0 km/h (98.8 mph),11.7:1,76.0 x 54.0 mm (3.0 x 2.1 inches),,,Air,6-speed,Chain   (final drive),,,,,,2.75-18 ,3.25-18 ,Expanding brake,Expanding brake,,126.0 kg (277.8 pounds),,,,,,,,12.50 litres (3.30 US gallons),,,Rotary valves,,,,,,,,,,,,,,,
Moto Morini 125 T,1976,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, four-stroke",14.0 HP (10.2  kW)) @ 8500 RPM,125.0 km/h (77.7 mph),11.7:1,59.0 x 45.0 mm (2.3 x 1.8 inches),,,Air,6-speed,Chain   (final drive),,,,,,2.75-18 ,3.00-18 ,Single disc,Expanding brake,,115.0 kg (253.5 pounds),,,,,,,,9.50 litres (2.51 US gallons),,2,Overhead Valves (OHV),,,,,,,,,,,,,,,
Yamaha TY 50,1976,Trial," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",5.0 HP (3.6  kW)) @ 5500 RPM,45.0 km/h (28.0 mph),,,Carburettor. dell´ortho,,Air,,Chain   (final drive),,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,Kick,,Membrane,,,,6000,,,,,,,,,,,
MuZ TS 150,1976,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,143.0 ccm (8.73 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 6300 RPM,105.0 km/h (65.2 mph),10.0:1,56.0 x 58.0 mm (2.2 x 2.3 inches),,,Air,4-speed,Chain   (final drive),,,,,,2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,,117.0 kg (257.9 pounds),,,,,,,,12.50 litres (3.30 US gallons),,,Port control,,,,,,,,,,,,,,,
Benelli 750 Sei,1976,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",747.0 ccm (45.58 cubic inches),"In-line six, four-stroke",58.0 HP (42.3  kW)) @ 8500 RPM,180.0 km/h (111.8 mph),9.8:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.50-18 ,4.25-18 ,Dual disc,Expanding brake,,255.0 kg (562.2 pounds),,,,,,,,22.00 litres (5.81 US gallons),,2,Overhead Cams (OHC),,,,,,,,,,,,,,,
CZ 350 Twin,1976,Naked bike," 2.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",338.0 ccm (20.62 cubic inches),"Twin, two-stroke",21.0 HP (15.3  kW)) @ 5000 RPM,128.0 km/h (79.5 mph),9.2:1,58.0 x 64.0 mm (2.3 x 2.5 inches),,,Air,4-speed,Chain   (final drive),,,,,,3.00-18 ,3.50-18 ,Expanding brake,Expanding brake,,153.0 kg (337.3 pounds),,,,,,,,13.00 litres (3.43 US gallons),,,Port control,,,,,,,,,,,,,,,
Ducati 860 GT,1976,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",864.0 ccm (52.72 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 7000 RPM,180.0 km/h (111.8 mph),9.5:1,86.0 x 74.4 mm (3.4 x 2.9 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.50-18 ,120/90-18 ,Dual disc,Expanding brake,,235.0 kg (518.1 pounds),,,,,,,,19.00 litres (5.02 US gallons),,2,Overhead Cams (OHC),,,,,,,,,,,,,,,
Sanglas 500 S,1976,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5930 RPM,140.0 km/h (87.0 mph),8.0:1,89.5 x 79.0 mm (3.5 x 3.1 inches),,,Air,4-speed,Chain   (final drive),,,,,,3.25-18 ,3.50-18 ,Single disc,Expanding brake,,203.0 kg (447.5 pounds),,,,,,,,18.00 litres (4.76 US gallons),,2,Overhead Valves (OHV),,,,,,,,,,,,,,,
Kawasaki KH100-B7,1976,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",99.0 ccm (6.04 cubic inches),"Single cylinder, two-stroke",10.5 HP (7.7  kW)) @ 7500 RPM,104.6 km/h (65.0 mph),7.0:1,49.5 x 51.8 mm (1.9 x 2.0 inches),Carburettor. Mikuni VM19SC,Superlube - Oil Injection Pump,,5-speed,Chain   (final drive),Wet Plate,Single stainless steel pipe,Steel Frame,Front Forks,Dual shocks,2.75-18 ,3.25-18 ,Expanding brake (drum brake),Expanding brake (drum brake),84.4 kg (186.0 pounds),,0.1245 HP/kg,,1035 mm (40.7 inches),1835 mm (72.2 inches),840 mm (33.1 inches),150 mm (5.9 inches),1150 mm (45.3 inches),7.94 litres (2.10 US gallons),Kick,2,Rotary valves,9.8 Nm (1.0 kgf-m or 7.2 ft.lbs) @ 7000 RPM,Magneto,Candy Royal Blue,10000,,"Spark Plug: B8HS
Top Speed is greatly dependent on weight/size of rider!",3.92 litres/100 km (25.5 km/l or 60.01 mpg),90.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,26.0°,84 mm (3.3 inches),,1.50 litres (1.59 US quarts),
Honda CB 200,1976,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",198.0 ccm (12.08 cubic inches),"Twin, four-stroke",,,,,,,Air,5-speed,,wet plate,,,,,,,,,,,,,,,,,,,,,Overhead Cams (OHC),,,,,,,,,,,,,,,
Kawasaki KE 125,1976,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6000 RPM,96.0 km/h (59.7 mph),6.5:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,,Air,6-speed,Chain   (final drive),,,,,,2.75-21 ,3.50-18 ,Expanding brake,Expanding brake,,109.0 kg (240.3 pounds),,,,,,,,7.50 litres (1.98 US gallons),,,Rotary valves,,,,,,,,,,,,,,,
Sanglas 400 E,1976,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,422.0 ccm (25.75 cubic inches),"Single cylinder, four-stroke",25.0 HP (18.2  kW)) @ 6250 RPM,130.0 km/h (80.8 mph),8.0:1,82.5 x 79.0 mm (3.2 x 3.1 inches),,,Air,4-speed,Chain   (final drive),,,,,,3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,,184.0 kg (405.7 pounds),,,,,,,,15.00 litres (3.96 US gallons),,2,Overhead Valves (OHV),,,,,,,,,,,,,,,
Harley-Davidson SX 175,1976,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 6750 RPM,113.0 km/h (70.2 mph),10.7:1,61.0 x 59.6 mm (2.4 x 2.3 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.00-19 ,3.50-18 ,Expanding brake,Expanding brake,,127.0 kg (280.0 pounds),,,,,,,,10.50 litres (2.77 US gallons),,,Port control,,,,,,,,,,,,,,,
Honda CB 125 S,1976,Touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",14.0 HP (10.2  kW)) @ 10000 RPM,116.0 km/h (72.1 mph),9.4:1,56.5 x 49.5 mm (2.2 x 1.9 inches),,,Air,5-speed,Chain   (final drive),,,,,,2.75-18 ,3.00-17 ,Single disc,Expanding brake,,105.0 kg (231.5 pounds),,,,,,,,9.50 litres (2.51 US gallons),,2,Overhead Cams (OHC),,,,,,,,,,,,,,,
Suzuki TS 125,1976,Trial," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",6.9 HP (5.0  kW)) @ 7000 RPM,110.0 km/h (68.4 mph),6.7:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,,Air,5-speed,Chain   (final drive),,,,,,2.75-21 ,3.25-18 ,Expanding brake,Expanding brake,,105.0 kg (231.5 pounds),,,,,,,,7.00 litres (1.85 US gallons),,,Port control,,,,,,,,,,,,,,,
Moto Morini 3 1-2 VS,1976,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",344.0 ccm (20.99 cubic inches),"V2, four-stroke",39.0 HP (28.5  kW)) @ 8500 RPM,170.0 km/h (105.6 mph),11.0:1,62.0 x 57.0 mm (2.4 x 2.2 inches),,,Air,6-speed,Chain   (final drive),,,,,,3.25-18 ,4.10-18 ,Single disc,Expanding brake,,149.0 kg (328.5 pounds),,,,,,,,16.00 litres (4.23 US gallons),,2,Overhead Valves (OHV),,,,,,,,,,,,,,,
Harley-Davidson FX 1200,1976,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1206.0 ccm (73.59 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5150 RPM,180.0 km/h (111.8 mph),8.0:1,87.3 x 100.8 mm (3.4 x 4.0 inches),,,Air,4-speed,Chain   (final drive),,,,,,3.75-19 ,5.10-16 ,Single disc,Single disc,,265.0 kg (584.2 pounds),,,,,,,,19.00 litres (5.02 US gallons),,2,Overhead Valves (OHV),,,,,,,,,,,,,,,
Honda XL 250,1976,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 7700 RPM,120.0 km/h (74.6 mph),9.1:1,74.0 x 57.8 mm (2.9 x 2.3 inches),,,Air,5-speed,Chain   (final drive),,,,,,2.75-21 ,4.00-18 ,Expanding brake,Expanding brake,,148.0 kg (326.3 pounds),,,,,,,,8.00 litres (2.11 US gallons),,4,Overhead Cams (OHC),,,,,,,,,,,,,,,
Kawasaki Z 650,1976,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",652.0 ccm (39.79 cubic inches),"In-line four, four-stroke",66.0 HP (48.2  kW)) @ 8500 RPM,190.0 km/h (118.1 mph),9.5:1,62.0 x 54.0 mm (2.4 x 2.1 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.25-19 ,4.00-18 ,Single disc,Expanding brake,,220.0 kg (485.0 pounds),,,,,,,,16.50 litres (4.36 US gallons),,2,Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,
BMW R 75-7,1976,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6200 RPM,184.0 km/h (114.3 mph),9.0:1,82.0 x 70.6 mm (3.2 x 2.8 inches),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,3.25-19 ,4.00-18 ,Single disc,Expanding brake,,236.0 kg (520.3 pounds),,,,,,,,24.00 litres (6.34 US gallons),,2,Overhead Valves (OHV),,,,,,,,,,,,,,,
Honda CD 175,1976,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",174.0 ccm (10.62 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)),128.0 km/h (79.5 mph),,,Carburettor,,Air,4-speed,Chain   (final drive),,,,,,2.00-17 ,3.00-17 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,Electric & kick,,Overhead Cams (OHC),,,"Red,Black",,,,4.70 litres/100 km (21.3 km/l or 50.05 mpg),109.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,
Van Veen OCR 1000,1976,Touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",998.0 ccm (60.90 cubic inches),Dual disk Wankel,100.0 HP (73.0  kW)) @ 6500 RPM,213.0 km/h (132.4 mph),9.0:1,,,,Liquid,4-speed,Shaft drive (cardan)   (final drive),,,,,,3.50-18 ,4.25-18 ,Dual disc,Single disc,,330.0 kg (727.5 pounds),,,,,,,,24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,
Laverda 750 SFC,1976,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",75.0 HP (54.7  kW)) @ 7500 RPM,215.0 km/h (133.6 mph),9.8:1,80.0 x 74.0 mm (3.1 x 2.9 inches),,,Air,5-speed,Chain   (final drive),,,,,,4.10-18 ,4.10-18 ,Dual disc,Single disc,,226.0 kg (498.2 pounds),,,,,,,,25.00 litres (6.61 US gallons),,2,Overhead Cams (OHC),,,,,,,,,,,,,,,
Moto Morini 3 1-2 V,1976,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",344.0 ccm (20.99 cubic inches),"V2, four-stroke",35.0 HP (25.5  kW)) @ 8200 RPM,161.0 km/h (100.0 mph),10.0:1,62.0 x 57.0 mm (2.4 x 2.2 inches),,,Air,6-speed,Chain   (final drive),,,,,,3.25-18 ,4.10-18 ,Expanding brake,Expanding brake,,150.0 kg (330.7 pounds),,,,,,,,16.00 litres (4.23 US gallons),,2,Overhead Valves (OHV),,,,,,,,,,,,,,,
Harley-Davidson FLH 1200 Electra Glide,1976,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1206.0 ccm (73.59 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5150 RPM,135.0 km/h (83.9 mph),8.0:1,87.3 x 100.8 mm (3.4 x 4.0 inches),,,Air,4-speed,Chain   (final drive),,,,,,5.10-16 ,5.10-16 ,Single disc,Single disc,,345.0 kg (760.6 pounds),,,,,,,,25.00 litres (6.61 US gallons),,2,Overhead Valves (OHV),,,,,,,,,,,,,,,
Yamaha XT 500,1976,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5900 RPM,132.0 km/h (82.0 mph),9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,,155.0 kg (341.7 pounds),,,,,,,,9.00 litres (2.38 US gallons),,2,Overhead Cams (OHC),,,,,,,,,,,,,,,
Honda CB 200 disc,1976,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",198.0 ccm (12.08 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 9000 RPM,124.0 km/h (77.1 mph),9.0:1,55.5 x 41.0 mm (2.2 x 1.6 inches),,,Air,5-speed,Chain   (final drive),,,,,,2.75-18 ,3.00-18 ,Single disc,Expanding brake,,142.0 kg (313.1 pounds),,,,,,,,11.00 litres (2.91 US gallons),,2,Overhead Cams (OHC),,,,,,,,,,,,,,,
Kawasaki Z1B Z900,1976,Classic," 4.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",903.0 ccm (55.10 cubic inches),"In-line four, four-stroke",82.0 HP (59.9  kW)) @ 8500 RPM,,8.5:1,,Carburettor,,Air,5-speed,Chain   (final drive),,Four into Four,,,,,,,,,,,,,,,,,,,,Double Overhead Cams/Twin Cam (DOHC),73.6 Nm (7.5 kgf-m or 54.3 ft.lbs) @ 7000 RPM,,,,,,,,,,,,,,
Yamaha RS 100 DX,1976,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",97.0 ccm (5.92 cubic inches),"Single cylinder, two-stroke",10.5 HP (7.7  kW)) @ 7500 RPM,104.0 km/h (64.6 mph),6.8:1,52.0 x 45.6 mm (2.0 x 1.8 inches),,,Air,5-speed,Chain   (final drive),,,,,,2.50-18 ,2.75-18 ,Expanding brake,Expanding brake,,93.0 kg (205.0 pounds),,,,,,,,9.00 litres (2.38 US gallons),,,Membrane,,,,,,,,,,,,,,,
Suzuki AP 50,1976,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",4.8 HP (3.5  kW)),88.5 km/h (55.0 mph),,,Carburettor,wet sump,,5-speed,Chain   (final drive),"dry plate, i think",single pipe,steel of some description,,,,,Expanding brake (drum brake). rubbish,Expanding brake (drum brake),74.0 kg (163.1 pounds),,0.0649 HP/kg,,,,,,,6.05 litres (1.60 US gallons),Kick,,Rotary valves,,Magneto Flywheel,"Blue, Red",,,,4.70 litres/100 km (21.3 km/l or 50.05 mpg),109.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,
Hercules K 125 Military,1976,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 7000 RPM,94.0 km/h (58.4 mph),9.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,,135.0 kg (297.6 pounds),,,,,,,,15.00 litres (3.96 US gallons),,,Port control,,,,,,,,,,,,,,,
Benelli 125 2 C,1976,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",125.0 ccm (7.63 cubic inches),"Twin, two-stroke",13.0 HP (9.5  kW)) @ 7600 RPM,111.0 km/h (69.0 mph),10.3:1,42.5 x 44.0 mm (1.7 x 1.7 inches),,,Air,5-speed,Chain   (final drive),,,,,,2.75-18 ,3.00-18 ,Single disc,Expanding brake,,125.0 kg (275.6 pounds),,,,,,,,11.50 litres (3.04 US gallons),,,Port control,,,,,,,,,,,,,,,
Silk 700S Mk1,1976,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,653.0 ccm (39.85 cubic inches),"Twin, two-stroke",54.0 HP (39.4  kW)) @ 6000 RPM,177.0 km/h (110.0 mph),,,Carburettor,50:1 petroil mix,Liquid,4-speed,Chain   (final drive),,"Exhaust pipes,Ossa silencer",,39mm gaitered telescopic forks,Twin shocks,3.60-18 ,4.10-18 ,Single disc,Expanding brake (drum brake),140.0 kg (308.6 pounds),,0.3857 HP/kg,,,,,,,,Kick,,,,Electronic,Black,,180 mm (7.1 inches),Silk Engineering was British company. ,,,,,,,,,Borrani alloy rims
Kawasaki KR250,1976,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Twin, two-stroke",60.0 HP (43.8  kW)) @ 12500 RPM,257.5 km/h (160.0 mph),,54.0 x 54.4 mm (2.1 x 2.1 inches),Carburettor. 2 Mikuni ,,Liquid,,,,,,Telescopic fork,,,,Double disc,Double disc,,,,,,1600 mm (63.0 inches),,,1200 mm (47.2 inches),,,,,47.5 Nm (4.8 kgf-m or 35.0 ft.lbs) @ 10000 RPM,CDI,Green,,,,,,,,,,,,
Kawasaki Z1-B,1976,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",903.0 ccm (55.10 cubic inches),"In-line four, four-stroke",82.0 HP (59.9  kW)) @ 8500 RPM,,8.5:1,66.0 x 66.0 mm (2.6 x 2.6 inches),,,Air,5-speed,Chain   (final drive),,,,,,,,Single disc,Expanding brake (drum brake),233.0 kg (513.7 pounds),,0.3519 HP/kg,,,,,,1490 mm (58.7 inches),18.00 litres (4.76 US gallons),,2,,71.9 Nm (7.3 kgf-m or 53.0 ft.lbs) @ 7000 RPM,,,,200 mm (7.9 inches),,,,,,,,,,
Münch 4-1200 TTS-E,1976,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1289.0 ccm (78.65 cubic inches),"In-line four, four-stroke",104.0 HP (75.9  kW)) @ 7500 RPM,196.0 km/h (121.8 mph),9.1:1,78.5 x 66.6 mm (3.1 x 2.6 inches),,,Air,4-speed,Chain   (final drive),,,,,,3.25-19 ,4.00-18 ,Dual disc,Single disc,,311.0 kg (685.6 pounds),,,,,,,,24.00 litres (6.34 US gallons),,2,Overhead Cams (OHC),,,,,,,,,,,,,,,
Honda CJ 250 T,1976,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",249.0 ccm (15.19 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 9500 RPM,135.0 km/h (83.9 mph),9.5:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.00-18 ,3.75-18 ,Single disc,Expanding brake,,183.0 kg (403.4 pounds),,,,,,,,14.00 litres (3.70 US gallons),,2,Overhead Cams (OHC),,,,,,,,,,,,,,,
Ducati 860 GTS,1976,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",864.0 ccm (52.72 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 7000 RPM,180.0 km/h (111.8 mph),9.5:1,86.0 x 74.4 mm (3.4 x 2.9 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.50-18 ,120/90-18 ,Dual disc,Expanding brake,,230.0 kg (507.1 pounds),,,,,,,,19.00 litres (5.02 US gallons),,2,Overhead Cams (OHC),,,,,,,,,,,,,,,
Ural M-63 (with sidecar),1976,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",20.6 HP (15.0  kW)) @ 5200 RPM,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,,Air,,Shaft drive (cardan)   (final drive),,,,,,,,Expanding brake,Expanding brake,320.0 kg (705.5 pounds),,0.0644 HP/kg,,,,,,,,,,,,,,,,Motorcycle model made by the Ural Irbits factory from 1963 to 1980.,,,,,,,,,
Harley-Davidson SS 250,1976,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",213.0 ccm (13.00 cubic inches),"Single cylinder, two-stroke",20.0 HP (14.6  kW)) @ 7000 RPM,124.0 km/h (77.1 mph),10.3:1,72.0 x 59.6 mm (2.8 x 2.3 inches),Carburettor,,Air,5-speed,Chain   (final drive),,,,,,3.25-19 ,4.00-18 ,Expanding brake (drum brake),Expanding brake,129.0 kg (284.4 pounds),129.0 kg (284.4 pounds),0.1550 HP/kg,,,,,,,10.50 litres (2.77 US gallons),,,Port control,,,,,,,,,,,,,,,
Ducati 500 GTL,1976,Scooter," 2.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",497.0 ccm (30.33 cubic inches),"Twin, four-stroke",35.0 HP (25.5  kW)) @ 6500 RPM,162.0 km/h (100.7 mph),9.6:1,78.0 x 52.0 mm (3.1 x 2.0 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.25-18 ,3.50-18 ,Dual disc,Expanding brake,,192.0 kg (423.3 pounds),,,,,,,,19.00 litres (5.02 US gallons),,2,Overhead Cams (OHC),,,,,,,,,,,,,,,
Honda PA50 Camino,1976,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,,,,Air,,Belt   (final drive),,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,,,,,,,,,,,,,,,,,
