Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Cooling system,Gearbox,Transmission type,Front brakes,Dry weight,Power/weight ratio,Seat height,Wheelbase,Fuel capacity,Color options,Rear brakes,Starter,Alternate seat height,Valves per cylinder,Comments,Ground clearance,Lubrication system,Clutch,Exhaust system,Frame type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Front suspension,Rear suspension,Overall length,Diameter,Max RPM,Front tire,Rear tire,Reserve fuel capacity,Modifications compared to previous model,Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,"Weight incl. oil, gas, etc",Oil capacity,Factory warranty,Fuel consumption,Greenhouse gases,"60-140 km/h (37-87 mph), highest gear",Driveline,Electrical,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Belt teeth,Belt width,Engine details,Overall height,Overall width,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Front percentage of weight,Rear percentage of weight
Harley-Davidson FXSTS Springer Softail,2000,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",63.0 HP (46.0  kW)) @ 5300 RPM,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 3200 RPM,170.0 km/h (105.6 mph),Air,5-speed,Belt   (final drive),,315.0 kg (694.5 pounds),0.2000 HP/kg,"642 mm (25.3 inches) If adjustable, lowest setting.",1660 mm (65.4 inches),19.00 litres (5.02 US gallons),"Black, lilac, blue, gray, orange, red, blue/gray, orange/gray, red/black, yellow/black",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 850 GS,2000,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",848.0 ccm (51.74 cubic inches),"Two cylinder boxer, four-stroke",70.0 HP (51.1  kW)) @ 7500 RPM,77.0 Nm (7.9 kgf-m or 56.8 ft.lbs) @ 5000 RPM,,,5-speed,,Dual disc,218.0 kg (480.6 pounds),0.3211 HP/kg,"840 mm (33.1 inches) If adjustable, lowest setting.",,,,,Electric,"860 mm (33.9 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 200 EXC,2000,Cross / motocross," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",193.0 ccm (11.78 cubic inches),"Single cylinder, two-stroke",,,,Liquid,,Chain   (final drive),Single disc,101.0 kg (222.7 pounds),,,1461 mm (57.5 inches),9.50 litres (2.51 US gallons),Orange/silver,Single disc,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZZR 600,2000,Sport," 4.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",593.0 ccm (36.18 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 11500 RPM,65.0 Nm (6.6 kgf-m or 47.9 ft.lbs) @ 9500 RPM,240.0 km/h (149.1 mph),Air,6-speed,Chain   (final drive),Dual disc,195.0 kg (429.9 pounds),0.5128 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",1430 mm (56.3 inches),18.00 litres (4.76 US gallons),"Red, black",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLTRI Road Glide,2000,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1499.0 ccm (91.47 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5200 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 3100 RPM,,Air,5-speed,Belt   (final drive),Dual disc,355.0 kg (782.6 pounds),0.1887 HP/kg,"644 mm (25.4 inches) If adjustable, lowest setting.",,,,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1100 S,2000,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1085.0 ccm (66.21 cubic inches),"Two cylinder boxer, four-stroke",98.0 HP (71.5  kW)) @ 7500 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 5750 RPM,225.0 km/h (139.8 mph),Air,6-speed,,Single disc,237.0 kg (522.5 pounds),0.4135 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",1478 mm (58.2 inches),18.00 litres (4.76 US gallons),"Yellow, black, red, two-toned silver/yellow for extra charge",Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 600 N Diversion,2000,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",598.0 ccm (36.49 cubic inches),"In-line four, four-stroke",56.0 HP (40.9  kW)) @ 8500 RPM,53.0 Nm (5.4 kgf-m or 39.1 ft.lbs) @ 7500 RPM,170.0 km/h (105.6 mph),Air,6-speed,Chain   (final drive),Dual disc,,,"770 mm (30.3 inches) If adjustable, lowest setting.",1445 mm (56.9 inches),17.00 litres (4.49 US gallons),,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield Bullet 500,2000,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),,22.0 HP (16.1  kW)) @ 5400 RPM,34.0 Nm (3.5 kgf-m or 25.1 ft.lbs) @ 3000 RPM,125.0 km/h (77.7 mph),Air,4-speed,,,168.0 kg (370.4 pounds),0.1310 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",1370 mm (53.9 inches),14.50 litres (3.83 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 750 Sport,2000,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,747.0 ccm (45.58 cubic inches),"Twin, four-stroke",82.0 HP (59.9  kW)) @ 8250 RPM,74.0 Nm (7.5 kgf-m or 54.6 ft.lbs) @ 7000 RPM,,,6-speed,Chain   (final drive),,186.0 kg (410.1 pounds),0.4409 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,,Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V10 Centauro Sport,2000,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,992.0 ccm (60.53 cubic inches),"V2, four-stroke",95.0 HP (69.3  kW)) @ 8200 RPM,99.0 Nm (10.1 kgf-m or 73.0 ft.lbs) @ 5800 RPM,,,5-speed,,Dual disc,224.0 kg (493.8 pounds),0.4241 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph TT 600,2000,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",110.0 HP (80.3  kW)) @ 12750 RPM,68.0 Nm (6.9 kgf-m or 50.2 ft.lbs) @ 11000 RPM,260.0 km/h (161.6 mph),Liquid,6-speed,Chain   (final drive),Dual disc,170.0 kg (374.8 pounds),0.6471 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",1395 mm (54.9 inches),18.00 litres (4.76 US gallons),Black/yellow,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural De Luxe,2000,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5200 RPM,47.0 Nm (4.8 kgf-m or 34.7 ft.lbs) @ 4800 RPM,,Air,4-speed,Shaft drive (cardan)   (final drive),Expanding brake,340.0 kg (749.6 pounds),0.0941 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",,,,Expanding brake,,,,This model is sold with sidecar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Millenium Chief,2000,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1442.0 ccm (87.99 cubic inches),"V2, four-stroke",75.0 HP (54.7  kW)) @ 5200 RPM,,,Air,5-speed,Belt   (final drive),Single disc,295.0 kg (650.4 pounds),0.2542 HP/kg,"600 mm (23.6 inches) If adjustable, lowest setting.",1750 mm (68.9 inches),18.90 litres (4.99 US gallons),Dark grey over silver,Single disc,Electric,,2,"Manufactured for 2000 only as the Millenium chief, with the color scheme grey over silver offered only this year,",,,,,,,,Carburettor,,,,,,,,,,,,,,,,,,,,,,,12v,,,,,,,,,,,,,,,,S and S,,,,,,
KTM 300 EXC,2000,Cross / motocross," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",297.0 ccm (18.12 cubic inches),"Single cylinder, two-stroke",,,,Liquid,,Chain   (final drive),Single disc,109.0 kg (240.3 pounds),,,1481 mm (58.3 inches),9.50 litres (2.51 US gallons),Orange/silver,Single disc,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda ST 1100 Pan-European STD - ST 1100 Pan-European CBS-ABS with TCS,2000,Touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1084.0 ccm (66.15 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,111.0 Nm (11.3 kgf-m or 81.9 ft.lbs) @ 6000 RPM,229.0 km/h (142.3 mph),Liquid,5-speed,,Dual disc,287.0 kg (632.7 pounds),0.3484 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",1555 mm (61.2 inches),28.00 litres (7.40 US gallons),"Blue, red",Single disc,Electric,,,"The difference between the two models is the brake system. The ""CBS-ABS with TCS"" version weighs 10 kg more than the STD version, whose specs are listed here. The extra cost is well worth, as ABS brakes, combined with Honda's Combined Brake System provides an advanced and rather fool-proof braking experience.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJR 1300 SP,2000,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1250.0 ccm (76.28 cubic inches),"In-line four, four-stroke",107.0 HP (78.1  kW)) @ 8000 RPM,100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 6000 RPM,,Oil & air,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,Carburettor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM EXC 125,2000,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,,,6-speed,Chain   (final drive),Single disc,100.0 kg (220.5 pounds),,"925 mm (36.4 inches) If adjustable, lowest setting.",,,,Single disc,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1100 R,2000,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1085.0 ccm (66.21 cubic inches),"Two cylinder boxer, four-stroke",90.0 HP (65.7  kW)) @ 6750 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 5250 RPM,195.0 km/h (121.2 mph),Air,5-speed,,,214.0 kg (471.8 pounds),0.4206 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",1487 mm (58.5 inches),18.90 litres (4.99 US gallons),"Red, gray, blue, two-toned gray for extra charge",Single disc,,"800 mm (31.5 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 600 Bandit,2000,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",78.0 HP (56.9  kW)) @ 10500 RPM,54.0 Nm (5.5 kgf-m or 39.8 ft.lbs) @ 9500 RPM,200.0 km/h (124.3 mph),Air,6-speed,Chain   (final drive),Dual disc,208.0 kg (458.6 pounds),0.3750 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",1430 mm (56.3 inches),19.00 litres (5.02 US gallons),"Red, blue",Single disc,Electric,,,"As opposed to the GSF 600 S Bandit, the GSF 600 Bandit has no windshield.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural Tourist,2000,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5200 RPM,47.0 Nm (4.8 kgf-m or 34.7 ft.lbs) @ 4800 RPM,,Air,4-speed,Shaft drive (cardan)   (final drive),Expanding brake,340.0 kg (749.6 pounds),0.0941 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",,,,Expanding brake,,,,This model is sold with sidecar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XRV Africa Twin,2000,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",742.0 ccm (45.28 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 7500 RPM,63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 6500 RPM,175.0 km/h (108.7 mph),Liquid,5-speed,Chain   (final drive),Dual disc,208.0 kg (458.6 pounds),0.2885 HP/kg,"860 mm (33.9 inches) If adjustable, lowest setting.",1565 mm (61.6 inches),23.00 litres (6.08 US gallons),"Red/white/blue, black",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 380 EXC,2000,Cross / motocross," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",368.0 ccm (22.46 cubic inches),"Single cylinder, two-stroke",,,,,,Chain   (final drive),Single disc,109.0 kg (240.3 pounds),,,1481 mm (58.3 inches),9.50 litres (2.51 US gallons),Orange/silver,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZXR 400,2000,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),,65.0 HP (47.4  kW)) @ 13000 RPM,36.0 Nm (3.7 kgf-m or 26.6 ft.lbs) @ 12000 RPM,,,6-speed,Chain   (final drive),Dual disc,159.0 kg (350.5 pounds),0.4088 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",,,,Single disc,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RS 250,2000,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"V2, two-stroke",70.0 HP (51.1  kW)) @ 11500 RPM,40.0 Nm (4.1 kgf-m or 29.5 ft.lbs) @ 10750 RPM,225.0 km/h (139.8 mph),Liquid,6-speed,,Double disc,140.0 kg (308.6 pounds),0.5000 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1370 mm (53.9 inches),16.50 litres (4.36 US gallons),"Black, red, blue",Single disc,Electric,,,,,,,,,,56.0 x 50.6 mm (2.2 x 2.0 inches),Carburettor. Mikuni,,CDI,Inverted fork,Monoshock,1880 mm (74.0 inches),220 mm (8.7 inches),,3.50-17 ,4.50-17 ,,,,,120 mm (4.7 inches),130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM EXE 125,2000,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)),,95.0 km/h (59.0 mph),Liquid,,Chain   (final drive),Single disc,100.0 kg (220.5 pounds),0.1500 HP/kg,,1461 mm (57.5 inches),12.00 litres (3.17 US gallons),"Orange, black, silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 250 S Virago,2000,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"V2, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,21.0 Nm (2.1 kgf-m or 15.5 ft.lbs) @ 6500 RPM,,Air,5-speed,Chain   (final drive),Single disc,137.0 kg (302.0 pounds),0.1241 HP/kg,"685 mm (27.0 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 750 F,2000,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",93.0 HP (67.9  kW)) @ 10500 RPM,82.0 Nm (8.4 kgf-m or 60.5 ft.lbs) @ 10300 RPM,220.0 km/h (136.7 mph),Air,6-speed,Chain   (final drive),Dual disc,211.0 kg (465.2 pounds),0.4408 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1465 mm (57.7 inches),20.00 litres (5.28 US gallons),"Blue, maroon, black",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 883 Standard,2000,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,65.0 Nm (6.6 kgf-m or 47.9 ft.lbs) @ 4100 RPM,150.0 km/h (93.2 mph),Air,5-speed,Belt   (final drive),Single disc,235.0 kg (518.1 pounds),0.2128 HP/kg,"711 mm (28.0 inches) If adjustable, lowest setting.",1510 mm (59.4 inches),16.70 litres (4.41 US gallons),"Red, white, black, yellow, orange, blue, gray, lilac",Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZR-7,2000,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",738.0 ccm (45.03 cubic inches),"In-line four, four-stroke",76.0 HP (55.5  kW)) @ 9500 RPM,63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 7500 RPM,170.0 km/h (105.6 mph),Air,5-speed,Chain   (final drive),Dual disc,202.0 kg (445.3 pounds),0.3762 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",,,"Red, blue",Single disc,Electric,,,,,,,,,,,,,,,,,240 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GZ 250 Marauder,2000,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 8000 RPM,19.0 Nm (1.9 kgf-m or 14.0 ft.lbs) @ 7000 RPM,,Air,5-speed,Chain   (final drive),Single disc,136.0 kg (299.8 pounds),0.1471 HP/kg,"680 mm (26.8 inches) If adjustable, lowest setting.",,14.00 litres (3.70 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1100 RT,2000,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1085.0 ccm (66.21 cubic inches),"Two cylinder boxer, four-stroke",90.0 HP (65.7  kW)) @ 7250 RPM,95.0 Nm (9.7 kgf-m or 70.1 ft.lbs) @ 5500 RPM,,,5-speed,,Dual disc,256.0 kg (564.4 pounds),0.3516 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,Single disc,,"820 mm (32.3 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 125 Virago,2000,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"V2, four-stroke",11.4 HP (8.3  kW)) @ 8500 RPM,9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 8000 RPM,100.0 km/h (62.1 mph),Air,5-speed,Chain   (final drive),Single disc,139.0 kg (306.4 pounds),0.0820 HP/kg,"685 mm (27.0 inches) If adjustable, lowest setting.",1495 mm (58.9 inches),9.50 litres (2.51 US gallons),"Red/black, silver",Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachs Big Roadster V 3.8,2000,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,800.0 ccm (48.82 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)),,,,5-speed,Chain   (final drive),Dual disc,,,,,,,Expanding brake,Electric,,,,,,,,,,,,,,,,,320 mm (12.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM Supermoto 125,2000,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)),,105.0 km/h (65.2 mph),Liquid,,Chain   (final drive),Single disc,100.0 kg (220.5 pounds),0.1500 HP/kg,,1461 mm (57.5 inches),12.00 litres (3.17 US gallons),"Orange, black, silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V10 Centauro,2000,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",992.0 ccm (60.53 cubic inches),"V2, four-stroke",95.0 HP (69.3  kW)) @ 8200 RPM,99.0 Nm (10.1 kgf-m or 73.0 ft.lbs) @ 5800 RPM,,,5-speed,,Dual disc,224.0 kg (493.8 pounds),0.4241 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 1100 Sport,2000,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",90.0 HP (65.7  kW)) @ 7800 RPM,95.0 Nm (9.7 kgf-m or 70.1 ft.lbs) @ 6000 RPM,230.0 km/h (142.9 mph),Air,5-speed,,Dual disc,221.0 kg (487.2 pounds),0.4072 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1475 mm (58.1 inches),,,Single disc,Electric,,,,,,,,,,,,,,,,,282 mm (11.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daelim VS 125,2000,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.1 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.2 HP (8.9  kW)) @ 9100 RPM,,100.0 km/h (62.1 mph),,,,Single disc,130.0 kg (286.6 pounds),0.0938 HP/kg,,1370 mm (53.9 inches),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 125 EXC,2000,Cross / motocross," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,,Liquid,,Chain   (final drive),Single disc,100.0 kg (220.5 pounds),,,1461 mm (57.5 inches),9.50 litres (2.51 US gallons),Orange/silver,Single disc,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Moto 6.5,2000,Unspecified category," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",650.0 ccm (39.66 cubic inches),"Single cylinder, four-stroke",42.0 HP (30.7  kW)) @ 6250 RPM,51.0 Nm (5.2 kgf-m or 37.6 ft.lbs) @ 4500 RPM,160.0 km/h (99.4 mph),Liquid,5-speed,,Single disc,150.0 kg (330.7 pounds),0.2800 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",1475 mm (58.1 inches),16.00 litres (4.23 US gallons),"Silver, silver/orange",Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FE 501,2000,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",501.0 ccm (30.57 cubic inches),"Single cylinder, four-stroke",,,,Liquid,6-speed,Chain   (final drive),Single disc,105.0 kg (231.5 pounds),,"930 mm (36.6 inches) If adjustable, lowest setting.",1490 mm (58.7 inches),9.00 litres (2.38 US gallons),Blue/Yellow,Single disc,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Pegaso 650,2000,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)),54.0 Nm (5.5 kgf-m or 39.8 ft.lbs),,,5-speed,,Single disc,180.0 kg (396.8 pounds),0.2778 HP/kg,"870 mm (34.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield Diesel - Taurus,2000,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",325.0 ccm (19.83 cubic inches),,7.0 HP (5.1  kW)) @ 3600 RPM,15.0 Nm (1.5 kgf-m or 11.1 ft.lbs) @ 2500 RPM,,,4-speed,,,175.0 kg (385.8 pounds),0.0400 HP/kg,"860 mm (33.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
