Model,Year,Category,Rating,Displacement,Engine type,Bore x stroke,Fuel system,Transmission type,Frame type,Front suspension,Rear suspension,Front brakes,Rear brakes,Seat,Seat height,Engine details,Power,Top speed,Compression,Fuel control,Cooling system,Gearbox,Front tire,Rear tire,Wheels,Dry weight,Power/weight ratio,Wheelbase,Fuel capacity,Starter,Electrical,Carrying capacity,Comments,Ignition,Lubrication system,Clutch,Diameter,Overall length,Overall height,Overall width,"Weight incl. oil, gas, etc",Color options,Valves per cylinder,Alternate seat height,Fuel consumption,Greenhouse gases,Ground clearance,Max RPM,Exhaust system,Driveline,Rake (fork angle),Torque,0-100 km/h (0-62 mph)
AJS Model 16 350 Spectre,1963,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor,Chain   (final drive),Single cradle,Telescopic,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,,,9.0:1,Overhead Valves (OHV),Air,4-speed,3.25-18 ,3.25-18 ,,171.0 kg (377.0 pounds),,,,,,,,Magneto,,Wet multiplate,,,,,,,,,,,,,,,,,
Honda Dream 305,1963,Allround," 2.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",305.0 ccm (18.61 cubic inches),"Twin, two-stroke",60.0 x 54.0 mm (2.4 x 2.1 inches),Carburettor. Keihin,Chain   (final drive),,Leading link enclosed coil over-shoks,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),,,,23.0 HP (16.8  kW)) @ 7500 RPM,138.4 km/h (86.0 mph),,Overhead Cams (OHC),Air,,,,,159.0 kg (350.5 pounds),0.1447 HP/kg,,,,,,"Early model
The shape of the gastank was different",,,,,,,,,,,,,,,,,,,,
Lambretta LI 150 Silver Special,1963,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. DellÓrto,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,8.3 HP (6.0  kW)) @ 5300 RPM,85.3 km/h (53.0 mph),7.5:1,,Air,,3.50-10 ,3.50-10 ,,105.0 kg (231.5 pounds),0.0786 HP/kg,1290 mm (50.8 inches),7.19 litres (1.90 US gallons),Kick,,,,,,,,1825 mm (71.9 inches),1038 mm (40.9 inches),710 mm (28.0 inches),,,,,,,,,,,,,
Ducati Diana Mark 3,1963,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",74.0 x 57.8 mm (2.9 x 2.3 inches),Carburettor. DellÓrto,Chain   (final drive),,Telescopic,Dual choks,Expanding brake (drum brake),Expanding brake (drum brake),,,,24.0 HP (17.5  kW)) @ 7500 RPM,150.0 km/h (93.2 mph),8.0:1,Desmodromic valve control,Air,,2.75-18 ,3.00-18 ,,135.0 kg (297.6 pounds),0.1778 HP/kg,,13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,
Lambretta LI 150 Special,1963,Scooter," 2.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. DellÓrto,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,8.3 HP (6.0  kW)) @ 5300 RPM,85.3 km/h (53.0 mph),7.5:1,,Air,,3.50-10 ,3.50-10 ,Spoked,104.8 kg (231.0 pounds),0.0787 HP/kg,1290 mm (50.8 inches),,Kick,,,,,,,,1825 mm (71.9 inches),1060 mm (41.7 inches),710 mm (28.0 inches),,,,,,,,,,,,,
BSA Bantam D7,1963,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",,Carburettor,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,,,,,,3-speed,,,Spoked,,,,9.00 litres (2.38 US gallons),,WicoPacy,,,,,,,,,,,Shades red or blue-chrome highlights,,,,,,,,,,,92.00 seconds
Triumph Tina,1963,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,100.0 ccm (6.10 cubic inches),"Single cylinder, two-stroke",50.0 x 50.0 mm (2.0 x 2.0 inches),Carburettor,Belt   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,4.5 HP (3.3  kW)) @ 5000 RPM,72.0 km/h (44.7 mph),7.0:1,Overhead Cams (OHC),,,3.50-8 ,3.50-8 ,,65.0 kg (143.3 pounds),0.0692 HP/kg,1178 mm (46.4 inches),,,,,,,,,127 mm (5.0 inches),,,,,,,,,,,,,,,,
Norton Jubilee,1963,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Twin, four-stroke",60.0 x 44.0 mm (2.4 x 1.7 inches),Carburettor,Chain   (final drive),Single cradle,Hydralic telescopic forks,Twin shock,Expanding brake (drum brake). Single,,Dual seat,,Norton Dominator,11.7 HP (8.5  kW)) @ 7750 RPM,,8.8:1,,Air,,3.25-18 ,3.25-18 ,,150.0 kg (330.7 pounds),0.0780 HP/kg,,,Kick,,,,,,,,2057 mm (81.0 inches),1016 mm (40.0 inches),711 mm (28.0 inches),,,,,,,,,,,,,
Moto Guzzi Cardellino 83,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,83.0 ccm (5.06 cubic inches),"Single cylinder, two-stroke",,Carburettor. DellÓrto,Chain   (final drive),,Telescopic,,Expanding brake (drum brake),Expanding brake (drum brake),Single seat,,,,,,,Air,,2.25-20 ,2.25-20 ,Spoked,,,,,Kick,,,,,,Wet multiplate,,,,,,,,,,,,,,,,,
Lambretta LI 150 Golden Special,1963,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, two-stroke",57.0 x 58.0 mm (2.2 x 2.3 inches),Carburettor. DellÓrto,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,8.3 HP (6.0  kW)) @ 5300 RPM,85.3 km/h (53.0 mph),7.5:1,,Air,,3.50-10 ,3.50-10 ,Spoked,105.0 kg (231.5 pounds),0.0786 HP/kg,1290 mm (50.8 inches),7.19 litres (1.90 US gallons),Kick,,,,,,,,1825 mm (71.9 inches),1038 mm (40.9 inches),710 mm (28.0 inches),,,,,,,,,,,,,
Triumph Bonneville T120R Roadster,1963,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",71.0 x 82.0 mm (2.8 x 3.2 inches),Carburettor. Amal monobloc carburettor,Chain   (final drive),"Brazed lug, full-cradle, single downtube","Telescopic fork, hydraulic damping.","Swing arm, 2 Girling dampers",Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,"775 mm (30.5 inches) If adjustable, lowest setting.",,46.0 HP (33.6  kW)) @ 6500 RPM,185.0 km/h (115.0 mph),8.5:1,Overhead Valves (OHV),Air,4-speed,3.25-18 ,3.50-18 ,Wire spoked,165.0 kg (363.8 pounds),0.2788 HP/kg,1403 mm (55.2 inches),15.14 litres (4.00 US gallons),Kick,"Lucas RM19 alternator, 6-volt electrical system",,,Lucas K2F auto-advance Magneto,,"Multi-plate, wet",178 mm (7.0 inches),,,,,Alaskan White,,,,,127 mm (5.0 inches),,,,26.0°,,
Vespa Allstate Cruisaire,1963,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,90.0 ccm (5.49 cubic inches),"Single cylinder, two-stroke",,Carburettor,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,,76.0 km/h (47.2 mph),,,,,,,Spoked,,,,,Kick,,,,,,,,,,,,,,,,,,,,,,,
Zündapp Bella 175S,1963,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",60.0 x 62.0 mm (2.4 x 2.4 inches),Carburettor,,,,,,,Dual ,,,11.0 HP (8.0  kW)) @ 5400 RPM,90.0 km/h (55.9 mph),,,Air,4-speed,,,Spoked,146.0 kg (321.9 pounds),0.0753 HP/kg,,8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,
NSU Prima III ,1963,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,146.0 ccm (8.91 cubic inches),"Single cylinder, two-stroke",57.0 x 57.6 mm (2.2 x 2.3 inches),Carburettor. Bing,Shaft drive (cardan)   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Two single seats,,,7.7 HP (5.6  kW)) @ 5200 RPM,84.0 km/h (52.2 mph),6.5:1,,Air,4-speed,3.50-10 ,3.50-10 ,Spoked,131.0 kg (288.8 pounds),0.0588 HP/kg,,12.00 litres (3.17 US gallons),Electric,,,,,,,,1920 mm (75.6 inches),965 mm (38.0 inches),650 mm (25.6 inches),,,,,2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,
Agrati Capri Super Brianza,1963,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. DellÓrto,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,6.4 HP (4.7  kW)) @ 5750 RPM,,,,Air,,,,Spoked,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Sportster XLCH,1963,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",76.0 x 98.0 mm (3.0 x 3.9 inches),Carburettor. NA,Chain   (final drive),,Telescopic,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),,,45-degree V-twin,55.0 HP (40.1  kW)) @ 6300 RPM,185.1 km/h (115.0 mph),9.1:1,Overhead Valves (OHV),Air,,,,,,,,7.20 litres (1.90 US gallons),,,,,,,,,,,,218.0 kg (480.6 pounds),,,,,,,,,,,,
Vespa Gran Sport,1963,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,160.0 ccm (9.76 cubic inches),"Single cylinder, two-stroke",,Carburettor. DellÓrto,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,,,,,,,3.50-10 ,3.50-10 ,Spoked,110.0 kg (242.5 pounds),,,,Kick,,,,,,,,1795 mm (70.7 inches),1045 mm (41.1 inches),,,,,,,,,,,,,,100.00 seconds
BMW R 60 2,1963,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",72.0 x 73.0 mm (2.8 x 2.9 inches),Carburettor. 24mm Bing,Shaft drive (cardan)   (final drive),Steel doble cradle,Long swingarm-oil pressure shock absorbers,Twin shock-Swingarm,Expanding brake (drum brake). Duplex full hub,Expanding brake (drum brake). Simplex full hub,Single seat,,,30.1 HP (21.9  kW)) @ 5800 RPM,145.0 km/h (90.1 mph),7.5:1,Overhead Valves (OHV),Air,4-speed,3.25-18.00 ,3.50-18.00 ,,195.0 kg (429.9 pounds),0.1541 HP/kg,1415 mm (55.7 inches),17.00 litres (4.49 US gallons),Kick,,360.00,Price in 1969 for the bike was DM 3315.,,Wet sump ,Dry-single plate-cable operated,200 mm (7.9 inches),2125 mm (83.7 inches),980 mm (38.6 inches),660 mm (26.0 inches),,,,,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,
AJS Model 8 350,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",72.0 x 82.5 mm (2.8 x 3.2 inches),Carburettor,Chain   (final drive),,Telescopic,Swingarm-two shocks,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,21.0 HP (15.3  kW)) @ 6250 RPM,,7.5:1,,Air,,3.25-18 ,3.25-18 ,Spoked,153.0 kg (337.3 pounds),0.1373 HP/kg,,12.50 litres (3.30 US gallons),Kick,,,,,Wet sump ,,,,,,,,,,,,,,,,,,
Matchless G3 CSR 350,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",74.0 x 81.0 mm (2.9 x 3.2 inches),Carburettor,Chain   (final drive),Single cradle,Telescopic,Swinging arm- two shocks-coil springs,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,,129.0 km/h (80.2 mph),6.5:1,,Air,4-speed,3.25-19 ,3.50-19 ,Spoked,179.0 kg (394.6 pounds),,,19.30 litres (5.10 US gallons),,,,,,Dry sump,Wet multiplate,,,,,,Black-Red,,,,,,,,,,,
NSU Pretis,1963,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",175.0 ccm (10.68 cubic inches),"Single cylinder, four-stroke",,Turbo. BING,Chain   (final drive),Steel,Inverted DELTA forks,,Expanding brake (drum brake),Expanding brake (drum brake),,,,15.0 HP (10.9  kW)),120.0 km/h (74.6 mph),9.0:1,,Oil & air,,,,,155.0 kg (341.7 pounds),0.0968 HP/kg,,10.00 litres (2.64 US gallons),Kick,,,,,Wet pump - circulation,Wet plates,,,,,,"Black, blue",2,,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,Single stainless,,,,
Ducati 175 Sport TS,1963,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, four-stroke",,Carburettor. DellÓrto UB22.5,Chain   (final drive),,Telescopic,Dual choks,Expanding brake (drum brake),Expanding brake (drum brake),,,,8.0 HP (5.9  kW)) @ 7500 RPM,110.0 km/h (68.4 mph),7.0:1,Single Overhead Cams (SOHC),Air,,,,,,,,,,,,,,,,138 mm (5.4 inches),,,,,,,,,,,,,,,,
