Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Valves per cylinder,Fuel system,Torque,1/4 mile (0.4 km),Max RPM,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Diameter,Dry weight,Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Oil capacity,Color options,Starter,0-100 km/h (0-62 mph),"60-140 km/h (37-87 mph), highest gear",Front percentage of weight,Rear percentage of weight,Alternate seat height,Comments,Modifications compared to previous model,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Oil filter,Chain links,Sprockets,Seat,Instruments,Electrical,Light,Carrying capacity,Wheels,Engine details,Battery,Driveline
Yamaha XS 400 DOHC,1985,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 9500 RPM,168.0 km/h (104.4 mph),9.7:1,69.0 x 53.4 mm (2.7 x 2.1 inches),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.00-18 ,4.10-18 ,Single disc,Expanding brake,187.0 kg (412.3 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXSB 1340 Low Rider,1985,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5000 RPM,155.0 km/h (96.3 mph),8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),Overhead Valves (OHV),Air,4-speed,Belt   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,277.0 kg (610.7 pounds),13.00 litres (3.43 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 200,1985,Cross / motocross," 2.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",,,,,,,5-speed,,,,Single disc,Expanding brake (drum brake),,,,,,,,kik start with kill switch,,,,,,,,,,,monoshock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 440 LTD Belt Drive (reduced effect),1985,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",444.0 ccm (27.09 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,140.0 km/h (87.0 mph),9.2:1,67.5 x 62.0 mm (2.7 x 2.4 inches),Overhead Cams (OHC),Air,6-speed,Belt   (final drive),3.25-19 ,130/90-16 ,Single disc,Expanding brake,183.0 kg (403.4 pounds),11.50 litres (3.04 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico GME 250,1985,Cross / motocross," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",47.0 HP (34.3  kW)) @ 8000 RPM,,14.7:1,67.0 x 70.0 mm (2.6 x 2.8 inches),Membrane,Air,5-speed,Chain   (final drive),3.00-21 ,4.10-18 ,Single disc,Expanding brake,105.0 kg (231.5 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 550 EF,1985,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",572.0 ccm (34.90 cubic inches),"In-line four, four-stroke",64.0 HP (46.7  kW)) @ 10000 RPM,194.0 km/h (120.5 mph),10.0:1,60.0 x 50.6 mm (2.4 x 2.0 inches),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),100/90-16 ,110/90-18 ,Dual disc,Single disc,220.0 kg (485.0 pounds),18.00 litres (4.76 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZ 750,1985,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",106.0 HP (77.4  kW)) @ 10500 RPM,,11.2:1,68.0 x 51.6 mm (2.7 x 2.0 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/80-16 ,130/80-18 ,Dual disc,Single disc,241.0 kg (531.3 pounds),22.00 litres (5.81 US gallons),5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 304,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,231.0 ccm (14.10 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 10500 RPM,135.0 km/h (83.9 mph),10.5:1,44.0 x 38.0 mm (1.7 x 1.5 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Expanding brake,134.0 kg (295.4 pounds),11.00 litres (2.91 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 1000 RGS-Jota,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,980.0 ccm (59.80 cubic inches),"In-line three, four-stroke",82.0 HP (59.9  kW)) @ 7900 RPM,215.0 km/h (133.6 mph),9.0:1,75.0 x 74.0 mm (3.0 x 2.9 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,265.0 kg (584.2 pounds),22.00 litres (5.81 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 250 2 C,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,231.0 ccm (14.10 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 7600 RPM,125.0 km/h (77.7 mph),10.0:1,56.0 x 47.0 mm (2.2 x 1.9 inches),Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Expanding brake,134.0 kg (295.4 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 400 (reduced effect),1985,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,399.0 ccm (24.35 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 10000 RPM,151.0 km/h (93.8 mph),9.7:1,55.0 x 42.0 mm (2.2 x 1.7 inches),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),100/90-18 ,100/90-18 ,Dual disc,Single disc,202.0 kg (445.3 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXRT 1340 Sport Glide,1985,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5200 RPM,160.0 km/h (99.4 mph),8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MJ 90-19 ,MT 90-19 ,Dual disc,Single disc,310.0 kg (683.4 pounds),15.00 litres (3.96 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 600 S,1985,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",590.0 ccm (36.00 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 6800 RPM,150.0 km/h (93.2 mph),9.5:1,94.0 x 85.0 mm (3.7 x 3.3 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),100/80-21 ,130/80-17 ,Single disc,Expanding brake,166.0 kg (366.0 pounds),20.00 litres (5.28 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX X Impulse,1985,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",400.0 ccm (24.41 cubic inches),"In-line four, four-stroke",,,,,Double Overhead Cams/Twin Cam (DOHC),Oil & air,6-speed,Chain   (final drive),,,,,,,4,Carburettor. twin carb,,,,,,,,,4 into 1 singe pipe,steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch GS 560 F 4 T,1985,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7400 RPM,130.0 km/h (80.8 mph),9.2:1,94.0 x 81.0 mm (3.7 x 3.2 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-21 ,4.50-18 ,Single disc,Expanding brake,137.0 kg (302.0 pounds),9.50 litres (2.51 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico GME 500 (reduced effect),1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,488.0 ccm (29.78 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5400 RPM,100.0 km/h (62.1 mph),12.0:1,86.5 x 83.0 mm (3.4 x 3.3 inches),Membrane,Liquid,5-speed,Chain   (final drive),3.00-21 ,4.10-18 ,Single disc,Expanding brake,109.0 kg (240.3 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Bonneville USA,1985,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 6500 RPM,161.0 km/h (100.0 mph),7.9:1,76.0 x 82.0 mm (3.0 x 3.2 inches),Overhead Valves (OHV),Air,5-speed,Chain   (final drive),100/90-19 ,110/90-18 ,Dual disc,Single disc,192.0 kg (423.3 pounds),11.00 litres (2.91 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 125 T 2 (reduced effect),1985,Sport," 2.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, four-stroke",10.0 HP (7.3  kW)) @ 10500 RPM,100.0 km/h (62.1 mph),9.4:1,44.0 x 41.0 mm (1.7 x 1.6 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Expanding brake,126.0 kg (277.8 pounds),10.00 litres (2.64 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 65 Lario,1985,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",643.0 ccm (39.24 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 7800 RPM,176.0 km/h (109.4 mph),10.3:1,80.0 x 64.0 mm (3.1 x 2.5 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-16 ,120/90-16 ,Dual disc,Single disc,199.0 kg (438.7 pounds),18.00 litres (4.76 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Maxim X,1985,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",93.0 HP (67.9  kW)),,11.5:1,,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,Double disc,Expanding brake (drum brake),,,5,Carburettor,,11.30 seconds,12000,,,Wet Plate,,,MAC 4 into 2 Slash cut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 350 (reduced effect),1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Twin, two-stroke",50.0 HP (36.5  kW)) @ 9200 RPM,184.0 km/h (114.3 mph),6.0:1,64.0 x 54.0 mm (2.5 x 2.1 inches),Membrane & power valve,Liquid,6-speed,Chain   (final drive),90/90-18 ,110/80-18 ,Dual disc,Single disc,170.0 kg (374.8 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 450 N (reduced effect),1985,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",447.0 ccm (27.28 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,141.0 km/h (87.6 mph),9.1:1,75.0 x 50.6 mm (3.0 x 2.0 inches),Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.60-19 ,4.10-18 ,Dual disc,Expanding brake,189.0 kg (416.7 pounds),17.00 litres (4.49 US gallons),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch GS 504 F 4 T,1985,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",502.0 ccm (30.63 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7700 RPM,130.0 km/h (80.8 mph),9.2:1,90.0 x 79.0 mm (3.5 x 3.1 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-21 ,4.50-18 ,Single disc,Expanding brake,137.0 kg (302.0 pounds),9.50 litres (2.51 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLR 600,1985,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",564.0 ccm (34.42 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,130.0 km/h (80.8 mph),9.5:1,96.0 x 78.0 mm (3.8 x 3.1 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Expanding brake,155.0 kg (341.7 pounds),11.50 litres (3.04 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ ETZ 250 (with sidecar),1985,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",22.0 HP (16.1  kW)) @ 5800 RPM,100.0 km/h (62.1 mph),10.0:1,69.0 x 65.0 mm (2.7 x 2.6 inches),Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.50-18 ,Single disc,Expanding brake,240.0 kg (529.1 pounds),17.50 litres (4.62 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVM XN 506,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,504.0 ccm (30.75 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,137.0 km/h (85.1 mph),9.5:1,89.0 x 81.0 mm (3.5 x 3.2 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,150.0 kg (330.7 pounds),10.50 litres (2.77 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZ 750 (reduced effect),1985,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 10500 RPM,231.0 km/h (143.5 mph),11.2:1,68.0 x 51.6 mm (2.7 x 2.0 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/80-16 ,130/80-18 ,Dual disc,Single disc,241.0 kg (531.3 pounds),22.00 litres (5.81 US gallons),5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch GS 250 F 5,1985,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 9000 RPM,110.0 km/h (68.4 mph),13.0:1,72.0 x 61.0 mm (2.8 x 2.4 inches),Rotary valves,Liquid,5-speed,Chain   (final drive),3.00-21 ,4.50-18 ,Single disc,Expanding brake,107.0 kg (235.9 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 750 Virago,1985,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",51.8 HP (37.8  kW)) @ 7500 RPM,173.8 km/h (108.0 mph),9.0:1,83.0 x 0.0 mm (3.3 x  inches),Single Overhead Cams (SOHC),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-19 ,130/90-16 ,Single disc. 2-piston calipers,Expanding brake (drum brake),238.0 kg (524.7 pounds),12.00 litres (3.17 US gallons),2,Carburettor. Mikuni BST40 (two),43.5 Nm (4.4 kgf-m or 32.1 ft.lbs) @ 5500 RPM,13.70 seconds,,Transistorized breakerless ignition system,Wet sump,"Wet Multi Plate, Cable Operated",8.20 litres/100 km (12.2 km/l or 28.69 mpg),190.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Double stainless steel pipes,"Pressed steel, backbone frame",,,"Coil spring, hydraulically-damped telesopic",145 mm (5.7 inches),Twin shock absorbers  with concentric coil springs,100 mm (3.9 inches),200 mm (7.9 inches),225.0 kg (496.0 pounds),0.2302 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",1160 mm (45.7 inches),2230 mm (87.8 inches),805 mm (31.7 inches),145 mm (5.7 inches),1520 mm (59.8 inches),2.27 litres (0.60 US gallons),,Black,Electric,,,,,,"Submitted to Bikez by visitor with the following comments: Frame # JYA56G007FA000878
Engine # 56G-000878 748cc. Yamaha does not recognize a 1985 XV750 Virago, since they switched to the 700 cc Virago in 1984.  My bike was made in Oct/1984 and I cannot match the frame or engine number to Yamaha´s build list.  I am trying to get an explanation from Yamaha but in the meantime, I have a Unique bike.",,,,,,,,,,,,,,,,,,,,,
Honda GL 1200 DX Gold Wing,1985,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1181.0 ccm (72.06 cubic inches),"Four cylinder boxer, four-stroke",94.0 HP (68.6  kW)) @ 7000 RPM,191.0 km/h (118.7 mph),9.0:1,75.5 x 66.0 mm (3.0 x 2.6 inches),Overhead Cams (OHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),130/90-16 ,150/90-15 ,Dual disc,Single disc,333.0 kg (734.1 pounds),22.00 litres (5.81 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Elite 150,1985,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,152.7 ccm (9.32 cubic inches),"Single cylinder, four-stroke",,,10.0:1,57.0 x 57.8 mm (2.2 x 2.3 inches),Overhead Cams (OHC),Liquid,,Belt   (final drive),3.5-10 ,3.5-10 ,Single disc,Expanding brake (drum brake),102.0 kg (224.9 pounds),8.30 litres (2.19 US gallons),,Carburettor,,,,,,,,,,,,,,,,,,,,"760 mm (29.9 inches) If adjustable, lowest setting.",1163 mm (45.8 inches),1940 mm (76.4 inches),660 mm (26.0 inches),,1199 mm (47.2 inches),,,Grey,Electric & kick,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 600 R,1985,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",589.0 ccm (35.94 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)) @ 6500 RPM,151.0 km/h (93.8 mph),8.5:1,100.0 x 75.0 mm (3.9 x 3.0 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,5.10-17 ,Single disc,Expanding brake,146.0 kg (321.9 pounds),12.00 litres (3.17 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger Europa,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 6500 RPM,160.0 km/h (99.4 mph),7.9:1,76.0 x 82.0 mm (3.0 x 3.2 inches),Overhead Valves (OHV),Air,5-speed,Chain   (final drive),100/90-19 ,110/90-18 ,Dual disc,Single disc,186.0 kg (410.1 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 1000 R (reduced effect),1985,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,249.0 km/h (154.7 mph),11.0:1,77.0 x 53.6 mm (3.0 x 2.1 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),120/80-16 ,140/80-17 ,Dual disc,Single disc,272.0 kg (599.7 pounds),25.00 litres (6.61 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 SS Hailwood-Replica,1985,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,864.0 ccm (52.72 cubic inches),"V2, four-stroke",69.0 HP (50.4  kW)) @ 7000 RPM,214.0 km/h (133.0 mph),10.4:1,86.0 x 74.4 mm (3.4 x 2.9 inches),Desmodromic valve control,Air,5-speed,Chain   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,210.0 kg (463.0 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 450 SC,1985,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",447.0 ccm (27.28 cubic inches),"Twin, four-stroke",43.0 HP (31.4  kW)),,,,,Air,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 500 E (reduced effect),1985,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",491.0 ccm (29.96 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,137.0 km/h (85.1 mph),10.5:1,71.0 x 62.0 mm (2.8 x 2.4 inches),Overhead Cams (OHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/80-18 ,Single disc,Expanding brake,204.0 kg (449.7 pounds),17.00 litres (4.49 US gallons),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 1000 Le Mans IV,1985,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",81.0 HP (59.1  kW)) @ 7400 RPM,217.0 km/h (134.8 mph),9.8:1,88.0 x 78.0 mm (3.5 x 3.1 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),120/80-16 ,130/80-18 ,Dual disc,Single disc,245.0 kg (540.1 pounds),24.00 litres (6.34 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 600 S,1985,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",72.0 HP (52.6  kW)) @ 10000 RPM,198.0 km/h (123.0 mph),10.0:1,58.5 x 55.7 mm (2.3 x 2.2 inches),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),90/90-18 ,110/90-18 ,Dual disc,Single disc,212.0 kg (467.4 pounds),20.00 litres (5.28 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 500 SE,1985,Touring," 2.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",494.0 ccm (30.14 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 8000 RPM,152.0 km/h (94.4 mph),9.3:1,73.0 x 59.0 mm (2.9 x 2.3 inches),Overhead Cams (OHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.00-19 ,130/90-16 ,Single disc,Expanding brake,190.0 kg (418.9 pounds),11.00 litres (2.91 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 501 Camel,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,507.0 ccm (30.94 cubic inches),"V2, four-stroke",43.0 HP (31.4  kW)) @ 8500 RPM,150.0 km/h (93.2 mph),11.5:1,71.0 x 64.0 mm (2.8 x 2.5 inches),Overhead Valves (OHV),Air,6-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Single disc,Single disc,154.0 kg (339.5 pounds),14.00 litres (3.70 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XZ 550 S,1985,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",553.0 ccm (33.74 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 9500 RPM,180.0 km/h (111.8 mph),10.5:1,80.0 x 55.0 mm (3.1 x 2.2 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,4.25/85-18 ,Dual disc,Expanding brake,228.0 kg (502.7 pounds),17.00 litres (4.49 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
