Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Valves per cylinder,Front brakes,Torque,Fuel system,Clutch,Front suspension,Rear suspension,Diameter,Wheels,Dry weight,Power/weight ratio,Seat height,Overall length,Overall width,Ground clearance,Wheelbase,Starter,Engine details,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Max RPM,Ignition,Lubrication system,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Front wheel travel,Instruments,Electrical,Light,Comments,Overall height,Color options,Reserve fuel capacity,Driveline,Rear wheel travel,Factory warranty,Rake (fork angle),Trail,Oil capacity
Gilera 125 Strada,1973,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 8750 RPM,105.0 km/h (65.2 mph),10.0:1,59.9 x 44.0 mm (2.4 x 1.7 inches),Overhead Valves (OHV),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,115.0 kg (253.5 pounds),11.00 litres (2.91 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph TR 7 V Tiger 750,1973,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",51.0 HP (37.2  kW)) @ 6500 RPM,175.0 km/h (108.7 mph),8.6:1,76.0 x 82.0 mm (3.0 x 3.2 inches),Overhead Valves (OHV),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,207.0 kg (456.4 pounds),18.00 litres (4.76 US gallons),2,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 250 S 1 Mach I,1973,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"In-line three, two-stroke",28.0 HP (20.4  kW)) @ 8000 RPM,150.0 km/h (93.2 mph),7.5:1,45.0 x 52.3 mm (1.8 x 2.1 inches),Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,150.0 kg (330.7 pounds),14.00 litres (3.70 US gallons),,Expanding brake (drum brake),24.8 Nm (2.5 kgf-m or 18.3 ft.lbs) @ 7000 RPM,Carburettor,,Telescopic hydraulic forks,"Dual shocks, Swing arm",180 mm (7.1 inches),,149.5 kg (329.6 pounds),0.1873 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",2020 mm (79.5 inches),,175 mm (6.9 inches),1585 mm (62.4 inches),Electric,,,,,Battery and coil ,,,,,Double tubular steel cradle,,,,,,,"Candy Orange, Candy Blue",,,,,28.0°,110 mm (4.3 inches),
Hercules W 2000,1973,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",294.0 ccm (17.94 cubic inches),Single disk Wankel,25.0 HP (18.2  kW)) @ 6500 RPM,141.0 km/h (87.6 mph),8.5:1,,,Air,6-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,172.0 kg (379.2 pounds),16.50 litres (4.36 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 360,1973,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",352.0 ccm (21.48 cubic inches),"Single cylinder, two-stroke",32.0 HP (23.4  kW)) @ 6000 RPM,133.0 km/h (82.6 mph),6.3:1,80.0 x 70.0 mm (3.1 x 2.8 inches),Membrane,Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,134.0 kg (295.4 pounds),9.00 litres (2.38 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MW 750M,1973,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,746.0 ccm (45.52 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 4900 RPM,,,78.0 x 78.0 mm (3.1 x 3.1 inches),,,,Shaft drive (cardan)   (final drive),,,Expanding brake,,,,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MW 750 and MW 750M where military motorcycles made in Kiev 1973-1977.,,,,,,,,,
Ducati 450 Mark 3 D,1973,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,435.0 ccm (26.54 cubic inches),"Single cylinder, four-stroke",31.0 HP (22.6  kW)) @ 7000 RPM,155.0 km/h (96.3 mph),9.3:1,86.0 x 75.0 mm (3.4 x 3.0 inches),Desmodromic valve control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,139.0 kg (306.4 pounds),13.00 litres (3.43 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CL 100S,1973,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,99.0 ccm (6.04 cubic inches),"Single cylinder, four-stroke",,64.4 km/h (40.0 mph),,,,,,Chain   (final drive),2.50-18 ,2.75-18 ,Expanding brake (drum brake),,,,Expanding brake (drum brake),,,,,,,,,,,,,,,Kick,,,,,,,,,,,,,,,,,Gold,,,,,,,
Moto Guzzi V7 850 GT,1973,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 6100 RPM,181.0 km/h (112.5 mph),9.2:1,83.0 x 78.0 mm (3.3 x 3.1 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),4.00-18 ,4.00-18 ,Expanding brake,255.0 kg (562.2 pounds),22.50 litres (5.94 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch VZ50 3P,1973,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",3.2 HP (2.3  kW)) @ 4800 RPM,,9.5:1,,,Air,,,,,,,,,,,Carburettor,Multiplate in oil,,,,,,,,,,,,,,,,5000,Magneto,Pertroil Mix,,,,Pressed Steel,,,,,,,,,,,,,,
Yamaha RD 350 (6-speed),1973,Classic," 4.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",39.0 HP (28.5  kW)) @ 7500 RPM,170.0 km/h (105.6 mph),6.6:1,64.0 x 54.0 mm (2.5 x 2.1 inches),Membrane,Air,6-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,162.0 kg (357.1 pounds),16.00 litres (4.23 US gallons),,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voskhod 2,1973,Classic," 2.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",10.5 HP (7.7  kW)) @ 5500 RPM,95.0 km/h (59.0 mph),7.5:1,62.0 x 58.0 mm (2.4 x 2.3 inches),Port control,Air,4-speed,Chain   (final drive),3.25-16 ,3.25-16 ,Expanding brake,121.0 kg (266.8 pounds),13.00 litres (3.43 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 350 Mark 3 D,1973,Classic," 2.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",340.0 ccm (20.75 cubic inches),"Single cylinder, four-stroke",26.0 HP (19.0  kW)) @ 8000 RPM,145.0 km/h (90.1 mph),9.5:1,76.0 x 75.0 mm (3.0 x 3.0 inches),Desmodromic valve control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,137.0 kg (302.0 pounds),13.00 litres (3.43 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico MD 125-6,1973,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 8000 RPM,115.0 km/h (71.5 mph),11.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Rotary valves,Air,6-speed,Chain   (final drive),2.50-16 ,3.00-16 ,Expanding brake,95.0 kg (209.4 pounds),13.50 litres (3.57 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 350 GT,1973,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Twin, four-stroke",32.0 HP (23.4  kW)) @ 7600 RPM,155.0 km/h (96.3 mph),9.5:1,63.0 x 56.0 mm (2.5 x 2.2 inches),Overhead Valves (OHV),Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Expanding brake,143.0 kg (315.3 pounds),16.00 litres (4.23 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton Commando 850 Interstate,1973,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",828.0 ccm (50.52 cubic inches),"Twin, four-stroke",51.0 HP (37.2  kW)) @ 6250 RPM,191.0 km/h (118.7 mph),8.5:1,77.0 x 89.0 mm (3.0 x 3.5 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),4.10-19 ,4.10-19 ,Expanding brake,220.0 kg (485.0 pounds),27.00 litres (7.13 US gallons),2,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda MT 250 Elsinore,1973,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",,,,,Standing valves,Air,,,,,Expanding brake (drum brake),,,,Expanding brake (drum brake),,Carburettor,,,,,,,,,,,,,Kick,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 550,1973,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",543.0 ccm (33.13 cubic inches),"In-line three, two-stroke",48.0 HP (35.0  kW)) @ 7500 RPM,178.0 km/h (110.6 mph),6.8:1,61.0 x 62.0 mm (2.4 x 2.4 inches),Port control,Air,6-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,190.0 kg (418.9 pounds),15.00 litres (3.96 US gallons),,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 125,1973,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 9500 RPM,127.0 km/h (78.9 mph),6.8:1,43.0 x 43.0 mm (1.7 x 1.7 inches),Membrane,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,117.0 kg (257.9 pounds),11.50 litres (3.04 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch 125 GS (5-speed),1973,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 7800 RPM,100.0 km/h (62.1 mph),11.5:1,55.0 x 52.0 mm (2.2 x 2.0 inches),Port control,Air,5-speed,Chain   (final drive),3.00-21 ,3.50-18 ,Expanding brake,124.0 kg (273.4 pounds),9.00 litres (2.38 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr K-750 M,1973,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,746.0 ccm (45.52 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 4900 RPM,,,78.0 x 78.0 mm (3.1 x 3.1 inches),,,,Shaft drive (cardan)   (final drive),,,Expanding brake,,,,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Military model made at the Dnepr Kiev factory. 1963-1977,,,,,,,,,
Puch 175 GS,1973,Cross / motocross," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",169.0 ccm (10.31 cubic inches),"Single cylinder, two-stroke",21.0 HP (15.3  kW)) @ 8700 RPM,105.0 km/h (65.2 mph),11.5:1,62.0 x 56.0 mm (2.4 x 2.2 inches),Port control,Air,6-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,125.0 kg (275.6 pounds),9.00 litres (2.38 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki TC 100 K Blazer,1973,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",97.0 ccm (5.92 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)),117.5 km/h (73.0 mph),6.5:1,49.0 x 61.0 mm (1.9 x 2.4 inches),,Air,,Chain   (final drive),,,Expanding brake (drum brake),,6.43 litres (1.70 US gallons),2,Expanding brake (drum brake),10.8 Nm (1.1 kgf-m or 8.0 ft.lbs),Carburettor. wm195c,"multi plate ,Wet disc","telescopic , oil dampened","swing arm , oil dampened",,,93.0 kg (205.0 pounds),0.1183 HP/kg,,1999 mm (78.7 inches),831 mm (32.7 inches),196 mm (7.7 inches),,Kick,,,,9000,,,,,power tuned /spark arrester,,,,,,,1080 mm (42.5 inches),Gypsy Red,,,,,,,
Benelli 125 2 C,1973,Cross / motocross," 2.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, two-stroke",13.0 HP (9.5  kW)) @ 7600 RPM,111.0 km/h (69.0 mph),10.3:1,42.5 x 44.0 mm (1.7 x 1.7 inches),Port control,Air,5-speed,Chain   (final drive),2.50-18 ,3.00-18 ,Expanding brake,125.0 kg (275.6 pounds),11.50 litres (3.04 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Falcone,1973,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",28.0 HP (20.4  kW)) @ 4800 RPM,,,88.0 x 80.0 mm (3.5 x 3.1 inches),,,4-speed,Chain   (final drive),-18 ,,Expanding brake (drum brake),,,2,Expanding brake (drum brake),,Carburettor,,,,,,,,,,,,,,,,,4800,,,,,,,,,,,,,,,,,,,,
Yamaha DT 125,1973,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",13.0 HP (9.5  kW)) @ 7000 RPM,105.0 km/h (65.2 mph),7.0:1,56.0 x 50.0 mm (2.2 x 2.0 inches),Membrane,Air,5-speed,Chain   (final drive),2.75-21 ,3.25-18 ,Expanding brake,103.0 kg (227.1 pounds),7.00 litres (1.85 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT-10,1973,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5600 RPM,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,,,Shaft drive (cardan)   (final drive),,,Expanding brake,,,,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Made in Kiev 1973-76.,,,,,,,,,
Triumph T 140 V Bonneville 750,1973,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",53.0 HP (38.7  kW)) @ 6500 RPM,176.0 km/h (109.4 mph),8.6:1,76.0 x 82.0 mm (3.0 x 3.2 inches),Overhead Valves (OHV),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,208.0 kg (458.6 pounds),18.00 litres (4.76 US gallons),2,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural M 66 (with sidecar),1973,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 4500 RPM,105.0 km/h (65.2 mph),7.0:1,78.0 x 68.0 mm (3.1 x 2.7 inches),Overhead Valves (OHV),Air,4-speed,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,335.0 kg (738.5 pounds),21.00 litres (5.55 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki T 500,1973,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",492.0 ccm (30.02 cubic inches),"Twin, two-stroke",47.0 HP (34.3  kW)) @ 7000 RPM,170.0 km/h (105.6 mph),6.6:1,70.0 x 64.0 mm (2.8 x 2.5 inches),Port control,Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,187.0 kg (412.3 pounds),14.00 litres (3.70 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 750 S Sport,1973,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",68.4 HP (49.9  kW)) @ 5250 RPM,196.0 km/h (121.8 mph),,,Overhead Cams (OHC),,5-speed,,3.25-19 ,3.50-18 ,Expanding brake (drum brake),,,,"Single disc. Scarab, hydraulic",,,Oil sump,,,,,192.0 kg (423.3 pounds),0.3562 HP/kg,,,,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FX 1200,1973,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1206.0 ccm (73.59 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5150 RPM,180.0 km/h (111.8 mph),8.0:1,87.3 x 100.8 mm (3.4 x 4.0 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.75-19 ,5.10-16 ,Single disc,265.0 kg (584.2 pounds),19.00 litres (5.02 US gallons),2,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 250,1973,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 7700 RPM,120.0 km/h (74.6 mph),9.1:1,74.0 x 57.8 mm (2.9 x 2.3 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-21 ,4.00-18 ,Expanding brake,148.0 kg (326.3 pounds),8.00 litres (2.11 US gallons),4,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 250 F 11,1973,Trial," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",23.5 HP (17.2  kW)) @ 6000 RPM,125.0 km/h (77.7 mph),7.0:1,68.0 x 68.0 mm (2.7 x 2.7 inches),Port control,Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,127.0 kg (280.0 pounds),9.50 litres (2.51 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 500 Four,1973,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,433.0 ccm (26.42 cubic inches),"In-line four, four-stroke",79.1 HP (57.8  kW)) @ 14000 RPM,285.0 km/h (177.1 mph),,56.0 x 44.0 mm (2.2 x 1.7 inches),Double Overhead Cams/Twin Cam (DOHC),Air,,,,,Double disc,,,,Double disc,,,Dry Multiple,Telescopic,Swingarm ,,,,,,,,,,,,,,,,,,,,Doble Cradle,,,,,,,Red,,,,,,,
Dnepr MB-750M,1973,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,746.0 ccm (45.52 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 4900 RPM,,,78.0 x 78.0 mm (3.1 x 3.1 inches),,,,Shaft drive (cardan)   (final drive),,,Expanding brake,,,,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Military motorcycle made in Kiev 1973-1977.,,,,,,,,,
Honda CB 350,1973,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",325.0 ccm (19.83 cubic inches),"Twin, four-stroke",36.0 HP (26.3  kW)) @ 10500 RPM,165.0 km/h (102.5 mph),9.5:1,64.0 x 50.6 mm (2.5 x 2.0 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Expanding brake,170.0 kg (374.8 pounds),10.00 litres (2.64 US gallons),2,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 100 G 7 T,1973,Cross / motocross," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",100.0 ccm (6.10 cubic inches),"Single cylinder, two-stroke",1.5 HP (1.1  kW)) @ 8000 RPM,115.0 km/h (71.5 mph),7.0:1,49.5 x 51.8 mm (1.9 x 2.0 inches),Rotary valves,Air,5-speed,Chain   (final drive),2.50-18 ,2.75-18 ,Expanding brake,96.0 kg (211.6 pounds),10.00 litres (2.64 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ TS 150,1973,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,143.0 ccm (8.73 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 6300 RPM,105.0 km/h (65.2 mph),10.0:1,56.0 x 58.0 mm (2.2 x 2.3 inches),Port control,Air,4-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,117.0 kg (257.9 pounds),12.50 litres (3.30 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 750 S,1973,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",743.0 ccm (45.34 cubic inches),"In-line four, four-stroke",72.0 HP (52.6  kW)) @ 9200 RPM,220.0 km/h (136.7 mph),9.5:1,65.0 x 56.0 mm (2.6 x 2.2 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-18 ,4.00-18 ,Expanding brake,240.0 kg (529.1 pounds),24.00 litres (6.34 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 185,1973,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",185.0 ccm (11.29 cubic inches),"Twin, two-stroke",21.0 HP (15.3  kW)) @ 7500 RPM,144.8 km/h (90.0 mph),,49.0 x 0.0 mm (1.9 x  inches),,Air,5-speed,Chain   (final drive),,,,,7.57 litres (2.00 US gallons),,Expanding brake (drum brake),,Carburettor. Mikuni,wet plate,,,,,128.4 kg (283.0 pounds),0.1636 HP/kg,,1950 mm (76.8 inches),770 mm (30.3 inches),,1290 mm (50.8 inches),Electric & kick,,,,,Points,"CCI, oil injected",,,double chrome plated pipes with baffels,Steel,,,,,,1065 mm (41.9 inches),,,,,,,,
Norton Commando 850 Roadster,1973,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",828.0 ccm (50.52 cubic inches),"Twin, four-stroke",51.0 HP (37.2  kW)) @ 6250 RPM,191.0 km/h (118.7 mph),8.5:1,77.0 x 89.0 mm (3.0 x 3.5 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),4.10-19 ,4.10-19 ,Expanding brake,221.0 kg (487.2 pounds),11.00 litres (2.91 US gallons),2,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 450 disc,1973,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",445.0 ccm (27.15 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 9000 RPM,171.0 km/h (106.3 mph),9.0:1,70.0 x 57.8 mm (2.8 x 2.3 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,204.0 kg (449.7 pounds),14.00 litres (3.70 US gallons),2,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 350 S 2 Mach II,1973,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",346.0 ccm (21.11 cubic inches),"In-line three, two-stroke",44.0 HP (32.1  kW)) @ 8000 RPM,155.0 km/h (96.3 mph),7.3:1,53.0 x 52.3 mm (2.1 x 2.1 inches),Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Expanding brake,160.0 kg (352.7 pounds),14.00 litres (3.70 US gallons),,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 750 GT,1973,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,743.0 ccm (45.34 cubic inches),"In-line four, four-stroke",69.0 HP (50.4  kW)) @ 8450 RPM,205.0 km/h (127.4 mph),9.5:1,65.0 x 56.0 mm (2.6 x 2.2 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-18 ,4.00-18 ,Expanding brake,246.0 kg (542.3 pounds),24.00 litres (6.34 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 500 Quattro,1973,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",498.0 ccm (30.39 cubic inches),"In-line four, four-stroke",44.0 HP (32.1  kW)) @ 8500 RPM,173.0 km/h (107.5 mph),10.2:1,56.0 x 50.6 mm (2.2 x 2.0 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.10-18 ,Expanding brake,230.0 kg (507.1 pounds),18.00 litres (4.76 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 380,1973,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",371.0 ccm (22.64 cubic inches),"In-line three, two-stroke",32.0 HP (23.4  kW)) @ 7500 RPM,168.0 km/h (104.4 mph),6.7:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Port control,Air,6-speed,Chain   (final drive),3.00-19 ,3.50-18 ,Expanding brake,190.0 kg (418.9 pounds),15.00 litres (3.96 US gallons),,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
