Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Fuel system,Frame type,Dry weight,Power/weight ratio,Overall height,Starter,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Rake (fork angle),Trail,Front suspension,Overall length,Overall width,Ground clearance,Wheelbase,Oil capacity,Modifications compared to previous model,Comments,Rear suspension,Color options,Torque,Diameter,Engine details,Front wheel travel,Wheels,Seat height,Reserve fuel capacity,Electrical,Factory warranty,Max RPM,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Rear wheel travel,Oil filter,Battery,Chain size,Chain links,Pulley teeth,Fork tube size
Laverda 1000,1975,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",980.0 ccm (59.80 cubic inches),"In-line three, four-stroke",78.0 HP (56.9  kW)) @ 7750 RPM,209.0 km/h (129.9 mph),9.0:1,75.0 x 74.0 mm (3.0 x 2.9 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Dual disc,Expanding brake,243.0 kg (535.7 pounds),17.50 litres (4.62 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico MD 125-6,1975,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 8000 RPM,115.0 km/h (71.5 mph),11.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Rotary valves,Air,6-speed,Chain   (final drive),2.50-16 ,3.00-16 ,Expanding brake,Expanding brake,95.0 kg (209.4 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 3 1-2 VS,1975,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,344.0 ccm (20.99 cubic inches),"V2, four-stroke",39.0 HP (28.5  kW)) @ 8500 RPM,175.0 km/h (108.7 mph),11.0:1,62.0 x 57.0 mm (2.4 x 2.2 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),3.25-18 ,4.10-18 ,Expanding brake,Expanding brake,149.0 kg (328.5 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT-9,1975,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5000 RPM,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,,,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,,,210.0 kg (463.0 pounds),0.1524 HP/kg,,,,,,,,,,,,,,,,,,Manufactured by Dnepr in Kiev from 1971 to 1976.,,,,,,,,,,,,,,,,,,,,,
IZH Planeta 3,1975,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, two-stroke",18.0 HP (13.1  kW)) @ 4800 RPM,110.0 km/h (68.4 mph),7.5:1,72.0 x 85.0 mm (2.8 x 3.3 inches),,Port control,Air,4-speed,Chain   (final drive),3.50-18 ,3.50-18 ,Expanding brake,Expanding brake,168.0 kg (370.4 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 850 T,1975,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 6100 RPM,181.0 km/h (112.5 mph),9.2:1,83.0 x 78.0 mm (3.3 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),4.00-18 ,4.00-18 ,Single disc,Expanding brake,255.0 kg (562.2 pounds),25.00 litres (6.61 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico MD 250-6,1975,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,245.0 ccm (14.95 cubic inches),"Single cylinder, two-stroke",28.0 HP (20.4  kW)) @ 7000 RPM,159.0 km/h (98.8 mph),11.7:1,76.0 x 54.0 mm (3.0 x 2.1 inches),,Rotary valves,Air,6-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Expanding brake,Expanding brake,126.0 kg (277.8 pounds),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera 150 Strada,1975,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",152.0 ccm (9.28 cubic inches),"Single cylinder, four-stroke",14.0 HP (10.2  kW)) @ 8500 RPM,115.0 km/h (71.5 mph),10.0:1,59.9 x 54.0 mm (2.4 x 2.1 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,123.0 kg (271.2 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda GL 1000 Gold Wing,1975,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",999.0 ccm (60.96 cubic inches),"Four cylinder boxer, four-stroke",82.0 HP (59.9  kW)) @ 7500 RPM,196.0 km/h (121.8 mph),9.2:1,72.0 x 61.4 mm (2.8 x 2.4 inches),2,Overhead Cams (OHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,4.50-17 ,Dual disc,Single disc,295.0 kg (650.4 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 750 SF 2,1975,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",61.0 HP (44.5  kW)) @ 7500 RPM,195.0 km/h (121.2 mph),8.9:1,80.0 x 74.0 mm (3.1 x 2.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Single disc,Expanding brake,231.0 kg (509.3 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 250 TS,1975,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",231.0 ccm (14.10 cubic inches),"Twin, two-stroke",30.0 HP (21.9  kW)) @ 7400 RPM,150.0 km/h (93.2 mph),10.0:1,56.0 x 47.0 mm (2.2 x 1.9 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Expanding brake,139.0 kg (306.4 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RE 5 Rotary,1975,"Minibike, sport"," 3.5  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",497.0 ccm (30.33 cubic inches),Single disk Wankel,63.0 HP (46.0  kW)) @ 6500 RPM,172.0 km/h (106.9 mph),8.6:1,,,,Liquid,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Expanding brake,260.0 kg (573.2 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RS 100,1975,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",97.0 ccm (5.92 cubic inches),"Single cylinder, two-stroke",10.5 HP (7.7  kW)) @ 7500 RPM,104.0 km/h (64.6 mph),6.8:1,52.0 x 45.6 mm (2.0 x 1.8 inches),,Membrane,Air,5-speed,Chain   (final drive),2.50-18 ,2.75-18 ,Expanding brake (drum brake),Expanding brake,105.0 kg (231.5 pounds),9.00 litres (2.38 US gallons),Carburettor,,,,,Electric,,,,,,,,,Telescopic fork,1946 mm (76.6 inches),,,1240 mm (48.8 inches),,,,Dual shocks,"Blue, red, yellow",9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 7000 RPM,,,,,"775 mm (30.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,
Honda XL 250,1975,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 7700 RPM,120.0 km/h (74.6 mph),9.1:1,74.0 x 57.8 mm (2.9 x 2.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-21 ,4.00-18 ,Expanding brake,Expanding brake,148.0 kg (326.3 pounds),8.00 litres (2.11 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voskhod 2,1975,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",10.5 HP (7.7  kW)) @ 5500 RPM,95.0 km/h (59.0 mph),7.5:1,62.0 x 58.0 mm (2.4 x 2.3 inches),,Port control,Air,4-speed,Chain   (final drive),3.25-16 ,3 25-15 ,Expanding brake,Expanding brake,121.0 kg (266.8 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 400 F,1975,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",408.0 ccm (24.90 cubic inches),"In-line four, four-stroke",37.0 HP (27.0  kW)) @ 8500 RPM,158.0 km/h (98.2 mph),9.4:1,51.0 x 50.0 mm (2.0 x 2.0 inches),2,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,184.0 kg (405.7 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch MC 125,1975,Cross / motocross,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",19.0 HP (13.9  kW)) @ 8700 RPM,108.0 km/h (67.1 mph),,55.0 x 52.0 mm (2.2 x 2.0 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-21 ,3.50-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,,Carburettor. Bing,,103.0 kg (227.0 pounds),0.1845 HP/kg,1090 mm (42.9 inches),Kick,Bosch transistorized 6V 35W   1.8mm BTDC,Premix 25:1,Multi disc in oil,,,,,,Betor telescopic  150cc,2033 mm (80.0 inches),860 mm (33.9 inches),245 mm (9.6 inches),1355 mm (53.3 inches),,"very different from previous years- frame, tank, seat, etc",,,Red,,160 mm (6.3 inches),,165 mm (6.5 inches),,"840 mm (33.1 inches) If adjustable, lowest setting.",,,,,,,100 mm (3.9 inches),,,,,,
Suzuki TS 250,1975,Trial," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",19.0 HP (13.9  kW)) @ 6500 RPM,115.0 km/h (71.5 mph),6.7:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,128.0 kg (282.2 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 F,1975,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",736.0 ccm (44.91 cubic inches),"In-line four, four-stroke",67.0 HP (48.9  kW)) @ 8000 RPM,190.0 km/h (118.1 mph),9.0:1,61.0 x 63.0 mm (2.4 x 2.5 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,235.0 kg (518.1 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MW 750 M,1975,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,746.0 ccm (45.52 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 4900 RPM,,,78.0 x 78.0 mm (3.1 x 3.1 inches),,,,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,MW 750 and MW 750M where military motorcycles made by Dnepr in Kiev 1973-1977.,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 900,1975,Classic," 4.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",903.0 ccm (55.10 cubic inches),"In-line four, four-stroke",81.0 HP (59.1  kW)) @ 8000 RPM,217.0 km/h (134.8 mph),8.5:1,66.0 x 66.0 mm (2.6 x 2.6 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,256.0 kg (564.4 pounds),18.00 litres (4.76 US gallons),Carburettor. Mikuni VM28SC,"Double cradle, steel",230.0 kg (507.1 pounds),0.3522 HP/kg,,Electric & kick,,,Wet multi-plate,,,,,,"Telescopic fork, 36mm",2210 mm (87.0 inches),,,1500 mm (59.1 inches),,,,"Dual shocks, adjustable","Red/gold, black/gold, green/gold",73.5 Nm (7.5 kgf-m or 54.2 ft.lbs) @ 7000 RPM,200 mm (7.9 inches),,,,"813 mm (32.0 inches) If adjustable, lowest setting.",,Coils 3 Ohm,,,,,,,,,,,
MBK 125 LT,1975,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",14.0 HP (10.2  kW)) @ 7500 RPM,122.0 km/h (75.8 mph),10.0:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,Port control,Air,5-speed,Chain   (final drive),2.50-17 ,2.75-17 ,Expanding brake,Expanding brake,114.0 kg (251.3 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch VZ 50 3P,1975,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",3.3 HP (2.4  kW)) @ 5000 RPM,61.2 km/h (38.0 mph),9.0:1,,,,Air,3-speed,Chain   (final drive),2.50-17 ,2.75-17 ,Expanding brake (drum brake),,,7.57 litres (2.00 US gallons),Carburettor. Bing,Pressed Steel,,,,,Magneto,Petroil mix,Wet Plate,,,,,,,,,,,,,First true Sports Moped introduced in UK in 1972,Coil spring,Bright Yellow,,,,,,,1.51 litres (0.40 US gallons),,,5500,,,,,,,,,
Dnepr MB-750 M,1975,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,746.0 ccm (45.52 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 4900 RPM,,,78.0 x 78.0 mm (3.1 x 3.1 inches),,,,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,Military model manufactured in Kiev 1973-1977.,,,,,,,,,,,,,,,,,,,,,
Honda CB 550 SS,1975,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",544.0 ccm (33.19 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,183.0 km/h (113.7 mph),9.0:1,58.5 x 50.6 mm (2.3 x 2.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-19 ,3.75-18 ,Single disc,Expanding brake,206.0 kg (454.2 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha GT80 B,1975,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",72.0 ccm (4.39 cubic inches),"Single cylinder, two-stroke",4.9 HP (3.6  kW)),91.0 km/h (56.5 mph),6.0:1,47.0 x 42.0 mm (1.9 x 1.7 inches),,,Air,4-speed,Chain   (final drive),2.50-15 ,2.75-14 ,Expanding brake (drum brake),Expanding brake (drum brake),60.3 kg (133.0 pounds),4.92 litres (1.30 US gallons),Carburettor. Teikei,Steel,59.0 kg (130.0 pounds),0.0831 HP/kg,,Kick,Points type Ignition,Auto Lube,Wet plate,,,Single tuned pipe,32.0°,,Inverted forks,,,,,,,,non-adjustable dual shock,White/Competition Yellow,6.1 Nm (0.6 kgf-m or 4.5 ft.lbs) @ 7200 RPM,127 mm (5.0 inches),,102 mm (4.0 inches),,,,,,8000,,,76 mm (3.0 inches),,,,,,
Puch 175 GS,1975,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,169.0 ccm (10.31 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 8000 RPM,105.0 km/h (65.2 mph),11.5:1,62.0 x 56.0 mm (2.4 x 2.2 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,128.0 kg (282.2 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 500 Quattro,1975,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"In-line four, four-stroke",44.0 HP (32.1  kW)) @ 8500 RPM,173.0 km/h (107.5 mph),10.2:1,56.0 x 50.6 mm (2.2 x 2.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.10-18 ,Single disc,Expanding brake,230.0 kg (507.1 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki F-11 250B,1975,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",22.0 HP (16.1  kW)) @ 6500 RPM,,,68.0 x 68.0 mm (2.7 x 2.7 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,9.46 litres (2.50 US gallons),Carburettor. 28mm Mikuni,,119.7 kg (264.0 pounds),0.1837 HP/kg,813 mm (32.0 inches),Kick,"points, condensor",Auto oil injection,wet plate,4.70 litres/100 km (21.3 km/l or 50.05 mpg),109.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Single expansion chamber,,,forks,,,279 mm (11.0 inches),,,,,twin shock,,,,,178 mm (7.0 inches),,,,,,,,,114 mm (4.5 inches),,,,,,
Yamaha RD 200,1975,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",195.0 ccm (11.90 cubic inches),"Twin, two-stroke",22.0 HP (16.1  kW)) @ 8500 RPM,138.0 km/h (85.7 mph),7.1:1,52.0 x 46.0 mm (2.0 x 1.8 inches),,Membrane,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,140.0 kg (308.6 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350,1975,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",23.0 HP (16.8  kW)) @ 5000 RPM,132.0 km/h (82.0 mph),9.2:1,58.0 x 65.0 mm (2.3 x 2.6 inches),,Port control,Air,4-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,168.0 kg (370.4 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 125,1975,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 9500 RPM,127.0 km/h (78.9 mph),6.8:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,Membrane,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,117.0 kg (257.9 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa-CZ 125,1975,Classic," 2.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)) @ 5750 RPM,100.0 km/h (62.1 mph),8.6:1,52.0 x 58.0 mm (2.0 x 2.3 inches),,Port control,Air,4-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Expanding brake,Expanding brake,120.0 kg (264.6 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT-10 36,1975,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5600 RPM,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,,,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,Model made by Dnepr in Kiev from 1975 to 1984.,,,,,,,,,,,,,,,,,,,,,
Jawa 250,1975,Custom / cruiser," 2.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 5250 RPM,125.0 km/h (77.7 mph),9.3:1,52.0 x 58.0 mm (2.0 x 2.3 inches),,Port control,Air,4-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,Expanding brake,151.0 kg (332.9 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules K 125 Military,1975,Sport touring," 2.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 7000 RPM,94.0 km/h (58.4 mph),9.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,135.0 kg (297.6 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 500 GTL,1975,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",497.0 ccm (30.33 cubic inches),"Twin, four-stroke",35.0 HP (25.5  kW)) @ 6500 RPM,162.0 km/h (100.7 mph),9.6:1,78.0 x 52.0 mm (3.1 x 2.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Dual disc,Expanding brake,192.0 kg (423.3 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 185,1975,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",185.0 ccm (11.29 cubic inches),"Twin, two-stroke",15.0 HP (10.9  kW)) @ 7500 RPM,126.0 km/h (78.3 mph),7.0:1,49.0 x 49.0 mm (1.9 x 1.9 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,131.0 kg (288.8 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silk 700S,1975,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,653.0 ccm (39.85 cubic inches),"Twin, two-stroke",54.0 HP (39.4  kW)) @ 6000 RPM,177.0 km/h (110.0 mph),,,,,Liquid,4-speed,Chain   (final drive),3.60-18 ,4.10-18 ,Single disc,Expanding brake (drum brake),,,Carburettor,,140.0 kg (308.6 pounds),0.3857 HP/kg,,Kick, electronic ignition,,,,,,,,39mm gaitered telescopic forks,,,,,,,Silk Engineering was British company. Bike also called Silk Sabre.,Twin shocks,Black,,180 mm (7.1 inches),,,,,,,,,,,,,,,,,
Harley-Davidson XLCH 1000 Sportster,1975,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1000.0 ccm (61.02 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 6200 RPM,,9.0:1,81.0 x 96.8 mm (3.2 x 3.8 inches),2,Overhead Valves (OHV),Air,,Chain   (final drive),90/90-R19 ,100/90-R18 ,Single disc,Expanding brake (drum brake),,8.32 litres (2.20 US gallons),Carburettor. Bendix 16P12,"Steel, double cradle. Swing arm.",244.0 kg (537.9 pounds),0.2500 HP/kg,1067 mm (42.0 inches),Electric & kick,Points,Force-Feed (Pressure) Oil pump.,Wet-multiple disk,4.70 litres/100 km (21.3 km/l or 50.05 mpg),109.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,29.6°,,"Telescopic forks, 175mm wheel travel",2216 mm (87.3 inches),813 mm (32.0 inches),184 mm (7.3 inches),1486 mm (58.5 inches),,,Last year of the right side shift.,"Swing arm, 100mm wheel travel",,70.5 Nm (7.2 kgf-m or 52.0 ft.lbs) @ 3800 RPM,203 mm (8.0 inches),Ironhead Sportster engine,,,,0.94 litres (0.25 US gallons),,,,,,,HiFloFiltro Black HF178,Y12N7-4A,530,110,21/51 (front/rear),35 mm (1.4 inches)
Honda CB 500 T,1975,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",42.0 HP (30.7  kW)) @ 8000 RPM,160.0 km/h (99.4 mph),8.5:1,70.0 x 64.8 mm (2.8 x 2.6 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.50-19 ,4.00-18 ,Single disc,Expanding brake,210.0 kg (463.0 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT 10,1975,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5000 RPM,135.0 km/h (83.9 mph),7.0:1,78.0 x 68.0 mm (3.1 x 2.7 inches),2,Overhead Valves (OHV),Air,4-speed,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,205.0 kg (451.9 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
