Model,Year,Category,Rating,Displacement,Engine type,Torque,Top speed,Compression,Bore x stroke,Fuel system,Ignition,Lubrication system,Cooling system,Transmission type,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Seat height,Overall height,Overall length,Overall width,Fuel capacity,Reserve fuel capacity,Color options,Starter,Comments,Power,Fuel control,Gearbox,"Weight incl. oil, gas, etc",Ground clearance,Wheelbase,Clutch,Exhaust system,Valves per cylinder,Modifications compared to previous model,Power/weight ratio,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Emission details,Max RPM,Driveline,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Belt teeth,Belt width,Pulley teeth,Fork tube size,Alternate seat height,Electrical,Coolant,Idle speed,Sprockets,Engine details,Factory warranty,0-100 km/h (0-62 mph),Instruments,Light,Carrying capacity,Chain size,Chain links,Tire pressure front,Tire pressure rear,"60-140 km/h (37-87 mph), highest gear",1/4 mile (0.4 km),Front percentage of weight,Rear percentage of weight
Yamaha V Star Custom,2008,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",655.5 ccm (40.00 cubic inches),"V2, four-stroke",,,9.0:1,81.0 x 63.0 mm (3.2 x 2.5 inches),Carburettor,TCI,,Air,Shaft drive (cardan)   (final drive),Steel; hidden shock,41mm telescopic fork,140 mm (5.5 inches),Single shock,86 mm (3.4 inches),100/90-19 ,170/80-15 ,Single disc,200 mm (7.9 inches),Expanding brake (drum brake),215.0 kg (474.0 pounds),"696 mm (27.4 inches) If adjustable, lowest setting.",1067 mm (42.0 inches),2337 mm (92.0 inches),879 mm (34.6 inches),15.89 litres (4.20 US gallons),,"Candy Red w/Flames, Raven w/Flames)",Electric,,,Single Overhead Cams (SOHC),5-speed,,140 mm (5.5 inches),1610 mm (63.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT50X,2008,Super motard," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",3.3 Nm (0.3 kgf-m or 2.4 ft.lbs) @ 5250 RPM,,12.0:1,40.3 x 39.0 mm (1.6 x 1.5 inches),Carburettor. Dell´Orto PHBN 16,CDI,Autolube,Liquid,Chain   (final drive),,Telescopic,,Hydraulic shock absorber,,100/80-17 ,130/70-17 ,Single disc,220 mm (8.7 inches),Single disc,98.0 kg (216.1 pounds),"870 mm (34.3 inches) If adjustable, lowest setting.",1115 mm (43.9 inches),2000 mm (78.7 inches),850 mm (33.5 inches),6.00 litres (1.59 US gallons),,,Kick,,2.8 HP (2.1  kW)) @ 6750 RPM,,,,317 mm (12.5 inches),1350 mm (53.1 inches),,,,,0.0287 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGO Ligero RS 100,2008,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,101.0 ccm (6.16 cubic inches),"Single cylinder, four-stroke",7.6 Nm (0.8 kgf-m or 5.6 ft.lbs) @ 6000 RPM,,,,Carburettor,CDI,,Air,Belt   (final drive),,,,,,120/60-13 ,130/60-13 ,Single disc,155 mm (6.1 inches),Expanding brake (drum brake),,,1060 mm (41.7 inches),1710 mm (67.3 inches),645 mm (25.4 inches),,,,,Taiwan made bike.,7.6 HP (5.6  kW)) @ 8000 RPM,,,95.0 kg (209.4 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW G 650 Xchallenge,2008,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 5250 RPM,165.0 km/h (102.5 mph),11.5:1,100.0 x 83.0 mm (3.9 x 3.3 inches),"Injection. Electronic intake pipe injection / BMW engine management, twin spark ignition",,,Liquid,Chain   (final drive),"Bridge-type steel section frame with bolted-on cast aluminium side elements, bolted-on aluminium rear section","Upside-down front fork, Ø 45 mm, rebound and compression damping adjustable",270 mm (10.6 inches),"Cast aluminium dual swing arm, Air Damping System, spring pre-load and damping continuously variable by air pressure",270 mm (10.6 inches),90/90-21 ,140/80-18 ,Single disc. Optional ABS,240 mm (9.4 inches),Single disc. Optional ABS,144.0 kg (317.5 pounds),"930 mm (36.6 inches) If adjustable, lowest setting.",,2205 mm (86.8 inches),872 mm (34.3 inches),9.50 litres (2.51 US gallons),2.00 litres (0.53 US gallons),,Electric,,52.3 HP (38.2  kW)) @ 7000 RPM,,5-speed,156.0 kg (343.9 pounds),,1500 mm (59.1 inches),"Multiple-disc clutch in oil bath, mechanically operated",,,,0.3631 HP/kg,3.60 litres/100 km (27.8 km/l or 65.34 mpg),83.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,27.5°,118 mm (4.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXCWC Softail Rocker C,2008,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1573.3 ccm (96.00 cubic inches),"V2, four-stroke",117.0 Nm (11.9 kgf-m or 86.3 ft.lbs) @ 3200 RPM,,9.2:1,95.3 x 111.3 mm (3.8 x 4.4 inches),Injection.  Electronic Sequential Port Fuel Injection (ESPFI),,,Air,Belt   (final drive),,,,,,90/90-19 ,240/40-R18 ,Single disc. 4-piston calipers,,Single disc. 2-piston torque-free calipers,311.3 kg (686.3 pounds),"698 mm (27.5 inches) If adjustable, lowest setting.",,2413 mm (95.0 inches),,18.92 litres (5.00 US gallons),,"Vivid Black Deluxe, Pacific Blue Pearl Deluxe, Crimson Red Sunglo Deluxe",,"Fat 240mm rear tire; Chromed: powertrain cover, curved handlebar riser, front fork lowers, turn signals, headlamp and console with speed shop style speedo; new led stop -turn -tail light, new internally wired, independent v-bars; color-matched frame, swingarm and cast aluminum finned oil tank; polished, tapered, 5-spoke wheels; new, 2-in-1 convertible Trick™ seat",,,6-speed,326.9 kg (720.7 pounds),130 mm (5.1 inches),1758 mm (69.2 inches),Multi-plate with diaphragm spring in oil bath,"Chrome, staggered shorty exhaust w/ dual mufflers",,,,4.35 litres/100 km (23.0 km/l or 54.07 mpg),100.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,38.0°,157 mm (6.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zongshen 125 - 30,2008,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",8.6 Nm (0.9 kgf-m or 6.3 ft.lbs) @ 7500 RPM,115.0 km/h (71.5 mph),,56.5 x 49.5 mm (2.2 x 1.9 inches),Carburettor,,Splash,Air,Chain   (final drive),,,,,,3.00-18 ,3.00-18 ,Single disc,,Expanding brake (drum brake),117.0 kg (257.9 pounds),"670 mm (26.4 inches) If adjustable, lowest setting.",1050 mm (41.3 inches),2140 mm (84.3 inches),760 mm (29.9 inches),8.00 litres (2.11 US gallons),,"Orange,black",Electric & kick,,11.3 HP (8.2  kW)) @ 9000 RPM,,5-speed,,120 mm (4.7 inches),1390 mm (54.7 inches),,,2,,0.0962 HP/kg,2.20 litres/100 km (45.5 km/l or 106.92 mpg),51.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FS 650e,2008,Super motard," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",628.3 ccm (38.34 cubic inches),"Single cylinder, four-stroke",,,11.8:1,100.0 x 80.0 mm (3.9 x 3.1 inches),Carburettor. Keihin MX FCR 41 TPS,Kokusan digital,"Pressure circulation, trochoit oil pump",Liquid,,25CrMo4 tempered,WP USD 4860MA HUSABERG SUPERMOTO,275 mm (10.8 inches),WP 5018 DCC PDS HUSABERG SUPERMOTO,288 mm (11.3 inches),120/70-17 ,150/60-17 ,Single disc,220 mm (8.7 inches),Single disc,112.0 kg (246.9 pounds),"870 mm (34.3 inches) If adjustable, lowest setting.",,,,,,,Electric & kick,,,Overhead Cams (OHC),6-speed,,,1481 mm (58.3 inches),"Wet multi-disc clutch, operated hydraulically","2-into-1, twin manifold/nickel-plated, aluminium rear muffler",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi Senda XRace 50 SM,2008,Super motard," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,11.0:1,39.9 x 40.0 mm (1.6 x 1.6 inches),,Electronic CDI,Oil  pump,Liquid,Chain   (final drive),,36 mm. hydraulic fork. 195 mm travel,,Monoshock. 182 mm wheel travel,,100/80-17 ,130/70-17 ,Single disc,180 mm (7.1 inches),Single disc,97.0 kg (213.8 pounds),"855 mm (33.7 inches) If adjustable, lowest setting.",1095 mm (43.1 inches),2222 mm (87.5 inches),805 mm (31.7 inches),7.00 litres (1.85 US gallons),,Black,Kick,,,,6-speed,,,1355 mm (53.3 inches),Multi-plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Movie XL 125,2008,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",9.8 Nm (1.0 kgf-m or 7.2 ft.lbs) @ 6500 RPM,,9.6:1,52.4 x 57.8 mm (2.1 x 2.3 inches),,CDI,,Air,Belt   (final drive),Pine under bone,Telescopic fork,80 mm (3.1 inches),Unit swing,95 mm (3.7 inches),120/70-12 ,130/70-12 ,Single disc,130 mm (5.1 inches),Expanding brake (drum brake),110.0 kg (242.5 pounds),"820 mm (32.3 inches) If adjustable, lowest setting.",1150 mm (45.3 inches),1885 mm (74.2 inches),695 mm (27.4 inches),7.50 litres (1.98 US gallons),,Blue,Electric & kick,,9.8 HP (7.2  kW)) @ 7500 RPM,Overhead Cams (OHC),Automatic,,165 mm (6.5 inches),1280 mm (50.4 inches),,,,,0.0891 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Pegaso 650 Factory,2008,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",59.0 Nm (6.0 kgf-m or 43.5 ft.lbs) @ 5000 RPM,,10.0:1,100.0 x 84.0 mm (3.9 x 3.3 inches),Injection. Integrated electronic engine management system. Electronic fuel injection.,Electronic.,Dry sump with oil pump.,Liquid,,"Steel, open cradle, single spar frame.",45 mm fork. Wheel travel 140 mm.,,High strength steel swingarm. Aprilia Progressive System (APS) rising rate linkages.,,110/70-17 ,160/60-17 ,Single disc,240 mm (9.4 inches),Single disc,,"780 mm (30.7 inches) If adjustable, lowest setting.",,2173 mm (85.6 inches),810 mm (31.9 inches),16.00 litres (4.23 US gallons),3.50 litres (0.92 US gallons),,Electric,,48.0 HP (35.0  kW)) @ 6000 RPM,Single Overhead Cams (SOHC),5-speed,,,1479 mm (58.2 inches),,,,,,,,27.9°,129 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Ninja ZX-14,2008,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1352.0 ccm (82.50 cubic inches),"In-line four, four-stroke",208.8 Nm (21.3 kgf-m or 154.0 ft.lbs),,12.0:1,84.0 x 61.0 mm (3.3 x 2.4 inches),Injection,TCBI with Digital Advance,,Air,Chain   (final drive),"Double cradle, high-tensile steel","43mm inverted cartridge fork with adjustable preload, stepless rebound and compression damping adjustments / 4.6 in.",,"Bottom-Link Uni-Trak® and gas-charged shock with adjustable preload, stepless rebound and compression damping adjustments, adjustable ride height / 4.8 in.",,120/70-ZR17 ,190/50-ZR17 ,Double disc,250 mm (9.8 inches),Single disc,220.0 kg (485.0 pounds),"800 mm (31.5 inches) If adjustable, lowest setting.",1171 mm (46.1 inches),2169 mm (85.4 inches),759 mm (29.9 inches),21.95 litres (5.80 US gallons),,"Metallic Midnight Sapphire Blue, Atomic Silver, Special Edition: Metallic Flat Spark Black/Metallic Persimmon Red",,,,Double Overhead Cams/Twin Cam (DOHC),6-speed,,,1461 mm (57.5 inches),,,4,,,,,23.0°,94 mm (3.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli Cafe Racer 1130,2008,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1130.0 ccm (68.95 cubic inches),"In-line three, four-stroke",117.0 Nm (11.9 kgf-m or 86.3 ft.lbs) @ 6750 RPM,,11.9:1,88.0 x 62.0 mm (3.5 x 2.4 inches),Injection,Digital  - inductive type via electronic engine management,Wet sump,Liquid,Chain   (final drive),,Marzocchi  upside down fork.,120 mm (4.7 inches),"Monoshock. Steel tube trellis swingarm, preload adjuster.",115 mm (4.5 inches),120/70-;17 ,180/55-;17 ,Single disc,220 mm (8.7 inches),Single disc,,"780 mm (30.7 inches) If adjustable, lowest setting.",,2100 mm (82.7 inches),790 mm (31.1 inches),17.00 litres (4.49 US gallons),,,Electric,,127.4 HP (93.0  kW)) @ 9250 RPM,Double Overhead Cams/Twin Cam (DOHC),6-speed,,,1443 mm (56.8 inches),Wet  clucth 11 discs,,4,,,,,25.0°,95 mm (3.7 inches),Euro 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tank Sports Urban Racer 150,2008,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",,109.4 km/h (68.0 mph),,,,"CDI, Kick",,Air,Belt   (final drive),,Twin,,Monoshock,,110/90-12 ,130/70-12 ,Single disc,,Expanding brake (drum brake),145.1 kg (320.0 pounds),"762 mm (30.0 inches) If adjustable, lowest setting.",1600 mm (63.0 inches),2159 mm (85.0 inches),660 mm (26.0 inches),3.78 litres (1.00 US gallons),,"Black, blue, green, red, yellow",Electric & kick,,8.8 HP (6.5  kW)),,Automatic,,165 mm (6.5 inches),,,Single,,,0.0609 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfer VR 2000 Enduro,2008,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.8 ccm (15.24 cubic inches),"Single cylinder, two-stroke",,,,67.5 x 69.8 mm (2.7 x 2.7 inches),Carburettor. Mikuni TM 38 Power Yet.,,,Liquid,Chain   (final drive),Hardened CrMo-steel.,Marzzochi Magnum 50/290 mm.,,White Power / 300 mm.,,90/90-21 ,140/80-18 ,Single disc,,Single disc,103.0 kg (227.1 pounds),"920 mm (36.2 inches) If adjustable, lowest setting.",,,815 mm (32.1 inches),9.50 litres (2.51 US gallons),,,Electric,Spanish made bike.,,,6-speed,,350 mm (13.8 inches),1480 mm (58.3 inches),,Type Low-boy Fresco. Silencer aluminium.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Hypermotard 1100 S,2008,Super motard," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1078.0 ccm (65.78 cubic inches),"V2, four-stroke",103.1 Nm (10.5 kgf-m or 76.0 ft.lbs) @ 10500 RPM,,,98.0 x 71.5 mm (3.9 x 2.8 inches),"Injection. Marelli electronic fuel injection, 45mm throttle body ",,,Air,,Tubular steel Trellis,Marzocchi  50mm fully adjustable upside-down fork with DLC ,165 mm (6.5 inches),Progressive linkage with fully adjustable Ohlins monoshock. Aluminium single-sided swingarm ,141 mm (5.6 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc,245 mm (9.6 inches),Single disc,177.0 kg (390.2 pounds),"845 mm (33.3 inches) If adjustable, lowest setting.",,,,12.40 litres (3.28 US gallons),,"Red - Red - Black, Black - Black - Black",,,90.0 HP (65.7  kW)) @ 7750 RPM,Desmodromic valve control,6-speed,,,1455 mm (57.3 inches),Dry multiplate with hydraulic control ,Lightweight 2-1-2 system with catalytic converter and lambda probe ,,,0.5085 HP/kg,,,24.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innoscooter EM2000,2008,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,45.0 km/h (28.0 mph),,,,,,Air,,,,,,,3.00-10 ,3.00-10 ,,,,116.0 kg (255.7 pounds),,1000 mm (39.4 inches),1830 mm (72.0 inches),660 mm (26.0 inches),,,,Electric,Approx. 50 km before charging. Full charge 8 hours.,3.4 HP (2.4  kW)),,,,,,,,,,0.0289 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachs SX1,2008,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,,,,,,,,,,,,,,,Single disc,,Expanding brake (drum brake),87.0 kg (191.8 pounds),"810 mm (31.9 inches) If adjustable, lowest setting.",,,,,,"Red, white, blue",Electric,,,,Automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli Velvet 250,2008,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",,,12.0:1,69.0 x 66.0 mm (2.7 x 2.6 inches),Carburettor,,,Liquid,Belt   (final drive),,,,,,,,Single disc,220 mm (8.7 inches),Single disc,122.0 kg (269.0 pounds),"818 mm (32.2 inches) If adjustable, lowest setting.",1225 mm (48.2 inches),1910 mm (75.2 inches),720 mm (28.3 inches),12.00 litres (3.17 US gallons),,,,,,,,,,1400 mm (55.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UM V2C-250T,2008,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"V2, four-stroke",,,10.4:1,57.0 x 48.8 mm (2.2 x 1.9 inches),"Carburettor. 2 x Mikuni, 22 mm",CDI,,Oil & air,Chain   (final drive),Perimeter frame chassis,Telescopic forks,,Swingarm,,110/70-17 ,150/70-17 ,Double disc,,Expanding brake (drum brake),,"698 mm (27.5 inches) If adjustable, lowest setting.",,2271 mm (89.4 inches),800 mm (31.5 inches),14.00 litres (3.70 US gallons),,"Black, silver, orange, burgundy",Electric,,,,5-speed,167.8 kg (370.0 pounds),,1499 mm (59.0 inches),"Multi plate, wet manual clutch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridley AutoGlide Chopper,2008,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,721.1 ccm (44.00 cubic inches),"V2, four-stroke",,,8.5:1,,,,Pressurized,Air,Belt   (final drive),,,,,,,,Single disc,,Single disc,208.7 kg (460.0 pounds),"622 mm (24.5 inches) If adjustable, lowest setting.",1143 mm (45.0 inches),2591 mm (102.0 inches),914 mm (36.0 inches),,,,Electric,Parking Brake. ,,,Automatic,,133 mm (5.3 inches),1969 mm (77.5 inches),,"2 Stage: Muffled, Baffled",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghezzi-Brian Furia Titanum,2008,Naked bike," 2.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",,211.0 km/h (131.1 mph),,,Injection,,,,,Steel single beam with Engine as stressed part ; T.I.G. welded ; rear progressive working        swingarm.,Paioli upside-down Hydraulic telescopic fork 41 mm with three settings ;,,Hydraulic Öhlins monoschock absorber with separate tank and three settings,,120/60-17 ,180/55-17 ,Double disc,220 mm (8.7 inches),Single disc,185.0 kg (407.9 pounds),,,,,,,,Electric,,87.0 HP (63.5  kW)) @ 8250 RPM,,5-speed,,,,,,,,0.4703 HP/kg,,,23.0°,90 mm (3.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keeway XRAYe 50,2008,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.6 ccm (3.03 cubic inches),"Single cylinder, two-stroke",5.7 Nm (0.6 kgf-m or 4.2 ft.lbs) @ 7000 RPM,45.0 km/h (28.0 mph),7.0:1,40.3 x 39.0 mm (1.6 x 1.5 inches),,,,Liquid,Chain   (final drive),,,,,,3.00-21 ,4.10-18 ,Single disc,,Single disc,86.0 kg (189.6 pounds),,,2035 mm (80.1 inches),,10.00 litres (2.64 US gallons),,"Red/black, Orange/black",Electric & kick,,6.3 HP (4.6  kW)) @ 8500 RPM,,,,320 mm (12.6 inches),1380 mm (54.3 inches),"Wet shoe, multiplate",Euro 2,,,0.0733 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sym Mio 50,2008,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,,,,,,,Air,Belt   (final drive),,,,,,,,Expanding brake (drum brake),95 mm (3.7 inches),Expanding brake (drum brake),80.0 kg (176.4 pounds),,,1710 mm (67.3 inches),650 mm (25.6 inches),4.80 litres (1.27 US gallons),,,Electric & kick,,,,,,,1280 mm (50.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta F4-R312 1+1,2008,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",115.0 Nm (11.7 kgf-m or 84.8 ft.lbs) @ 10000 RPM,300.0 km/h (186.4 mph),,76.0 x 55.0 mm (3.0 x 2.2 inches),Injection. MPFI,,,Liquid,,,Upside-down telescopic hydraulic fork with rebound-compression damping and spring preload adjustment,,"Progressive, single shock absorber with rebound compression damping and spring preload",,120/70-ZR17 ,190/55-ZR17 ,Double disc,210 mm (8.3 inches),Single disc,193.0 kg (425.5 pounds),"810 mm (31.9 inches) If adjustable, lowest setting.",,2007 mm (79.0 inches),,21.00 litres (5.55 US gallons),4.00 litres (1.06 US gallons),"Red/grey, black/white",,,183.0 HP (133.6  kW)) @ 12400 RPM,Double Overhead Cams/Twin Cam (DOHC),6-speed,,130 mm (5.1 inches),1408 mm (55.4 inches),,,4,,0.9482 HP/kg,,,,104 mm (4.1 inches),,13000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
