Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,1/4 mile (0.4 km),Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Color options,Starter,"Weight incl. oil, gas, etc",Fuel capacity,Valves per cylinder,Lubrication system,Clutch,Exhaust system,Frame type,Comments,Modifications compared to previous model,Max RPM,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Diameter,Seat height,Overall length,Overall width,Wheelbase,Oil capacity,Reserve fuel capacity,Ground clearance
Triumph T140 ES Bonneville Royal Limited Edition (Eureopean),1981,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",750.0 ccm (45.77 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)),,180.0 km/h (111.8 mph),13.70 seconds,7.9:1,76.0 x 82.0 mm (3.0 x 3.2 inches),Carburettor. Twin Bing 32mm CV Type 94,Overhead Valves (OHV),Lucas Electronic,Air,5-speed,Chain   (final drive),Telescopic slider type,170 mm (6.7 inches),Twin Mazzochi Air-Assisted Shocks,89 mm (3.5 inches),3.50-19 ,4.00-18 ,"Double disc. 2 x twin piston alloy calipers, 2 x cast iron disks","Single disc. Twin piston caliper, cast iron disk",181.4 kg (400.0 pounds),0.2480 HP/kg,Chrome Tank with black styling stripes. Black engine and mag wheels. Silver Frame.,Electric & kick,199.6 kg (440.0 pounds),15.14 litres (4.00 US gallons),2,Dry Sump,Wet multi-plate,"Twin downswept with balance pipe, Dual silencers.",Twin Downtube Cradle. Oil in frame.,"250 produced with certificates
of authenticity in celebration of the
marriage of Prince Charles and
Lady Dianna Spencer","Differed from the US variant of the Royal Wedding Limited Edition considerably. US variant had black frame and everything else was highly chromed or polished. Euro variant had silver frame, chrome tank and the emphasis of everything else was black.",7200,4.70 litres/100 km (21.3 km/l or 50.05 mpg),109.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,27.0°,113 mm (4.4 inches),254 mm (10.0 inches),"787 mm (31.0 inches) If adjustable, lowest setting.",2223 mm (87.5 inches),686 mm (27.0 inches),1422 mm (56.0 inches),2.40 litres (2.54 US quarts),,
Suzuki GS 850 G,1981,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",843.0 ccm (51.44 cubic inches),"In-line four, four-stroke",78.0 HP (56.9  kW)) @ 9000 RPM,,198.0 km/h (123.0 mph),,8.8:1,69.0 x 56.4 mm (2.7 x 2.2 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,3.50-19 ,4.50-17 ,Dual disc,Single disc,,,,,273.0 kg (601.9 pounds),22.50 litres (5.94 US gallons),2,,,,,,,,,,,,,,,,,,,
BMW R 100 RS,1981,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,,193.0 km/h (119.9 mph),,9.5:1,94.0 x 70.6 mm (3.7 x 2.8 inches),,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,3.25-19 ,4.00-18 ,Dual disc,Single disc,,,,,247.0 kg (544.5 pounds),24.00 litres (6.34 US gallons),2,,,,,,,,,,,,,,,,,,,
Triumph T 140 E Bonneville Special,1981,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 6500 RPM,,160.0 km/h (99.4 mph),,9.0:1,76.0 x 82.0 mm (3.0 x 3.2 inches),,Overhead Valves (OHV),,Air,5-speed,Chain   (final drive),,,,,4.10-19 ,4.10-18 ,Single disc,Single disc,,,,,200.0 kg (440.9 pounds),18.50 litres (4.89 US gallons),2,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXB 1340 Sturgis,1981,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5800 RPM,,170.0 km/h (105.6 mph),,7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),,Overhead Valves (OHV),,Air,4-speed,Belt   (final drive),,,,,MJ 90-19 ,MT 90-16 ,Dual disc,Single disc,,,,,278.0 kg (612.9 pounds),15.50 litres (4.10 US gallons),2,,,,,,,,,,,,,,,,,,,
MV Agusta 1000 Ago,1981,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,954.0 ccm (58.21 cubic inches),"In-line four, four-stroke",99.0 HP (72.3  kW)) @ 9500 RPM,,221.0 km/h (137.3 mph),,10.5:1,70.0 x 62.0 mm (2.8 x 2.4 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,,,3.50-18 ,4.00-18 ,Dual disc,Single disc,,,,,228.0 kg (502.7 pounds),26.00 litres (6.87 US gallons),2,,,,,,,,,,,,,,,,,,,
Honda CB 250 RS,1981,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",26.0 HP (19.0  kW)) @ 8500 RPM,,146.0 km/h (90.7 mph),,9.3:1,74.0 x 57.8 mm (2.9 x 2.3 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.00-18 ,4.10-18 ,Single disc,Expanding brake,,,,,148.0 kg (326.3 pounds),13.00 litres (3.43 US gallons),4,,,,,,,,,,,,,,,,,,,
Moto Guzzi 850 Le Mans II,1981,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",74.0 HP (54.0  kW)) @ 7700 RPM,,201.0 km/h (124.9 mph),,10.2:1,83.0 x 78.0 mm (3.3 x 3.1 inches),,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,100/90-18 ,110/90-18 ,Dual disc,Single disc,,,,,243.0 kg (535.7 pounds),22.50 litres (5.94 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki GS 550 T,1981,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",549.0 ccm (33.50 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 9400 RPM,,177.0 km/h (110.0 mph),,8.6:1,56.0 x 55.8 mm (2.2 x 2.2 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,,,3.25-19 ,4.25-17 ,Dual disc,Single disc,,,,,218.0 kg (480.6 pounds),16.50 litres (4.36 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki DR 400 S,1981,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",396.0 ccm (24.16 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7500 RPM,,128.0 km/h (79.5 mph),,9.3:1,88.0 x 65.2 mm (3.5 x 2.6 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.00-21 ,4.60-18 ,Expanding brake,Expanding brake,,,,,141.0 kg (310.9 pounds),9.00 litres (2.38 US gallons),2,,,,,,,,,,,,,,,,,,,
Yamaha RS 200,1981,Touring," 2.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",198.0 ccm (12.08 cubic inches),"Twin, two-stroke",22.0 HP (16.1  kW)),,136.8 km/h (85.0 mph),,,,Carburettor,,,,5-speed,Chain   (final drive),Spring,,Spring shocks,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,Wet sump,wet plate,Twin exhausts,,,,,,,,,,,,,,,,
Yamaha XJ 750 Seca,1981,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",82.0 HP (59.9  kW)) @ 9000 RPM,,204.0 km/h (126.8 mph),,9.2:1,65.0 x 56.4 mm (2.6 x 2.2 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,3.25-19 ,120/90-18 ,Dual disc,Expanding brake,,,,,241.0 kg (531.3 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,
Honda CB 125 T 2,1981,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 11500 RPM,,128.0 km/h (79.5 mph),,9.4:1,44.0 x 41.0 mm (1.7 x 1.6 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,2.75-18 ,3.00-18 ,Single disc,Expanding brake,,,,,126.0 kg (277.8 pounds),10.00 litres (2.64 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki GS 450 T,1981,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",448.0 ccm (27.34 cubic inches),"Twin, four-stroke",42.0 HP (30.7  kW)) @ 9000 RPM,,168.0 km/h (104.4 mph),,9.0:1,71.0 x 56.6 mm (2.8 x 2.2 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,,,90/80-19 ,110/90-17 ,Single disc,Expanding brake,,,,,193.0 kg (425.5 pounds),15.00 litres (3.96 US gallons),2,,,,,,,,,,,,,,,,,,,
Yamaha XJ 650,1981,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",653.0 ccm (39.85 cubic inches),"In-line four, four-stroke",71.0 HP (51.8  kW)) @ 9400 RPM,,197.0 km/h (122.4 mph),,9.2:1,63.0 x 52.4 mm (2.5 x 2.1 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,3.25-19 ,120/90-18 ,Dual disc,Expanding brake,,,,,231.0 kg (509.3 pounds),20.50 litres (5.42 US gallons),2,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 1000 SP,1981,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 6500 RPM,,181.0 km/h (112.5 mph),,9.2:1,88.0 x 78.0 mm (3.5 x 3.1 inches),,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,100/90-18 ,110/90-18 ,Dual disc,Single disc,,,,,252.0 kg (555.6 pounds),24.00 litres (6.34 US gallons),2,,,,,,,,,,,,,,,,,,,
Honda CB 650,1981,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",627.0 ccm (38.26 cubic inches),"In-line four, four-stroke",63.0 HP (46.0  kW)) @ 9000 RPM,,183.0 km/h (113.7 mph),,9.0:1,59.8 x 55.8 mm (2.4 x 2.2 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.25-19 ,3.75-18 ,Dual disc,Expanding brake,,,,,216.0 kg (476.2 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,
Kawasaki Z 550,1981,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,,173.0 km/h (107.5 mph),,9.5:1,58.0 x 52.4 mm (2.3 x 2.1 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,,,3.25-19 ,3.75-18 ,Dual disc,Single disc,,,,,216.0 kg (476.2 pounds),14.00 litres (3.70 US gallons),2,,,,,,,,,,,,,,,,,,,
MuZ ETZ 250 (with sidecar),1981,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",22.0 HP (16.1  kW)) @ 5800 RPM,,100.0 km/h (62.1 mph),,10.0:1,69.0 x 65.0 mm (2.7 x 2.6 inches),,Port control,,Air,5-speed,Chain   (final drive),,,,,2.75-18 ,3.50-18 ,Single disc,Expanding brake,,,,,240.0 kg (529.1 pounds),17.50 litres (4.62 US gallons),,,,,,,,,,,,,,,,,,,,
BMW R 100 RT,1981,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,,179.0 km/h (111.2 mph),,9.5:1,94.0 x 70.6 mm (3.7 x 2.8 inches),,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,3.25-19 ,4.00-18 ,Dual disc,Single disc,,,,,260.0 kg (573.2 pounds),24.00 litres (6.34 US gallons),2,,,,,,,,,,,,,,,,,,,
Mototrans 350 Vento,1981,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",340.0 ccm (20.75 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7500 RPM,,150.0 km/h (93.2 mph),,10.0:1,76.0 x 75.0 mm (3.0 x 3.0 inches),,Desmodromic valve control,,Air,5-speed,Chain   (final drive),,,,,3.25-18 ,3.50-18 ,Dual disc,Single disc,,,,,164.0 kg (361.6 pounds),15.00 litres (3.96 US gallons),2,,,,,,,,,,,,,,,,,,,
Yamaha DT 50 MX,1981,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",3.1 HP (2.3  kW)),,,,,,Carburettor,Membrane,key,Air,4-speed,Chain   (final drive),,,monoshock,,,,Single disc,Expanding brake (drum brake),,,,,,8.00 litres (2.11 US gallons),,oil pump,wet plate,,tube welding,,,,,,,,,,,,,0.70 litres (0.74 US quarts),,
Suzuki GSX 750 L,1981,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",80.0 HP (58.4  kW)) @ 9200 RPM,,184.0 km/h (114.3 mph),,9.4:1,67.0 x 53.0 mm (2.6 x 2.1 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,,,90/90-19 ,130/90-16 ,Dual disc,Single disc,,,,,244.0 kg (537.9 pounds),15.00 litres (3.96 US gallons),4,,,,,,,,,,,,,,,,,,,
Suzuki GS 750 E,1981,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",63.0 HP (46.0  kW)) @ 8800 RPM,,198.0 km/h (123.0 mph),,8.7:1,65.0 x 56.4 mm (2.6 x 2.2 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,,,3.25-19 ,4.00-18 ,Dual disc,Single disc,,,,,253.0 kg (557.8 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,
BMW R 45 (reduced effect),1981,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",473.0 ccm (28.86 cubic inches),"Two cylinder boxer, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,,141.0 km/h (87.6 mph),,8.2:1,70.0 x 61.5 mm (2.8 x 2.4 inches),,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,3.25-18 ,4.00-18 ,Single disc,Expanding brake,,,,,206.0 kg (454.2 pounds),22.00 litres (5.81 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki GS 450 S,1981,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",448.0 ccm (27.34 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7600 RPM,,160.0 km/h (99.4 mph),,9.0:1,71.0 x 56.6 mm (2.8 x 2.2 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,,,3.00-18 ,3.75-18 ,Single disc,Expanding brake,,,,,191.0 kg (421.1 pounds),15.00 litres (3.96 US gallons),2,,,,,,,,,,,,,,,,,,,
Benelli 900 Sei,1981,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",905.0 ccm (55.22 cubic inches),"In-line six, four-stroke",80.0 HP (58.4  kW)) @ 8300 RPM,,193.0 km/h (119.9 mph),,9.5:1,60.0 x 53.4 mm (2.4 x 2.1 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,100/90-18 ,120/90-18 ,Dual disc,Single disc,,,,,249.0 kg (549.0 pounds),17.00 litres (4.49 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki GSX 750 S Katana,1981,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",82.0 HP (59.9  kW)) @ 9500 RPM,,210.0 km/h (130.5 mph),,9.8:1,67.0 x 53.0 mm (2.6 x 2.1 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,,,3.25-19 ,4.00-18 ,Dual disc,Single disc,,,,,249.0 kg (549.0 pounds),21.00 litres (5.55 US gallons),4,,,,,,,,,,,,,,,,,,,
Cagiva SST 250,1981,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 5500 RPM,,110.0 km/h (68.4 mph),,10.6:1,72.0 x 59.6 mm (2.8 x 2.3 inches),,Port control,,Air,5-speed,Chain   (final drive),,,,,3.25-19 ,4.00-18 ,Single disc,Expanding brake,,,,,143.0 kg (315.3 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,
Fantic TX 150 Caballero,1981,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 8500 RPM,,105.0 km/h (65.2 mph),,12.4:1,55.2 x 52.0 mm (2.2 x 2.0 inches),,Port control,,Air,6-speed,Chain   (final drive),,,,,3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,,,,,115.0 kg (253.5 pounds),8.00 litres (2.11 US gallons),,,,,,,,,,,,,,,,,,,,
Honda CX 500 Turbo,1981,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",497.0 ccm (30.33 cubic inches),"V2, four-stroke",82.0 HP (59.9  kW)) @ 8000 RPM,,200.0 km/h (124.3 mph),,7.2:1,78.0 x 52.0 mm (3.1 x 2.0 inches),Turbo,Overhead Valves (OHV),,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,3.50-19 ,120/90-17 ,Dual disc,Single disc,,,,,263.0 kg (579.8 pounds),20.00 litres (5.28 US gallons),4,,,,,,,,,,,,,,,,,,,
Kawasaki KE 125,1981,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6300 RPM,,94.0 km/h (58.4 mph),,6.5:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,Rotary valves,,Air,6-speed,Chain   (final drive),,,,,2.75-21 ,3.50-18 ,Expanding brake,Expanding brake,,,,,110.0 kg (242.5 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,
Honda CB 400 N,1981,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",395.0 ccm (24.10 cubic inches),"Twin, four-stroke",43.0 HP (31.4  kW)) @ 8500 RPM,,161.0 km/h (100.0 mph),,9.3:1,70.5 x 50.6 mm (2.8 x 2.0 inches),,Overhead Cams (OHC),,Air,6-speed,Chain   (final drive),,,,,3.60-19 ,4.10-18 ,Dual disc,Expanding brake,,,,,185.0 kg (407.9 pounds),14.00 litres (3.70 US gallons),3,,,,,,,,,,,,,,,,,,,
Honda GL 1100 Gold Wing Interstate,1981,Classic," 4.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1084.0 ccm (66.15 cubic inches),"Four cylinder boxer, four-stroke",83.0 HP (60.6  kW)) @ 7500 RPM,,195.0 km/h (121.2 mph),,9.2:1,75.0 x 61.4 mm (3.0 x 2.4 inches),,Overhead Cams (OHC),,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,110/90-19 ,130/90-17 ,Dual disc,Single disc,,,,,330.0 kg (727.5 pounds),19.00 litres (5.02 US gallons),2,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXWG 1340 Wide Glide,1981,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5800 RPM,,164.0 km/h (101.9 mph),,7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,,,,MH 90-21 ,MT 90-16 ,Dual disc,Single disc,,,,,292.0 kg (643.7 pounds),19.00 litres (5.02 US gallons),2,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXE 1340 Super Glide II,1981,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1337.0 ccm (81.58 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5800 RPM,,160.0 km/h (99.4 mph),,7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),,Overhead Valves (OHV),,Air,5-speed,Chain   (final drive),,,,,MJ 90-19 ,MT 90-16 ,Dual disc,Single disc,,,,,282.0 kg (621.7 pounds),15.00 litres (3.96 US gallons),2,,,,,,,,,,,,,,,,,,,
Honda CB 900 F 2 Bol d`Or,1981,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",901.0 ccm (54.98 cubic inches),"In-line four, four-stroke",95.0 HP (69.3  kW)) @ 9000 RPM,,195.0 km/h (121.2 mph),,8.8:1,64.5 x 69.0 mm (2.5 x 2.7 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,,,3.25-19 ,4.00-18 ,Dual disc,Single disc,,,,,277.0 kg (610.7 pounds),20.00 litres (5.28 US gallons),4,,,,,,,,,,,,,,,,,,,
Cagiva SX 125,1981,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 6500 RPM,,100.0 km/h (62.1 mph),,12.1:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,Membrane,,Air,6-speed,Chain   (final drive),,,,,2.75-21 ,3.50-18 ,Expanding brake,Expanding brake,,,,,120.0 kg (264.6 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,
Honda CBX,1981,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1046.0 ccm (63.83 cubic inches),"In-line six, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,,222.0 km/h (137.9 mph),,9.3:1,64.5 x 53.4 mm (2.5 x 2.1 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,,,3.50-19 ,4.25-18 ,Dual disc,Single disc,,,,,274.0 kg (604.1 pounds),24.00 litres (6.34 US gallons),4,,,,,,,,,,,,,,,,,,,
Honda PX50,1981,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.4 ccm (3.01 cubic inches),"Single cylinder, two-stroke",2.6 HP (1.9  kW)) @ 5000 RPM,4.8 Nm (0.5 kgf-m or 3.5 ft.lbs) @ 3500 RPM,,,,,Carburettor,,,Air,Automatic,Belt   (final drive),Forks,,Unit swing,,,,Expanding brake (drum brake),Expanding brake (drum brake),60.0 kg (132.3 pounds),0.0425 HP/kg,Black,Kick,,3.50 litres (0.92 US gallons),,,,,Backbone,,,,,,,,,,,,,,0.50 litres (0.13 US gallons),
Malanca 125 E 2 CS WK,1981,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",26.0 HP (19.0  kW)) @ 10800 RPM,,136.0 km/h (84.5 mph),,11.0:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,Port control,,Liquid,6-speed,Chain   (final drive),,,,,80/90-18 ,80/90-18 ,Dual disc,Single disc,,,,,110.0 kg (242.5 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,
Moto Guzzi 850 T 4,1981,Touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",59.0 HP (43.1  kW)) @ 6800 RPM,,178.0 km/h (110.6 mph),,9.2:1,83.0 x 78.0 mm (3.3 x 3.1 inches),,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,100/90-18 ,110/90-18 ,Dual disc,Single disc,,,,,255.0 kg (562.2 pounds),24.00 litres (6.34 US gallons),2,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXE 1340 Super Glide,1981,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5800 RPM,,165.0 km/h (102.5 mph),,7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,,,,MJ 90-19 ,MT 90-16 ,Dual disc,Single disc,,,,,282.0 kg (621.7 pounds),13.50 litres (3.57 US gallons),2,,,,,,,,,,,,,,,,,,,
Honda CB 125 T 2 (reduced effect),1981,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Twin, four-stroke",10.0 HP (7.3  kW)) @ 10500 RPM,,100.0 km/h (62.1 mph),,9.4:1,44.0 x 41.0 mm (1.7 x 1.6 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,2.75-18 ,3.00-18 ,Single disc,Expanding brake,,,,,126.0 kg (277.8 pounds),10.00 litres (2.64 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki RV 90,1981,Allround," 2.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",88.0 ccm (5.37 cubic inches),"Single cylinder, two-stroke",6.3 HP (4.6  kW)) @ 6000 RPM,,85.0 km/h (52.8 mph),,6.2:1,50.0 x 45.0 mm (2.0 x 1.8 inches),,Membrane,,Air,4-speed,Chain   (final drive),,,,,6.70-10 ,6.70-10 ,Expanding brake,Expanding brake,,,,,86.0 kg (189.6 pounds),3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,
