Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Front percentage of weight,Rear percentage of weight,Seat height,Wheelbase,Fuel capacity,Color options,Starter,Comments,Valves per cylinder,Overall height,Overall length,Overall width,Lubrication system,Front wheel travel,Rear wheel travel,Ground clearance,Oil capacity,0-100 km/h (0-62 mph),"Weight incl. oil, gas, etc",Reserve fuel capacity,Max RPM,Alternate seat height,Modifications compared to previous model,Electrical,Driveline,Engine oil,Oil filter,Brake fluid,Coolant,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Fork tube size,Battery,Belt teeth,Belt width,Pulley teeth,Tire pressure front,Tire pressure rear,Wheels,Seat,Factory warranty,Instruments,Engine details
Dafier DFE 50 QT-9,2009,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, four-stroke",3.2 HP (2.3  kW)) @ 8000 RPM,,45.0 km/h (28.0 mph),10.0:1,39.0 x 41.5 mm (1.5 x 1.6 inches),Carburettor,,CDI,Air,,,,2.00 litres/100 km (50.0 km/l or 117.61 mpg),46.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,3.00-10 ,3.00-10 ,Single disc,,Expanding brake (drum brake),78.0 kg (172.0 pounds),0.0412 HP/kg,,,,1210 mm (47.6 inches),4.50 litres (1.19 US gallons),Orange,Electric & kick,,,,,563 mm (22.2 inches),,,,140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Boulevard M109R2,2009,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1783.0 ccm (108.80 cubic inches),"V2, four-stroke",,,,,112.0 x 90.5 mm (4.4 x 3.6 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,High-tensile double cradle steel,,,"Inverted telescopic, coil spring, oil damped","Link type, coil spring, oil damped",130/70-R18 ,240/40-R18 ,Double disc,,Single disc,,,,,"705 mm (27.8 inches) If adjustable, lowest setting.",1710 mm (67.3 inches),,"Black, Red",Electric,,,1185 mm (46.7 inches),2450 mm (96.5 inches),875 mm (34.4 inches),Semi-Dry sump,,,130 mm (5.1 inches),,,347.0 kg (765.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic Cat 700 H1 EFI  LE,2009,ATV," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",695.0 ccm (42.41 cubic inches),"Single cylinder, four-stroke",,,,,102.0 x 85.0 mm (4.0 x 3.3 inches),Injection. EFI,Single Overhead Cams (SOHC),,Liquid,Automatic,Belt   (final drive),,,,,,,,Double A-arm,Double A-arm,25/8-12 ,25/10-12 ,Single disc,,Single disc,320.2 kg (706.0 pounds),,,,,1270 mm (50.0 inches),24.60 litres (6.50 US gallons),,Electric,"2/4WD. Automatic CVT with EBS, Hi/Lo range and reverse",,,,1207 mm (47.5 inches),,254 mm (10.0 inches),254 mm (10.0 inches),279 mm (11.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta F4 1000 S 1 plus 1,2009,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",166.0 HP (121.2  kW)) @ 11750 RPM,109.0 Nm (11.1 kgf-m or 80.4 ft.lbs) @ 10200 RPM,300.0 km/h (186.4 mph),,76.0 x 55.0 mm (3.0 x 2.2 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),,Liquid,6-speed,Chain   (final drive),Multiplate in oil bath,,,,CrMo Steel tubular trellis and aluminium alloy,,,Upside-down telescopic hydraulic fork with rebound-compression damping and spring preload adjustment,"Progressive, single shock absorber with rebound compression damping and spring preload",120/70-ZR17 ,190/50-ZR17 ,Double disc. 6-piston calipers,210 mm (8.3 inches),Single disc. 4-piston calipers,193.0 kg (425.5 pounds),0.8601 HP/kg,,,"810 mm (31.9 inches) If adjustable, lowest setting.",1408 mm (55.4 inches),21.00 litres (5.55 US gallons),,Electric,,4,,2007 mm (79.0 inches),685 mm (27.0 inches),,126 mm (5.0 inches),120 mm (4.7 inches),130 mm (5.1 inches),,,,4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,
Clipic Frog 125,2009,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,,,,Carburettor. 18 mm,Single Overhead Cams (SOHC),Electronic magnetic steering wheel,Air,4-speed,Chain   (final drive),Semiautomatic,,,,,,,Hydraulic,Double shock,2.50-21 ,2.75-17 ,Single disc,225 mm (8.9 inches),Expanding brake (drum brake),94.0 kg (207.2 pounds),,,,"750 mm (29.5 inches) If adjustable, lowest setting.",,4.00 litres (1.06 US gallons),"Silver, red, yellow, green",Electric & kick,Made in Spain.,,,1650 mm (65.0 inches),570 mm (22.4 inches),Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantic Caballero Motard 200,2009,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,200.0 ccm (12.20 cubic inches),"Single cylinder, four-stroke",,,,,,Carburettor. Keihin CVK30,,,Liquid,6-speed,,,,,,,,,Paioli,Sachs,,,Single disc. Wave,220 mm (8.7 inches),"Single disc. Wave, flaoting rotor",96.0 kg (211.6 pounds),,,,"880 mm (34.6 inches) If adjustable, lowest setting.",1395 mm (54.9 inches),7.50 litres (1.98 US gallons),White/blue/black,Electric,,4,,2060 mm (81.1 inches),780 mm (30.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaguti Madison 3 250 i.e.,2009,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",244.0 ccm (14.89 cubic inches),"Single cylinder, four-stroke",22.1 HP (16.1  kW)) @ 8500 RPM,21.5 Nm (2.2 kgf-m or 15.9 ft.lbs) @ 6750 RPM,,,72.0 x 60.0 mm (2.8 x 2.4 inches),Injection. Euro III,Single Overhead Cams (SOHC),,Liquid,Automatic,Belt   (final drive),Automatic centrifugal dry,,,,High resistance braced tubular steel,,,,,120/70-14 ,140/60-14 ,Single disc,240 mm (9.4 inches),Single disc,158.0 kg (348.3 pounds),0.1398 HP/kg,,,"795 mm (31.3 inches) If adjustable, lowest setting.",1410 mm (55.5 inches),8.50 litres (2.25 US gallons),"Arctic silver, velvet blue
orange, velvet black",Electric,,4,1460 mm (57.5 inches),1980 mm (78.0 inches),790 mm (31.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR600RR,2009,Sport," 4.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",,,,12.2:1,67.0 x 42.5 mm (2.6 x 1.7 inches),"Injection. Dual Stage Fuel Injection (DSFI) with 40mm throttle bodies, Denso 12-hole injectors",Double Overhead Cams/Twin Cam (DOHC),Computer-controlled digital transistorized with three-dimensional mapping,Liquid,6-speed,Chain   (final drive),,,,,,23.5°,98 mm (3.8 inches),"41mm inverted HMAS cartridge fork with spring-preload, rebound and compression damping adjustability","Unit Pro-Link HMAS single shock with spring preload, rebound and compression damping adjustability",120/70-ZR17 ,180/55-ZR17 ,Double disc,220 mm (8.7 inches),Single disc,,,,,"820 mm (32.3 inches) If adjustable, lowest setting.",1369 mm (53.9 inches),18.16 litres (4.80 US gallons),"Red/Black, Black/Bright Green Metallic, Metallic Black, Phoenix,  (Pearl White/Pearl Blue/Red - limited edition)",Electric,Model ID: CBR600RR,4,,,,,119 mm (4.7 inches),130 mm (5.1 inches),,,,186.0 kg (410.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Eliminator 125,2009,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,,9.6:1,55.0 x 52.4 mm (2.2 x 2.1 inches),Carburettor. Mikuni BS28,Single Overhead Cams (SOHC),Electric CDI,Air,5-speed,Chain   (final drive),,,,,"Double cradle, high-tensile steel",34.0°,119 mm (4.7 inches),33mm hydraulic telescopic fork / 5.5 in.,Twin shocks with five-way adjustable preload / 3.1 in.,90/90-17 ,130/90-15 ,Single disc,,Expanding brake (drum brake),145.0 kg (319.6 pounds),,,,"681 mm (26.8 inches) If adjustable, lowest setting.",1471 mm (57.9 inches),12.86 litres (3.40 US gallons),Metallic Phantom Silver,Electric,,,,2149 mm (84.6 inches),780 mm (30.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Ninja ZX-6R,2009,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",,,,13.3:1,67.0 x 42.5 mm (2.6 x 1.7 inches),"Injection. DFI® with four 38mm Keihin throttle bodies, oval sub-throttles, two injectors per throttle body",Double Overhead Cams/Twin Cam (DOHC),TCBI with digital advance,Liquid,6-speed,Chain   (final drive),,,,,Aluminum perimeter,24.0°,102 mm (4.0 inches),"41 mm inverted Showa Big Piston Front fork with top-out springs, stepless compression and rebound damping,  fully-adjustable spring preload / 4.7 in.","Bottom-Link Uni-Trak® with gas-charged shock, top-out spring and pillow ball upper mount, dual-range (high/low-speed) stepless compression damping, 25-way adjustable rebound damping, fully-adjustable spring preload / 5.2 in.",120/70-ZR17 ,180/55-ZR17 ,Double disc,220 mm (8.7 inches),Single disc,191.1 kg (421.2 pounds),,,,"820 mm (32.3 inches) If adjustable, lowest setting.",1400 mm (55.1 inches),17.03 litres (4.50 US gallons),"Lime Green, Metallic Diablo Black/Flat Super Black, Candy Surf Blue/Flat Super Black",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can-Am Outlander 400,2009,ATV," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",400.0 ccm (24.41 cubic inches),"Single cylinder, four-stroke",,,,,91.0 x 61.5 mm (3.6 x 2.4 inches),"Injection. 46mm Throttle Body, Siemens‡ VDO injector.",Single Overhead Cams (SOHC),,Liquid,,,,,,,,,,MacPhersonâ€¡,TTI,25/8-12 ,25/10-12 ,Double disc,,Single disc,280.3 kg (618.0 pounds),,,,"889 mm (35.0 inches) If adjustable, lowest setting.",,20.06 litres (5.30 US gallons),Red,Electric,"CVT, sub-transmission w/high, low, park, neutral  and  reverse, standard engine braking. Selectable 2w/4w shaft driven w/Visco-lok front differential.

",4,,2184 mm (86.0 inches),,,,,236 mm (9.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marine Turbine Technologies Streetfighter,2009,Sport," 2.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",,Gas turbine,320.0 HP (233.6  kW)) @ 6000 RPM,678.0 Nm (69.1 kgf-m or 500.1 ft.lbs) @ 6000 RPM,402.3 km/h (250.0 mph),,,,,,,Automatic,Chain   (final drive),,,,,Tubular aluminum alloy,27.0°,,"Inverted fork, 55 mm",Mono-shock adjustable,120/60-ZR17 ,240/50-ZR17 ,Double disc. Bremo,320 mm (12.6 inches),Single disc. Bremo,,,,,"800 mm (31.5 inches) If adjustable, lowest setting.",1727 mm (68.0 inches),34.00 litres (8.98 US gallons),,Electric,Powered by a Rolls Royce Allison gas turbine. Optional 420 Hp gas turbine will be made available by MTT.,,,,,Dry-sump,,,,3.30 litres (3.49 US quarts),,,6.00 litres (1.59 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Ozark 250,2009,ATV," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,,9.2:1,66.0 x 72.0 mm (2.6 x 2.8 inches),Carburettor. Mikuni BS29,Overhead Cams (OHC),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,Steel,,,"Independent, double wishbone, coil spring, oil damped","Swingarm type, coil spring, oil damped",22/7-AT11 ,22/10-AT9 ,Double disc,,Expanding brake (drum brake),,,,,"785 mm (30.9 inches) If adjustable, lowest setting.",1140 mm (44.9 inches),10.60 litres (2.80 US gallons),"Green, Red, Black",Electric,2WD,,1070 mm (42.1 inches),1800 mm (70.9 inches),1045 mm (41.1 inches),Wet sump,,,210 mm (8.3 inches),,,194.0 kg (427.7 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 50 SX Junior,2009,"Minibike, cross"," 3.1  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,12.5:1,39.5 x 40.0 mm (1.6 x 1.6 inches),Carburettor. Dell´Orto PHVA 14 DS,,Seletra analogue,Liquid,Automatic,,Centrifugal clutch (adjustable),,,Aluminium,Central double-cradle-type frame. Steel subframe.,24.0°,140 mm (5.5 inches),Marzocchi,WP monoshock,2.5-10 ,2.75-10 ,Single disc,140 mm (5.5 inches),Single disc,37.6 kg (82.9 pounds),,,,"607 mm (23.9 inches) If adjustable, lowest setting.",910 mm (35.8 inches),2.30 litres (0.61 US gallons),Orange/black,Kick,Intended for children.,,,,,Mixture lubrication,205 mm (8.1 inches),125 mm (4.9 inches),220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Sprint ST,2009,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1050.0 ccm (64.07 cubic inches),"In-line three, four-stroke",124.7 HP (91.0  kW)) @ 9250 RPM,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 7500 RPM,,,79.0 x 71.4 mm (3.1 x 2.8 inches),Injection. Multipoint sequential electronic fuel injection,Double Overhead Cams/Twin Cam (DOHC),,Liquid,6-speed,Chain   (final drive),Wet. multi-plate,,,,Aluminium beam perimeter,24.0°,,Showa 43mm cartridge forks with dual rate springs and adjustable preload 127mm travel,Showa Monoshock with adjustable preload and rebound damping. 119mm travel,120/70-ZR17 ,180/55-ZR17 ,Double disc,255 mm (10.0 inches),Single disc,210.0 kg (463.0 pounds),0.5939 HP/kg,,,"805 mm (31.7 inches) If adjustable, lowest setting.",1457 mm (57.4 inches),20.00 litres (5.28 US gallons),Graphite. Pacific Blue. Phantom Black,,,4,1215 mm (47.8 inches),2114 mm (83.2 inches),750 mm (29.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLR650,2009,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",651.0 ccm (39.72 cubic inches),"Single cylinder, four-stroke",,,,9.8:1,100.0 x 83.0 mm (3.9 x 3.3 inches),Carburettor. Keihin CVK40,Double Overhead Cams/Twin Cam (DOHC),Fully transistorized,Liquid,5-speed,Chain   (final drive),,,,,"Semi-double cradle, high-tensile steel",,,41mm telescopic fork / 7.9 in.,UNI-TRAK® single-shock system with 5-way preload and stepless rebound damping / 7.3 in.,90/90-21 ,130/80-17 ,Single disc,240 mm (9.4 inches),Single disc,,,,,"889 mm (35.0 inches) If adjustable, lowest setting.",1481 mm (58.3 inches),23.08 litres (6.10 US gallons),"Ebony, Sunbeam Red, Oriental Blue",Electric,Dual purpose bike.,,1349 mm (53.1 inches),2296 mm (90.4 inches),960 mm (37.8 inches),,,,211 mm (8.3 inches),,,196.0 kg (432.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot C-Tech R-Cup,2009,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,,,,,,,Liquid,Automatic,Shaft drive (cardan)   (final drive),,,,,Perimetric steel tube,,,,,,,Single disc,190 mm (7.5 inches),Single disc,106.0 kg (233.7 pounds),,,,"820 mm (32.3 inches) If adjustable, lowest setting.",,,Red/white,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can-Am DS 90,2009,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,89.5 ccm (5.46 cubic inches),"Single cylinder, four-stroke",,,,,49.5 x 48.0 mm (1.9 x 1.9 inches),Carburettor,Single Overhead Cams (SOHC),,Air,,,,,,,DS90,,,Independant A-arm,Swingarm,19/7-8 ,18/10-8 ,Expanding brake (drum brake),,Expanding brake (drum brake),111.1 kg (245.0 pounds),,,,"686 mm (27.0 inches) If adjustable, lowest setting.",,6.05 litres (1.60 US gallons),Yellow,Electric & kick,,2,,,,,,,211 mm (8.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can-Am Spyder Roadster SE5,2009,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"V2, four-stroke",106.0 HP (77.4  kW)) @ 8500 RPM,104.3 Nm (10.6 kgf-m or 76.9 ft.lbs) @ 6250 RPM,,10.8:1,97.0 x 68.0 mm (3.8 x 2.7 inches),Injection. Multi-point EFI with 57 mm diameter throttle bodies,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition with dual output coil,Liquid,Automatic,Belt   (final drive),"Wet, multi-plate",,,2-into-1 with catalytic converter,,,,Independent double A-arm,Swing Arm with monoshock,165/65-R14 ,225/50-R15 ,"Double disc. EBD, ABS. 4 piston calipers",260 mm (10.2 inches),"Single disc. EBD, ABS",317.0 kg (698.9 pounds),0.3344 HP/kg,,,"737 mm (29.0 inches) If adjustable, lowest setting.",1727 mm (68.0 inches),25.00 litres (6.61 US gallons),"Full moon, millenium yellow, red",,,,,2667 mm (105.0 inches),,,144 mm (5.7 inches),145 mm (5.7 inches),114 mm (4.5 inches),4.50 litres (4.76 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Burgman 200,2009,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",200.0 ccm (12.20 cubic inches),"Single cylinder, four-stroke",,,,11.6:1,69.0 x 53.4 mm (2.7 x 2.1 inches),Injection,Single Overhead Cams (SOHC),,Liquid,Automatic,Belt   (final drive),,,,,,,,"Telescopic, coil sprung, oil damped","Swingarm type, coilspring, oildamped",110/90-M13 ,"130/70-P,12 ",Single disc,,Single disc,149.0 kg (328.5 pounds),,,,"735 mm (28.9 inches) If adjustable, lowest setting.",1465 mm (57.7 inches),11.00 litres (2.91 US gallons),,Electric,,,1240 mm (48.8 inches),2055 mm (80.9 inches),740 mm (29.1 inches),Wet Sump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Road Hopper Type 5,2009,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1337.0 ccm (81.58 cubic inches),"V2, four-stroke",,,,10.1:1,101.6 x 114.3 mm (4.0 x 4.5 inches),,,,,5-speed,Chain   (final drive),,,,,ZERO Original Design,,,74 Springer,,200-16 ,300-16 ,Single disc. HD 1-Piston,,Single disc. Wilwood 2-P,230.0 kg (507.1 pounds),,,,"686 mm (27.0 inches) If adjustable, lowest setting.",1600 mm (63.0 inches),7.94 litres (2.10 US gallons),"SmokeBlue/Black, Yamabuki/Black",Electric,Made by Zero Engineering. S and S engine. Road Hopper. See also Samurai Choppers.,,,2300 mm (90.6 inches),710 mm (28.0 inches),,,,100 mm (3.9 inches),2.80 litres (2.96 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi GPR 50 Racing Replica Di Meglio,2009,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,,11.5:1,39.9 x 40.0 mm (1.6 x 1.6 inches),"Carburettor. Ø17,5 mm",,,Liquid,6-speed,Chain   (final drive),Multi-disc,,,,,,,Ø40 mm upside-down fork.,Monoshock.,100/80-17 ,130/70-17 ,Single disc,180 mm (7.1 inches),Single disc,110.0 kg (242.5 pounds),,,,,1311 mm (51.6 inches),13.00 litres (3.43 US gallons),Multicolored,Electric,,,,1961 mm (77.2 inches),720 mm (28.3 inches),Mechanical oil pump,110 mm (4.3 inches),110 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan 900 Custom,2009,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",903.0 ccm (55.10 cubic inches),"V2, four-stroke",,78.9 Nm (8.0 kgf-m or 58.2 ft.lbs) @ 3500 RPM,,9.5:1,88.0 x 74.2 mm (3.5 x 2.9 inches),Injection,Single Overhead Cams (SOHC),TCBI with Electronic Advance,Liquid,5-speed,Belt   (final drive),,,,,,32.0°,183 mm (7.2 inches),41mm hydraulic telescopic fork / 5.9 in.,"Uni-TrackÂ® swingarm, seven-way adjustable spring preload  / 4.1 in.",80/90-21 ,180/70-15 ,Single disc,300 mm (11.8 inches),Single disc,277.1 kg (610.8 pounds),,,,"686 mm (27.0 inches) If adjustable, lowest setting.",1646 mm (64.8 inches),20.06 litres (5.30 US gallons),"Metallic Midnight Sapphire Blue, Candy Burnt Orange, Special Edition Ebony",,,4,1120 mm (44.1 inches),2405 mm (94.7 inches),894 mm (35.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Wing Flyer,2009,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1442.2 ccm (88.00 cubic inches),"V2, four-stroke",,,,,,Injection,Double Overhead Cams/Twin Cam (DOHC),Electronic Sequential Port Fuel Injection,,5-speed,Belt   (final drive),,,,,Kraft-Tech Frame,,,,,130/90-16 ,150/80-16 ,Single disc,,Single disc,,,,,,,,,Electric,H-D Bawler Solo Seat. Red Wing bikes bikes are made by Dirico Motorcycles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorhispania RYZ Pro Racing 49 Urbanbike,2009,Super motard,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.7 ccm (3.03 cubic inches),"Single cylinder, four-stroke",,,,12.0:1,,Carburettor. Dell Ortho PHBN 12 HS,,CDI,Liquid,6-speed,Chain   (final drive),,,,,Double steel beam,,,Inverted hydraulic fork 38 mm advance axle,Olle mono shock absorber,90/90-21 ,120/80-18 ,Single disc. Galfer Wave,260 mm (10.2 inches),Single disc. Galfer Wave,95.0 kg (209.4 pounds),,,,,1350 mm (53.1 inches),7.80 litres (2.06 US gallons),"Black, orange",Kick,MH bikes are made in Spain.,,1420 mm (55.9 inches),2010 mm (79.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RSV4 Factory,2009,Sport," 4.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.2 ccm (60.91 cubic inches),"V4, four-stroke",180.0 HP (131.4  kW)) @ 12500 RPM,115.0 Nm (11.7 kgf-m or 84.8 ft.lbs) @ 10000 RPM,,12.8:1,78.0 x 52.3 mm (3.1 x 2.1 inches),"Injection. Integrated electronic engine management system. Indirect multipoint electronic injection. 4 throttle bodies, 8 injectors. Airbox.",Double Overhead Cams/Twin Cam (DOHC),Electronic digital ignition integrated in fuel management system.,Oil & air,6-speed,Chain   (final drive),Multi-plate clutch in oil bath.,,,4 into 2 into 1. Lambda probe.,,,102 mm (4.0 inches),"43 mm Ohlins titanium nitride coated upside-down fork. External adjustment system for rebound, compression and preload. Shortened fork bottoms with radial caliper fittings.","Double arch aluminium swingarm. Öhlins monoshock with piggy-back cylinder. Adjustments for compression, rebound, spring preload and length.",120/70-ZR17 ,190/55-ZR17 ,Double disc. Bremo,220 mm (8.7 inches),Single disc. Bremo,179.0 kg (394.6 pounds),1.0056 HP/kg,,,"810 mm (31.9 inches) If adjustable, lowest setting.",1424 mm (56.1 inches),17.00 litres (4.49 US gallons),,Electric,,4,1165 mm (45.9 inches),2050 mm (80.7 inches),715 mm (28.1 inches),Wet sump. Double trochoid pump with oil cooler.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keeway Goccia 50,2009,Scooter," 2.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",,3.9 Nm (0.4 kgf-m or 2.9 ft.lbs) @ 7000 RPM,45.0 km/h (28.0 mph),6.9:1,40.0 x 39.2 mm (1.6 x 1.5 inches),,Single Overhead Cams (SOHC),,Air,Automatic,Belt   (final drive),Centrifugal,,,,,,,,,1.60-16 ,1.85-16 ,Single disc,130 mm (5.1 inches),Expanding brake (drum brake),113.0 kg (249.1 pounds),,,,,1305 mm (51.4 inches),5.50 litres (1.45 US gallons),,Electric & kick,,,1110 mm (43.7 inches),1940 mm (76.4 inches),731 mm (28.8 inches),,,,160 mm (6.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi Terra Adventure 125,2009,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.2 ccm (7.58 cubic inches),"Single cylinder, four-stroke",15.0 HP (10.9  kW)) @ 9250 RPM,,,12.0:1,58.0 x 47.0 mm (2.3 x 1.9 inches),Carburettor,Double Overhead Cams/Twin Cam (DOHC),Electronic CDI,Liquid,6-speed,Chain   (final drive),Multi-plate,,,Euro 3,Steel perimetral double beam,,,Hydraulic fork,Mono-shock with adjustable spring pre-load.,90/90-21 ,130/90-17 ,Single disc,220 mm (8.7 inches),Single disc,121.0 kg (266.8 pounds),0.1240 HP/kg,,,"795 mm (31.3 inches) If adjustable, lowest setting.",1451 mm (57.1 inches),11.00 litres (2.91 US gallons),Red/white,Electric,Made in Spain.,4,1408 mm (55.4 inches),2192 mm (86.3 inches),815 mm (32.1 inches),Dry sump,175 mm (6.9 inches),170 mm (6.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan 900 Classic,2009,Custom / cruiser," 4.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",903.0 ccm (55.10 cubic inches),"V2, four-stroke",,78.9 Nm (8.0 kgf-m or 58.2 ft.lbs) @ 3500 RPM,,9.5:1,88.0 x 74.2 mm (3.5 x 2.9 inches),Injection,Single Overhead Cams (SOHC),TCBI with Electronic Advance,Liquid,5-speed,Belt   (final drive),,,,,"Double-cradle, steel",32.0°,160 mm (6.3 inches),41mm hydraulic telescopic fork / 5.9 in.,Uni-TrackÂ® swingarm  / 4.1 in.,130/90-16 ,180/70-15 ,Single disc,272 mm (10.7 inches),Single disc,281.0 kg (619.6 pounds),,,,"681 mm (26.8 inches) If adjustable, lowest setting.",1646 mm (64.8 inches),20.06 litres (5.30 US gallons),"Metallic Diablo Black, Candy Plasma Blue, Candy Diamond Red",Electric,,,1064 mm (41.9 inches),2464 mm (97.0 inches),1006 mm (39.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
