Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Valves per cylinder,Gearbox,Front brakes,Rear brakes,Dry weight,"Weight incl. oil, gas, etc",Power/weight ratio,Seat height,Fuel capacity,Reserve fuel capacity,Starter,Top speed,Max RPM,Compression,Bore x stroke,Fuel system,Cooling system,Transmission type,Clutch,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Diameter,Overall height,Overall length,Overall width,Wheelbase,Fuel control,Exhaust system,Color options,0-100 km/h (0-62 mph),Comments,1/4 mile (0.4 km),Fuel consumption,Greenhouse gases,Ignition,Rake (fork angle),Trail,Oil capacity,Engine oil,Oil filter,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Frame type,Battery,Ground clearance,Modifications compared to previous model,Alternate seat height
Suzuki GSX-R 750 W,1994,Unspecified category," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",118.0 HP (86.1  kW)) @ 11500 RPM,78.5 Nm (8.0 kgf-m or 57.9 ft.lbs) @ 9500 RPM,4,6-speed,Dual disc,Single disc,199.0 kg (438.7 pounds),,0.5930 HP/kg,"735 mm (28.9 inches) If adjustable, lowest setting.",21.00 litres (5.55 US gallons),4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 638,1994,Unspecified category," 2.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",350.0 ccm (21.36 cubic inches),"Twin, two-stroke",26.0 HP (19.0  kW)) @ 5500 RPM,31.4 Nm (3.2 kgf-m or 23.1 ft.lbs) @ 4750 RPM,,4-speed,Expanding brake,Expanding brake,155.0 kg (341.7 pounds),,0.1677 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",17.00 litres (4.49 US gallons),2.50 litres (0.66 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 750 Strada,1994,Unspecified category," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",743.0 ccm (45.34 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 6600 RPM,64.7 Nm (6.6 kgf-m or 47.7 ft.lbs) @ 3200 RPM,2,5-speed,Dual disc,Single disc,185.0 kg (407.9 pounds),,0.2595 HP/kg,"730 mm (28.7 inches) If adjustable, lowest setting.",16.00 litres (4.23 US gallons),3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda ST 1100 Pan European,1994,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1084.0 ccm (66.15 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,110.8 Nm (11.3 kgf-m or 81.7 ft.lbs) @ 6000 RPM,4,5-speed,Double disc. ABS,Single disc. ABS,279.0 kg (615.1 pounds),,0.3584 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",28.00 litres (7.40 US gallons),5.00 litres (1.32 US gallons),Electric,222.0 km/h (137.9 mph),,10.0:1,73.0 x 64.8 mm (2.9 x 2.6 inches),Carburettor. 4 x 32mm CV-type ,Liquid,Shaft drive (cardan)   (final drive),,43mm air-assist fork with track,150 mm (5.9 inches),Single-side conventional damper with adjustable preload and rebound,120 mm (4.7 inches),120/70-ZR18 ,160/70-ZR17 ,296 mm (11.7 inches),,,1100 mm (43.3 inches),1555 mm (61.2 inches),Double Overhead Cams/Twin Cam (DOHC),,Black,,Traction control.,,5.85 litres/100 km (17.1 km/l or 40.21 mpg),135.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,Computer-controlled digital transistorized. ,27.5°,101 mm (4.0 inches),3.70 litres (3.91 US quarts),Honda GN4 10W-40,K&N KN-303,DOT 4,3.00 litres (0.79 US gallons),NGK CR8EH-9,1000  +/- 100  RPM,36 PSI (2.5 Bar or 250 kPa),42 PSI (2.9 Bar or 290 kPa),41 mm (1.6 inches),,,,,
Moto Guzzi Daytona 1000,1994,Unspecified category," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",992.0 ccm (60.53 cubic inches),"V2, four-stroke",95.0 HP (69.3  kW)) @ 8000 RPM,98.1 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 6000 RPM,4,5-speed,Dual disc,Single disc,205.0 kg (451.9 pounds),,0.4634 HP/kg,"730 mm (28.7 inches) If adjustable, lowest setting.",23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 1340 Dyna Wide Glide,1994,Unspecified category," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 4900 RPM,86.3 Nm (8.8 kgf-m or 63.7 ft.lbs) @ 2400 RPM,2,5-speed,Single disc,Single disc,272.0 kg (599.7 pounds),,0.1765 HP/kg,"755 mm (29.7 inches) If adjustable, lowest setting.",18.90 litres (4.99 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 600 C,1994,Unspecified category," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",43.0 HP (31.4  kW)) @ 6500 RPM,52.0 Nm (5.3 kgf-m or 38.3 ft.lbs) @ 3500 RPM,4,4-speed,Single disc,Expanding brake,185.0 kg (407.9 pounds),,0.2324 HP/kg,"670 mm (26.4 inches) If adjustable, lowest setting.",11.00 litres (2.91 US gallons),1.90 litres (0.50 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1100 LT SE,1994,Unspecified category," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1092.0 ccm (66.63 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,104.9 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 5500 RPM,4,5-speed,Dual disc,Single disc,270.0 kg (595.2 pounds),,0.3704 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80 RT,1994,Unspecified category,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,56.9 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 4000 RPM,2,5-speed,Single disc,Expanding brake,207.0 kg (456.4 pounds),,0.2415 HP/kg,"807 mm (31.8 inches) If adjustable, lowest setting.",22.00 litres (5.81 US gallons),2.00 litres (0.53 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda GL 1500 SE,1994,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1520.0 ccm (92.75 cubic inches),"Six cylinder boxer, four-stroke",100.0 HP (73.0  kW)) @ 5000 RPM,150.1 Nm (15.3 kgf-m or 110.7 ft.lbs) @ 4000 RPM,2,5-speed,Double disc. Two-piston calipers. ,Single disc. Two-piston calipers. ,366.0 kg (806.9 pounds),394.0 kg (868.6 pounds),0.2732 HP/kg,"765 mm (30.1 inches) If adjustable, lowest setting.",23.00 litres (6.08 US gallons),,Electric,159.0 km/h (98.8 mph),,9.8:1,71.0 x 64.0 mm (2.8 x 2.5 inches),Carburettor. 2 x 36 mm Keihin CV,Liquid,Shaft drive (cardan)   (final drive),,Air adjustable telescopic forks,,Pro-link air adjustable,,130/70-18 ,160/80-16 ,316 mm (12.4 inches),,,,,Single Overhead Cams (SOHC),,"Pearl Bermuda Green, Pearl Atlantis Blue, Candy Spectra Red, Pearl Glacier White",,Honda Gold Wing 1500 Special Edition.,,7.50 litres/100 km (13.3 km/l or 31.36 mpg),174.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,3.70 litres (3.91 US quarts),SAE 10W-40,HiFloFiltro Black - HF303,DOT 4,4.00 litres (1.06 US gallons),"NGK DPR7EA-9, NGK DPR7EIX-9",800  +/- 100  RPM,33 PSI (2.3 Bar or 225 kPa),36 PSI (2.5 Bar or 250 kPa),41 mm (1.6 inches),Tubular steel cradle,Y50-N18L-A3,,,
Triumph Speed Triple 900,1994,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",98.0 HP (71.5  kW)),,4,5-speed,Double disc,Single disc,,,,,25.00 litres (6.61 US gallons),4.00 litres (1.06 US gallons),,210.0 km/h (130.5 mph),9000,,,Carburettor,Liquid,Chain   (final drive),,,,,,,,,,,,,,,"Black, Red, Yellow",,,,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,
Harley-Davidson 1340 Softail Custom,1994,Unspecified category," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 4900 RPM,86.3 Nm (8.8 kgf-m or 63.7 ft.lbs) @ 2400 RPM,2,5-speed,Single disc,Single disc,280.0 kg (617.3 pounds),,0.1714 HP/kg,"678 mm (26.7 inches) If adjustable, lowest setting.",19.70 litres (5.20 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 1340 Dyna Low Rider,1994,Unspecified category," 4.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 4900 RPM,86.3 Nm (8.8 kgf-m or 63.7 ft.lbs) @ 2400 RPM,2,5-speed,Dual disc,Single disc,272.0 kg (599.7 pounds),,0.1765 HP/kg,"685 mm (27.0 inches) If adjustable, lowest setting.",18.90 litres (4.99 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 600 SS N,1994,Unspecified category," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",53.0 HP (38.7  kW)) @ 8250 RPM,,2,5-speed,Dual disc,Single disc,172.0 kg (379.2 pounds),,0.3081 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",17.50 litres (4.62 US gallons),4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 250 Virago,1994,Unspecified category," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",248.0 ccm (15.13 cubic inches),"V2, four-stroke",21.0 HP (15.3  kW)) @ 8000 RPM,20.6 Nm (2.1 kgf-m or 15.2 ft.lbs) @ 6500 RPM,2,5-speed,Single disc,Expanding brake,137.0 kg (302.0 pounds),,0.1533 HP/kg,"685 mm (27.0 inches) If adjustable, lowest setting.",9.50 litres (2.51 US gallons),2.60 litres (0.69 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha VMX 1200 V-Max,1994,Unspecified category," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1198.0 ccm (73.10 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,114.7 Nm (11.7 kgf-m or 84.6 ft.lbs) @ 6000 RPM,4,5-speed,Dual disc,Single disc,262.0 kg (577.6 pounds),,0.3817 HP/kg,"765 mm (30.1 inches) If adjustable, lowest setting.",15.00 litres (3.96 US gallons),3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural Solo,1994,Unspecified category," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",26.5 HP (19.3  kW)) @ 5800 RPM,44.1 Nm (4.5 kgf-m or 32.6 ft.lbs) @ 5100 RPM,2,4-speed,Expanding brake,Expanding brake,210.0 kg (463.0 pounds),,0.1262 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",19.00 litres (5.02 US gallons),2.00 litres (0.53 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 250 RR,1994,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"In-line four, four-stroke",45.0 HP (32.8  kW)) @ 14500 RPM,24.0 Nm (2.4 kgf-m or 17.7 ft.lbs) @ 11500 RPM,4,6-speed,Double disc. Dual Piston Calipers,Single disc. Single Piston Caliper,158.0 kg (348.3 pounds),,0.2848 HP/kg,"735 mm (28.9 inches) If adjustable, lowest setting.",14.00 litres (3.70 US gallons),2.50 litres (0.66 US gallons),Electric,185.0 km/h (115.0 mph),18500,11.5:1,48.5 x 33.8 mm (1.9 x 1.3 inches),Carburettor. 4 xm Keihin 29 mm,Liquid,Chain   (final drive),Wet Multiplate,,83 mm (3.3 inches),,76 mm (3.0 inches),110/70-17 ,140/60-17 ,220 mm (8.7 inches),1080 mm (42.5 inches),1975 mm (77.8 inches),675 mm (26.6 inches),1345 mm (53.0 inches),Double Overhead Cams/Twin Cam (DOHC),,,4.80 seconds,,,,,,24.0°,89 mm (3.5 inches),,,,,,,,,,,Diamond Aluminum,,130 mm (5.1 inches),,
Kawasaki GTR 1000,1994,Unspecified category," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",93.0 HP (67.9  kW)) @ 9000 RPM,80.4 Nm (8.2 kgf-m or 59.3 ft.lbs) @ 6500 RPM,4,6-speed,Dual disc,Single disc,270.0 kg (595.2 pounds),,0.3444 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",28.50 litres (7.53 US gallons),4.20 litres (1.11 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RF 600 R,1994,Unspecified category," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 11500 RPM,61.8 Nm (6.3 kgf-m or 45.6 ft.lbs) @ 9500 RPM,4,6-speed,Dual disc,Single disc,195.0 kg (429.9 pounds),,0.5128 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600 K,1994,Unspecified category," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 6500 RPM,50.0 Nm (5.1 kgf-m or 36.9 ft.lbs) @ 5500 RPM,4,5-speed,Single disc,Single disc,150.0 kg (330.7 pounds),,0.3000 HP/kg,"855 mm (33.7 inches) If adjustable, lowest setting.",13.00 litres (3.43 US gallons),2.00 litres (0.53 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZXR 750,1994,Unspecified category," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",121.0 HP (88.3  kW)) @ 11000 RPM,76.5 Nm (7.8 kgf-m or 56.4 ft.lbs) @ 10000 RPM,4,6-speed,Dual disc,Single disc,205.0 kg (451.9 pounds),,0.5902 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",18.00 litres (4.76 US gallons),5.00 litres (1.32 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 600 F,1994,Unspecified category," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 12000 RPM,62.8 Nm (6.4 kgf-m or 46.3 ft.lbs) @ 10500 RPM,4,6-speed,Dual disc,Single disc,185.0 kg (407.9 pounds),,0.5405 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",16.00 litres (4.23 US gallons),3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 660 Ténéré,1994,Unspecified category," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",659.0 ccm (40.21 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6250 RPM,56.9 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 5250 RPM,5,5-speed,Single disc,Single disc,169.0 kg (372.6 pounds),,0.2840 HP/kg,"865 mm (34.1 inches) If adjustable, lowest setting.",20.00 litres (5.28 US gallons),3.50 litres (0.92 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi California 1100,1994,Unspecified category," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",75.0 HP (54.7  kW)) @ 6400 RPM,91.2 Nm (9.3 kgf-m or 67.3 ft.lbs) @ 5000 RPM,2,5-speed,Dual disc,Single disc,245.0 kg (540.1 pounds),,0.3061 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",22.50 litres (5.94 US gallons),3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi California III,1994,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1100.0 ccm (67.12 cubic inches),"V2, two-stroke",75.0 HP (54.7  kW)),,,,,,,,,,,,,,,,,,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NX 650 Dominator,1994,Unspecified category," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)) @ 6000 RPM,52.0 Nm (5.3 kgf-m or 38.3 ft.lbs) @ 5000 RPM,4,5-speed,Single disc,Single disc,153.0 kg (337.3 pounds),,0.2876 HP/kg,"880 mm (34.6 inches) If adjustable, lowest setting.",16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NSR 125 R Super Sprint,1994,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",28.0 HP (20.4  kW)) @ 10250 RPM,,,6-speed,"Single disc. Twin piston caliber, Grimeca",Single disc. Single piston caliber,,,,,13.00 litres (3.43 US gallons),,Electric,155.0 km/h (96.3 mph),,,,Carburettor. Dell´Orto 28 PHBH,Liquid,Chain   (final drive),Wet plate,Showa 35mm,,Sachs (¿) Monoshock,,,,220 mm (8.7 inches),,,,,,One stainless steel pipe right side,Red/Grey,8.00 seconds,A Honda with great quality and look,,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,CDI-unit,,,,,,,,,,,,,Aluminium ´Al Cast´ Frame,,,"Frame, Plastics, Rear shock and rim, silencer, lights and other parts less or more.",
Suzuki GS 500 E,1994,Unspecified category," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",487.0 ccm (29.72 cubic inches),"Twin, four-stroke",52.0 HP (38.0  kW)) @ 9200 RPM,41.2 Nm (4.2 kgf-m or 30.4 ft.lbs) @ 7500 RPM,2,6-speed,Single disc,Single disc,169.0 kg (372.6 pounds),,0.3077 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",17.00 litres (4.49 US gallons),3.50 litres (0.92 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 1340 Softail Springer,1994,Unspecified category," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 4900 RPM,86.3 Nm (8.8 kgf-m or 63.7 ft.lbs) @ 2400 RPM,2,5-speed,Single disc,Single disc,284.0 kg (626.1 pounds),,0.1690 HP/kg,"663 mm (26.1 inches) If adjustable, lowest setting.",15.90 litres (4.20 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 1340 Electra Glide Road King,1994,Unspecified category," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 5000 RPM,94.2 Nm (9.6 kgf-m or 69.4 ft.lbs) @ 3600 RPM,2,5-speed,Dual disc,Single disc,314.0 kg (692.3 pounds),,0.1911 HP/kg,"749 mm (29.5 inches) If adjustable, lowest setting.",18.90 litres (4.99 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZZ-R 1100,1994,Unspecified category," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1052.0 ccm (64.19 cubic inches),"In-line four, four-stroke",147.0 HP (107.3  kW)) @ 10500 RPM,107.9 Nm (11.0 kgf-m or 79.6 ft.lbs) @ 8500 RPM,4,6-speed,Dual disc,Single disc,233.0 kg (513.7 pounds),,0.6309 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",24.00 litres (6.34 US gallons),4.20 litres (1.11 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 75 RT,1994,Unspecified category," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",75.0 HP (54.7  kW)) @ 8500 RPM,66.7 Nm (6.8 kgf-m or 49.2 ft.lbs) @ 6750 RPM,2,5-speed,Dual disc,Single disc,239.0 kg (526.9 pounds),,0.3138 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",22.00 litres (5.81 US gallons),2.00 litres (0.53 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 75,1994,Unspecified category," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",75.0 HP (54.7  kW)) @ 8500 RPM,66.7 Nm (6.8 kgf-m or 49.2 ft.lbs) @ 6750 RPM,2,5-speed,Dual disc,Single disc,209.0 kg (460.8 pounds),,0.3589 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",21.00 litres (5.55 US gallons),2.00 litres (0.53 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"800 mm (31.5 inches) If adjustable, highest setting."
CZ CZ,1994,Unspecified category," 2.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",180.0 ccm (10.98 cubic inches),"Single cylinder, two-stroke",13.0 HP (9.5  kW)) @ 6000 RPM,,,4-speed,Single disc,Expanding brake,128.0 kg (282.2 pounds),,0.1016 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 883 Sportster Standard,1994,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",42.0 HP (30.7  kW)) @ 5600 RPM,58.8 Nm (6.0 kgf-m or 43.4 ft.lbs) @ 4400 RPM,2,5-speed,Single disc,Single disc,222.0 kg (489.4 pounds),,0.1892 HP/kg,"724 mm (28.5 inches) If adjustable, lowest setting.",8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600 E,1994,Unspecified category," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 6500 RPM,50.0 Nm (5.1 kgf-m or 36.9 ft.lbs) @ 5500 RPM,4,5-speed,Single disc,Single disc,155.0 kg (341.7 pounds),,0.2903 HP/kg,"855 mm (33.7 inches) If adjustable, lowest setting.",13.00 litres (3.43 US gallons),2.00 litres (0.53 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 1340 Softail Fat Boy,1994,Unspecified category," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 4900 RPM,86.3 Nm (8.8 kgf-m or 63.7 ft.lbs) @ 2400 RPM,2,5-speed,Single disc,Single disc,295.0 kg (650.4 pounds),,0.1627 HP/kg,"673 mm (26.5 inches) If adjustable, lowest setting.",15.90 litres (4.20 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 916 Strada,1994,Unspecified category," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",916.0 ccm (55.89 cubic inches),"V2, four-stroke",114.0 HP (83.2  kW)) @ 9000 RPM,,4,6-speed,Dual disc,Single disc,195.0 kg (429.9 pounds),,0.5846 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",17.00 litres (4.49 US gallons),4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki LS 650 Savage,1994,Unspecified category," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",31.0 HP (22.6  kW)) @ 5400 RPM,50.0 Nm (5.1 kgf-m or 36.9 ft.lbs) @ 3000 RPM,4,5-speed,Single disc,Expanding brake,160.0 kg (352.7 pounds),,0.1938 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
