Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Valves per cylinder,Cooling system,Gearbox,Transmission type,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Starter,"Weight incl. oil, gas, etc",Top speed,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Fuel consumption,Greenhouse gases,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Diameter,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Oil capacity,Color options,Comments,Engine oil,Oil filter,Chain size,Chain links,Sprockets,Clutch,Exhaust system,Ground clearance,Reserve fuel capacity,Modifications compared to previous model,Brake fluid,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Fork tube size,Max RPM,Rake (fork angle),Trail,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Coolant,Tire pressure front,Tire pressure rear,"60-140 km/h (37-87 mph), highest gear"
Yamaha TT 600 E,1996,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",43.0 HP (31.4  kW)) @ 6500 RPM,51.0 Nm (5.2 kgf-m or 37.6 ft.lbs) @ 5000 RPM,5,Air,5-speed,Chain   (final drive),Single disc,Single disc,140.0 kg (308.6 pounds),0.3071 HP/kg,"890 mm (35.0 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 600 S Bandit,1996,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",74.0 HP (54.0  kW)) @ 9500 RPM,99.0 Nm (10.1 kgf-m or 73.0 ft.lbs) @ 9500 RPM,4,,6-speed,Chain   (final drive),Dual disc,Single disc,199.0 kg (438.7 pounds),0.3719 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titan YZF 1000 R Thunder Ace,1996,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1002.0 ccm (61.14 cubic inches),"In-line four, four-stroke",145.0 HP (105.8  kW)) @ 10000 RPM,108.0 Nm (11.0 kgf-m or 79.7 ft.lbs) @ 8500 RPM,5,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,198.0 kg (436.5 pounds),0.7323 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 916 Senna,1996,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",916.0 ccm (55.89 cubic inches),"V2, four-stroke",114.0 HP (83.2  kW)) @ 9000 RPM,,4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,195.0 kg (429.9 pounds),0.5846 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX-6R Ninja,1996,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",105.0 HP (76.6  kW)) @ 12500 RPM,63.7 Nm (6.5 kgf-m or 47.0 ft.lbs) @ 10000 RPM,4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,182.0 kg (401.2 pounds),0.5769 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",Electric,,230.0 km/h (142.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 600 Monster,1996,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",53.0 HP (38.7  kW)) @ 8250 RPM,,2,Air,5-speed,Chain   (final drive),Single disc,Single disc,175.0 kg (385.8 pounds),0.3029 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 1100 Virago,1996,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1063.0 ccm (64.86 cubic inches),"V2, four-stroke",62.0 HP (45.3  kW)) @ 6000 RPM,85.0 Nm (8.7 kgf-m or 62.7 ft.lbs) @ 3000 RPM,2,Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Expanding brake,221.0 kg (487.2 pounds),0.2805 HP/kg,"715 mm (28.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Daytona 1200,1996,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1180.0 ccm (72.00 cubic inches),"In-line four, four-stroke",147.0 HP (107.3  kW)) @ 9500 RPM,115.0 Nm (11.7 kgf-m or 84.8 ft.lbs) @ 8000 RPM,4,Liquid,6-speed,,Dual disc,Single disc,225.0 kg (496.0 pounds),0.6533 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 750,1996,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",130.2 HP (95.0  kW)) @ 11500 RPM,80.5 Nm (8.2 kgf-m or 59.4 ft.lbs) @ 10000 RPM,4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,179.0 kg (394.6 pounds),0.7274 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota SB7,1996,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",132.0 HP (96.4  kW)) @ 11500 RPM,83.4 Nm (8.5 kgf-m or 61.5 ft.lbs) @ 9500 RPM,4,,6-speed,Chain   (final drive),Dual disc,Single disc,186.0 kg (410.1 pounds),0.7097 HP/kg,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RS 250,1996,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"V2, two-stroke",70.0 HP (51.1  kW)),,,,6-speed,Chain   (final drive),Dual disc,Single disc,141.0 kg (310.9 pounds),0.4965 HP/kg,"690 mm (27.2 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Adventurer,1996,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",70.0 HP (51.1  kW)) @ 8000 RPM,72.0 Nm (7.3 kgf-m or 53.1 ft.lbs) @ 4800 RPM,4,Liquid,5-speed,,Single disc,Single disc,225.0 kg (496.0 pounds),0.3111 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Fat Boy,1996,Custom / cruiser," 2.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 5000 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 2350 RPM,2,Air,5-speed,Belt   (final drive),Single disc,Single disc,284.0 kg (626.1 pounds),0.2007 HP/kg,"692 mm (27.2 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda RVF - RC 45,1996,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"V4, four-stroke",120.0 HP (87.6  kW)) @ 12000 RPM,75.5 Nm (7.7 kgf-m or 55.7 ft.lbs) @ 10000 RPM,4,,6-speed,Chain   (final drive),Dual disc,Single disc,189.0 kg (416.7 pounds),0.6349 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi California 1100,1996,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",75.0 HP (54.7  kW)) @ 6400 RPM,91.0 Nm (9.3 kgf-m or 67.1 ft.lbs) @ 5000 RPM,2,Air,5-speed,,Dual disc,Single disc,245.0 kg (540.1 pounds),0.3061 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 1100 ABS,1996,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1052.0 ccm (64.19 cubic inches),"In-line four, four-stroke",130.0 HP (94.9  kW)) @ 9500 RPM,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 7000 RPM,4,,6-speed,,Dual disc,Single disc,,,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VS 1400 GLP Intruder,1996,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1360.0 ccm (82.99 cubic inches),"V2, four-stroke",58.2 HP (42.5  kW)) @ 5000 RPM,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 2800 RPM,3,Oil & air,5-speed,,Single disc,Single disc,244.0 kg (537.9 pounds),0.2385 HP/kg,"735 mm (28.9 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VS 800 GL Intruder,1996,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",49.3 HP (36.0  kW)) @ 6500 RPM,62.1 Nm (6.3 kgf-m or 45.8 ft.lbs) @ 4000 RPM,4,,5-speed,,Single disc,Expanding brake,200.0 kg (440.9 pounds),0.2465 HP/kg,"685 mm (27.0 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 750 C Shadow,1996,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",87.0 HP (63.5  kW)) @ 9000 RPM,69.6 Nm (7.1 kgf-m or 51.3 ft.lbs) @ 7250 RPM,4,,5-speed,,Single disc,Expanding brake,229.0 kg (504.9 pounds),0.3799 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155 mm (6.1 inches),,,,,,,,,,,,,,,,,,,
CZ 180,1996,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",176.0 ccm (10.74 cubic inches),"Single cylinder, two-stroke",13.0 HP (9.5  kW)) @ 5500 RPM,,,,4-speed,Chain   (final drive),Single disc,Expanding brake,128.0 kg (282.2 pounds),0.1016 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",Kick,,110.0 km/h (68.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 800,1996,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 7000 RPM,62.8 Nm (6.4 kgf-m or 46.3 ft.lbs) @ 3300 RPM,4,,5-speed,Chain   (final drive),Single disc,Expanding brake,225.0 kg (496.0 pounds),0.2444 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati SS 750 C,1996,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",66.0 HP (48.2  kW)) @ 8500 RPM,70.6 Nm (7.2 kgf-m or 52.1 ft.lbs) @ 6500 RPM,2,,5-speed,,Dual disc,Single disc,176.0 kg (388.0 pounds),0.3750 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 500 S,1996,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"Twin, four-stroke",60.0 HP (43.8  kW)) @ 9800 RPM,45.1 Nm (4.6 kgf-m or 33.3 ft.lbs) @ 8500 RPM,4,,6-speed,,Dual disc,Single disc,179.0 kg (394.6 pounds),0.3352 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Dyna Convertible,1996,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 5000 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 2350 RPM,2,Air,5-speed,Belt   (final drive),Dual disc,Single disc,282.0 kg (621.7 pounds),0.2021 HP/kg,"777 mm (30.6 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 640 Style 350,1996,Naked bike," 2.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",23.6 HP (17.2  kW)) @ 5250 RPM,38.2 Nm (3.9 kgf-m or 28.2 ft.lbs) @ 4500 RPM,,Air,4-speed,Chain   (final drive),Single disc,Expanding brake,150.0 kg (330.7 pounds),0.1573 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100 RT,1996,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",980.0 ccm (59.80 cubic inches),"Two cylinder boxer, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,74.5 Nm (7.6 kgf-m or 55.0 ft.lbs) @ 3750 RPM,2,,5-speed,,Single disc,Single disc,,,"850 mm (33.5 inches) If adjustable, lowest setting.",Electric,236.0 kg (520.3 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva River 600,1996,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",601.0 ccm (36.67 cubic inches),"Single cylinder, four-stroke",,,4,,5-speed,Chain   (final drive),Single disc,Single disc,160.0 kg (352.7 pounds),,"810 mm (31.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 Seven-Fifty,1996,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",73.0 HP (53.3  kW)) @ 8500 RPM,61.8 Nm (6.3 kgf-m or 45.6 ft.lbs) @ 7500 RPM,4,,5-speed,Chain   (final drive),Dual disc,Single disc,215.0 kg (474.0 pounds),0.3395 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Skorpion Sport 660,1996,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6250 RPM,56.0 Nm (5.7 kgf-m or 41.3 ft.lbs) @ 5250 RPM,5,,5-speed,Chain   (final drive),Single disc,Single disc,173.0 kg (381.4 pounds),0.2775 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF 600 R Thundercat,1996,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 11500 RPM,66.0 Nm (6.7 kgf-m or 48.7 ft.lbs) @ 9500 RPM,4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,187.0 kg (412.3 pounds),0.5348 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 850 R,1996,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",848.0 ccm (51.74 cubic inches),"Two cylinder boxer, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,75.5 Nm (7.7 kgf-m or 55.7 ft.lbs) @ 5500 RPM,4,,5-speed,,Dual disc,Single disc,,,"780 mm (30.7 inches) If adjustable, lowest setting.",,235.0 kg (518.1 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki EL 252,1996,Custom / cruiser," 4.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",252.0 ccm (15.38 cubic inches),"Twin, four-stroke",30.0 HP (21.9  kW)) @ 12000 RPM,19.7 Nm (2.0 kgf-m or 14.5 ft.lbs) @ 10000 RPM,4,Liquid,6-speed,Chain   (final drive),Single disc,Expanding brake (drum brake),143.0 kg (315.3 pounds),0.2098 HP/kg,,Electric,,,12.2:1,62.5 x 41.2 mm (2.5 x 1.6 inches),Carburettor. Keihin CVK30 x 2,Double Overhead Cams/Twin Cam (DOHC),battery and coil,wet sump,4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,100/90-17 55S ,140/90-15 MC 70S ,,1040 mm (40.9 inches),2180 mm (85.8 inches),745 mm (29.3 inches),1490 mm (58.7 inches),11.00 litres (2.91 US gallons),,black,,,,,,,wet multi disc,,160 mm (6.3 inches),3.00 litres (0.79 US gallons),,,,,,,,,,16000,29.0°,112 mm (4.4 inches),,,,,,
Suzuki DR 650 RSE,1996,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",43.8 HP (32.0  kW)) @ 6400 RPM,56.6 Nm (5.8 kgf-m or 41.7 ft.lbs) @ 5000 RPM,4,,5-speed,Chain   (final drive),Single disc,Single disc,170.0 kg (374.8 pounds),0.2576 HP/kg,"925 mm (36.4 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 800 S,1996,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",779.0 ccm (47.53 cubic inches),"Single cylinder, four-stroke",53.4 HP (39.0  kW)) @ 6600 RPM,89.0 Nm (9.1 kgf-m or 65.6 ft.lbs) @ 5400 RPM,4,,5-speed,Chain   (final drive),Single disc,Single disc,194.0 kg (427.7 pounds),0.2753 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 600 N Bandit,1996,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",74.0 HP (54.0  kW)) @ 9500 RPM,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 9500 RPM,4,,6-speed,Chain   (final drive),Dual disc,Single disc,196.0 kg (432.1 pounds),0.3776 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota SB6,1996,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1074.0 ccm (65.54 cubic inches),"In-line four, four-stroke",156.0 HP (113.9  kW)) @ 10000 RPM,117.7 Nm (12.0 kgf-m or 86.8 ft.lbs) @ 9000 RPM,4,,5-speed,Chain   (final drive),Dual disc,Single disc,190.0 kg (418.9 pounds),0.8211 HP/kg,"755 mm (29.7 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva 600 W 16,1996,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",601.0 ccm (36.67 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 6000 RPM,50.0 Nm (5.1 kgf-m or 36.9 ft.lbs) @ 4200 RPM,4,,5-speed,Chain   (final drive),Single disc,Single disc,155.0 kg (341.7 pounds),0.2194 HP/kg,"875 mm (34.4 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Canyon 600,1996,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",601.0 ccm (36.67 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 6000 RPM,50.0 Nm (5.1 kgf-m or 36.9 ft.lbs) @ 4200 RPM,4,,5-speed,,Single disc,Single disc,,,"795 mm (31.3 inches) If adjustable, lowest setting.",,171.0 kg (377.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 748 Biposto,1996,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",98.0 HP (71.5  kW)) @ 11000 RPM,,4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,200.0 kg (440.9 pounds),0.4900 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 650 SE,1996,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",43.8 HP (32.0  kW)) @ 6400 RPM,95.0 Nm (9.7 kgf-m or 70.1 ft.lbs) @ 4600 RPM,4,,5-speed,Chain   (final drive),Single disc,Single disc,147.0 kg (324.1 pounds),0.2980 HP/kg,"865 mm (34.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 600 S Diversion,1996,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",598.0 ccm (36.49 cubic inches),"In-line four, four-stroke",61.0 HP (44.5  kW)) @ 8500 RPM,53.0 Nm (5.4 kgf-m or 39.1 ft.lbs) @ 7500 RPM,2,,6-speed,,Single disc,Single disc,187.0 kg (412.3 pounds),0.3262 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 593 Enduro Sport 250,1996,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",27.8 HP (20.3  kW)) @ 7000 RPM,,,,5-speed,Chain   (final drive),Single disc,Single disc,132.0 kg (291.0 pounds),0.2106 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FE 350 Elduro,1996,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",42.0 HP (30.7  kW)),,4,Liquid,6-speed,Chain   (final drive),Single disc,Single disc,115.0 kg (253.5 pounds),0.3652 HP/kg,"950 mm (37.4 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF1000R Thunderace,1996,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1002.0 ccm (61.14 cubic inches),"In-line four, four-stroke",145.0 HP (105.8  kW)) @ 10000 RPM,108.3 Nm (11.0 kgf-m or 79.9 ft.lbs) @ 8500 RPM,5,Liquid,5-speed,Chain   (final drive),,,198.0 kg (436.5 pounds),0.7323 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,11.5:1,75.5 x 56.0 mm (3.0 x 2.2 inches),Carburettor. Mikuni BDSR38/4,Double Overhead Cams/Twin Cam (DOHC),,Wet Sump,7.12 litres/100 km (14.0 km/l or 33.04 mpg),165.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Delta Box,48mm conventional telescopic,,,,120/70-17 ,190/50-17 ,,,,,1430 mm (56.3 inches),20.00 litres (5.28 US gallons),,,,,,,,,Wet Plate,4 into 1,,,,,,,,,,,,,,,3.20 seconds,10.00 seconds,,,,
Honda NTV 650,1996,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",647.0 ccm (39.48 cubic inches),"V2, four-stroke",53.0 HP (38.7  kW)) @ 7500 RPM,53.0 Nm (5.4 kgf-m or 39.1 ft.lbs) @ 6500 RPM,3,Liquid,5-speed,Shaft drive (cardan)   (final drive),Single disc,Single disc,188.0 kg (414.5 pounds),0.2819 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
