Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Comments,Max RPM,Fuel system,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Front suspension,Rear suspension,Diameter,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Color options,Starter,Seat height,Torque,0-100 km/h (0-62 mph),1/4 mile (0.4 km),"60-140 km/h (37-87 mph), highest gear",Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,Front percentage of weight,Rear percentage of weight,Alternate seat height,Engine details,Wheels,Oil capacity,Electrical,Modifications compared to previous model,Seat,Instruments,Light,Engine oil,Brake fluid,Spark plugs,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Driveline,Chain size
Suzuki T 500,1974,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",492.0 ccm (30.02 cubic inches),"Twin, two-stroke",47.0 HP (34.3  kW)) @ 7000 RPM,170.0 km/h (105.6 mph),6.6:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,187.0 kg (412.3 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 350 (6-speed),1974,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",39.0 HP (28.5  kW)) @ 7500 RPM,180.0 km/h (111.8 mph),6.6:1,64.0 x 54.0 mm (2.5 x 2.1 inches),,Membrane,Air,6-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc. Two-piston calipers. ,Expanding brake,162.0 kg (357.1 pounds),16.00 litres (4.23 US gallons),,,Carburettor. Mikuni VM28 SC,"Dual coils, breaker points ",Automatic oil injection,"Wet, multi-plate",7.15 litres/100 km (14.0 km/l or 32.90 mpg),165.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"Tubular, double cradle",Telescopic forks,Dual shocks,178 mm (7.0 inches),155.0 kg (341.7 pounds),0.2516 HP/kg,,2057 mm (81.0 inches),990 mm (39.0 inches),163 mm (6.4 inches),1321 mm (52.0 inches),,"Maroon, Orange",Electric,"800 mm (31.5 inches) If adjustable, lowest setting.",32.7 Nm (3.3 kgf-m or 24.1 ft.lbs) @ 7000 RPM,,,,27.5°,104 mm (4.1 inches),,,,,,Reed valve. ,,,,,,,,,,NGK B8HS,92,15/40 (front/rear),,,Constant mesh,530
Kawasaki 400 S 3 Mach II,1974,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",400.0 ccm (24.41 cubic inches),"In-line three, two-stroke",40.0 HP (29.2  kW)) @ 7000 RPM,167.0 km/h (103.8 mph),6.5:1,57.0 x 52.3 mm (2.2 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Single disc,Expanding brake,174.0 kg (383.6 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aermacchi Z-90,1974,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",90.0 ccm (5.49 cubic inches),"Single cylinder, two-stroke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 F,1974,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",736.0 ccm (44.91 cubic inches),"In-line four, four-stroke",67.0 HP (48.9  kW)) @ 8000 RPM,190.0 km/h (118.1 mph),9.0:1,61.0 x 63.0 mm (2.4 x 2.5 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,235.0 kg (518.1 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantic TX 141 Chopper,1974,Classic," 2.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",12.0 HP (8.8  kW)) @ 6870 RPM,103.0 km/h (64.0 mph),9.3:1,55.0 x 52.0 mm (2.2 x 2.0 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-16 ,5.00-16 ,Expanding brake,Expanding brake,110.0 kg (242.5 pounds),6.00 litres (1.59 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 750 GT,1974,Sport touring," 2.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",743.0 ccm (45.34 cubic inches),"In-line four, four-stroke",69.0 HP (50.4  kW)) @ 8450 RPM,205.0 km/h (127.4 mph),9.5:1,65.0 x 56.0 mm (2.6 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-18 ,4.00-18 ,Dual disc,Expanding brake,246.0 kg (542.3 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ 125 Sport,1974,Touring," 2.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",123.2 ccm (7.52 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)),99.8 km/h (62.0 mph),8.8:1,52.0 x 58.0 mm (2.0 x 2.3 inches),,,Air,4-speed,Chain   (final drive),3.00-18 ,3.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,11.50 litres (3.04 US gallons),,5750,Carburettor. Jikov 24mm,,Fuel mix,Wet plate,,,Single pipe,Tubular,Forks,Twin shocks,160 mm (6.3 inches),112.0 kg (246.9 pounds),0.0982 HP/kg,1005 mm (39.6 inches),1295 mm (51.0 inches),650 mm (25.6 inches),84 mm (3.3 inches),1950 mm (76.8 inches),,,Kick,,,,,,,,130 mm (5.1 inches),100 mm (3.9 inches),,,,,,,,,,,,,,,,,,,,
Yamaha DT 125 E,1974,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",13.0 HP (9.5  kW)) @ 7000 RPM,105.0 km/h (65.2 mph),7.0:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,Membrane,Air,5-speed,Chain   (final drive),2.75-21 ,3.25-18 ,Expanding brake,Expanding brake,103.0 kg (227.1 pounds),7.00 litres (1.85 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 750 Sei,1974,Sport touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",747.0 ccm (45.58 cubic inches),"In-line six, four-stroke",58.0 HP (42.3  kW)) @ 8500 RPM,180.0 km/h (111.8 mph),9.8:1,56.0 x 50.6 mm (2.2 x 2.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Dual disc,Expanding brake,255.0 kg (562.2 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 7 850 California,1974,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 6100 RPM,175.0 km/h (108.7 mph),9.2:1,83.0 x 78.0 mm (3.3 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),4.00-18 ,4.00-18 ,Single disc,Expanding brake,263.0 kg (579.8 pounds),22.50 litres (5.94 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 125,1974,Classic," 2.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 9500 RPM,127.0 km/h (78.9 mph),6.8:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,Membrane,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,117.0 kg (257.9 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 3 1-2 V,1974,Sport touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",344.0 ccm (20.99 cubic inches),"V2, four-stroke",35.0 HP (25.5  kW)) @ 8200 RPM,161.0 km/h (100.0 mph),10.0:1,62.0 x 57.0 mm (2.4 x 2.2 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),3.25-18 ,4.10-18 ,Expanding brake,Expanding brake,150.0 kg (330.7 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch 125 GS,1974,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",14.0 HP (10.2  kW)) @ 8200 RPM,100.0 km/h (62.1 mph),11.5:1,55.0 x 52.0 mm (2.2 x 2.0 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-21 ,3.50-18 ,Expanding brake,Expanding brake,124.0 kg (273.4 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBK 350,1974,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"In-line three, two-stroke",38.0 HP (27.7  kW)) @ 7800 RPM,165.0 km/h (102.5 mph),10.0:1,53.0 x 52.8 mm (2.1 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,174.0 kg (383.6 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CR250M,1974,Cross / motocross," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",28.0 HP (20.4  kW)) @ 7500 RPM,,,,,Port control,Air,5-speed,Chain   (final drive),,,Expanding brake (drum brake). drum,Expanding brake (drum brake). drum,,,"A 2-stroke engine, the CR250M was a 250cc production motocross machine, with an aluminum tank and other light-weight parts, making it as light as a works machine.It lead the motocross championships for years dominating winning many of races.   

It weighed in at a wafting light 214 pounds and had 7.1 inches of travel up front,  The Elsinore had rear wheel 28 horsepower. It lead the way for Honda Victorys in the motocross and all started with this bike .",,Carburettor,,,,,,downswept system,Chrome-Molybdenum Tubular,,,,,,,,,,,,One color was available: the fuel tank was polished aluminum with no paint except for a green stripe on top. The number plates were silver metallic with a green center panel. The fenders were plastic painted silver metallic.,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 90-6,1974,Sport touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",898.0 ccm (54.80 cubic inches),"Two cylinder boxer, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,184.0 km/h (114.3 mph),9.0:1,90.0 x 70.6 mm (3.5 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18- ,Single disc,Expanding brake,227.0 kg (500.4 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha 125 MX,1974,Cross / motocross,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,,,,,Air,5-speed,,,,,,,,,,Carburettor,,Stock - yamalube oil injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 550,1974,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",543.0 ccm (33.13 cubic inches),"In-line three, two-stroke",48.0 HP (35.0  kW)) @ 7500 RPM,178.0 km/h (110.6 mph),6.8:1,61.0 x 62.0 mm (2.4 x 2.4 inches),,Port control,Air,6-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,190.0 kg (418.9 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 250 S 1 Mach I,1974,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"In-line three, two-stroke",28.0 HP (20.4  kW)) @ 8000 RPM,150.0 km/h (93.2 mph),7.5:1,45.0 x 52.3 mm (1.8 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,Expanding brake,150.0 kg (330.7 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 750,1974,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",739.0 ccm (45.09 cubic inches),"In-line three, two-stroke",52.0 HP (38.0  kW)) @ 6500 RPM,171.0 km/h (106.3 mph),6.7:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,Port control,Liquid,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Expanding brake,251.0 kg (553.4 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 350 F,1974,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"In-line four, four-stroke",34.0 HP (24.8  kW)) @ 9200 RPM,159.0 km/h (98.8 mph),9.3:1,47.0 x 50.0 mm (1.9 x 2.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,178.0 kg (392.4 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 750 SS Daytona,1974,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",743.0 ccm (45.34 cubic inches),"In-line four, four-stroke",76.0 HP (55.5  kW)) @ 9900 RPM,235.0 km/h (146.0 mph),10.0:1,65.0 x 56.0 mm (2.6 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-18 ,4.00-18 ,Dual disc,Expanding brake,240.0 kg (529.1 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH 1000 Sportster,1974,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 6000 RPM,180.0 km/h (111.8 mph),9.0:1,81.0 x 96.8 mm (3.2 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.75-19 ,4.25-18 ,Single disc,Expanding brake,240.0 kg (529.1 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MB-750M,1974,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,746.0 ccm (45.52 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 4900 RPM,,,78.0 x 78.0 mm (3.1 x 3.1 inches),,,,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,Military model made in Kiev 1973-1977.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 750 H 2 Mach IV,1974,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"In-line three, two-stroke",71.0 HP (51.8  kW)) @ 6800 RPM,203.0 km/h (126.1 mph),7.0:1,71.0 x 63.0 mm (2.8 x 2.5 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,210.0 kg (463.0 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa-CZ 175,1974,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",172.0 ccm (10.50 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 5600 RPM,110.0 km/h (68.4 mph),8.7:1,58.0 x 65.0 mm (2.3 x 2.6 inches),,Port control,Air,4-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Expanding brake,Expanding brake,120.0 kg (264.6 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules K 125 Military,1974,Classic," 2.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 7000 RPM,94.0 km/h (58.4 mph),9.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,135.0 kg (297.6 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pannonia P 21,1974,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Twin, two-stroke",22.0 HP (16.1  kW)) @ 6500 RPM,125.0 km/h (77.7 mph),11.5:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,Expanding brake,135.0 kg (297.6 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 250 Scrambler,1974,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 7500 RPM,125.0 km/h (77.7 mph),9.7:1,74.0 x 57.8 mm (2.9 x 2.3 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-19 ,4.00-18 ,Expanding brake,Expanding brake,138.0 kg (304.2 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 360,1974,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",360.0 ccm (21.97 cubic inches),"Twin, four-stroke",34.0 HP (24.8  kW)),,,,,,,,,,,,,,,,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 250 2 C,1974,Sport touring," 2.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",231.0 ccm (14.10 cubic inches),"Twin, two-stroke",24.0 HP (17.5  kW)) @ 7500 RPM,150.0 km/h (93.2 mph),10.3:1,56.0 x 47.0 mm (2.2 x 1.9 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,Expanding brake,134.0 kg (295.4 pounds),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda SL 125 S,1974,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 9700 RPM,102.0 km/h (63.4 mph),9.5:1,56.0 x 49.5 mm (2.2 x 1.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-21 ,3.25-18 ,Expanding brake,Expanding brake,108.0 kg (238.1 pounds),7.50 litres (1.98 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural M-63 (with sidecar),1974,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",20.6 HP (15.0  kW)) @ 5200 RPM,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,,Air,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,Motorcycle model made by Ural from 1963 to 1980.,,,,,,,,,,,,,320.0 kg (705.5 pounds),0.0644 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 900 Z 1 Super 4,1974,Classic," 4.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",903.0 ccm (55.10 cubic inches),"In-line four, four-stroke",79.0 HP (57.7  kW)) @ 8500 RPM,211.0 km/h (131.1 mph),8.5:1,66.0 x 66.0 mm (2.6 x 2.6 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Expanding brake,249.0 kg (549.0 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 450 Mark 3 D,1974,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",435.0 ccm (26.54 cubic inches),"Single cylinder, four-stroke",31.0 HP (22.6  kW)) @ 7000 RPM,155.0 km/h (96.3 mph),9.3:1,86.0 x 75.0 mm (3.4 x 3.0 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Single disc,Expanding brake,139.0 kg (306.4 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V7 850 GT,1974,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 6100 RPM,181.0 km/h (112.5 mph),9.2:1,83.0 x 78.0 mm (3.3 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),4.00-18 ,4.00-18 ,Single disc,Expanding brake,255.0 kg (562.2 pounds),22.50 litres (5.94 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki TS 250,1974,Trial," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",19.0 HP (13.9  kW)) @ 6500 RPM,115.0 km/h (71.5 mph),6.7:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,128.0 kg (282.2 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 350 GT,1974,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,349.0 ccm (21.30 cubic inches),"Twin, four-stroke",32.0 HP (23.4  kW)) @ 7600 RPM,155.0 km/h (96.3 mph),9.5:1,63.0 x 56.0 mm (2.5 x 2.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Expanding brake,Expanding brake,143.0 kg (315.3 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 750 SS,1974,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",73.0 HP (53.3  kW)) @ 8000 RPM,217.0 km/h (134.8 mph),9.5:1,80.0 x 74.4 mm (3.1 x 2.9 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),3.50-18 ,3.50-18 ,Dual disc,Single disc,202.0 kg (445.3 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLCH 1000 Sportster,1974,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 6000 RPM,185.0 km/h (115.0 mph),9.0:1,81.0 x 96.8 mm (3.2 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.75-19 ,4.25-18 ,Single disc,Expanding brake,220.0 kg (485.0 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 250 disc,1974,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Twin, four-stroke",30.0 HP (21.9  kW)) @ 10500 RPM,150.0 km/h (93.2 mph),9.5:1,56.0 x 50.6 mm (2.2 x 2.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Expanding brake,170.0 kg (374.8 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bultaco Metralla 250 GT,1974,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,244.0 ccm (14.89 cubic inches),"Single cylinder, two-stroke",23.0 HP (16.8  kW)) @ 7500 RPM,131.0 km/h (81.4 mph),10.0:1,72.0 x 60.0 mm (2.8 x 2.4 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-19 ,3.50-18 ,Expanding brake,Expanding brake,130.0 kg (286.6 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
