Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Torque,Fuel system,Ignition,Clutch,Trail,Front wheel travel,Rear suspension,Rear wheel travel,Dry weight,Power/weight ratio,Seat height,Ground clearance,Comments,Modifications compared to previous model,Exhaust system,Starter,Lubrication system,Fuel consumption,Greenhouse gases,Front suspension,Diameter,Oil capacity,Color options,Engine oil,Oil filter,Brake fluid,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,1/4 mile (0.4 km),Max RPM,0-100 km/h (0-62 mph),Frame type,Rake (fork angle),Overall height,Overall length,Overall width,Wheelbase
KTM Enduro 400,1990,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,344.0 ccm (20.99 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7200 RPM,110.0 km/h (68.4 mph),16.0:1,75.0 x 78.0 mm (3.0 x 3.1 inches),,Membrane & variable discharge openings,Liquid,5-speed,Chain   (final drive),3.00-21 ,140/80-18 ,Single disc,Single disc,125.0 kg (275.6 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SR 500 S,1990,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6200 RPM,134.0 km/h (83.3 mph),9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Single disc,Expanding brake,167.0 kg (368.2 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva 125 Cruiser,1990,Enduro / offroad," 2.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 9000 RPM,130.0 km/h (80.8 mph),13.0:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,Membrane & variable discharge openings,Liquid,6-speed,Chain   (final drive),2.75-21 ,4.60-17 ,Single disc,Single disc,130.0 kg (286.6 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 750 Sport,1990,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",72.0 HP (52.6  kW)) @ 8500 RPM,207.0 km/h (128.6 mph),10.0:1,88.0 x 61.5 mm (3.5 x 2.4 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),130/60-16 ,160/60-16 ,Dual disc,Single disc,198.0 kg (436.5 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Tour Glide Ultra Classic (reduced effect),1990,Touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 5000 RPM,,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT90-16T ,MT90-16T ,Dual disc,Single disc,366.0 kg (806.9 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 350 Excalibur,1990,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,344.0 ccm (20.99 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 7800 RPM,145.0 km/h (90.1 mph),11.0:1,62.0 x 57.0 mm (2.4 x 2.2 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),100/90-18 ,130/90-18 ,Single disc,Single disc,181.0 kg (399.0 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 600 F (reduced effect #2),1990,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 8200 RPM,150.0 km/h (93.2 mph),11.3:1,62.6 x 48.7 mm (2.5 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),110/80-17 ,140/80-17 ,Dual disc,Single disc,223.0 kg (491.6 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico Enduro 250,1990,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5500 RPM,100.0 km/h (62.1 mph),15.5:1,67.0 x 70.0 mm (2.6 x 2.8 inches),,Membrane & variable discharge openings,Liquid,5-speed,Chain   (final drive),3.00-21 ,4.10-18 ,Single disc,Single disc,105.0 kg (231.5 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR Big 800 S (reduced effect),1990,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",779.0 ccm (47.53 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5800 RPM,125.0 km/h (77.7 mph),9.5:1,105.0 x 90.0 mm (4.1 x 3.5 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,222.0 kg (489.4 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda ST 1100 Pan European,1990,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1084.0 ccm (66.15 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,212.0 km/h (131.7 mph),10.0:1,73.0 x 64.8 mm (2.9 x 2.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),110/80-18 ,160/70-17 ,Dual disc,Single disc,312.0 kg (687.8 pounds),28.00 litres (7.40 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 600 C,1990,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",41.0 HP (29.9  kW)) @ 6500 RPM,143.0 km/h (88.9 mph),9.2:1,75.0 x 66.0 mm (3.0 x 2.6 inches),3,Overhead Cams (OHC),Liquid,4-speed,Chain   (final drive),100/90-19 ,170/80-15 ,Single disc,Expanding brake,212.0 kg (467.4 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 305 Belt Drive (reduced effect #2),1990,Naked bike," 2.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",306.0 ccm (18.67 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,125.0 km/h (77.7 mph),9.7:1,61.0 x 52.4 mm (2.4 x 2.1 inches),2,Overhead Cams (OHC),Air,6-speed,Belt   (final drive),90/90-18 ,110/80-18 ,Dual disc,Expanding brake,164.0 kg (361.6 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KX 250,1990,Cross / motocross," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",52.5 HP (38.3  kW)) @ 8000 RPM,,,67.4 x 70.0 mm (2.7 x 2.8 inches),,,Liquid,5-speed,,80/100-21 51 ,110/90-19 62 ,Single disc,Single disc,,8.50 litres (2.25 US gallons),47.5 Nm (4.8 kgf-m or 35.0 ft.lbs) @ 7500 RPM,Carburettor,CDI,,113 mm (4.4 inches),310 mm (12.2 inches),Monoshock,330 mm (13.0 inches),96.5 kg (212.7 pounds),0.5440 HP/kg,,385 mm (15.2 inches),,,,Kick,,,,Inverted Forks,190 mm (7.5 inches),,,,,,,,,,,,,,,,,,26.5°,1215 mm (47.8 inches),2177 mm (85.7 inches),815 mm (32.1 inches),1480 mm (58.3 inches)
Yamaha XT 600,1990,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)) @ 6500 RPM,146.0 km/h (90.7 mph),8.5:1,95.0 x 84.0 mm (3.7 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.60-18 ,Single disc,Expanding brake,154.0 kg (339.5 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR Big 800 S,1990,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",779.0 ccm (47.53 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 6600 RPM,163.0 km/h (101.3 mph),9.5:1,105.0 x 90.0 mm (4.1 x 3.5 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,222.0 kg (489.4 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 550 GT,1990,Touring," 4.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,177.0 km/h (110.0 mph),9.5:1,58.0 x 52.4 mm (2.3 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Shaft drive (cardan)   (final drive),100/90-19 ,120/90-18 ,Dual disc,Expanding brake,221.0 kg (487.2 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules K 125 Military,1990,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 7000 RPM,100.0 km/h (62.1 mph),9.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,130.0 kg (286.6 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX-10,1990,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",137.0 HP (100.0  kW)) @ 10000 RPM,269.0 km/h (167.1 mph),11.0:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,160/60-18 ,Double disc,Single disc,261.0 kg (575.4 pounds),22.00 litres (5.81 US gallons),102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 9000 RPM,Carburettor. 36 mm semi-downdraft CV carburetors,,,99 mm (3.9 inches),,"Monoshock, adjustable",,245.0 kg (540.1 pounds),0.5592 HP/kg,,,Also called Kawasaki ZX-10 Tomcat.,,,Electric,,5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Telescopic fork, 41mm",250 mm (9.8 inches),,,,,,,,,,,,,,,,,Aluminum perimeter,26.5°,,,,1490 mm (58.7 inches)
Kawasaki GPZ 500 S (reduced effect #2),1990,Sport touring," 2.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8500 RPM,154.0 km/h (95.7 mph),10.8:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),100/90-16 ,120/90-16 ,Dual disc,Expanding brake,196.0 kg (432.1 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLTC 1340 Tour Glide Classic,1990,Touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1331.0 ccm (81.22 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5000 RPM,,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT90-16T ,MT90-16T ,Dual disc,Single disc,360.0 kg (793.7 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Elefant 750,1990,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 8000 RPM,166.0 km/h (103.1 mph),9.3:1,88.0 x 61.5 mm (3.5 x 2.4 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,213.0 kg (469.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 550 (reduced effect),1990,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,176.0 km/h (109.4 mph),10.0:1,58.0 x 52.4 mm (2.3 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),100/90-18 ,120/80-18 ,Dual disc,Single disc,209.0 kg (460.8 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta ALP 240,1990,Trial," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",239.0 ccm (14.58 cubic inches),"Single cylinder, two-stroke",12.0 HP (8.8  kW)) @ 5800 RPM,85.0 km/h (52.8 mph),10.0:1,72.8 x 57.5 mm (2.9 x 2.3 inches),,Membrane,Air,6-speed,Chain   (final drive),2.75-21 ,4.00-18 ,Single disc,Single disc,86.0 kg (189.6 pounds),5.50 litres (1.45 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZR 1000 (reduced effect),1990,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1002.0 ccm (61.14 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9500 RPM,234.0 km/h (145.4 mph),12.0:1,75.5 x 56.0 mm (3.0 x 2.2 inches),5,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),130/60-17 ,170/60-17 ,Dual disc,Single disc,236.0 kg (520.3 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 250 Virago (reduced effect),1990,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"V2, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,111.0 km/h (69.0 mph),10.0:1,49.0 x 66.0 mm (1.9 x 2.6 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,130/90-15 ,Single disc,Expanding brake,154.0 kg (339.5 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM Enduro 250 TVC,1990,Enduro / offroad," 4.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7400 RPM,,6.7:1,67.5 x 69.5 mm (2.7 x 2.7 inches),,Membrane & variable discharge openings,Liquid,5-speed,Chain   (final drive),90/90-21 ,140/80-18 ,Single disc,Single disc,103.0 kg (227.1 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli BX 125 Enduro,1990,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,114.0 km/h (70.8 mph),11.5:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,Membrane,Liquid,6-speed,Chain   (final drive),2.75-21 ,4.10-18 ,Single disc,Expanding brake,112.0 kg (246.9 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NX 250 (reduced effect),1990,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,118.0 km/h (73.3 mph),11.0:1,70.0 x 64.8 mm (2.8 x 2.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),100/90-19 ,120/90-16 ,Single disc,Expanding brake,133.0 kg (293.2 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 305 Belt Drive,1990,Allround," 2.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",306.0 ccm (18.67 cubic inches),"Twin, four-stroke",34.0 HP (24.8  kW)) @ 10000 RPM,152.0 km/h (94.4 mph),9.7:1,61.0 x 52.4 mm (2.4 x 2.1 inches),2,Overhead Cams (OHC),Air,6-speed,Belt   (final drive),90/90-18 ,110/80-18 ,Dual disc,Expanding brake,164.0 kg (361.6 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 650 RS,1990,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",640.0 ccm (39.05 cubic inches),"Single cylinder, four-stroke",46.0 HP (33.6  kW)) @ 6800 RPM,156.0 km/h (96.9 mph),9.7:1,95.0 x 90.4 mm (3.7 x 3.6 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,120/90-17 ,Single disc,Single disc,184.0 kg (405.7 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KMX 200,1990,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",192.0 ccm (11.72 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 8500 RPM,109.0 km/h (67.7 mph),8.0:1,67.0 x 54.4 mm (2.6 x 2.1 inches),,Membrane & variable discharge openings,Liquid,6-speed,Chain   (final drive),3.00-21 ,4.60-17 ,Single disc,Single disc,120.0 kg (264.6 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico Enduro 500,1990,Cross / motocross,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,488.0 ccm (29.78 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5600 RPM,100.0 km/h (62.1 mph),13.5:1,86.5 x 83.0 mm (3.4 x 3.3 inches),,Membrane & variable discharge openings,Liquid,5-speed,Chain   (final drive),3.00-21 ,4.60-18 ,Single disc,Single disc,109.0 kg (240.3 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VFR 750 R - RC 30,1990,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",112.0 HP (81.8  kW)) @ 11000 RPM,,11.0:1,70.0 x 48.6 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,170/60-18 ,Dual disc,Single disc,210.0 kg (463.0 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 501 Excalibur,1990,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,507.0 ccm (30.94 cubic inches),"V2, four-stroke",41.0 HP (29.9  kW)) @ 8500 RPM,149.0 km/h (92.6 mph),11.5:1,71.0 x 64.0 mm (2.8 x 2.5 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),100/90-18 ,130/90-16 ,Single disc,Single disc,193.0 kg (425.5 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPX 600 R,1990,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",592.0 ccm (36.12 cubic inches),"In-line four, four-stroke",85.0 HP (62.0  kW)) @ 11000 RPM,226.0 km/h (140.4 mph),11.7:1,60.0 x 52.4 mm (2.4 x 2.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),110/80-16 ,130/90-16 ,Dual disc,Single disc,206.0 kg (454.2 pounds),19.50 litres (5.15 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XRV 750 Africa Twin,1990,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",742.0 ccm (45.28 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 7500 RPM,170.0 km/h (105.6 mph),9.0:1,81.0 x 72.0 mm (3.2 x 2.8 inches),3,Overhead Cams (OHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,130/90-17 ,Dual disc,Single disc,237.0 kg (522.5 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SRX 6 (reduced effect),1990,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",608.0 ccm (37.10 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,150.0 km/h (93.2 mph),8.5:1,96.0 x 84.0 mm (3.8 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),100/80-18 ,120/80-18 ,Dual disc,Single disc,172.0 kg (379.2 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZR 600 (reduced effect),1990,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8000 RPM,180.0 km/h (111.8 mph),12.0:1,59.0 x 54.8 mm (2.3 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),110/70-17 ,130/70-18 ,Dual disc,Single disc,208.0 kg (458.6 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Tuareg 600 Wind,1990,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 7000 RPM,155.0 km/h (96.3 mph),9.4:1,94.0 x 81.0 mm (3.7 x 3.2 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Dual disc,Single disc,182.0 kg (401.2 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva T4 500 E,1990,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",451.0 ccm (27.52 cubic inches),"Single cylinder, four-stroke",38.0 HP (27.7  kW)) @ 7000 RPM,141.0 km/h (87.6 mph),9.0:1,94.0 x 65.0 mm (3.7 x 2.6 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,5.10-17 ,Single disc,Expanding brake,160.0 kg (352.7 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chang-Jiang 750 BG (with sidecar),1990,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",27.0 HP (19.7  kW)) @ 5000 RPM,110.0 km/h (68.4 mph),7.0:1,78.0 x 78.0 mm (3.1 x 3.1 inches),2,Overhead Valves (OHV),Air,4-speed,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,350.0 kg (771.6 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHS 1340 Electra Glide Sport,1990,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5000 RPM,,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT90-16T ,MT90-16T ,Dual disc,Single disc,343.0 kg (756.2 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki LS 650 Savage,1990,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5200 RPM,127.0 km/h (78.9 mph),8.5:1,94.0 x 94.0 mm (3.7 x 3.7 inches),4,Overhead Cams (OHC),Air,4-speed,Belt   (final drive),100/90-19 ,140/80-15 ,Single disc,Expanding brake,171.0 kg (377.0 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
