Model,Year,Category,Rating,Displacement,Engine type,Power,Compression,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Exhaust system,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Color options,Starter,Modifications compared to previous model,Top speed,Bore x stroke,Valves per cylinder,Fuel capacity,Max RPM,Rake (fork angle),Trail,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Torque,1/4 mile (0.4 km),Diameter,Dry weight,Power/weight ratio,Fuel consumption,Greenhouse gases,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Front wheel travel,Rear wheel travel,Comments,0-100 km/h (0-62 mph),Front percentage of weight,Rear percentage of weight
Suzuki GSX 1100 EF (reduced effect),1987,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1135.0 ccm (69.26 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8100 RPM,9.7:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,5-speed,Chain   (final drive),,,,,,110/90-16 ,130/90-17 ,Dual disc,Single disc,256.0 kg (564.4 pounds),,,,230.0 km/h (142.9 mph),74.0 x 66.0 mm (2.9 x 2.6 inches),4,20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 1000 California III,1987,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 6500 RPM,9.2:1,,Overhead Valves (OHV),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,110/90-18 ,120/90-18 ,Dual disc,Single disc,290.0 kg (639.3 pounds),,,,164.0 km/h (101.9 mph),88.0 x 78.0 mm (3.5 x 3.1 inches),2,26.00 litres (6.87 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 350 X2 Kanguro,1987,Enduro / offroad," 2.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",344.0 ccm (20.99 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 7900 RPM,11.0:1,,Overhead Valves (OHV),,,Air,6-speed,Chain   (final drive),,,,,,3.00-21 ,4.00-18 ,Single disc,Expanding brake,160.0 kg (352.7 pounds),,,,140.0 km/h (87.0 mph),62.0 x 57.0 mm (2.4 x 2.2 inches),2,14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda OR 600 Atlas,1987,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",571.0 ccm (34.84 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 7500 RPM,9.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,6-speed,Chain   (final drive),,,,,,90/90-21 ,5.10-17 ,Single disc,Single disc,206.0 kg (454.2 pounds),,,,159.0 km/h (98.8 mph),76.0 x 63.0 mm (3.0 x 2.5 inches),4,25.00 litres (6.61 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki TS 250 X,1987,Enduro / offroad," 2.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 7300 RPM,7.4:1,,Membrane & variable discharge openings,,,Liquid,5-speed,Chain   (final drive),,,,,,3.00-21 ,130/80-17 ,Single disc,Expanding brake,123.0 kg (271.2 pounds),,,,121.0 km/h (75.2 mph),70.0 x 64.8 mm (2.8 x 2.6 inches),,12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 350 (reduced effect),1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Twin, two-stroke",50.0 HP (36.5  kW)) @ 9200 RPM,6.0:1,,Membrane & power valve,,,Liquid,6-speed,Chain   (final drive),,,,,,90/90-18 ,110/80-18 ,Dual disc,Single disc,170.0 kg (374.8 pounds),,,,184.0 km/h (114.3 mph),64.0 x 54.0 mm (2.5 x 2.1 inches),,20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 500 Sei-V Klassik,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,478.0 ccm (29.17 cubic inches),"V2, four-stroke",42.0 HP (30.7  kW)) @ 7500 RPM,11.2:1,,Overhead Valves (OHV),,,Air,6-speed,Chain   (final drive),,,,,,100/90-18 ,120/90-18 ,Dual disc,Single disc,180.0 kg (396.8 pounds),,,,155.0 km/h (96.3 mph),69.0 x 64.0 mm (2.7 x 2.5 inches),2,16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 500 S,1987,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",60.0 HP (43.8  kW)) @ 9800 RPM,10.8:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),,,,,,100/90-16 ,120/90-16 ,Single disc,Expanding brake,196.0 kg (432.1 pounds),,,,195.0 km/h (121.2 mph),74.0 x 58.0 mm (2.9 x 2.3 inches),4,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia TX 125,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 7000 RPM,9.5:1,,Rotary valves,,,Liquid,6-speed,Chain   (final drive),,,,,,2.75-21 ,4.00-18 ,Single disc,Expanding brake,85.0 kg (187.4 pounds),,,,100.0 km/h (62.1 mph),51.0 x 54.0 mm (2.0 x 2.1 inches),,10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 900 Sei Sport,1987,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,905.0 ccm (55.22 cubic inches),"In-line six, four-stroke",80.0 HP (58.4  kW)) @ 8300 RPM,9.5:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,120/80-16 ,150/70-18 ,Dual disc,Single disc,231.0 kg (509.3 pounds),,,,201.0 km/h (124.9 mph),60.0 x 53.4 mm (2.4 x 2.1 inches),2,17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHT 1340 Electra Glide,1987,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 5000 RPM,8.5:1,,Overhead Valves (OHV),,,Air,5-speed,Belt   (final drive),,,,,,MT80-16 ,MT90-16T ,Dual disc,Single disc,345.0 kg (760.6 pounds),,,,150.0 km/h (93.2 mph),88.8 x 108.0 mm (3.5 x 4.3 inches),2,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaguti 125 YLC,1987,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7250 RPM,7.2:1,,Membrane,,,Liquid,6-speed,Chain   (final drive),,,,,,3.00-21 ,4.60-17 ,Single disc,Expanding brake,110.0 kg (242.5 pounds),,,,125.0 km/h (77.7 mph),56.0 x 50.0 mm (2.2 x 2.0 inches),,11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch GS 350 F 5,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 7300 RPM,13.0:1,,Membrane,,,Liquid,5-speed,Chain   (final drive),,,,,,3.00-21 ,4.50-18 ,Single disc,Expanding brake,102.0 kg (224.9 pounds),,,,120.0 km/h (74.6 mph),82.0 x 66.0 mm (3.2 x 2.6 inches),,9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM Enduro 600 LC 4,1987,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",553.0 ccm (33.74 cubic inches),"Single cylinder, four-stroke",49.0 HP (35.8  kW)) @ 7000 RPM,10.0:1,,Overhead Cams (OHC),,,Liquid,5-speed,Chain   (final drive),,,,,,90/90-21 ,130/80-18 ,Single disc,Single disc,134.0 kg (295.4 pounds),,,,162.0 km/h (100.7 mph),95.0 x 78.0 mm (3.7 x 3.1 inches),4,8.70 litres (2.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 750 Twin,1987,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 7500 RPM,10.3:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-19 ,150/90-15 ,Dual disc,Expanding brake,244.0 kg (537.9 pounds),,,,162.0 km/h (100.7 mph),84.9 x 66.2 mm (3.3 x 2.6 inches),4,13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 750 C,1987,Custom / cruiser," 4.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",82.0 HP (59.9  kW)) @ 9500 RPM,10.5:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Shaft drive (cardan)   (final drive),,,,,,110/90-18 ,130/90-16 ,Dual disc,Expanding brake,240.0 kg (529.1 pounds),,,,187.0 km/h (116.2 mph),70.0 x 48.6 mm (2.8 x 1.9 inches),4,14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 600 RM (reduced effect),1987,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",591.0 ccm (36.06 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,8.8:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,3.00-21 ,5.10-17 ,Single disc,Expanding brake,169.0 kg (372.6 pounds),,,,135.0 km/h (83.9 mph),97.0 x 80.0 mm (3.8 x 3.1 inches),4,13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Tuareg 125 ES,1987,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",25.0 HP (18.2  kW)) @ 9000 RPM,15.5:1,,Membrane,,,Liquid,6-speed,Chain   (final drive),,,,,,2.75-21 ,4.60-17 ,Single disc,Expanding brake,120.0 kg (264.6 pounds),,,,130.0 km/h (80.8 mph),54.0 x 54.0 mm (2.1 x 2.1 inches),,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100,1987,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",987.0 ccm (60.23 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,10.2:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-18 ,130/90-17 ,Dual disc,Single disc,243.0 kg (535.7 pounds),,,,218.0 km/h (135.5 mph),67.0 x 70.0 mm (2.6 x 2.8 inches),2,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch GS 125 HF,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",9.8 HP (7.2  kW)) @ 10000 RPM,15.0:1,,Membrane,,,Liquid,6-speed,Chain   (final drive),,,,,,3.00-21 ,4.50-18 ,Expanding brake,Expanding brake,100.0 kg (220.5 pounds),,,,100.0 km/h (62.1 mph),54.0 x 54.0 mm (2.1 x 2.1 inches),,9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 1000 RGS-Jota,1987,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,980.0 ccm (59.80 cubic inches),"In-line three, four-stroke",82.0 HP (59.9  kW)) @ 7900 RPM,9.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,5-speed,Chain   (final drive),,,,,,100/90-18 ,120/90-18 ,Dual disc,Single disc,265.0 kg (584.2 pounds),,,,215.0 km/h (133.6 mph),75.0 x 74.0 mm (3.0 x 2.9 inches),2,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chang-Jiang 750 BG (with sidecar),1987,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",27.0 HP (19.7  kW)) @ 5000 RPM,7.0:1,,Overhead Valves (OHV),,,Air,4-speed,Shaft drive (cardan)   (final drive),,,,,,3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,350.0 kg (771.6 pounds),,,,110.0 km/h (68.4 mph),78.0 x 78.0 mm (3.1 x 3.1 inches),2,24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN-15,1987,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1470.0 ccm (89.70 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 4500 RPM,9.0:1,,Overhead Cams (OHC),,,Liquid,4-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-19 ,150/90-15 ,Single disc,Single disc,284.0 kg (626.1 pounds),,,,179.0 km/h (111.2 mph),102.0 x 90.0 mm (4.0 x 3.5 inches),4,16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHTC 1340 Electra Glide Classic,1987,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 5000 RPM,8.5:1,,Overhead Valves (OHV),,,Air,5-speed,Belt   (final drive),,,,,,MT80-16 ,MT90-16T ,Dual disc,Single disc,350.0 kg (771.6 pounds),,,,150.0 km/h (93.2 mph),88.8 x 108.0 mm (3.5 x 4.3 inches),2,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Mille GT,1987,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,948.0 ccm (57.85 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 6700 RPM,9.2:1,,Overhead Valves (OHV),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,110/90-18 ,120/90-18 ,Dual disc,Single disc,246.0 kg (542.3 pounds),,,,171.0 km/h (106.3 mph),88.0 x 78.0 mm (3.5 x 3.1 inches),2,22.50 litres (5.94 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 500 LC,1987,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"V4, two-stroke",88.0 HP (64.2  kW)) @ 9500 RPM,6.6:1,,Membrane & power valve,,,Liquid,6-speed,Chain   (final drive),,,,,,120/80-16 ,130/80-18 ,Dual disc,Single disc,216.0 kg (476.2 pounds),,,,223.0 km/h (138.6 mph),56.4 x 50.0 mm (2.2 x 2.0 inches),,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SRX 250,1987,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 9000 RPM,,Carburettor,Double Overhead Cams/Twin Cam (DOHC),,,Air,6-speed,Belt   (final drive),,,,,,90/90-16 ,100/90-18 ,Single disc,Expanding brake (drum brake),137.0 kg (302.0 pounds),,Electric,,136.0 km/h (84.5 mph),73.0 x 59.0 mm (2.9 x 2.3 inches),,,,,,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 75 (reduced effect),1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6400 RPM,10.2:1,,Overhead Valves (OHV),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-16 ,120/80-18 ,Dual disc,Single disc,200.0 kg (440.9 pounds),,,,175.0 km/h (108.7 mph),80.0 x 74.0 mm (3.1 x 2.9 inches),4,17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 900 Sei,1987,Sport touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",905.0 ccm (55.22 cubic inches),"In-line six, four-stroke",80.0 HP (58.4  kW)) @ 8300 RPM,9.5:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,100/90-18 ,120/90-18 ,Dual disc,Single disc,249.0 kg (549.0 pounds),,,,193.0 km/h (119.9 mph),60.0 x 53.4 mm (2.4 x 2.1 inches),2,17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia TX 311 M,1987,Trial," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",277.0 ccm (16.90 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 6400 RPM,8.5:1,,Rotary valves,,,Liquid,6-speed,Chain   (final drive),,,,,,2.75-21 ,4.00-18 ,Single disc,Expanding brake,85.0 kg (187.4 pounds),,,,125.0 km/h (77.7 mph),76.0 x 61.0 mm (3.0 x 2.4 inches),,6.50 litres (1.72 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 600 V Transalp (reduced effect),1987,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,9.2:1,,Overhead Cams (OHC),,,Liquid,5-speed,Chain   (final drive),,,,,,90/90-21 ,130/80-17 ,Single disc,Expanding brake,205.0 kg (451.9 pounds),,,,163.0 km/h (101.3 mph),75.0 x 66.0 mm (3.0 x 2.6 inches),3,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVM 329 Jumbo,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,328.0 ccm (20.01 cubic inches),"Single cylinder, two-stroke",42.0 HP (30.7  kW)) @ 9600 RPM,10.0:1,,Rotary valves,,,Air,5-speed,Chain   (final drive),,,,,,3.00-21 ,4.50-18 ,Single disc,Single disc,96.0 kg (211.6 pounds),,,,,83.5 x 60.0 mm (3.3 x 2.4 inches),,10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 600 S,1987,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",590.0 ccm (36.00 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 6800 RPM,9.5:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,100/80-21 ,130/80-17 ,Single disc,Expanding brake,166.0 kg (366.0 pounds),,,,150.0 km/h (93.2 mph),94.0 x 85.0 mm (3.7 x 3.3 inches),4,20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 600 (reduced effect),1987,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 9250 RPM,10.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,6-speed,Chain   (final drive),,,,,,90/90-18 ,110/90-18 ,Dual disc,Single disc,212.0 kg (467.4 pounds),,,,177.0 km/h (110.0 mph),58.5 x 55.7 mm (2.3 x 2.2 inches),2,20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta TR 34-260,1987,Trial," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",261.0 ccm (15.93 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 5200 RPM,10.5:1,,Membrane,,,Air,6-speed,Chain   (final drive),,,,,,2.75-21 ,4.00-18 ,Single disc,Single disc,84.0 kg (185.2 pounds),,,,92.0 km/h (57.2 mph),76.0 x 57.5 mm (3.0 x 2.3 inches),,3.80 litres (1.00 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 250,1987,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,9.2:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,3.00-21 ,4.60-17 ,Expanding brake,Expanding brake,125.0 kg (275.6 pounds),,,,112.0 km/h (69.6 mph),75.0 x 56.5 mm (3.0 x 2.2 inches),2,8.00 litres (2.11 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 350 R,1987,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",340.0 ccm (20.75 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7500 RPM,9.5:1,,Overhead Cams (OHC),,,Air,6-speed,Chain   (final drive),,,,,,3.00-21 ,4.60-17 ,Single disc,Expanding brake,137.0 kg (302.0 pounds),,,,134.0 km/h (83.3 mph),84.0 x 61.3 mm (3.3 x 2.4 inches),4,11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 350 (reduced effect),1987,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,9.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,6-speed,Chain   (final drive),,,,,,3.00-21 ,110/80-18 ,Single disc,Expanding brake,150.0 kg (330.7 pounds),,,,116.0 km/h (72.1 mph),86.0 x 59.6 mm (3.4 x 2.3 inches),4,12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donghai SM 750,1987,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,745.0 ccm (45.46 cubic inches),"Twin, four-stroke",26.0 HP (19.0  kW)) @ 4500 RPM,7.0:1,,Overhead Valves (OHV),,,Air,4-speed,Chain   (final drive),,,,,,120/90-17 ,120/90-17 ,Expanding brake,Expanding brake,258.0 kg (568.8 pounds),,,,138.0 km/h (85.7 mph),78.0 x 78.0 mm (3.1 x 3.1 inches),2,25.00 litres (6.61 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera RX 200 Enduro,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,183.0 ccm (11.17 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,12.5:1,,Membrane,,,Liquid,6-speed,Chain   (final drive),,,,,,2.45-21 ,4.60-17/62 ,Single disc,Expanding brake,136.0 kg (299.8 pounds),,,,115.0 km/h (71.5 mph),68.0 x 50.5 mm (2.7 x 2.0 inches),,13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horex Columbus 600,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 7500 RPM,9.6:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,110/90-16 ,130/90-16 ,Dual disc,Single disc,166.0 kg (366.0 pounds),,,,185.0 km/h (115.0 mph),94.0 x 81.0 mm (3.7 x 3.2 inches),4,17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 883 Evolution,1987,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 6000 RPM,9.0:1,,Overhead Valves (OHV),,,Air,4-speed,Chain   (final drive),,,,,,MJ 90-19 ,MT 90-16 ,Single disc,Single disc,222.0 kg (489.4 pounds),,,,149.0 km/h (92.6 mph),76.2 x 96.8 mm (3.0 x 3.8 inches),2,8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 305 Belt Drive (reduced effect),1987,Naked bike," 2.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",306.0 ccm (18.67 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,9.7:1,,Overhead Cams (OHC),,,Air,6-speed,Belt   (final drive),,,,,,90/90-18 ,110/80-18 ,Dual disc,Expanding brake,164.0 kg (361.6 pounds),,,,125.0 km/h (77.7 mph),61.0 x 52.4 mm (2.4 x 2.1 inches),2,16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 3 1-2 S Klassik,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,344.0 ccm (20.99 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 7800 RPM,11.0:1,,Overhead Valves (OHV),,,Air,6-speed,Chain   (final drive),,,,,,100/90-18 ,110/90-18 ,Expanding brake,Expanding brake,160.0 kg (352.7 pounds),,,,150.0 km/h (93.2 mph),62.0 x 57.0 mm (2.4 x 2.2 inches),2,14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
