Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Bore x stroke,Valves per cylinder,Fuel system,Gearbox,Transmission type,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Wheelbase,Fuel capacity,Cooling system,Starter,"Weight incl. oil, gas, etc",Compression,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Frame type,Trail,Front suspension,Rear suspension,Alternate seat height,Overall height,Reserve fuel capacity,Oil capacity,Electrical,Engine oil,Oil filter,Brake fluid,Coolant,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Overall length,Overall width,0-100 km/h (0-62 mph),"60-140 km/h (37-87 mph), highest gear",Front percentage of weight,Fuel control,Rake (fork angle),Ground clearance,Color options,Chain size,Max RPM,Exhaust system,Comments,Driveline,Battery,Rear percentage of weight,Engine details,Modifications compared to previous model
Honda VT 125 C2 Shadow,2001,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"V2, four-stroke",15.0 HP (10.9  kW)) @ 11000 RPM,10.7 Nm (1.1 kgf-m or 7.9 ft.lbs) @ 9000 RPM,111.0 km/h (69.0 mph),42.0 x 45.0 mm (1.7 x 1.8 inches),4,Carburettor,5-speed,Chain   (final drive),110 mm (4.3 inches),80 mm (3.1 inches),100/90-17 ,130/90-15 ,Single disc,130 mm (5.1 inches),Expanding brake,145.0 kg (319.7 pounds),0.1034 HP/kg,"680 mm (26.8 inches) If adjustable, lowest setting.",1524 mm (60.0 inches),14.50 litres (3.83 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCM 604 Roadster,2001,Super motard," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",597.0 ccm (36.43 cubic inches),"Single cylinder, four-stroke",53.0 HP (38.7  kW)) @ 7500 RPM,,160.0 km/h (99.4 mph),97.0 x 81.0 mm (3.8 x 3.2 inches),4,Carburettor,5-speed,Chain   (final drive),,,120/70-17 ,150/60-70 ,Single disc,220 mm (8.7 inches),Single disc,138.0 kg (304.2 pounds),0.3841 HP/kg,"865 mm (34.1 inches) If adjustable, lowest setting.",1482 mm (58.3 inches),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 1200 Bandit S,2001,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1157.0 ccm (70.60 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8500 RPM,91.0 Nm (9.3 kgf-m or 67.1 ft.lbs) @ 4500 RPM,230.0 km/h (142.9 mph),79.0 x 59.0 mm (3.1 x 2.3 inches),4,Carburettor,5-speed,Chain   (final drive),130 mm (5.1 inches),125 mm (4.9 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,240 mm (9.4 inches),Single disc,220.0 kg (485.0 pounds),0.4455 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1430 mm (56.3 inches),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda ST 1100 Pan-European,2001,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1085.0 ccm (66.21 cubic inches),"V4, four-stroke",98.0 HP (71.5  kW)) @ 7500 RPM,109.0 Nm (11.1 kgf-m or 80.4 ft.lbs) @ 6000 RPM,217.0 km/h (134.8 mph),73.0 x 64.8 mm (2.9 x 2.6 inches),4,"Carburettor. CV-type, 34 mm",5-speed,Shaft drive (cardan)   (final drive),150 mm (5.9 inches),120 mm (4.7 inches),120/70-ZR18 ,160/70-ZR17 ,Double disc. ABS. ,296 mm (11.7 inches),Single disc. ABS. ,297.0 kg (654.8 pounds),0.3300 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",1555 mm (61.2 inches),28.00 litres (7.40 US gallons),Liquid,Electric,325.0 kg (716.5 pounds),10.0:1,Computer-controlled digital transistorized. ,,,,,Steel tube,101 mm (4.0 inches),"Air-assist telescopic fork with TRACK, 43 mm",Single-side conventional damper with adjustable preload and rebound,,,,3.70 litres (3.91 US quarts),,SAE 10W-40,K & N - KN-303,DOT 4,3.00 litres (0.79 US gallons),"NGK CR8EH-9, NGK CR8EHIX-9",1000  +/- 100  RPM,,,36 PSI (2.5 Bar or 250 kPa),42 PSI (2.9 Bar or 290 kPa),41 mm (1.6 inches),,,,,,Double Overhead Cams/Twin Cam (DOHC),27.5°,,,,,,,,YTX14-BS,,,
Triumph Legend TT,2001,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",69.0 HP (50.4  kW)) @ 8000 RPM,72.0 Nm (7.3 kgf-m or 53.1 ft.lbs) @ 4800 RPM,190.0 km/h (118.1 mph),76.0 x 65.0 mm (3.0 x 2.6 inches),4,Carburettor,5-speed,Chain   (final drive),150 mm (5.9 inches),136 mm (5.4 inches),120/70-R17 ,160/60-R17 ,Single disc,285 mm (11.2 inches),Single disc,215.0 kg (474.0 pounds),0.3209 HP/kg,"725 mm (28.5 inches) If adjustable, lowest setting.",1580 mm (62.2 inches),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta F4 Senna,2001,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",140.0 HP (102.2  kW)),79.0 Nm (8.1 kgf-m or 58.3 ft.lbs),280.0 km/h (174.0 mph),73.8 x 43.8 mm (2.9 x 1.7 inches),4,Injection,6-speed,Chain   (final drive),118 mm (4.6 inches),120 mm (4.7 inches),120/65-ZR17 ,190/50-ZR17 ,Dual disc,210 mm (8.3 inches),Single disc,188.0 kg (414.5 pounds),0.7447 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1398 mm (55.0 inches),20.00 litres (5.28 US gallons),Liquid,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 125 R,2001,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",14.0 HP (10.2  kW)) @ 7000 RPM,14.2 Nm (1.4 kgf-m or 10.5 ft.lbs) @ 7000 RPM,103.0 km/h (64.0 mph),56.0 x 50.7 mm (2.2 x 2.0 inches),,Carburettor,6-speed,Chain   (final drive),270 mm (10.6 inches),260 mm (10.2 inches),,,Single disc,220 mm (8.7 inches),Single disc,116.0 kg (255.7 pounds),0.1207 HP/kg,"890 mm (35.0 inches) If adjustable, lowest setting.",1415 mm (55.7 inches),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield Bullet 500 Standard,2001,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",22.0 HP (16.1  kW)) @ 5500 RPM,35.0 Nm (3.6 kgf-m or 25.8 ft.lbs) @ 3000 RPM,120.0 km/h (74.6 mph),84.0 x 90.0 mm (3.3 x 3.5 inches),2,Carburettor,4-speed,Chain   (final drive),150 mm (5.9 inches),130 mm (5.1 inches),90/90-19 ,100/90-19 ,Expanding brake,155 mm (6.1 inches),Expanding brake,170.0 kg (374.8 pounds),0.1294 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",1375 mm (54.1 inches),14.50 litres (3.83 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Road King,2001,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5400 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 3100 RPM,165.0 km/h (102.5 mph),95.3 x 101.6 mm (3.8 x 4.0 inches),2,Carburettor,5-speed,Belt   (final drive),117 mm (4.6 inches),76 mm (3.0 inches),130/90-16 ,130/90-16 ,Double disc. 4-piston caliper,292 mm (11.5 inches),Single disc. 4-piston caliper,,,"692 mm (27.2 inches) If adjustable, lowest setting.",1612 mm (63.5 inches),18.90 litres (4.99 US gallons),Air,Electric,345.0 kg (760.6 pounds),,,,,,,,157 mm (6.2 inches),Telescopic fork,"Dual shocks, air adjustable ",,,,3.80 litres (4.02 US quarts),,,,,,,,,,,,,,,,,,Overhead Valves (OHV),26.0°,,,,,,,,,,,
Harley-Davidson Sportster Custom 883,2001,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,49.0 Nm (5.0 kgf-m or 36.1 ft.lbs) @ 4700 RPM,,,,,5-speed,Belt   (final drive),,,,,Single disc,,Single disc,235.0 kg (518.1 pounds),0.2128 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 800 Drifter,2001,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 7500 RPM,61.0 Nm (6.2 kgf-m or 45.0 ft.lbs) @ 5500 RPM,170.0 km/h (105.6 mph),88.0 x 66.2 mm (3.5 x 2.6 inches),4,Carburettor,5-speed,Chain   (final drive),150 mm (5.9 inches),100 mm (3.9 inches),130/90-H16 ,140/90-H16 ,Single disc,270 mm (10.6 inches),Single disc,246.0 kg (542.3 pounds),0.2317 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",1615 mm (63.6 inches),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Dyna Wide Glide,2001,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",68.0 HP (49.6  kW)) @ 5500 RPM,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 2900 RPM,170.0 km/h (105.6 mph),95.3 x 101.6 mm (3.8 x 4.0 inches),2,Carburettor,5-speed,Belt   (final drive),142 mm (5.6 inches),109 mm (4.3 inches),100/90-19 ,MT90-B16 ,Single disc. Four-piston calipers. ,292 mm (11.5 inches),Single disc. Four-piston calipers. ,287.0 kg (632.7 pounds),0.2369 HP/kg,"679 mm (26.7 inches) If adjustable, lowest setting.",1678 mm (66.1 inches),19.68 litres (5.20 US gallons),Air,Electric,300.0 kg (661.4 pounds),8.9:1,"Single-fire, non-wasted, map-controlled spark ignition","Dry sump, internally mounted, crank driven gerotor pressure and dual scavenge pump", Wet 9-plate,,,"Mild steel, tubular. Rectangular section backbone.",120 mm (4.7 inches),39 mm w/ polished aluminum fork triple clamp and dual-rate springs,Coil over shock,,,,,,,,,,,,,,,,,2357 mm (92.8 inches),,,,,Overhead Valves (OHV),29.0°,153 mm (6.0 inches),,,,,,,,,,
Suzuki GSX-R 750,2001,Sport," 4.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",141.0 HP (102.9  kW)) @ 12500 RPM,83.4 Nm (8.5 kgf-m or 61.5 ft.lbs) @ 10500 RPM,275.0 km/h (170.9 mph),72.0 x 46.0 mm (2.8 x 1.8 inches),4,Injection,6-speed,Chain   (final drive),130 mm (5.1 inches),130 mm (5.1 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,220 mm (8.7 inches),Single disc,166.0 kg (366.0 pounds),0.8494 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",1400 mm (55.1 inches),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Electra Glide Classic,2001,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1448.0 ccm (88.36 cubic inches),"V2, four-stroke",63.0 HP (46.0  kW)) @ 5200 RPM,,,,2,Carburettor,5-speed,Belt   (final drive),,,,,Double disc,,Single disc,352.0 kg (776.0 pounds),0.1790 HP/kg,,1613 mm (63.5 inches),19.00 litres (5.02 US gallons),Air,Electric,,,,,,,,,,,,,,3.00 litres (0.79 US gallons),,,,,,,,,,,,,,2476 mm (97.5 inches),990 mm (39.0 inches),,,,Overhead Valves (OHV),,,,,,,,,,,,
Ducati 996 S,2001,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",113.0 HP (82.5  kW)) @ 9250 RPM,96.0 Nm (9.8 kgf-m or 70.8 ft.lbs) @ 7000 RPM,260.0 km/h (161.6 mph),98.0 x 66.0 mm (3.9 x 2.6 inches),4,Injection,6-speed,Chain   (final drive),127 mm (5.0 inches),130 mm (5.1 inches),120/60-ZR17 ,190/50-ZR17 ,Dual disc,220 mm (8.7 inches),Single disc,198.0 kg (436.5 pounds),0.5707 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1410 mm (55.5 inches),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Road King Classic,2001,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5400 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 3100 RPM,155.0 km/h (96.3 mph),95.3 x 101.6 mm (3.8 x 4.0 inches),2,Injection,5-speed,Belt   (final drive),117 mm (4.6 inches),76 mm (3.0 inches),,,Dual disc,292 mm (11.5 inches),Single disc,,,"684 mm (26.9 inches) If adjustable, lowest setting.",1612 mm (63.5 inches),18.90 litres (4.99 US gallons),Air,Electric,345.0 kg (760.6 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 750 S Formula,2001,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,747.0 ccm (45.58 cubic inches),"Twin, four-stroke",95.0 HP (69.3  kW)) @ 9200 RPM,82.0 Nm (8.4 kgf-m or 60.5 ft.lbs) @ 6500 RPM,225.0 km/h (139.8 mph),83.0 x 69.0 mm (3.3 x 2.7 inches),4,Injection,6-speed,Chain   (final drive),120 mm (4.7 inches),120 mm (4.7 inches),120/60-ZR17 ,160/60-ZR17 ,Dual disc,245 mm (9.6 inches),Single disc,186.0 kg (410.1 pounds),0.5108 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1375 mm (54.1 inches),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVZ 1300 A Royal Star,2001,Touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1294.0 ccm (78.96 cubic inches),"V4, four-stroke",74.0 HP (54.0  kW)) @ 4750 RPM,112.0 Nm (11.4 kgf-m or 82.6 ft.lbs) @ 3500 RPM,,79.0 x 66.0 mm (3.1 x 2.6 inches),,Carburettor,5-speed,Shaft drive (cardan)   (final drive),,,,,Dual disc,,Single disc,305.0 kg (672.4 pounds),0.2426 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daelim VL 125 Daystar,2001,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",13.2 HP (9.6  kW)) @ 9000 RPM,11.1 Nm (1.1 kgf-m or 8.2 ft.lbs) @ 7500 RPM,112.0 km/h (69.6 mph),56.5 x 49.5 mm (2.2 x 1.9 inches),4,Carburettor,5-speed,Chain   (final drive),,,90/90-18 ,130/90-15 ,Single disc,130 mm (5.1 inches),Expanding brake,154.0 kg (339.5 pounds),0.0857 HP/kg,"715 mm (28.1 inches) If adjustable, lowest setting.",1505 mm (59.3 inches),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 750 Strike,2001,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",747.0 ccm (45.58 cubic inches),"Twin, four-stroke",92.0 HP (67.2  kW)),74.0 Nm (7.5 kgf-m or 54.6 ft.lbs),,,,,6-speed,Chain   (final drive),,,,,Dual disc,,Single disc,181.0 kg (399.0 pounds),0.5083 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TDR 125,2001,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 7000 RPM,14.7 Nm (1.5 kgf-m or 10.8 ft.lbs) @ 7000 RPM,105.0 km/h (65.2 mph),56.0 x 50.7 mm (2.2 x 2.0 inches),,Carburettor,6-speed,Chain   (final drive),180 mm (7.1 inches),180 mm (7.1 inches),100/90-P18 ,130/80-P17 ,Single disc,220 mm (8.7 inches),Single disc,128.0 kg (282.2 pounds),0.1172 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",1405 mm (55.3 inches),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia ETX 125,2001,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),,,,,,,,6-speed,Chain   (final drive),,,,,Single disc,,Single disc,115.0 kg (253.5 pounds),,"880 mm (34.6 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 800 Classic,2001,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 7000 RPM,64.0 Nm (6.5 kgf-m or 47.2 ft.lbs) @ 3300 RPM,167.0 km/h (103.8 mph),88.0 x 66.2 mm (3.5 x 2.6 inches),4,Carburettor,5-speed,Chain   (final drive),150 mm (5.9 inches),100 mm (3.9 inches),130/90-H16 ,140/90-H16 ,Single disc,180 mm (7.1 inches),Expanding brake,235.0 kg (518.1 pounds),0.2340 HP/kg,"725 mm (28.5 inches) If adjustable, lowest setting.",1600 mm (63.0 inches),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung XRX 125,2001,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 8500 RPM,9.9 Nm (1.0 kgf-m or 7.3 ft.lbs) @ 7500 RPM,102.0 km/h (63.4 mph),57.0 x 48.8 mm (2.2 x 1.9 inches),4,Carburettor,5-speed,Chain   (final drive),250 mm (9.8 inches),200 mm (7.9 inches),,,Single disc,130 mm (5.1 inches),Expanding brake,120.0 kg (264.6 pounds),0.1000 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",1425 mm (56.1 inches),7.50 litres (1.98 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highland 950 V2,2001,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",950.0 ccm (57.97 cubic inches),"V2, four-stroke",76.0 HP (55.5  kW)) @ 8500 RPM,,180.0 km/h (111.8 mph),95.0 x 66.0 mm (3.7 x 2.6 inches),4,Carburettor,6-speed,Chain   (final drive),280 mm (11.0 inches),300 mm (11.8 inches),90/90-21 ,140/80-18 ,Single disc,220 mm (8.7 inches),Single disc,145.0 kg (319.7 pounds),0.5241 HP/kg,"910 mm (35.8 inches) If adjustable, lowest setting.",1530 mm (60.2 inches),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas 1600,2001,Touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1584.0 ccm (96.66 cubic inches),"Four cylinder boxer, four-stroke",65.0 HP (47.4  kW)) @ 4600 RPM,,145.0 km/h (90.1 mph),85.5 x 69.0 mm (3.4 x 2.7 inches),2,Carburettor,4-speed,Chain   (final drive),158 mm (6.2 inches),117 mm (4.6 inches),,,Dual disc,300 mm (11.8 inches),Single disc,360.0 kg (793.7 pounds),0.1806 HP/kg,"730 mm (28.7 inches) If adjustable, lowest setting.",1745 mm (68.7 inches),46.00 litres (12.15 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 1100 XX Super Blackbird,2001,Sport touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1137.0 ccm (69.38 cubic inches),"In-line four, four-stroke",164.0 HP (119.7  kW)) @ 9500 RPM,124.0 Nm (12.6 kgf-m or 91.5 ft.lbs) @ 7250 RPM,283.0 km/h (175.8 mph),79.0 x 58.0 mm (3.1 x 2.3 inches),4,Injection,6-speed,Chain   (final drive),120 mm (4.7 inches),120 mm (4.7 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,256 mm (10.1 inches),Single disc,223.0 kg (491.6 pounds),0.7354 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",1490 mm (58.7 inches),23.00 litres (6.08 US gallons),Liquid,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VTR 1000 SP-1,2001,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",999.0 ccm (60.96 cubic inches),"V2, four-stroke",132.0 HP (96.4  kW)) @ 9500 RPM,102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 8000 RPM,269.0 km/h (167.1 mph),100.0 x 63.6 mm (3.9 x 2.5 inches),4,Injection,6-speed,Chain   (final drive),130 mm (5.1 inches),120 mm (4.7 inches),120/70-ZR17 ,190/50-ZR17 ,Dual disc,220 mm (8.7 inches),Single disc,199.0 kg (438.7 pounds),0.6633 HP/kg,"813 mm (32.0 inches) If adjustable, lowest setting.",1410 mm (55.5 inches),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R1150GS,2001,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1150.0 ccm (70.17 cubic inches),"Two cylinder boxer, four-stroke",85.0 HP (62.0  kW)),,,,4,Injection,6-speed,Shaft drive (cardan)   (final drive),,,,,Double disc. Brembo 4 piston,,Single disc,,,,,,Oil & air,Electric,,,Electronic,,Single disk dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overhead Cams (OHC),,,Mandarin,,,,,,,,,
Honda NX 650 Dominator,2001,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)) @ 6000 RPM,57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 5000 RPM,,,,,5-speed,Chain   (final drive),,,,,Single disc,,Single disc,167.0 kg (368.2 pounds),0.2635 HP/kg,"880 mm (34.6 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XRV 750 Africa Twin,2001,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",742.0 ccm (45.28 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 7500 RPM,62.0 Nm (6.3 kgf-m or 45.7 ft.lbs) @ 6000 RPM,174.0 km/h (108.1 mph),81.0 x 72.0 mm (3.2 x 2.8 inches),3,Carburettor,5-speed,Chain   (final drive),220 mm (8.7 inches),214 mm (8.4 inches),90/90-H21 ,140/80-H17 ,Dual disc,256 mm (10.1 inches),Single disc,205.0 kg (451.9 pounds),0.2927 HP/kg,"860 mm (33.9 inches) If adjustable, lowest setting.",1565 mm (61.6 inches),23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOR MX 503 Enduro EN,2001,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",503.0 ccm (30.69 cubic inches),"Single cylinder, four-stroke",56.0 HP (40.9  kW)) @ 8000 RPM,,,95.0 x 71.0 mm (3.7 x 2.8 inches),4,Carburettor,5-speed,Chain   (final drive),305 mm (12.0 inches),315 mm (12.4 inches),,,Single disc,220 mm (8.7 inches),Single disc,109.0 kg (240.3 pounds),0.5138 HP/kg,"940 mm (37.0 inches) If adjustable, lowest setting.",1485 mm (58.5 inches),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLE 500,2001,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",34.0 HP (24.8  kW)) @ 7500 RPM,36.0 Nm (3.7 kgf-m or 26.6 ft.lbs) @ 3000 RPM,137.0 km/h (85.1 mph),74.0 x 58.0 mm (2.9 x 2.3 inches),4,Carburettor,6-speed,Chain   (final drive),220 mm (8.7 inches),200 mm (7.9 inches),90/90-S21 ,130/80-S17 ,Dual disc,230 mm (9.1 inches),Single disc,181.0 kg (399.0 pounds),0.1878 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",1510 mm (59.4 inches),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATK 605 Enduro,2001,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",597.0 ccm (36.43 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 7200 RPM,,,97.0 x 81.0 mm (3.8 x 3.2 inches),4,Carburettor,5-speed,Chain   (final drive),300 mm (11.8 inches),330 mm (13.0 inches),80/100-21 ,110/100-18 ,Single disc,220 mm (8.7 inches),Single disc,127.0 kg (280.0 pounds),0.3780 HP/kg,"925 mm (36.4 inches) If adjustable, lowest setting.",1498 mm (59.0 inches),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
