Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Fuel system,Ignition,Lubrication system,Clutch,Exhaust system,Reserve fuel capacity,Starter,Torque,Front suspension,Rear suspension,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Color options,Frame type,Diameter,Max RPM,Front wheel travel,Rear wheel travel,Rake (fork angle),Trail,Comments,Modifications compared to previous model,0-100 km/h (0-62 mph),Fuel consumption,Greenhouse gases,Oil capacity,Front percentage of weight,Rear percentage of weight,Seat height,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Driveline,Electrical,Idle speed,Wheels,Factory warranty
Honda CB 125 T,1978,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 11500 RPM,129.0 km/h (80.2 mph),9.4:1,44.0 x 41.0 mm (1.7 x 1.6 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,125.0 kg (275.6 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda C90 K3,1978,Scooter," 3.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",89.0 ccm (5.43 cubic inches),"Single cylinder, four-stroke",7.5 HP (5.5  kW)) @ 9500 RPM,80.0 km/h (49.7 mph),8.2:1,50.0 x 45.6 mm (2.0 x 1.8 inches),2,Overhead Cams (OHC),Air,3-speed,Chain   (final drive),2.00-17 ,3.00-17 ,Expanding brake (drum brake). Twin expanding shoe,Expanding brake (drum brake). Twin expanding shoe,91.6 kg (201.9 pounds),5.50 litres (1.45 US gallons),Carburettor. Keihin seiki,contact breaker points,Wet sump,Multi plate wet automatic,Sinle stainless steel pipe,1.00 litres (0.26 US gallons),Kick,6.0 Nm (0.6 kgf-m or 4.4 ft.lbs) @ 6000 RPM,Hydraulically dampened leading link forks,Hydraulically dampened with compression spring,85.0 kg (187.4 pounds),0.0882 HP/kg,995 mm (39.2 inches),1830 mm (72.0 inches),640 mm (25.2 inches),130 mm (5.1 inches),1190 mm (46.9 inches),BRIGHT RED. METALLIC SAVANNAH GREEN. METALLIC STRATO BLUE. METALLIC DARK GREY,Pressed steel monoque with engine part of loadbearing,110 mm (4.3 inches),10000,75 mm (3.0 inches),100 mm (3.9 inches),27.0°,75 mm (3.0 inches),During 1978 Honda was already legendary for their step thru scooter bikes. The performance they achieved through technical advancements from their small overhead camshaft motors was incredible. Similar models are still available today.,,,2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,40.0,60.0,"790 mm (31.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,
Honda Express,1978,Scooter," 2.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,,,Port control,Air,,Chain   (final drive),,,,,,,Carburettor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 850 T 3,1978,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",59.0 HP (43.1  kW)) @ 6800 RPM,180.0 km/h (111.8 mph),9.2:1,83.0 x 78.0 mm (3.3 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-18 ,4.10-18 ,Dual disc,Single disc,240.0 kg (529.1 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ 175 Trail,1978,Classic," 2.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",172.0 ccm (10.50 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 5600 RPM,100.0 km/h (62.1 mph),8.7:1,58.0 x 65.0 mm (2.3 x 2.6 inches),,Port control,Air,4-speed,Chain   (final drive),2.75-21 ,3.50-18 ,Expanding brake,Expanding brake,128.0 kg (282.2 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXE 1200 Super Glide,1978,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1206.0 ccm (73.59 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5150 RPM,180.0 km/h (111.8 mph),8.0:1,87.3 x 100.8 mm (3.4 x 4.0 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.75-19 ,5.10-16 ,Dual disc,Single disc,265.0 kg (584.2 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 125 Enduro,1978,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 8500 RPM,110.0 km/h (68.4 mph),11.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,6-speed,Chain   (final drive),3.00-21 ,3.75-18 ,Expanding brake,Expanding brake,119.0 kg (262.4 pounds),7.00 litres (1.85 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 K,1978,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",736.0 ccm (44.91 cubic inches),"In-line four, four-stroke",67.0 HP (48.9  kW)) @ 8500 RPM,192.0 km/h (119.3 mph),9.2:1,61.0 x 63.0 mm (2.4 x 2.5 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-19 ,4.50-17 ,Single disc,Expanding brake,250.0 kg (551.2 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 1000,1978,Classic," 4.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8200 RPM,219.0 km/h (136.1 mph),9.2:1,70.0 x 64.8 mm (2.8 x 2.6 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.50-19 ,4.50-17 ,Dual disc,Single disc,255.0 kg (562.2 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 900 F Bol d`Or,1978,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",901.0 ccm (54.98 cubic inches),"In-line four, four-stroke",95.0 HP (69.3  kW)) @ 9000 RPM,213.0 km/h (132.4 mph),8.8:1,64.5 x 69.0 mm (2.5 x 2.7 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Single disc,260.0 kg (573.2 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 3 1-2 Touring,1978,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,344.0 ccm (20.99 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6850 RPM,153.0 km/h (95.1 mph),10.0:1,62.0 x 57.0 mm (2.4 x 2.2 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),3.25-18 ,4.10-18 ,Single disc,Expanding brake,160.0 kg (352.7 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 400N,1978,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,400.0 ccm (24.41 cubic inches),"Twin, four-stroke",42.9 HP (31.3  kW)) @ 9500 RPM,166.5 km/h (103.4 mph),9.4:1,70.5 x 50.6 mm (2.8 x 2.0 inches),,,Air,,,3.60-19 ,4.10-18 ,Double disc,Expanding brake (drum brake),,14.00 litres (3.70 US gallons),Carburettor. Keihin 32mm,Electronic,,,,,Electric & kick,33.2 Nm (3.4 kgf-m or 24.5 ft.lbs) @ 8000 RPM,Telescopic fork,Swingarm Twin Shock,167.0 kg (368.2 pounds),0.2569 HP/kg,1105 mm (43.5 inches),2115 mm (83.3 inches),730 mm (28.7 inches),,1390 mm (54.7 inches),"Red, Blue",,,,,,,,,,,,,,,,"795 mm (31.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,
Kawasaki KE 125,1978,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6300 RPM,94.0 km/h (58.4 mph),6.5:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,Rotary valves,Air,6-speed,Chain   (final drive),2.75-21 ,3.50-18 ,Expanding brake,Expanding brake,110.0 kg (242.5 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 650 D - 650 SR,1978,Custom / cruiser," 4.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"In-line four, four-stroke",64.0 HP (46.7  kW)),186.0 km/h (115.6 mph),9.5:1,62.0 x 53.5 mm (2.4 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),,,Double disc,Single disc,219.0 kg (482.8 pounds),16.60 litres (4.39 US gallons),Carburettor. 22mm Mikuni slide/needle,,Dry sump,"Wet, multi-plate",,,Electric,5.8 Nm (0.6 kgf-m or 4.3 ft.lbs),Telescopic hydraulic fork,Swinging fork,211.0 kg (465.2 pounds),0.3033 HP/kg,,,,152 mm (6.0 inches),1437 mm (56.6 inches),"Red, black",Steel twin loop cradle,300 mm (11.8 inches),,,,27.0°,106 mm (4.2 inches),,,,16.80 litres/100 km (6.0 km/l or 14.00 mpg),389.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,3.30 litres (3.49 US quarts),,,"800 mm (31.5 inches) If adjustable, lowest setting.",SAE 10W-40,HiFloFiltro - HF401,DOT 4,YB10L-A2,"NGK BR7ES, NGK BR7EIX",530,102,16/42 (front/rear),29 PSI (2 Bar or 200 kPa),36 PSI (2.5 Bar or 250 kPa),35 mm (1.4 inches),,,,,
Ural M-63 (with sidecar),1978,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",20.6 HP (15.0  kW)) @ 5200 RPM,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,,Air,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,,,,,,,,,,,320.0 kg (705.5 pounds),0.0644 HP/kg,,,,,,,,,,,,,,Motorcycle model made by the Ural Irbits factory 1963-80. Weight includes sidecar.,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 750 Sei,1978,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",747.0 ccm (45.58 cubic inches),"In-line six, four-stroke",58.0 HP (42.3  kW)) @ 8500 RPM,180.0 km/h (111.8 mph),9.8:1,56.0 x 50.6 mm (2.2 x 2.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,120/90-18 ,Dual disc,Expanding brake,255.0 kg (562.2 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 350 Bullet,1978,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",21.0 HP (15.3  kW)) @ 5800 RPM,110.0 km/h (68.4 mph),7.5:1,70.0 x 90.0 mm (2.8 x 3.5 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,3.50-19 ,Expanding brake,Expanding brake,170.0 kg (374.8 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 380,1978,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",371.0 ccm (22.64 cubic inches),"In-line three, two-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,145.0 km/h (90.1 mph),7.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,6-speed,Chain   (final drive),3.00-19 ,3.50-18 ,Single disc,Expanding brake,190.0 kg (418.9 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 650 C,1978,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"In-line four, four-stroke",66.0 HP (48.2  kW)) @ 8500 RPM,190.0 km/h (118.1 mph),9.5:1,62.0 x 54.0 mm (2.4 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Single disc,230.0 kg (507.1 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 1000 Z 1-R,1978,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1015.0 ccm (61.94 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,207.0 km/h (128.6 mph),8.7:1,70.0 x 66.0 mm (2.8 x 2.6 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.50-18 ,130/80-18 ,Dual disc,Single disc,272.0 kg (599.7 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 F 1,1978,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",736.0 ccm (44.91 cubic inches),"In-line four, four-stroke",67.0 HP (48.9  kW)) @ 8500 RPM,194.0 km/h (120.5 mph),9.2:1,61.0 x 63.0 mm (2.4 x 2.5 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Single disc,247.0 kg (544.5 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 250 2 C,1978,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,231.0 ccm (14.10 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 7600 RPM,125.0 km/h (77.7 mph),10.0:1,56.0 x 41.0 mm (2.2 x 1.6 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Expanding brake,134.0 kg (295.4 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 550 F 2,1978,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",544.0 ccm (33.19 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,175.0 km/h (108.7 mph),9.0:1,58.5 x 50.6 mm (2.3 x 2.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-19 ,3.75-18 ,Single disc,Expanding brake,206.0 kg (454.2 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 400 T,1978,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",395.0 ccm (24.10 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7500 RPM,145.0 km/h (90.1 mph),9.3:1,70.5 x 50.6 mm (2.8 x 2.0 inches),3,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.60-19 ,4.10-18 ,Single disc,Expanding brake,183.0 kg (403.4 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ TS 250-1,1978,Speedway," 2.8  See the detailed rating of engine performance, racing track capabilities, maintenance costs, etc. Compare with any other bike.",243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5400 RPM,125.0 km/h (77.7 mph),8.5:1,69.0 x 65.0 mm (2.7 x 2.6 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.50-16 ,Expanding brake,Expanding brake,146.0 kg (321.9 pounds),17.50 litres (4.62 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 125 T,1978,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, four-stroke",9.0 HP (6.6  kW)) @ 9000 RPM,110.0 km/h (68.4 mph),11.7:1,59.0 x 45.0 mm (2.3 x 1.8 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,115.0 kg (253.5 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 400 MX,1978,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",397.0 ccm (24.22 cubic inches),"Single cylinder, two-stroke",21.0 HP (15.3  kW)) @ 5600 RPM,136.0 km/h (84.5 mph),6.4:1,85.0 x 70.0 mm (3.3 x 2.8 inches),,Membrane,Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,141.0 kg (310.9 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 850 Le Mans,1978,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,203.0 km/h (126.1 mph),10.0:1,83.0 x 78.0 mm (3.3 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-18 ,4.10-18 ,Dual disc,Single disc,225.0 kg (496.0 pounds),22.50 litres (5.94 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 500 LS,1978,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"In-line four, four-stroke",44.0 HP (32.1  kW)) @ 8500 RPM,173.0 km/h (107.5 mph),10.2:1,56.0 x 50.6 mm (2.2 x 2.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.10-18 ,Dual disc,Expanding brake,230.0 kg (507.1 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 250 S,1978,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,111.0 km/h (69.0 mph),9.1:1,74.0 x 57.8 mm (2.9 x 2.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-23 ,4.60-18 ,Expanding brake,Expanding brake,132.0 kg (291.0 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha LB 3 bop 80,1978,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",73.0 ccm (4.45 cubic inches),"Single cylinder, two-stroke",5.0 HP (3.6  kW)) @ 6700 RPM,65.0 km/h (40.4 mph),5.8:1,47.0 x 42.0 mm (1.9 x 1.7 inches),,Membrane,Air,3-speed,Chain   (final drive),4.00-10 ,4.00-10 ,Expanding brake,Expanding brake,82.0 kg (180.8 pounds),3.50 litres (0.92 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 750 E,1978,Sport touring," 4.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",63.0 HP (46.0  kW)) @ 8800 RPM,198.0 km/h (123.0 mph),8.7:1,65.0 x 56.4 mm (2.6 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc. 0,Single disc. Single-piston caliper. ,253.0 kg (557.8 pounds),18.00 litres (4.76 US gallons),Carburettor,"Battery, coil",Wet sump,Wet multi-plate,,2.00 litres (0.53 US gallons),Electric & kick,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs),35mm Kayaba with anti dive adjustable air pressure.,Dual shocks adjustable preload and spring rebound damping.,223.0 kg (491.6 pounds),0.2825 HP/kg,,2225 mm (87.6 inches),,150 mm (5.9 inches),1490 mm (58.7 inches),"Black, red, blue",,292 mm (11.5 inches),,,,,107 mm (4.2 inches),,,,6.40 litres/100 km (15.6 km/l or 36.75 mpg),148.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,3.40 litres (3.59 US quarts),,,"800 mm (31.5 inches) If adjustable, lowest setting.","3,0L 20W-50/10W-40",K & N - KN-133,DOT 3/4,YB14L-A2,NGK B8ES,630,96,15/41 (front/rear),26 PSI (1.8 Bar or 180 kPa),29 PSI (2 Bar or 200 kPa),35 mm (1.4 inches),"Chain,",Battery battery.,1050  +/- 50  RPM,,
Moto Guzzi V 35,1978,Touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",346.0 ccm (21.11 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 7600 RPM,148.0 km/h (92.0 mph),10.8:1,66.0 x 50.6 mm (2.6 x 2.0 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.00-18 ,3.25-18 ,Dual disc,Single disc,175.0 kg (385.8 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki TS 125,1978,Trial," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6400 RPM,110.0 km/h (68.4 mph),6.7:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,Membrane,Air,6-speed,Chain   (final drive),2.75-21 ,3.25-18 ,Expanding brake,Expanding brake,106.0 kg (233.7 pounds),8.00 litres (2.11 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100 RS,1978,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",70.0 HP (51.1  kW)) @ 7250 RPM,193.0 km/h (119.9 mph),9.5:1,94.0 x 70.6 mm (3.7 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Dual disc,Single disc,247.0 kg (544.5 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 500 T,1978,Classic," 2.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",42.0 HP (30.7  kW)) @ 8000 RPM,160.0 km/h (99.4 mph),8.5:1,70.0 x 64.8 mm (2.8 x 2.6 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3 50-19 ,4.00-18 ,Single disc,Expanding brake,210.0 kg (463.0 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 850 SS Monza,1978,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,837.0 ccm (51.07 cubic inches),"In-line four, four-stroke",81.8 HP (59.7  kW)) @ 9000 RPM,235.0 km/h (146.0 mph),10.3:1,69.0 x 56.0 mm (2.7 x 2.2 inches),,Double Overhead Cams/Twin Cam (DOHC),Air,,Shaft drive (cardan)   (final drive),3.5-18 ,4-18 ,Double disc,Expanding brake (drum brake),,24.00 litres (6.34 US gallons),Carburettor. Dell´Orto 4x27 VHB,,,,,,,,"Telescopic, Forcelle",Dual Koni Shocks Preload Adjustable,260.0 kg (573.2 pounds),0.3146 HP/kg,,,,,1420 mm (55.9 inches),Red,Steel ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RV 90,1978,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",88.0 ccm (5.37 cubic inches),"Single cylinder, two-stroke",6.3 HP (4.6  kW)) @ 6000 RPM,85.0 km/h (52.8 mph),6.2:1,50.0 x 45.0 mm (2.0 x 1.8 inches),,Membrane,Air,4-speed,Chain   (final drive),6.70-10 ,6.70-10 ,Expanding brake,Expanding brake,86.0 kg (189.6 pounds),3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 500,1978,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5900 RPM,132.0 km/h (82.0 mph),9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-21 ,4.00-18 ,Expanding brake,Expanding brake,155.0 kg (341.7 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
