Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Cooling system,Gearbox,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Reserve fuel capacity,Starter,Power,Torque,Top speed,Valves per cylinder,Transmission type,Front suspension,Rear suspension,Power/weight ratio,Seat height,Fuel control,Ground clearance,Ignition,Driveline,"Weight incl. oil, gas, etc",Oil capacity,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Oil filter,Battery,Sprockets,Belt teeth,Belt width,Pulley teeth,Comments,Alternate seat height,Front percentage of weight,Rear percentage of weight,Frame type,Exhaust system,Color options,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Max RPM,Modifications compared to previous model,Chain size,Chain links,Carrying capacity,Engine details,Seat
Suzuki DR-Z 400 S,2002,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",11.3:1,90.0 x 62.6 mm (3.5 x 2.5 inches),Carburettor,Liquid,5-speed,,,80/100-21 ,120/90-18 ,Single disc,,Single disc,132.0 kg (291.0 pounds),1240 mm (48.8 inches),2310 mm (90.9 inches),875 mm (34.4 inches),1485 mm (58.5 inches),10.00 litres (2.64 US gallons),,,,,,4,Chain   (final drive),,,,"935 mm (36.8 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),300 mm (11.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger,2002,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",955.0 ccm (58.27 cubic inches),"In-line three, four-stroke",11.7:1,79.0 x 65.0 mm (3.1 x 2.6 inches),Injection,Liquid,6-speed,,,,,Dual disc,285 mm (11.2 inches),Single disc,215.0 kg (474.0 pounds),1345 mm (53.0 inches),2175 mm (85.6 inches),860 mm (33.9 inches),1515 mm (59.6 inches),24.00 litres (6.34 US gallons),,,104.0 HP (75.9  kW)) @ 9500 RPM,92.0 Nm (9.4 kgf-m or 67.9 ft.lbs) @ 4400 RPM,,,Chain   (final drive),,,0.4837 HP/kg,"860 mm (33.9 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,,,,,,,,,,,,,"840 mm (33.1 inches) If adjustable, highest setting.",,,,,Aston Green,,,,,,,,,
Kawasaki VN 1500 Classic Tourer Fi,2002,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1471.0 ccm (89.76 cubic inches),"V2, four-stroke",,,Injection,,5-speed,,,,,Dual disc,,,335.0 kg (738.5 pounds),,,,,,,Electric,65.0 HP (47.4  kW)),,,4,,,,0.1940 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Pegaso 650 i.e.,2002,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",651.8 ccm (39.77 cubic inches),"Single cylinder, four-stroke",9.1:1,100.0 x 83.0 mm (3.9 x 3.3 inches),Injection,Liquid,5-speed,170 mm (6.7 inches),165 mm (6.5 inches),100/90-19 ,130/80-17 ,Single disc,220 mm (8.7 inches),Single disc,175.0 kg (385.8 pounds),1260 mm (49.6 inches),2180 mm (85.8 inches),920 mm (36.2 inches),1475 mm (58.1 inches),21.00 litres (5.55 US gallons),4.50 litres (1.19 US gallons),,49.0 HP (35.8  kW)) @ 6250 RPM,54.0 Nm (5.5 kgf-m or 39.8 ft.lbs) @ 4500 RPM,,5,Chain   (final drive),,,0.2800 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 600 F Katana,2002,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",11.3:1,62.6 x 48.7 mm (2.5 x 1.9 inches),Carburettor,Oil & air,6-speed,,,120/70-ZR17 ,150/70-ZR17 ,Dual disc,,Single disc,208.0 kg (458.6 pounds),1195 mm (47.0 inches),2135 mm (84.1 inches),745 mm (29.3 inches),1470 mm (57.9 inches),20.00 litres (5.28 US gallons),,,,,,4,Chain   (final drive),,,,"785 mm (30.9 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),120 mm (4.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVS 650 Drag Star,2002,Custom / cruiser," 4.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"V2, four-stroke",9.0:1,81.0 x 63.0 mm (3.2 x 2.5 inches),,Air,,140 mm (5.5 inches),86 mm (3.4 inches),100/90-ZR19 M/C 57S ,170/80-15 M/C 77S ,Dual disc,200 mm (7.9 inches),Single disc,215.0 kg (474.0 pounds),1070 mm (42.1 inches),2340 mm (92.1 inches),880 mm (34.6 inches),1610 mm (63.4 inches),,,,40.0 HP (29.2  kW)) @ 6500 RPM,50.9 Nm (5.2 kgf-m or 37.5 ft.lbs) @ 3000 RPM,,,,,,0.1860 HP/kg,"695 mm (27.4 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki JR 50,2002,"Minibike, cross"," 3.2  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,Air,1-speed,,,,,Expanding brake,,Expanding brake,38.0 kg (83.8 pounds),730 mm (28.7 inches),1245 mm (49.0 inches),595 mm (23.4 inches),,2.00 litres (0.53 US gallons),,Kick,,,,,Chain   (final drive),,,,"480 mm (18.9 inches) If adjustable, lowest setting.",,115 mm (4.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVS 125 Drag Star,2002,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"V2, four-stroke",11.0:1,41.0 x 47.0 mm (1.6 x 1.9 inches),,Air,,140 mm (5.5 inches),100 mm (3.9 inches),80/100-47P ,130/90-15 M/C 66P ,Single disc,130 mm (5.1 inches),Expanding brake,144.0 kg (317.5 pounds),1075 mm (42.3 inches),2320 mm (91.3 inches),910 mm (35.8 inches),1530 mm (60.2 inches),,,,13.0 HP (9.5  kW)) @ 10000 RPM,9.4 Nm (1.0 kgf-m or 6.9 ft.lbs) @ 8000 RPM,,2,,,,0.0903 HP/kg,"670 mm (26.4 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),150 mm (5.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KX 250,2002,Cross / motocross," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,,,,5-speed,,,80/100-21 ,110/90-19 ,Single disc,,Single disc,97.0 kg (213.8 pounds),,2174 mm (85.6 inches),,1481 mm (58.3 inches),,,,55.6 HP (40.6  kW)),,,,Chain   (final drive),,,0.5732 HP/kg,"950 mm (37.4 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW C1 125,2002,Scooter," 4.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,,Liquid,,,,,,,,,185.0 kg (407.9 pounds),,,,,9.70 litres (2.56 US gallons),,,12.0 HP (8.8  kW)) @ 6500 RPM,15.0 Nm (1.5 kgf-m or 11.1 ft.lbs) @ 9250 RPM,103.0 km/h (64.0 mph),4,,,,0.0649 HP/kg,"701 mm (27.6 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot Elyseo,2002,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.8 ccm (7.62 cubic inches),"Single cylinder, four-stroke",11.7:1,57.0 x 48.9 mm (2.2 x 1.9 inches),Carburettor,,,,,120/70-12 ,130/70-12 ,,,,140.0 kg (308.6 pounds),1230 mm (48.4 inches),1900 mm (74.8 inches),720 mm (28.3 inches),1368 mm (53.9 inches),8.50 litres (2.25 US gallons),,,12.2 HP (8.9  kW)) @ 8750 RPM,,,,Belt   (final drive),,,0.0874 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,CDI,,,,,,,,,,,,Wet Sump,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherco 2.5,2002,Trial," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.7 ccm (15.24 cubic inches),"Single cylinder, two-stroke",,72.8 x 60.0 mm (2.9 x 2.4 inches),Carburettor,Liquid,5-speed,170 mm (6.7 inches),170 mm (6.7 inches),,,Single disc,145 mm (5.7 inches),Single disc,69.5 kg (153.2 pounds),,,,1327 mm (52.2 inches),3.00 litres (0.79 US gallons),,Kick,,,,,,,,,"640 mm (25.2 inches) If adjustable, lowest setting.",,325 mm (12.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 900 F - 919,2002,Naked bike," 4.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",919.0 ccm (56.08 cubic inches),"In-line four, four-stroke",10.8:1,71.0 x 58.0 mm (2.8 x 2.3 inches),,Liquid,6-speed,,,120/70-ZR17 ,180/55-ZR17 ,Dual disc,240 mm (9.4 inches),Single disc,193.7 kg (427.0 pounds),,,,1460 mm (57.5 inches),22.70 litres (6.00 US gallons),,,110.0 HP (80.3  kW)),,,4,Chain   (final drive),,,0.5679 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 1200 Bandit,2002,Naked bike," 4.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1157.0 ccm (70.60 cubic inches),"In-line four, four-stroke",9.5:1,79.0 x 59.0 mm (3.1 x 2.3 inches),Carburettor,Oil & air,5-speed,,,120/70-ZR17 ,180/55-ZR17 ,Dual disc,,Single disc,214.0 kg (471.8 pounds),1100 mm (43.3 inches),2140 mm (84.3 inches),765 mm (30.1 inches),1430 mm (56.3 inches),20.00 litres (5.28 US gallons),,,,,,4,Chain   (final drive),,,,"790 mm (31.1 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX-6R Ninja,2002,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",636.0 ccm (38.81 cubic inches),"In-line four, four-stroke",12.6:1,68.0 x 43.8 mm (2.7 x 1.7 inches),,Liquid,6-speed,120 mm (4.7 inches),135 mm (5.3 inches),120/65-ZR17 M/C 57W ,180/55-ZR17 M/C 57W ,Dual disc,220 mm (8.7 inches),Single disc,,1175 mm (46.3 inches),2030 mm (79.9 inches),730 mm (28.7 inches),1400 mm (55.1 inches),18.00 litres (4.76 US gallons),,Electric,,,,4,Chain   (final drive),,,,"820 mm (32.3 inches) If adjustable, lowest setting.",,145 mm (5.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XR 70 R,2002,Cross / motocross," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",72.0 ccm (4.39 cubic inches),"Single cylinder, four-stroke",9.0:1,47.0 x 41.4 mm (1.9 x 1.6 inches),Carburettor. 13mm,Air,3-speed,99 mm (3.9 inches),89 mm (3.5 inches),2.50-14 ,3.00-12 ,Expanding brake (drum brake),,Expanding brake,58.0 kg (127.9 pounds),,1565 mm (61.6 inches),694 mm (27.3 inches),1067 mm (42.0 inches),6.80 litres (1.80 US gallons),1.40 litres (0.37 US gallons),Kick,,,67.6 km/h (42.0 mph),2,Chain   (final drive),Telescopic fork,Monoshock,,"655 mm (25.8 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),163 mm (6.4 inches),CDI,,,,Honda GN4 10W-40,,,,,,,,,,,,,70 mm (2.8 inches),,,15/36 (front/rear),,,,,,,,,,Red,,,,,420,86,,,
Husqvarna WR 50,2002,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",,40.3 x 39.0 mm (1.6 x 1.5 inches),Carburettor,Liquid,6-speed,,,90/90-21 ,110/80-18 ,Single disc,185 mm (7.3 inches),Single disc,92.0 kg (202.8 pounds),,,,1375 mm (54.1 inches),11.20 litres (2.96 US gallons),,Kick,,,,,Chain   (final drive),,,,"920 mm (36.2 inches) If adjustable, lowest setting.",,340 mm (13.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS EC 200,2002,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",199.4 ccm (12.17 cubic inches),"Single cylinder, two-stroke",,62.5 x 65.0 mm (2.5 x 2.6 inches),Carburettor,Liquid,6-speed,295 mm (11.6 inches),320 mm (12.6 inches),,,Single disc,220 mm (8.7 inches),Single disc,,,,,1475 mm (58.1 inches),9.50 litres (2.51 US gallons),,,38.0 HP (27.7  kW)) @ 9000 RPM,35.3 Nm (3.6 kgf-m or 26.0 ft.lbs) @ 7850 RPM,,,Chain   (final drive),,,,"940 mm (37.0 inches) If adjustable, lowest setting.",,340 mm (13.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Ape 50,2002,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",9.2:1,42.0 x 35.6 mm (1.7 x 1.4 inches),Carburettor,Air,5-speed,,,120/80-12 54J ,120/80-12 54J ,Expanding brake,,Expanding brake,75.0 kg (165.3 pounds),970 mm (38.2 inches),1710 mm (67.3 inches),770 mm (30.3 inches),1185 mm (46.7 inches),5.50 litres (1.45 US gallons),,,3.7 HP (2.7  kW)) @ 7500 RPM,3.6 Nm (0.4 kgf-m or 2.7 ft.lbs) @ 6500 RPM,,,,,,0.0493 HP/kg,"715 mm (28.1 inches) If adjustable, lowest setting.",Overhead Cams (OHC),165 mm (6.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna CR 250,2002,Cross / motocross," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.5 ccm (15.22 cubic inches),"Single cylinder, two-stroke",,66.4 x 72.0 mm (2.6 x 2.8 inches),Carburettor,Liquid,5-speed,,,80/100-21 ,110/90-19 ,Single disc,220 mm (8.7 inches),Single disc,100.5 kg (221.6 pounds),,,,1453 mm (57.2 inches),8.50 litres (2.25 US gallons),,Kick,,,,,Chain   (final drive),,,,"910 mm (35.8 inches) If adjustable, lowest setting.",,370 mm (14.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XL 1200 C Sportster 1200 Custom,2002,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1199.0 ccm (73.16 cubic inches),"V2, four-stroke",,88.8 x 96.8 mm (3.5 x 3.8 inches),Carburettor,Air,,,,,,Single disc,292 mm (11.5 inches),Single disc,245.0 kg (540.1 pounds),,2245 mm (88.4 inches),,1510 mm (59.4 inches),12.50 litres (3.30 US gallons),1.90 litres (0.50 US gallons),,,87.0 Nm (8.9 kgf-m or 64.2 ft.lbs) @ 3900 RPM,,,Belt   (final drive),,,,"700 mm (27.6 inches) If adjustable, lowest setting.",,159 mm (6.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NX 650 Dominator,2002,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",8.3:1,100.0 x 82.0 mm (3.9 x 3.2 inches),Carburettor,,5-speed,220 mm (8.7 inches),195 mm (7.7 inches),90/90-21 54S ,120/90-17 64S ,Single disc,220 mm (8.7 inches),Single disc,167.0 kg (368.2 pounds),1260 mm (49.6 inches),2200 mm (86.6 inches),910 mm (35.8 inches),1450 mm (57.1 inches),16.00 litres (4.23 US gallons),,,41.8 HP (30.5  kW)) @ 6000 RPM,51.0 Nm (5.2 kgf-m or 37.6 ft.lbs) @ 5000 RPM,,,Chain   (final drive),,,0.2503 HP/kg,"880 mm (34.6 inches) If adjustable, lowest setting.",,250 mm (9.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KX 85-II,2002,Cross / motocross," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",84.0 ccm (5.13 cubic inches),"Single cylinder, two-stroke",,,,,6-speed,,,,,Single disc,,Single disc,68.0 kg (149.9 pounds),,,,,,,,28.5 HP (20.8  kW)),,,,Chain   (final drive),,,0.4191 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KX 125,2002,Cross / motocross," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",,,,,6-speed,,,,,Single disc,,Single disc,87.0 kg (191.8 pounds),,,,,,,,39.7 HP (29.0  kW)),,,,Chain   (final drive),,,0.4563 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ER-5,2002,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",,,,,6-speed,,,,,Single disc,,Expanding brake,179.0 kg (394.6 pounds),,,,,,,,50.0 HP (36.5  kW)),,,4,Chain   (final drive),,,0.2793 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TT-R 125,2002,Cross / motocross," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.7 ccm (7.55 cubic inches),"Single cylinder, four-stroke",10.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Air,,180 mm (7.1 inches),160 mm (6.3 inches),70/100-17 ,90/100-14 ,Expanding brake,110 mm (4.3 inches),Expanding brake,74.0 kg (163.1 pounds),1030 mm (40.6 inches),1839 mm (72.4 inches),795 mm (31.3 inches),1240 mm (48.8 inches),,,,9.8 HP (7.2  kW)) @ 8000 RPM,9.9 Nm (1.0 kgf-m or 7.3 ft.lbs) @ 6500 RPM,,,,,,0.1324 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),265 mm (10.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Pegaso 650,2002,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",651.8 ccm (39.77 cubic inches),"Single cylinder, four-stroke",9.1:1,100.0 x 83.0 mm (3.9 x 3.3 inches),Carburettor,Liquid,5-speed,180 mm (7.1 inches),165 mm (6.5 inches),100/90-19 ,130/80-17 ,Single disc,220 mm (8.7 inches),Single disc,161.0 kg (354.9 pounds),1433 mm (56.4 inches),2180 mm (85.8 inches),880 mm (34.6 inches),1480 mm (58.3 inches),22.00 litres (5.81 US gallons),5.00 litres (1.32 US gallons),,,,,5,,,,,"845 mm (33.3 inches) If adjustable, lowest setting.",,250 mm (9.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 850 C,2002,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",848.0 ccm (51.74 cubic inches),"Two cylinder boxer, four-stroke",,87.5 x 70.5 mm (3.4 x 2.8 inches),,,,144 mm (5.7 inches),100 mm (3.9 inches),100/90-ZR18 ,170/80-ZR15 ,,,,256.0 kg (564.4 pounds),,,,,17.00 litres (4.49 US gallons),4.00 litres (1.06 US gallons),Electric,50.0 HP (36.5  kW)) @ 5250 RPM,71.0 Nm (7.2 kgf-m or 52.4 ft.lbs) @ 4750 RPM,155.0 km/h (96.3 mph),4,Shaft drive (cardan)   (final drive),,,0.1953 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLSTFI Fat Boy,2002,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",8.8:1,95.3 x 101.6 mm (3.8 x 4.0 inches),Injection,Air,,,,,,Single disc,292 mm (11.5 inches),Single disc,320.0 kg (705.5 pounds),,2396 mm (94.3 inches),,1630 mm (64.2 inches),18.90 litres (4.99 US gallons),1.90 litres (0.50 US gallons),,,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 3000 RPM,,,,,,,,,123 mm (4.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta F4 Brutale S,2002,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",749.4 ccm (45.73 cubic inches),"In-line four, four-stroke",12.0:1,73.8 x 43.8 mm (2.9 x 1.7 inches),,Liquid,6-speed,118 mm (4.6 inches),120 mm (4.7 inches),120/65-ZR17 56W ,190/50-ZR17 73W ,Dual disc,210 mm (8.3 inches),Single disc,185.0 kg (407.9 pounds),,2026 mm (79.8 inches),820 mm (32.3 inches),1414 mm (55.7 inches),19.00 litres (5.02 US gallons),4.00 litres (1.06 US gallons),Electric,127.0 HP (92.7  kW)) @ 12500 RPM,77.5 Nm (7.9 kgf-m or 57.2 ft.lbs) @ 10500 RPM,250.0 km/h (155.3 mph),4,Chain   (final drive),,,0.6865 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",,135 mm (5.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR-Z 125 L,2002,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",9.5:1,57.0 x 48.8 mm (2.2 x 1.9 inches),Carburettor,Air,5-speed,,,70/100-19 ,90/100-16 ,Single disc,,Expanding brake,,1085 mm (42.7 inches),1885 mm (74.2 inches),885 mm (34.8 inches),1270 mm (50.0 inches),6.60 litres (1.74 US gallons),,,,,,2,Chain   (final drive),,,,"800 mm (31.5 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),275 mm (10.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Pantheon 150,2002,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",150.0 ccm (9.15 cubic inches),"Single cylinder, two-stroke",6.8:1,59.1 x 54.5 mm (2.3 x 2.1 inches),Carburettor,,Automatic,100 mm (3.9 inches),120 mm (4.7 inches),110/90-12 64J ,130/70-12 62L ,Single disc,160 mm (6.3 inches),Expanding brake,149.0 kg (328.5 pounds),1425 mm (56.1 inches),2070 mm (81.5 inches),735 mm (28.9 inches),1450 mm (57.1 inches),12.00 litres (3.17 US gallons),,,17.0 HP (12.4  kW)) @ 7000 RPM,17.4 Nm (1.8 kgf-m or 12.8 ft.lbs) @ 6500 RPM,,,,,,0.1141 HP/kg,"745 mm (29.3 inches) If adjustable, lowest setting.",,140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZ 125,2002,Cross / motocross," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",8.7:1,54.0 x 54.5 mm (2.1 x 2.1 inches),,Liquid,,300 mm (11.8 inches),315 mm (12.4 inches),80/100-21 51M ,100/90-19 57M ,Single disc,245 mm (9.6 inches),Single disc,87.5 kg (192.9 pounds),1311 mm (51.6 inches),2130 mm (83.9 inches),827 mm (32.6 inches),1444 mm (56.9 inches),,,,,,,,,,,,"994 mm (39.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FE 650 E,2002,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",10.3:1,100.0 x 82.0 mm (3.9 x 3.2 inches),Carburettor,Liquid,6-speed,295 mm (11.6 inches),320 mm (12.6 inches),90/90-21 ,140/80-18 ,Single disc,220 mm (8.7 inches),Single disc,110.9 kg (244.5 pounds),,,,1490 mm (58.7 inches),,,Electric & kick,,,,4,,,,,"930 mm (36.6 inches) If adjustable, lowest setting.",,380 mm (15.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster 600 Dark,2002,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",10.7:1,80.0 x 58.0 mm (3.1 x 2.3 inches),Carburettor,Air,5-speed,120 mm (4.7 inches),144 mm (5.7 inches),120/60-ZR17 ,160/60-ZR17 ,Single disc,245 mm (9.6 inches),Single disc,174.0 kg (383.6 pounds),,2090 mm (82.3 inches),800 mm (31.5 inches),1430 mm (56.3 inches),16.00 litres (4.23 US gallons),3.00 litres (0.79 US gallons),,51.0 HP (37.2  kW)) @ 8000 RPM,50.0 Nm (5.1 kgf-m or 36.9 ft.lbs) @ 6000 RPM,,2,Chain   (final drive),,,0.2931 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
