Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Fuel system,Exhaust system,Dry weight,Power/weight ratio,Color options,Starter,Comments,Max RPM,Front suspension,Rear suspension,Ignition,Clutch,Frame type,Reserve fuel capacity,Torque,Front wheel travel,Rear wheel travel,Diameter,Seat height,Oil capacity,Electrical,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Wheels,Lubrication system,Overall height,Overall length,Overall width,Wheelbase,Fuel consumption,Greenhouse gases,Alternate seat height,Ground clearance,1/4 mile (0.4 km),Front percentage of weight,Rear percentage of weight,Rake (fork angle),Trail,"60-140 km/h (37-87 mph), highest gear",Modifications compared to previous model,0-100 km/h (0-62 mph)
Yamaha DT 50 MX,1983,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,104.6 km/h (65.0 mph),,,,Port control,Air,6-speed,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),85.0 kg (187.4 pounds),4.23 litres (1.12 US gallons),,Gaenelli,81.0 kg (178.6 pounds),,"Red/white, black/red, black/blue",Electric & kick,,,Oil filled,Monoshock,key  and  kickstart,,,,,203 mm (8.0 inches),,,"790 mm (31.1 inches) If adjustable, lowest setting.",1.00 litres (1.06 US quarts),,,,,,,,,,,,Oil pump,,,,,,,"790 mm (31.1 inches) If adjustable, highest setting.",254 mm (10.0 inches),25.00 seconds,45.0,55.0,,,,,
Yamaha XJ 650,1983,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",653.0 ccm (39.85 cubic inches),"In-line four, four-stroke",71.0 HP (51.8  kW)) @ 9400 RPM,197.0 km/h (122.4 mph),9.2:1,63.0 x 52.4 mm (2.5 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,120/90-18 ,Dual disc,Expanding brake,231.0 kg (509.3 pounds),20.50 litres (5.42 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CM 200 T,1983,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",194.0 ccm (11.84 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 9000 RPM,119.0 km/h (73.9 mph),8.8:1,53.0 x 44.0 mm (2.1 x 1.7 inches),2,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),3.00-17 ,3.50-16 ,Expanding brake,Expanding brake,138.0 kg (304.2 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 650 Turbo,1983,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",653.0 ccm (39.85 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 9000 RPM,203.0 km/h (126.1 mph),8.5:1,63.0 x 52.4 mm (2.5 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,120/90-18 ,Dual disc,Expanding brake,262.0 kg (577.6 pounds),19.00 litres (5.02 US gallons),Turbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT 12 (with sidecar),1983,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 4900 RPM,100.0 km/h (62.1 mph),7.5:1,78.0 x 78.0 mm (3.1 x 3.1 inches),2,Standing valves,Air,4-speed with reverse,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,370.0 kg (815.7 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 654 T,1983,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,604.0 ccm (36.86 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8700 RPM,172.0 km/h (106.9 mph),9.3:1,60.0 x 53.4 mm (2.4 x 2.1 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Dual disc,Single disc,203.0 kg (447.5 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 400 S,1983,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7800 RPM,151.0 km/h (93.8 mph),10.0:1,67.0 x 56.6 mm (2.6 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.00-18 ,3.75-18 ,Single disc,Expanding brake,190.0 kg (418.9 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 250 Sport,1983,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,231.0 ccm (14.10 cubic inches),"Twin, two-stroke",27.0 HP (19.7  kW)) @ 7800 RPM,143.0 km/h (88.9 mph),10.3:1,56.0 x 47.0 mm (2.2 x 1.9 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Expanding brake,133.0 kg (293.2 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 750 F,1983,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",90.0 HP (65.7  kW)) @ 10000 RPM,216.0 km/h (134.2 mph),10.5:1,70.0 x 48.6 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),120/80-16 ,130/80-18 ,Dual disc,Single disc,248.0 kg (546.7 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 1000 SE Midnight Special,1983,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",981.0 ccm (59.86 cubic inches),"V2, four-stroke",68.0 HP (49.6  kW)) @ 6500 RPM,172.0 km/h (106.9 mph),8.3:1,95.0 x 69.2 mm (3.7 x 2.7 inches),2,Overhead Cams (OHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,130/90-16 ,Dual disc,Expanding brake,240.0 kg (529.1 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 650,1983,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",654.0 ccm (39.91 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 6800 RPM,171.0 km/h (106.3 mph),8.4:1,75.0 x 74.0 mm (3.0 x 2.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Expanding brake,225.0 kg (496.0 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomos 15 SLC,1983,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",49.8 ccm (3.04 cubic inches),"Single cylinder, two-stroke",6.0 HP (4.4  kW)) @ 8200 RPM,85.0 km/h (52.8 mph),,,,,Air,5-speed,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,Carburettor. Bing 18,,,,"Green, red, orange, blue",Kick,,8200,,,Kick/start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 125 Sport,1983,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",125.0 ccm (7.63 cubic inches),"Twin, two-stroke",10.0 HP (7.3  kW)) @ 7600 RPM,110.0 km/h (68.4 mph),10.3:1,42.5 x 44.0 mm (1.7 x 1.7 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,127.0 kg (280.0 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XR 500,1983,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",500.0 ccm (30.51 cubic inches),"Single cylinder, four-stroke",87.0 HP (63.5  kW)),150.0 km/h (93.2 mph),,,,Overhead Cams (OHC),Air,,,,,,,,20.00 litres (5.28 US gallons),Carburettor,,,,,Kick,"Very powerful bike, quite heavy but indestructible. Good for straights although attacking tight corners only for experienced.",,,,,,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 1000 R,1983,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8500 RPM,219.0 km/h (136.1 mph),9.2:1,69.4 x 66.0 mm (2.7 x 2.6 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.25-18 ,Dual disc,Single disc,260.0 kg (573.2 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1100 E,1983,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1074.0 ccm (65.54 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8700 RPM,222.0 km/h (137.9 mph),9.5:1,72.0 x 66.0 mm (2.8 x 2.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.50-19 ,4.50-17 ,Dual disc,Single disc,256.0 kg (564.4 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 500,1983,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",494.0 ccm (30.14 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 8000 RPM,152.0 km/h (94.4 mph),9.3:1,73.0 x 59.0 mm (2.9 x 2.3 inches),2,Overhead Cams (OHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.00-19 ,130/90-16 ,Single disc,Expanding brake,190.0 kg (418.9 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100,1983,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",987.0 ccm (60.23 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,218.0 km/h (135.5 mph),10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,130/90-17 ,Dual disc,Single disc,243.0 kg (535.7 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SR 250 SE,1983,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",240.0 ccm (14.64 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7400 RPM,115.0 km/h (71.5 mph),9.2:1,73.5 x 56.5 mm (2.9 x 2.2 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-19 ,120/90-16 ,Expanding brake,Expanding brake,135.0 kg (297.6 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 1100 F,1983,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1062.0 ccm (64.80 cubic inches),"In-line four, four-stroke",110.0 HP (80.3  kW)) @ 8500 RPM,,9.7:1,70.0 x 69.0 mm (2.8 x 2.7 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-18 ,130/90-17 ,Dual disc,Single disc,266.0 kg (586.4 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 400 N (reduced effect),1983,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",395.0 ccm (24.10 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7500 RPM,137.0 km/h (85.1 mph),9.3:1,70.5 x 50.6 mm (2.8 x 2.0 inches),3,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.60-19 ,4.10-18 ,Dual disc,Expanding brake,185.0 kg (407.9 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLX 250,1983,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,118.0 km/h (73.3 mph),8.9:1,70.0 x 64.0 mm (2.8 x 2.5 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,115.0 kg (253.5 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBX 600 E,1983,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",572.0 ccm (34.90 cubic inches),"In-line four, four-stroke",65.0 HP (47.4  kW)) @ 9500 RPM,,,,4,Double Overhead Cams/Twin Cam (DOHC),Oil & air,5-speed,Shaft drive (cardan)   (final drive),,,,,,,Carburettor,Double stainless steel pipes,,,,,This modell was only sold in Sweden in 1983-84. It is the same bike as CBX 650 except for the engine which is the CBX 550 engine with hydraulic valve lifters. 1000 bikes where made.,10000,,,,,,,49.0 Nm (5.0 kgf-m or 36.2 ft.lbs) @ 8000 RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 3 1-2 S,1983,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,344.0 ccm (20.99 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6850 RPM,155.0 km/h (96.3 mph),10.0:1,62.0 x 57.0 mm (2.4 x 2.2 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),3.25-18 ,4.10-18 ,Single disc,Expanding brake,160.0 kg (352.7 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 SS Hailwood-Replica,1983,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",864.0 ccm (52.72 cubic inches),"V2, four-stroke",69.0 HP (50.4  kW)) @ 7000 RPM,215.0 km/h (133.6 mph),9.5:1,86.0 x 74.4 mm (3.4 x 2.9 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,229.0 kg (504.9 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Goldwing GL1100 Standard,1983,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1084.0 ccm (66.15 cubic inches),"Four cylinder boxer, four-stroke",82.0 HP (59.9  kW)) @ 7500 RPM,,9.2:1,75.0 x 61.4 mm (3.0 x 2.4 inches),2,,Liquid,5-speed,,,,Double disc. Single disc controlled by hand lever,Single disc. Linked with right front disc,,18.92 litres (5.00 US gallons),Carburettor. 4 carbs,,,,,Electric,Seems like a completely different bike compared to the full dress models when naked. Most Standards have had fairing and/or bags at one time or another. Naked GL1100 Standards are relatively nimble and quicker than their ´dressed´ brethren.,8500,"Air assist, conventional",Air assist,,,Tubular - mild steel,,,,,,,,,,,,,,,,,,,,,,,,5.73 litres/100 km (17.5 km/l or 41.05 mpg),132.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,
Honda VT 500 C (reduced effect),1983,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",491.0 ccm (29.96 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,137.0 km/h (85.1 mph),10.5:1,71.0 x 62.0 mm (2.8 x 2.4 inches),3,Overhead Cams (OHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),3.50-18 ,130/90-16 ,Single disc,Expanding brake,201.0 kg (443.1 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 400 J,1983,Naked bike," 2.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",399.0 ccm (24.35 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,154.0 km/h (95.7 mph),9.5:1,52.0 x 47.0 mm (2.0 x 1.9 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.25-19 ,3.75-18 ,Dual disc,Expanding brake,210.0 kg (463.0 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 850 L,1983,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",844.0 ccm (51.50 cubic inches),"In-line four, two-stroke",79.1 HP (57.8  kW)) @ 7000 RPM,,,,,,Air,,Shaft drive (cardan)   (final drive),,,Double disc,Single disc,,,Carburettor,,,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva SX 250,1983,Custom / cruiser," 2.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 6000 RPM,100.0 km/h (62.1 mph),10.3:1,72.0 x 59.6 mm (2.8 x 2.3 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,141.0 kg (310.9 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 250 J,1983,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 8250 RPM,115.0 km/h (71.5 mph),9.5:1,55.0 x 52.4 mm (2.2 x 2.1 inches),2,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Single disc,166.0 kg (366.0 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100,1983,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",67.0 HP (48.9  kW)) @ 7000 RPM,191.0 km/h (118.7 mph),8.2:1,94.0 x 70.6 mm (3.7 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Dual disc,Expanding brake,236.0 kg (520.3 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLTC 1340 Tour Glide Classic,1983,Touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 5800 RPM,165.0 km/h (102.5 mph),7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),MT 90-16 ,MT 90-16 ,Dual disc,Single disc,355.0 kg (782.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KZ 750 K1 LTD,1983,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",750.0 ccm (45.77 cubic inches),"Twin, four-stroke",55.0 HP (40.1  kW)) @ 7000 RPM,,8.5:1,78.0 x 78.0 mm (3.1 x 3.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Belt   (final drive),100/90-19 ,130/90-16 ,Single disc,Expanding brake (drum brake),210.5 kg (464.1 pounds),10.60 litres (2.80 US gallons),Carburettor. 2 Mikuni BS34,double- chromed pipes,206.0 kg (454.2 pounds),0.2670 HP/kg,black with gold lettering  and  striping,Electric & kick,"Light with good handling.  Great torque across all RPM range.  Pulls like a bigger, more powerful bike.  HP is under-rated.  Hang on above 6000 RPM.",7800,telescopic forks-pneumatic,swing arm with conventional coil-over shocks,battery  and  coil,wet plate,steel,,60.9 Nm (6.2 kgf-m or 44.9 ft.lbs) @ 3000 RPM,160 mm (6.3 inches),96 mm (3.8 inches),,"775 mm (30.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,wet sump with cooler,1215 mm (47.8 inches),2190 mm (86.2 inches),845 mm (33.3 inches),1475 mm (58.1 inches),4.70 litres/100 km (21.3 km/l or 50.05 mpg),109.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,155 mm (6.1 inches),,47.0,53.0,28.0°,113 mm (4.4 inches),,,
Benelli 250 2 C,1983,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,231.0 ccm (14.10 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 7600 RPM,125.0 km/h (77.7 mph),10.0:1,56.0 x 47.0 mm (2.2 x 1.9 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Expanding brake,134.0 kg (295.4 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT 10 (with sidecar),1983,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",36.0 HP (26.3  kW)) @ 5900 RPM,110.0 km/h (68.4 mph),7.5:1,78.0 x 68.0 mm (3.1 x 2.7 inches),2,Overhead Valves (OHV),Air,4-speed with reverse,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,365.0 kg (804.7 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXE 1340 Super Glide,1983,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",54.0 HP (39.4  kW)) @ 5200 RPM,155.0 km/h (96.3 mph),7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,282.0 kg (621.7 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 400 E,1983,Naked bike," 2.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,154.0 km/h (95.7 mph),9.0:1,67.0 x 56.6 mm (2.6 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.00-18 ,3.75-18 ,Single disc,Expanding brake,189.0 kg (416.7 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CM 250 C,1983,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",234.0 ccm (14.28 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,106.0 km/h (65.9 mph),9.4:1,53.0 x 53.0 mm (2.1 x 2.1 inches),2,Overhead Cams (OHC),Air,5-speed,Belt   (final drive),3.25-18 ,110/90-16 ,Expanding brake,Expanding brake,144.0 kg (317.5 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 250 S,1983,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7800 RPM,117.0 km/h (72.7 mph),9.0:1,72.0 x 61.2 mm (2.8 x 2.4 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,129.0 kg (284.4 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 920 MK,1983,Custom / cruiser," 2.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",920.0 ccm (56.14 cubic inches),"V2, four-stroke",48.5 HP (35.4  kW)),169.0 km/h (105.0 mph),8.3:1,92.0 x 69.2 mm (3.6 x 2.7 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-19 ,130/90-16 ,Single disc,Expanding brake (drum brake),237.2 kg (523.0 pounds),14.38 litres (3.80 US gallons),Carburettor. 2 Hitachi Carbs,,225.0 kg (496.0 pounds),0.2156 HP/kg,Black  and  Gold,Electric,,7000,,Monoshock,electronic,,,0.68 litres (0.18 US gallons),,,,,"750 mm (29.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,1205 mm (47.4 inches),2200 mm (86.6 inches),840 mm (33.1 inches),1520 mm (59.8 inches),5.22 litres/100 km (19.2 km/l or 45.06 mpg),121.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,145 mm (5.7 inches),,,,,,,,
