Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Comments,Valves per cylinder,Torque,Max RPM,Fuel system,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Dry weight,Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Color options,Starter,Front wheel travel,Rear suspension,Rear wheel travel,Diameter,Oil capacity,Electrical,1/4 mile (0.4 km),Modifications compared to previous model,Wheels,Alternate seat height,Carrying capacity
MV Agusta 500 SS,1977,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,495.0 ccm (30.20 cubic inches),"Twin, four-stroke",53.0 HP (38.7  kW)) @ 8900 RPM,170.0 km/h (105.6 mph),9.5:1,75.0 x 56.0 mm (3.0 x 2.2 inches),Overhead Valves (OHV),Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Dual disc,Single disc,158.0 kg (348.3 pounds),18.00 litres (4.76 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 200 Disc,1977,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",198.0 ccm (12.08 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 9000 RPM,124.0 km/h (77.1 mph),9.0:1,55.5 x 41.0 mm (2.2 x 1.6 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,142.0 kg (313.1 pounds),11.00 litres (2.91 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 125 S (J),1977,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",14.0 HP (10.2  kW)) @ 10000 RPM,116.0 km/h (72.1 mph),9.4:1,56.5 x 49.5 mm (2.2 x 1.9 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-17 ,Single disc,Expanding brake,105.0 kg (231.5 pounds),9.50 litres (2.51 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 SS,1977,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",864.0 ccm (52.72 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,213.0 km/h (132.4 mph),9.4:1,86.0 x 74.4 mm (3.4 x 2.9 inches),Desmodromic valve control,Air,5-speed,Chain   (final drive),3.50-18 ,120/90-18 ,Dual disc,Single disc,225.0 kg (496.0 pounds),18.00 litres (4.76 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 200 DX,1977,Classic," 2.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",195.0 ccm (11.90 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 7700 RPM,122.0 km/h (75.8 mph),7.1:1,52.0 x 46.0 mm (2.0 x 1.8 inches),Membrane,Air,5-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Single disc,Expanding brake,132.0 kg (291.0 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CJ 360 T,1977,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",357.0 ccm (21.78 cubic inches),"Twin, four-stroke",34.0 HP (24.8  kW)) @ 9000 RPM,150.0 km/h (93.2 mph),9.3:1,67.0 x 50.6 mm (2.6 x 2.0 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.75-18 ,Single disc,Expanding brake,184.0 kg (405.7 pounds),14.00 litres (3.70 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ 250 Twin,1977,Naked bike," 1.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",246.0 ccm (15.01 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 5250 RPM,120.0 km/h (74.6 mph),9.3:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Port control,Air,4-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,Expanding brake,151.0 kg (332.9 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico MD 250-6,1977,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,245.0 ccm (14.95 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,149.0 km/h (92.6 mph),11.7:1,76.0 x 54.0 mm (3.0 x 2.1 inches),Rotary valves,Air,6-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Expanding brake,Expanding brake,126.0 kg (277.8 pounds),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 750,1977,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",739.0 ccm (45.09 cubic inches),"In-line three, two-stroke",63.0 HP (46.0  kW)) @ 6500 RPM,192.0 km/h (119.3 mph),6.7:1,70.0 x 64.0 mm (2.8 x 2.5 inches),Port control,Liquid,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Expanding brake,251.0 kg (553.4 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100 S,1977,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",65.0 HP (47.4  kW)) @ 6600 RPM,196.0 km/h (121.8 mph),9.5:1,94.0 x 70.6 mm (3.7 x 2.8 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Dual disc,Expanding brake,237.0 kg (522.5 pounds),24.00 litres (6.34 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 750 Sei,1977,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",747.0 ccm (45.58 cubic inches),"In-line six, four-stroke",58.0 HP (42.3  kW)) @ 8500 RPM,180.0 km/h (111.8 mph),9.8:1,56.0 x 50.6 mm (2.2 x 2.0 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,120/90-18 ,Dual disc,Expanding brake,255.0 kg (562.2 pounds),22.00 litres (5.81 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 200,1977,Speedway," 3.2  See the detailed rating of engine performance, racing track capabilities, maintenance costs, etc. Compare with any other bike.",198.0 ccm (12.08 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 8000 RPM,121.0 km/h (75.2 mph),9.0:1,66.0 x 58.0 mm (2.6 x 2.3 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-18 ,3.25-17 ,Single disc,Expanding brake,154.0 kg (339.5 pounds),14.00 litres (3.70 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki TS 125,1977,Cross / motocross," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",6.9 HP (5.0  kW)) @ 7000 RPM,110.0 km/h (68.4 mph),6.7:1,56.0 x 50.0 mm (2.2 x 2.0 inches),Port control,Air,5-speed,Chain   (final drive),2.75-21 ,3.25-18 ,Expanding brake,Expanding brake,105.0 kg (231.5 pounds),7.00 litres (1.85 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 360,1977,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",358.0 ccm (21.85 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,145.0 km/h (90.1 mph),8.7:1,66.0 x 52.4 mm (2.6 x 2.1 inches),Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Single disc,176.0 kg (388.0 pounds),11.00 litres (2.91 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RV 90,1977,"Minibike, cross"," 3.3  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",88.0 ccm (5.37 cubic inches),"Single cylinder, two-stroke",6.3 HP (4.6  kW)) @ 6000 RPM,85.0 km/h (52.8 mph),6.2:1,50.0 x 45.0 mm (2.0 x 1.8 inches),Membrane,Air,4-speed,Chain   (final drive),6.70-10 ,6.70-10 ,Expanding brake,Expanding brake,86.0 kg (189.6 pounds),3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH 1000 Sportster,1977,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 6000 RPM,180.0 km/h (111.8 mph),9.0:1,81.0 x 96.8 mm (3.2 x 3.8 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.75-19 ,4.25-18 ,Single disc,Expanding brake,240.0 kg (529.1 pounds),9.00 litres (2.38 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules K 125 Military,1977,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 7000 RPM,94.0 km/h (58.4 mph),9.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Port control,Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,135.0 kg (297.6 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 250,1977,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",27.0 HP (19.7  kW)) @ 7200 RPM,145.0 km/h (90.1 mph),6.7:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Membrane,Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Single disc,158.0 kg (348.3 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 550 F 1,1977,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",544.0 ccm (33.19 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,183.0 km/h (113.7 mph),9.0:1,58.5 x 50.6 mm (2.3 x 2.0 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-19 ,3.75-18 ,Single disc,Expanding brake,206.0 kg (454.2 pounds),17.00 litres (4.49 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 500 T,1977,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",42.0 HP (30.7  kW)) @ 8000 RPM,160.0 km/h (99.4 mph),8.5:1,70.0 x 64.8 mm (2.8 x 2.6 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.50-19 ,4.00-18 ,Single disc,Expanding brake,210.0 kg (463.0 pounds),13.00 litres (3.43 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural M-63 (with sidecar),1977,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",20.6 HP (15.0  kW)) @ 5200 RPM,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,Air,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,Motorcycle model made by the Ural Irbits factory 1963-80.,,,,,,,,,,,,,,,320.0 kg (705.5 pounds),0.0644 HP/kg,,,,,,,,,,,,,,,,,,,,
Harley-Davidson SS 125,1977,"Minibike, sport"," 2.5  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",13.0 HP (9.5  kW)) @ 7000 RPM,110.0 km/h (68.4 mph),10.8:1,56.0 x 50.0 mm (2.2 x 2.0 inches),Port control,Air,5-speed,Chain   (final drive),3.00-19 ,3.50-18 ,Expanding brake,Expanding brake,112.0 kg (246.9 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 500 RS,1977,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,496.0 ccm (30.27 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 8200 RPM,167.0 km/h (103.8 mph),9.2:1,72.0 x 61.0 mm (2.8 x 2.4 inches),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Dual disc,Single disc,189.0 kg (416.7 pounds),17.00 litres (4.49 US gallons),,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi TS 250 FD,1977,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,231.0 ccm (14.10 cubic inches),"Twin, two-stroke",25.0 HP (18.2  kW)) @ 7600 RPM,145.0 km/h (90.1 mph),10.3:1,56.0 x 47.0 mm (2.2 x 1.9 inches),Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Expanding brake,140.0 kg (308.6 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KH 500,1977,Sport," 2.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"In-line three, two-stroke",52.0 HP (38.0  kW)) @ 7000 RPM,182.0 km/h (113.1 mph),6.4:1,60.0 x 58.8 mm (2.4 x 2.3 inches),Port control,Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,205.0 kg (451.9 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 850T,1977,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",850.0 ccm (51.87 cubic inches),"V2, two-stroke",,,,,,,,,,,,,,,,2,,,Carburettor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ 175 Trail,1977,Allround," 2.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",172.0 ccm (10.50 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 5600 RPM,100.0 km/h (62.1 mph),8.7:1,58.0 x 65.0 mm (2.3 x 2.6 inches),Port control,Air,4-speed,Chain   (final drive),2.75-21 ,3.50-18 ,Expanding brake,Expanding brake,128.0 kg (282.2 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 125 Enduro,1977,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 8500 RPM,110.0 km/h (68.4 mph),11.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Port control,Air,6-speed,Chain   (final drive),3.00-21 ,3.75-18 ,Expanding brake,Expanding brake,117.0 kg (257.9 pounds),7.00 litres (1.85 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson SST 250,1977,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",20.0 HP (14.6  kW)) @ 7000 RPM,124.0 km/h (77.1 mph),10.3:1,72.0 x 59.6 mm (2.8 x 2.3 inches),Port control,Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,129.0 kg (284.4 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Münch 4-1200 TTS-E,1977,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1289.0 ccm (78.65 cubic inches),"In-line four, four-stroke",104.0 HP (75.9  kW)) @ 7500 RPM,196.0 km/h (121.8 mph),9.1:1,78.5 x 66.6 mm (3.1 x 2.6 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Single disc,311.0 kg (685.6 pounds),24.00 litres (6.34 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 125 T,1977,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, four-stroke",9.0 HP (6.6  kW)) @ 9000 RPM,110.0 km/h (68.4 mph),11.7:1,59.0 x 45.0 mm (2.3 x 1.8 inches),Overhead Valves (OHV),Air,6-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,115.0 kg (253.5 pounds),12.00 litres (3.17 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 860 GTS,1977,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",864.0 ccm (52.72 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 7000 RPM,180.0 km/h (111.8 mph),9.5:1,86.0 x 74.4 mm (3.4 x 2.9 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,120/90-18 ,Dual disc,Expanding brake,230.0 kg (507.1 pounds),19.00 litres (5.02 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 125 T,1977,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 11500 RPM,129.0 km/h (80.2 mph),9.4:1,44.0 x 41.0 mm (1.7 x 1.6 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,125.0 kg (275.6 pounds),11.50 litres (3.04 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZH Planeta Sport,1977,Naked bike," 2.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",340.0 ccm (20.75 cubic inches),"Single cylinder, two-stroke",26.0 HP (19.0  kW)) @ 6500 RPM,140.0 km/h (87.0 mph),10.0:1,76.0 x 75.0 mm (3.0 x 3.0 inches),Port control,Air,4-speed,Chain   (final drive),3.00-19 ,3.50-18 ,Expanding brake,Expanding brake,145.0 kg (319.7 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda TL 125 S,1977,Trial," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",9.0 HP (6.6  kW)) @ 8750 RPM,90.0 km/h (55.9 mph),8.0:1,56.5 x 49.5 mm (2.2 x 1.9 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-21 ,4.00-18 ,Expanding brake,Expanding brake,106.0 kg (233.7 pounds),4.50 litres (1.19 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 800 SS Super Daytona America,1977,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",789.0 ccm (48.14 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 10000 RPM,228.0 km/h (141.7 mph),10.0:1,67.0 x 56.0 mm (2.6 x 2.2 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-18 ,4.00-18 ,Dual disc,Single disc,265.0 kg (584.2 pounds),24.00 litres (6.34 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 750,1977,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",63.0 HP (46.0  kW)) @ 8800 RPM,198.0 km/h (123.0 mph),8.7:1,65.0 x 56.4 mm (2.6 x 2.2 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Single disc,253.0 kg (557.8 pounds),18.00 litres (4.76 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki TS 250,1977,Trial," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",16.5 HP (12.0  kW)) @ 6000 RPM,107.0 km/h (66.5 mph),7.0:1,70.0 x 64.0 mm (2.8 x 2.5 inches),Membrane,Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,133.0 kg (293.2 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 500,1977,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 8250 RPM,178.0 km/h (110.6 mph),8.5:1,73.0 x 59.6 mm (2.9 x 2.3 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Single disc,210.0 kg (463.0 pounds),15.00 litres (3.96 US gallons),,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KE 125,1977,Classic," 4.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6300 RPM,96.0 km/h (59.7 mph),6.5:1,56.0 x 50.6 mm (2.2 x 2.0 inches),Rotary valves,Air,6-speed,Chain   (final drive),2.75-21 ,3 50-18 ,Expanding brake (drum brake),Expanding brake (drum brake),109.0 kg (240.3 pounds),9.50 litres (2.51 US gallons),,,15.7 Nm (1.6 kgf-m or 11.6 ft.lbs) @ 6000 RPM,,Carburettor,,,,,,,,,,Telescopic fork,,,"800 mm (31.5 inches) If adjustable, lowest setting.",,,871 mm (34.3 inches),,1349 mm (53.1 inches),,,,,Dual shocks,,,,,,,,,
Laverda 500,1977,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",496.0 ccm (30.27 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 6850 RPM,160.0 km/h (99.4 mph),8.0:1,72.0 x 61.0 mm (2.8 x 2.4 inches),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Dual disc,Single disc,189.0 kg (416.7 pounds),13.50 litres (3.57 US gallons),,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 50,1977,Touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",490.0 ccm (29.90 cubic inches),"V2, four-stroke",39.0 HP (28.5  kW)) @ 7400 RPM,168.0 km/h (104.4 mph),10.8:1,74.0 x 57.0 mm (2.9 x 2.2 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.00-18 ,3.50-18 ,Dual disc,Single disc,183.0 kg (403.4 pounds),16.00 litres (4.23 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules W 2000,1977,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,294.0 ccm (17.94 cubic inches),Single disk Wankel,27.0 HP (19.7  kW)) @ 6500 RPM,148.0 km/h (92.0 mph),8.5:1,,,Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,176.0 kg (388.0 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 500 F,1977,"Minibike, cross"," 3.1  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"In-line four, four-stroke",48.0 HP (35.0  kW)) @ 9000 RPM,179.0 km/h (111.2 mph),9.0:1,56.0 x 50.6 mm (2.2 x 2.0 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-19 ,3.50-18 ,Single disc,Expanding brake,217.0 kg (478.4 pounds),14.00 litres (3.70 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLCR 1000 Cafe Racer,1977,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1000.0 ccm (61.02 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 6200 RPM,,9.0:1,81.0 x 96.0 mm (3.2 x 3.8 inches),Overhead Valves (OHV),Oil & air,4-speed,Chain   (final drive),MM90-19 ,"4,25-18 ",Double disc,Single disc,,,manufactured 1200 pcs,2,70.5 Nm (7.2 kgf-m or 52.0 ft.lbs) @ 3800 RPM,6800,Carburettor. Keihin,,dry sump,wet plate,,,double with siamise primary,steel tube,30.0°,,,,,,1016 mm (40.0 inches),2210 mm (87.0 inches),889 mm (35.0 inches),178 mm (7.0 inches),1473 mm (58.0 inches),,black,Electric,,,,254 mm (10.0 inches),,,,,,,
Kawasaki KH 400,1977,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",400.0 ccm (24.41 cubic inches),"In-line three, two-stroke",38.0 HP (27.7  kW)) @ 7000 RPM,166.0 km/h (103.1 mph),6.5:1,57.0 x 52.3 mm (2.2 x 2.1 inches),Port control,Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Single disc,Expanding brake,177.0 kg (390.2 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
