Model,Year,Category,Rating,Displacement,Engine type,Bore x stroke,Fuel system,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Frame type,Rake (fork angle),Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Seat height,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Engine details,Power,Torque,Compression,Valves per cylinder,Fuel control,Fuel consumption,Greenhouse gases,Trail,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Factory warranty,Comments,Top speed,Wheels,Power/weight ratio,Electrical,Exhaust system,Carrying capacity,Seat,Instruments,Emission details,Reserve fuel capacity,Light,Oil capacity,0-100 km/h (0-62 mph),Modifications compared to previous model,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Front percentage of weight,Alternate seat height,Max RPM,1/4 mile (0.4 km),Oil filter,Battery
Sucker Punch Sallys Traditional Bobber,2012,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1337.3 ccm (81.60 cubic inches),"V2, four-stroke",88.9 x 108.0 mm (3.5 x 4.3 inches),Carburettor,Dual Fire Electronic,,,6-speed,Chain   (final drive),,Belt primary drive.,30 Degrees No-Stretch Rigid Frame,,41 mm Telescopic,,Rigid,,3.00-21 ,180/60-16 ,Single disc. Single-piston,,Single disc. Single-piston,224.5 kg (495.0 pounds),"610 mm (24.0 inches) If adjustable, lowest setting.",102 mm (4.0 inches),1651 mm (65.0 inches),8.52 litres (2.25 US gallons),Any color,Electric,Harley Davidson Evolution engine. 45 Degree V-Twin ,,,8.5:1,,Overhead Valves (OHV),,,,,,,,1 Year Factory Warranty,Customizable. Multiple options.,,,,,,,,,,,,2.80 litres (2.96 US quarts),,,,,,,,,,,,,,,,,
GAS GAS TXT 300 Pro Racing,2012,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,294.1 ccm (17.95 cubic inches),"Single cylinder, two-stroke",79.0 x 60.0 mm (3.1 x 2.4 inches),Carburettor. Keihin PWK 28 - Intake by reed valve,CDI,2.5 % Mixture,Liquid,6-speed,Chain   (final drive),GG 1/3 hydraulic-diaphragm-system,,CrMo,,Marzocchi 40 mm Aluminium Right-Sight-Up.,177 mm (7.0 inches),Reiger (2-way) hydraulic mono shock absorber,164 mm (6.5 inches),2.75-21 ,4.00-18 ,"Single disc. Floating, 4-piston caliper",150 mm (5.9 inches),Single disc. 2-piston caliper ,66.5 kg (146.6 pounds),"650 mm (25.6 inches) If adjustable, lowest setting.",,1340 mm (52.8 inches),2.50 litres (0.66 US gallons),Red/black,Kick,,,,,,Single Overhead Cams (SOHC),,,,,1130 mm (44.5 inches),2045 mm (80.5 inches),,,Spanish made bike.,,Light aluminium spoke rim ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia SX 125,2012,Super motard," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",122.0 ccm (7.44 cubic inches),"Single cylinder, two-stroke",54.0 x 54.5 mm (2.1 x 2.1 inches),Carburettor. Dell’Orto VHST 28,Electronic CDI ignition. ,"Separate mixing with variable displacement, volumetric pump.",Liquid,6-speed,Chain   (final drive),Multi-plate wet clutch.,,High strength steel frame with double trellis beam and double cradle. Detachable seat frame. ,,40 mm upside down hydraulic fork.,260 mm (10.2 inches),Steel swingarm. Hydraulic monoshock with piggy back cylinder. ,270 mm (10.6 inches),110/70-17 ,150/60-17 ,Single disc,220 mm (8.7 inches),Single disc,115.0 kg (253.5 pounds),"830 mm (32.7 inches) If adjustable, lowest setting.",,1480 mm (58.3 inches),10.00 litres (2.64 US gallons),Black,Kick,Rotax 122 engine. Aluminium cylinder with Nikasil liner. ,21.5 HP (15.7  kW)),16.0 Nm (1.6 kgf-m or 11.8 ft.lbs) @ 9750 RPM,12.5:1,,,,,,,,2165 mm (85.2 inches),850 mm (33.5 inches),,,115.0 km/h (71.5 mph),Aluminium,0.1865 HP/kg,12V 180W generator.,,,,,Euro 3,1.30 litres (0.34 US gallons),,,,,,,,,,,,,,,,,,,
Kawasaki KVF360 4x4,2012,ATV," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",362.0 ccm (22.09 cubic inches),"Single cylinder, four-stroke",80.0 x 72.0 mm (3.1 x 2.8 inches),Carburettor,Digital DC-CDI,,Air,,Shaft drive (cardan)   (final drive),,CVT with reverse. Gear Shaft (Selectable 4WD/2WD) final drive.,,,MacPherson strut,170 mm (6.7 inches),Swingarm with single shock absorber,180 mm (7.1 inches),25/8-12 ,25/10-12 ,Double disc,166 mm (6.5 inches),Sealed multidisc,274.5 kg (605.2 pounds),"904 mm (35.6 inches) If adjustable, lowest setting.",250 mm (9.8 inches),1285 mm (50.6 inches),13.50 litres (3.57 US gallons),Dark green,Electric,,21.1 HP (15.4  kW)) @ 6500 RPM,26.1 Nm (2.7 kgf-m or 19.3 ft.lbs) @ 4500 RPM,8.3:1,2,Single Overhead Cams (SOHC),,,15 mm (0.6 inches),294.0 kg (648.2 pounds),1175 mm (46.3 inches),2065 mm (81.3 inches),1205 mm (47.4 inches),12 Months,,,,0.0767 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Thruxton,2012,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",865.0 ccm (52.78 cubic inches),"Twin, four-stroke",90.0 x 68.0 mm (3.5 x 2.7 inches),Injection. Multipoint sequential electronic fuel injection with SAI,Digital-inductive type via engine management system,,Air,5-speed,Chain   (final drive),Wet. multi-plate,X ring chain,Tubular steel cradle,27.0°,Kayaba 41mm forks with adjustable preload. 120mm travel,,Kayaba chromed spring twin shocks with adjustable preload. 106mm rear wheel travel,,100/90-18 ,130/80-R17 ,Single disc. Nissin 2-piston floating caliper,255 mm (10.0 inches),Single disc. Nissin 2-piston floating caliper,,"820 mm (32.3 inches) If adjustable, lowest setting.",,1490 mm (58.7 inches),16.00 litres (4.23 US gallons),Tornado Red/White Stripe. Jet Black/Gold Stripe,Electric,,69.0 HP (50.4  kW)) @ 7400 RPM,69.0 Nm (7.0 kgf-m or 50.9 ft.lbs) @ 5800 RPM,9.9:1,4,Double Overhead Cams/Twin Cam (DOHC),5.47 litres/100 km (18.3 km/l or 43.00 mpg),126.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,97 mm (3.8 inches),230.0 kg (507.1 pounds),1095 mm (43.1 inches),2150 mm (84.6 inches),830 mm (32.7 inches),,,,,,,Stainless steel headers. twin chromed upswept mufflers,,,,,,,4.50 litres (4.76 US quarts),,,,,,,,,,,,,,,,,
Sachs MadAss 125,2012,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",119.7 ccm (7.30 cubic inches),"Single cylinder, four-stroke",,Carburettor,CDI,,Air,5-speed,Chain   (final drive),,,Steel tubes,,Telescopic fork,,,,90/80-16 ,90/80-16 ,Double disc,215 mm (8.5 inches),Single disc,105.0 kg (231.5 pounds),"855 mm (33.7 inches) If adjustable, lowest setting.",,1235 mm (48.6 inches),5.00 litres (1.32 US gallons),"White, black, grey",Electric,,8.1 HP (5.9  kW)) @ 8400 RPM,,,,,,,,,,1840 mm (72.4 inches),760 mm (29.9 inches),,,90.0 km/h (55.9 mph),Black 3-spoke wheels,0.0767 HP/kg,,,,,Digital,Catalyzed,,Front twin projector Lights Rear LED Lights,,,,,,,,,,,,,,,,,,
Mondial 125 MH Drift,2012,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",135.0 ccm (8.24 cubic inches),"Single cylinder, four-stroke",56.5 x 53.8 mm (2.2 x 2.1 inches),Carburettor,CDI,Pressure Spray,Air,5-speed,Chain   (final drive),"Wet type, Multi-Plate",,Steel,,Hydraulic Front Fork,,Hydraulic Double Shock Absorber,,3.00-18 ,90/90-18 ,Single disc,,Expanding brake (drum brake),129.0 kg (284.4 pounds),,,1270 mm (50.0 inches),16.50 litres (4.36 US gallons),"Silver, black, grey",,,12.7 HP (9.3  kW)) @ 9000 RPM,10.5 Nm (1.1 kgf-m or 7.7 ft.lbs) @ 7500 RPM,9.8:1,,,,,,,1050 mm (41.3 inches),1980 mm (78.0 inches),710 mm (28.0 inches),,,110.0 km/h (68.4 mph),,0.0988 HP/kg,12V 7A battery.,,,,,,,,,,,,,,,,,,,,,,,,,
Brammo Enertia,2012,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,,,Liquid,Automatic,,No clutch or gear,Direct,Lightweight extruded and welded aluminum - serves a battery tray (patent pending),,Marzocchi Shiver hydraulic USD with compression damping adjustment. 5.0´,,Elka hydraulic with compression damping adjustment. 5.0´ / 12.75 cm of suspension travel,,120/70-18 ,150/55-17 ,Single disc. Bremo,,Single disc. Bremo,147.0 kg (324.0 pounds),"813 mm (32.0 inches) If adjustable, lowest setting.",,,,"Green, silver, white, orange",Electric,High output sealed brushless permanent magnet AC motor,17.4 HP (12.7  kW)) @ 4500 RPM,40.0 Nm (4.1 kgf-m or 29.5 ft.lbs) @ 1450 RPM,,,,,,,,,2070 mm (81.5 inches),840 mm (33.1 inches),,"Valence Brand - Lithium Iron phosphate battery. Capacity: 3.1 kWh.
Voltage: 76.8 V (nominal). Recharge time approximately 4 hours.
Battery Life: 2000 recharges.",96.6 km/h (60.0 mph),Cast aluminium,0.1186 HP/kg,,,Soft shell expandable panniers - or - rigid Givi lockable storage bag,Textured black vinyl and charcoal gray synthetic suede combination with accent stitching. Durable UV and water resistant with added top of seat comfort.,,No emission,,,,,,,,,,,,,,,,,,,,
Yamaha XJ6,2012,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",65.5 x 44.5 mm (2.6 x 1.8 inches),Injection,TCI,Wet sump,Liquid,6-speed,Chain   (final drive),"Wet, Multiple Disc",,"Steel, Diamond Shaped",26.0°,Telescopic forks,130 mm (5.1 inches),Linked monoshock with spring preload adjustment,130 mm (5.1 inches),120/70-ZR17 ,160/60-ZR17 ,Double disc,245 mm (9.6 inches),Single disc,,"785 mm (30.9 inches) If adjustable, lowest setting.",140 mm (5.5 inches),1440 mm (56.7 inches),17.00 litres (4.49 US gallons),"Red, white, black",Electric,,76.4 HP (55.8  kW)) @ 10000 RPM,59.7 Nm (6.1 kgf-m or 44.0 ft.lbs) @ 6100 RPM,12.2:1,4,Double Overhead Cams/Twin Cam (DOHC),,,103 mm (4.1 inches),205.0 kg (451.9 pounds),1085 mm (42.7 inches),2120 mm (83.5 inches),770 mm (30.3 inches),,,,,,,,,,,Three-way catalyser with O2 sensor,,,3.40 litres (3.59 US quarts),,,,,,,,,,,,,,,,,
Yamaha YBR125,2012,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",54.0 x 54.0 mm (2.1 x 2.1 inches),Injection,TCI,Wet sump,Air,5-speed,Chain   (final drive),"Wet, multiple disc",,"Steel, diamond shaped",,Telescopic forks,120 mm (4.7 inches),Swingarm,105 mm (4.1 inches),2.75-18 ,90/90-18 ,Single disc. Hydraulic,130 mm (5.1 inches),Expanding brake (drum brake),,"780 mm (30.7 inches) If adjustable, lowest setting.",175 mm (6.9 inches),1290 mm (50.8 inches),13.00 litres (3.43 US gallons),"Grey, red, black",Electric & kick,Forward-inclined single cylinder,10.1 HP (7.3  kW)) @ 10000 RPM,9.6 Nm (1.0 kgf-m or 7.1 ft.lbs) @ 6000 RPM,10.0:1,2,Single Overhead Cams (SOHC),,,90 mm (3.5 inches),125.0 kg (275.6 pounds),1080 mm (42.5 inches),1980 mm (78.0 inches),745 mm (29.3 inches),,,,,,,,,Sculpted dual seat,Analogue instrument panel with RPM meter,,,,1.20 litres (1.27 US quarts),,,,,,,,,,,,,,,,,
Kawasaki Vulcan 1700 Voyager,2012,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1700.0 ccm (103.73 cubic inches),"V2, four-stroke",102.0 x 104.0 mm (4.0 x 4.1 inches),"Injection. Digital fuel injection, dual 42mm throttle bodies",TCBI with Digital Advance,,Liquid,6-speed,Belt   (final drive),,,"Steel, double-cradle with box-section single-tube backbone",30.0°,45mm hydraulic fork / 5.5 in.,,"Swingarm with twin air-assisted shocks, with 4-way rebound damping / 3.1 in.",,130/90-16 ,170/70-16 ,Double disc,,Single disc,,"729 mm (28.7 inches) If adjustable, lowest setting.",,1666 mm (65.6 inches),20.06 litres (5.30 US gallons),"Metallic Graystone/Metallic Spark Black, Pearl Alpine White/Pearl Luster Beige",Electric,,,146.5 Nm (14.9 kgf-m or 108.0 ft.lbs) @ 2750 RPM,9.5:1,4,Single Overhead Cams (SOHC),,,178 mm (7.0 inches),401.9 kg (886.0 pounds),,,,36 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Vox,2012,Scooter," 3.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",38.0 x 43.5 mm (1.5 x 1.7 inches),Injection,TCI,Wet sump,Air,Automatic,Belt   (final drive),"Dry, centrifugal shoe",,Backbone pipe,26.0°,Telescopic ,,Swing unit,,120/90-10 ,120/90-10 ,Expanding brake (drum brake),,Expanding brake (drum brake),88.0 kg (194.0 pounds),"735 mm (28.9 inches) If adjustable, lowest setting.",115 mm (4.5 inches),1280 mm (50.4 inches),4.50 litres (1.19 US gallons),"Dark gray, blue",Electric,,4.2 HP (3.0  kW)) @ 8000 RPM,3.9 Nm (0.4 kgf-m or 2.9 ft.lbs) @ 6500 RPM,12.0:1,2,Single Overhead Cams (SOHC),,,84 mm (3.3 inches),,,1855 mm (73.0 inches),,,Sold in Japan,,,0.0473 HP/kg,,,34 liters of storage space,,,,,,0.80 litres (0.85 US quarts),,,,,,,,,,,,,,,,,
Hero CD-Dawn,2012,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,97.2 ccm (5.93 cubic inches),"Single cylinder, four-stroke",50.0 x 49.5 mm (2.0 x 1.9 inches),Carburettor,DC-CDI,,Air,4-speed,Chain   (final drive),Wet multiplate.,Constant mesh,Tubular double cradle,,Telescopic hydraulic shock absorber,,Swing arm with two adjustable hydraulic shock absorber,,2.75-18 ,2.75-18 ,Expanding brake (drum brake),110 mm (4.3 inches),Expanding brake (drum brake),,"805 mm (31.7 inches) If adjustable, lowest setting.",165 mm (6.5 inches),1235 mm (48.6 inches),10.50 litres (2.77 US gallons),"Black, white, red, burgundy",Kick,,7.8 HP (5.7  kW)) @ 7500 RPM,8.0 Nm (0.8 kgf-m or 5.9 ft.lbs) @ 4500 RPM,9.0:1,,Overhead Cams (OHC),,,,107.0 kg (235.9 pounds),,1965 mm (77.4 inches),720 mm (28.3 inches),,Sold in India. Brand previously called Hero Honda.,,5-spoke wheels,,2.5 Ah battery,,,"Wide, 2-person seat",,,1.80 litres (0.48 US gallons),35W/35W headlights,,,,,,,,,,,,,,,,,,
MBK EC03,2012,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,,,,Automatic,,,,Backbone,,Telescopic fork,50 mm (2.0 inches),Unit Swing,55 mm (2.2 inches),60/100-12 ,60/100-12 ,Expanding brake (drum brake),,Expanding brake (drum brake),,"745 mm (29.3 inches) If adjustable, lowest setting.",110 mm (4.3 inches),1080 mm (42.5 inches),,White,Electric,AC synchronous motor,1.9 HP (1.4  kW)) @ 2550 RPM,9.6 Nm (1.0 kgf-m or 7.1 ft.lbs) @ 280 RPM,,,,,,,56.0 kg (123.5 pounds),990 mm (39.0 inches),1565 mm (61.6 inches),600 mm (23.6 inches),,Lithium-ion battery.,,,,Lithium-ion battery battery.,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TZR50,2012,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",40.3 x 39.0 mm (1.6 x 1.5 inches),Carburettor. PHBN 16,Electronic (CDI),Separate lubrication,Liquid,5-speed,Chain   (final drive),,Constant Mesh,,,Telescopic fork,130 mm (5.1 inches),Swingarm,31 mm (1.2 inches),100/80-H17 ,130/70-H17 ,Single disc,220 mm (8.7 inches),Single disc,,"815 mm (32.1 inches) If adjustable, lowest setting.",,1341 mm (52.8 inches),14.00 litres (3.70 US gallons),,Electric,,2.7 HP (2.0  kW)) @ 6250 RPM,3.0 Nm (0.3 kgf-m or 2.2 ft.lbs) @ 5500 RPM,11.5:1,,Single Overhead Cams (SOHC),,,,128.0 kg (282.2 pounds),1105 mm (43.5 inches),2202 mm (86.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero Passion Pro,2012,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",97.5 ccm (5.95 cubic inches),"Single cylinder, four-stroke",50.0 x 49.5 mm (2.0 x 1.9 inches),Carburettor,Digital CDI,,Air,4-speed,Chain   (final drive),"Multiplate, wet",Constant mesh,Tubular double cradle,,Telescopic hydraulic shock absorbers,,Swing arm with hydrualic shock absorbers,,2.75-18 ,3.00-18 ,Single disc,130 mm (5.1 inches),Expanding brake (drum brake),120.0 kg (264.6 pounds),,159 mm (6.3 inches),1235 mm (48.6 inches),12.80 litres (3.38 US gallons),"Green, blue, red, black, silver",Electric & kick,,7.4 HP (5.4  kW)) @ 7500 RPM,8.0 Nm (0.8 kgf-m or 5.9 ft.lbs) @ 4500 RPM,9.0:1,,Overhead Cams (OHC),,,,131.0 kg (288.8 pounds),1060 mm (41.7 inches),1980 mm (78.0 inches),725 mm (28.5 inches),,Optionally without electric start.  Sold in India. Brand previously called Hero Honda.,,,0.0614 HP/kg,12Volt 3Ah battery,,,,Digital/Analog,,1.00 litres (0.26 US gallons),,,,,,,,,,,,,,,,,,,
Moto Guzzi 1200 Sport ABS,2012,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1151.0 ccm (70.23 cubic inches),"V2, four-stroke",95.0 x 81.2 mm (3.7 x 3.2 inches),Injection,,Splash,Air,6-speed,Shaft drive (cardan)   (final drive),"Double disk, dry","Compact reactive shaft drive CA.RC. Double universal joint with oating bevel gear, ratio 12/44 = 1 : 3,666","Tubular cradle, high tensile steel",25.0°,Telescopic hydraulic fork with Ø 45 mm spring preload and rebound damping adjustable.,120 mm (4.7 inches),"Single arm suspension with progressive linkage, rear shock absorber adjustable in rebound and pre-load (hydraulic)",140 mm (5.5 inches),120/70-ZR17 ,180/55-ZR17 ,"Double disc. ABS. Stainless steel floating disc, wave type, 4 opposed pistons.",282 mm (11.1 inches),"Single disc. ABS. Steel fixed disc, floating caliper with 2 parallel pistons",,"800 mm (31.5 inches) If adjustable, lowest setting.",185 mm (7.3 inches),1485 mm (58.5 inches),23.00 litres (6.08 US gallons),"Black, silver",Electric,90° V-Twin,103.3 HP (75.4  kW)) @ 7000 RPM,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 6750 RPM,11.0:1,4,Overhead Valves (OHV),,,120 mm (4.7 inches),240.0 kg (529.1 pounds),,2195 mm (86.4 inches),840 mm (33.1 inches),,,,,,,"Stainless steel, 2 into 1 type with catalytic converter, height adjustable muer",,,,Euro 3,4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,
Aprilia SRV 850,2012,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",839.3 ccm (51.21 cubic inches),"V2, four-stroke",88.0 x 88.0 mm (3.5 x 3.5 inches),Injection. Electronic injection with  38 mm single body,,Dry sump with double trochoid lobe pump,Liquid,Automatic,,Automatic dry centrifugal clutch with vibration dampers,,,,41 mm diameter hydraulic telescopic fork with straight stanchions and set-back pin (122 mm wheel vertical travel),,"With laterally mounted, horizontal, hydraulic monoshock. Seven-position spring preload adjustment.",,120/70-16 ,160/60-15 ,Double disc,,Single disc,249.0 kg (549.0 pounds),"780 mm (30.7 inches) If adjustable, lowest setting.",,1593 mm (62.7 inches),18.50 litres (4.89 US gallons),"Black, white",Electric,90° V-twin,76.0 HP (55.5  kW)) @ 7750 RPM,76.4 Nm (7.8 kgf-m or 56.4 ft.lbs) @ 6000 RPM,,,,,,,,,2237 mm (88.1 inches),,,,,Aluminium alloy Front 16in. x 3.50 Rear 15in. x 4.50,0.3052 HP/kg,,,,,,Euro 3,,,,,,,,,,,,,,,,,,,,
Norton Commando 961 Cafe Racer,2012,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,961.0 ccm (58.64 cubic inches),"Twin, four-stroke",,Injection. EFI,Crank fired,Dry sump,Air,5-speed,Chain   (final drive),Wet multi-plate hydraulic lifter,525 “O” ring chain,Steel tubular with integral oil tank,24.5°,"43mm Ohlins USD - Adjustable preload, compression  and    rebound   damping.",115 mm (4.5 inches),"Ohlins reservoir-style twin shocks - Adjustable ride height,   reload,   compression and rebound",110 mm (4.3 inches),120/70-17 ,180/55-17 ,"Double disc. Full Brembo system, twin semi-floating hi  carbon stainless steel discs, Brembo 4 piston “Gold Line” axial callipers",220 mm (8.7 inches),"Single disc. Full Brembo system, 2  piston “Gold Line” calliper",188.0 kg (414.5 pounds),"813 mm (32.0 inches) If adjustable, lowest setting.",,1420 mm (55.9 inches),17.03 litres (4.50 US gallons),"Black/gold, Red/gold, yellow/black, silver/red/back
",Electric,"Parallel twin with push-rod valve actuation, dry sump, 3 bearing crank and   balancer shaft. ",80.0 HP (58.4  kW)) @ 6500 RPM,90.0 Nm (9.2 kgf-m or 66.4 ft.lbs) @ 5200 RPM,10.1:1,2,,,,90 mm (3.5 inches),203.5 kg (448.6 pounds),,,,,"The Commando 961 Cafe Racer and the Commando 961 Sport are currently only available in the U.K., but will be made available internationally.",,,0.4255 HP/kg,300 watt hi-output charging system.,Café Racer Sports Exhaust.,,,Norton electronic analogue speedo  and  tachometer,Euro 3 compliant with electronic fuel injection and multiple 3 way catalytic   converter,,,3.30 litres (3.49 US quarts),,,,,,,,,,,,,,,,,
Suzuki Boulevard C50T Classic,2012,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",83.0 x 74.4 mm (3.3 x 2.9 inches),Injection,Electronic,Wet sump,Liquid,5-speed,Shaft drive (cardan)   (final drive),Hydraulic clutch,5-speed constant mesh,Cradle-type steel,,Telescopic forks with polished aluminum sliders and polished stainless steel stanchion-tube covers,,"Link type, coil spring, oil damped",,130/90-16 ,170/80-15 ,Single disc,180 mm (7.1 inches),Expanding brake (drum brake),,"700 mm (27.6 inches) If adjustable, lowest setting.",140 mm (5.5 inches),1655 mm (65.2 inches),15.50 litres (4.10 US gallons),"Black/Gray, Blue/White",,,,,9.4:1,4,Overhead Cams (OHC),,,,292.1 kg (644.0 pounds),,2500 mm (98.4 inches),,,,,Traditional spoke wheels. White-wall tires,,,Chromed and staggered dual exhaust,,"Studded seats, plus matching touring-style backrest with unique pivoting backrest pad for increased passenger comfort",,Dual spark plugs on each cylinder for better combustion and lower emissions,,,,,,,,,,,,,,,,,,,,
Yamaha Zuma 125,2012,Scooter," 3.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",52.4 x 57.9 mm (2.1 x 2.3 inches),Injection. Electronic Fuel Injection,Digital TCI: Transistor Controlled Ignition,,Air,Automatic,Belt   (final drive),Dry centrifugal automatic clutch,	V-belt automatic,,,27mm telescopic forks,,Dual shock,,120/70-12 ,130/70-12 ,Single disc,220 mm (8.7 inches),Expanding brake (drum brake),,"780 mm (30.7 inches) If adjustable, lowest setting.",94 mm (3.7 inches),1290 mm (50.8 inches),6.06 litres (1.60 US gallons),"Raven, Alpine White",Electric,,,,10.0:1,4,Single Overhead Cams (SOHC),2.64 litres/100 km (37.9 km/l or 89.10 mpg),61.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,122.0 kg (269.0 pounds),1113 mm (43.8 inches),1910 mm (75.2 inches),765 mm (30.1 inches),1 Year (Limited Factory Warranty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera GP 800,2012,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",839.3 ccm (51.21 cubic inches),"V2, four-stroke",88.0 x 69.0 mm (3.5 x 2.7 inches),Injection,"Inductive discharge electronics and variable spark advance integrated into injection control unit, with electronic imobiliser, LED warning light and automatic lockout of injection pump if vehicle is tilted beyond road grip limits. Dual ignition",,Liquid,Automatic,Chain   (final drive),Centrifugal clutch,Automatic twist and go with C.V.T,Double-cradle framework of high-tensile steel tubing,,"Telescopic hydraulic fork, 41mm",122 mm (4.8 inches),Hydraulic monoshock with aluminium alloy swingarm,133 mm (5.2 inches),120/70-16 ,160/60-15 ,Double disc,280 mm (11.0 inches),Double disc,,"780 mm (30.7 inches) If adjustable, lowest setting.",,1585 mm (62.4 inches),18.50 litres (4.89 US gallons),"Black, white",Electric,90° Longitudinal V-Twin,73.0 HP (53.3  kW)) @ 7750 RPM,73.0 Nm (7.4 kgf-m or 53.8 ft.lbs) @ 4500 RPM,10.5:1,4,Single Overhead Cams (SOHC),,,,248.0 kg (546.7 pounds),,2230 mm (87.8 inches),790 mm (31.1 inches),,Windscreen,210.0 km/h (130.5 mph),,,,Closed loop lambda probe system on exhaust and 3-way catalyser.,,,,Euro 3,3.00 litres (0.79 US gallons),,,5.50 seconds,,,,,,,,,,,,,,,,
Bimota DB10 Bimotard,2012,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1078.0 ccm (65.78 cubic inches),"V2, four-stroke",98.0 x 71.5 mm (3.9 x 2.8 inches),Injection. Magneti Marelli-45mm throttle body,Walbro,Wet sump,Oil & air,6-speed,Chain   (final drive),Dry multidic,,,,43mm telescopic fork,165 mm (6.5 inches),"Monoshock, fully adjustable",120 mm (4.7 inches),120/70-17 ,180/55-17 ,"Single disc. Brembo, 4-pistons, 4-pads with radial Brembo calipers",220 mm (8.7 inches),"Single disc. 2-pistons,",168.0 kg (370.4 pounds),"820 mm (32.3 inches) If adjustable, lowest setting.",,1465 mm (57.7 inches),13.50 litres (3.57 US gallons),Red/white/green,Electric,Ducati 1100DS engine. L-twin.,98.0 HP (71.5  kW)) @ 7500 RPM,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 5500 RPM,10.7:1,2,Desmodromic valve control,,,,,1330 mm (52.4 inches),2045 mm (80.5 inches),850 mm (33.5 inches),,,220.0 km/h (136.7 mph),Forged Alluminium,0.5833 HP/kg,,,,,,Euro 3,,,,,,,,,,,,,,,,,,,,
