Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,0-100 km/h (0-62 mph),Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Overall length,Wheelbase,Fuel capacity,Starter,Frame type,Rake (fork angle),Trail,Rear wheel travel,Diameter,Dry weight,Power/weight ratio,Seat height,Ground clearance,Oil capacity,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Exhaust system,Color options,Max RPM,Reserve fuel capacity,Overall height,Overall width,Comments,Lubrication system,Clutch,Front wheel travel,Fuel consumption,Greenhouse gases,"60-140 km/h (37-87 mph), highest gear",Modifications compared to previous model,Wheels,Seat,Instruments,Light,Carrying capacity,Factory warranty
MV Agusta 1000 Corona,1980,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,954.0 ccm (58.21 cubic inches),"In-line four, four-stroke",106.0 HP (77.4  kW)) @ 10000 RPM,,230.0 km/h (142.9 mph),,10.5:1,70.0 x 62.0 mm (2.8 x 2.4 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Shaft drive (cardan)   (final drive),,,3.50-18 ,4.00-18 ,Dual disc,Single disc,255.0 kg (562.2 pounds),,,24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 850,1980,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",826.0 ccm (50.40 cubic inches),"In-line three, four-stroke",79.0 HP (57.7  kW)) @ 8500 RPM,,196.0 km/h (121.8 mph),,9.2:1,71.5 x 68.6 mm (2.8 x 2.7 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Shaft drive (cardan)   (final drive),,,3.25-19 ,4.00-18 ,Dual disc,Single disc,258.0 kg (568.8 pounds),,,24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 175 MX,1980,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",171.0 ccm (10.43 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 7000 RPM,,105.0 km/h (65.2 mph),,6.8:1,66.0 x 50.0 mm (2.6 x 2.0 inches),,,Membrane,,Air,6-speed,Chain   (final drive),,,2.75-21 ,3.50-18 ,Expanding brake,Expanding brake,109.0 kg (240.3 pounds),,,7.00 litres (1.85 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SR 500 G (cast wheels),1980,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,,135.0 km/h (83.9 mph),,9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),2,,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,3.50-19 ,4.00-18 ,Single disc,Expanding brake,174.0 kg (383.6 pounds),,,12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 354,1980,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",345.0 ccm (21.05 cubic inches),"In-line four, four-stroke",38.0 HP (27.7  kW)) @ 10200 RPM,,144.0 km/h (89.5 mph),,10.4:1,50.0 x 44.0 mm (2.0 x 1.7 inches),2,,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,3.00-18 ,3.25-18 ,Dual disc,Single disc,206.0 kg (454.2 pounds),,,15.50 litres (4.10 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CX 500 C,1980,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",497.0 ccm (30.33 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,,159.0 km/h (98.8 mph),,10.0:1,78.0 x 52.0 mm (3.1 x 2.0 inches),4,,Overhead Valves (OHV),,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,3.50-19 ,130/90-16 ,Dual disc,Expanding brake,216.0 kg (476.2 pounds),,,11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki TS-185,1980,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",184.0 ccm (11.23 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 5600 RPM,19.6 Nm (2.0 kgf-m or 14.5 ft.lbs) @ 5200 RPM,,,,,,,Membrane,,Air,5-speed,Chain   (final drive),,,3.00-19 ,3.50-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,7.00 litres (1.85 US gallons),Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 250 A,1980,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 10000 RPM,,145.0 km/h (90.1 mph),,9.5:1,55.0 x 52.4 mm (2.2 x 2.1 inches),2,,Overhead Cams (OHC),,Air,6-speed,Chain   (final drive),,,3.00-18 ,3.50-18 ,Single disc,Single disc,167.0 kg (368.2 pounds),,,13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda GL 1000 K 3 Gold Wing,1980,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",999.0 ccm (60.96 cubic inches),"Four cylinder boxer, four-stroke",78.0 HP (56.9  kW)) @ 7000 RPM,,196.0 km/h (121.8 mph),,9.3:1,72.0 x 61.4 mm (2.8 x 2.4 inches),2,,Overhead Cams (OHC),,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,3.50-19 ,4.50-17 ,Dual disc,Single disc,298.0 kg (657.0 pounds),,,19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 350 Bullet,1980,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 5620 RPM,,110.0 km/h (68.4 mph),,6.5:1,70.0 x 90.0 mm (2.8 x 3.5 inches),2,,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,,3.25-19 ,3.50-19 ,Expanding brake,Expanding brake,170.0 kg (374.8 pounds),,,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 3 1-2 S,1980,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",344.0 ccm (20.99 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6850 RPM,,155.0 km/h (96.3 mph),,11.0:1,62.0 x 57.0 mm (2.4 x 2.2 inches),2,,Overhead Valves (OHV),,Air,6-speed,Chain   (final drive),,,3.25-18 ,4.10-18 ,Single disc,Expanding brake,160.0 kg (352.7 pounds),,,13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva SX 350,1980,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,342.0 ccm (20.87 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,,132.0 km/h (82.0 mph),,9.6:1,80.0 x 68.0 mm (3.1 x 2.7 inches),,,Port control,,Air,5-speed,Chain   (final drive),,,3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,139.0 kg (306.4 pounds),,,9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB900 Custom,1980,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",902.0 ccm (55.04 cubic inches),"In-line four, four-stroke",,,,,,64.5 x 69.0 mm (2.5 x 2.7 inches),4,Carburettor. 4 32CV Keihin,Double Overhead Cams/Twin Cam (DOHC),CDI (Transistorized Pointless Inductive ignition... Electronic Ignition... capacitor discharge ignition),Air,10-speed,Shaft drive (cardan)   (final drive),Air adjustable low friction bushing,Air adjustable hy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 into 4 chromed steel,,,,,,,,wet plate,160 mm (6.3 inches),,,,,,,,,,
Suzuki GS 850 G,1980,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",843.0 ccm (51.44 cubic inches),"In-line four, four-stroke",78.0 HP (56.9  kW)) @ 9000 RPM,,198.0 km/h (123.0 mph),,8.8:1,69.0 x 56.4 mm (2.7 x 2.2 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Shaft drive (cardan)   (final drive),,,3.50-19 ,4.50-17 ,Dual disc,Single disc,273.0 kg (601.9 pounds),,,22.50 litres (5.94 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 750,1980,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",739.0 ccm (45.09 cubic inches),"In-line four, four-stroke",77.0 HP (56.2  kW)) @ 9500 RPM,,201.0 km/h (124.9 mph),,9.5:1,66.0 x 54.0 mm (2.6 x 2.1 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,3.25-19 ,4.00-18 ,Dual disc,Single disc,226.0 kg (498.2 pounds),,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T 140 E Bonneville Special,1980,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 6500 RPM,,160.0 km/h (99.4 mph),,9.0:1,76.0 x 82.0 mm (3.0 x 3.2 inches),2,,Overhead Valves (OHV),,Air,5-speed,Chain   (final drive),,,4.10-19 ,4.10-18 ,Single disc,Single disc,200.0 kg (440.9 pounds),,,18.50 litres (4.89 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva 250 RX,1980,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,,,,,,,Carburettor,,,Air,,Chain   (final drive),,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KE 175,1980,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,,113.0 km/h (70.2 mph),,6.0:1,62.5 x 57.0 mm (2.5 x 2.2 inches),,,Membrane,,Air,5-speed,Chain   (final drive),,,2.75-21 ,3.50-18 ,Expanding brake,Expanding brake,116.0 kg (255.7 pounds),,,9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 250 N,1980,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 8500 RPM,,125.0 km/h (77.7 mph),,9.4:1,62.0 x 41.4 mm (2.4 x 1.6 inches),3,,Overhead Cams (OHC),,Air,6-speed,Chain   (final drive),,,3.60-19 ,4.10-18 ,Single disc,Expanding brake,186.0 kg (410.1 pounds),,,14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHC 1340 Electra Glide Classic,1980,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 6000 RPM,,150.0 km/h (93.2 mph),,7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,,5.10-16 ,5.10-16 ,Single disc,Single disc,348.0 kg (767.2 pounds),,,19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 1000 E,1980,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8200 RPM,,219.0 km/h (136.1 mph),,9.2:1,70.0 x 64.8 mm (2.8 x 2.6 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,3.50-19 ,4.50-17 ,Dual disc,Single disc,255.0 kg (562.2 pounds),,,20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 650 C,1980,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",627.0 ccm (38.26 cubic inches),"In-line four, four-stroke",63.0 HP (46.0  kW)) @ 9000 RPM,,173.0 km/h (107.5 mph),,9.0:1,59.8 x 55.8 mm (2.4 x 2.2 inches),2,,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,3.50-19 ,130/90-16 ,Single disc,Expanding brake,220.0 kg (485.0 pounds),,,14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 254 Quattro,1980,Sport touring," 2.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",231.0 ccm (14.10 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 10500 RPM,,150.0 km/h (93.2 mph),,10.5:1,44.0 x 38.0 mm (1.7 x 1.5 inches),2,,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,2.75-18 ,3.00-18 ,Single disc,Expanding brake,122.0 kg (269.0 pounds),,,8.00 litres (2.11 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can-Am MX6 400,1980,Cross / motocross," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",406.0 ccm (24.77 cubic inches),"Single cylinder, two-stroke",43.0 HP (31.4  kW)) @ 6500 RPM,,,,11.9:1,84.0 x 72.0 mm (3.3 x 2.8 inches),,Carburettor. Mikuni VM 38,Membrane,Bosch CDI,Air,5-speed,Chain   (final drive),Marzocchi Air Fork,S  and  W or Ohlins Twin Shocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange,8500,,,,,Premix 20:1,,,,,,,,,,,,
Honda ST 70 DAX,1980,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",72.0 ccm (4.39 cubic inches),"Single cylinder, four-stroke",5.2 HP (3.8  kW)) @ 8000 RPM,,75.0 km/h (46.6 mph),,8.8:1,47.0 x 41.4 mm (1.9 x 1.6 inches),2,,Overhead Cams (OHC),,Air,3-speed,Chain   (final drive),,,3.50-10 ,3.50-10 ,Expanding brake,Expanding brake,75.0 kg (165.3 pounds),,,2.50 litres (0.66 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXE F 1340 Fat Bob,1980,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5800 RPM,,165.0 km/h (102.5 mph),,,88.8 x 108.0 mm (3.5 x 4.3 inches),2,,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,,3.75-19 ,5.10-16 ,Dual disc,Single disc,272.0 kg (599.7 pounds),,,15.50 litres (4.10 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RS 125,1980,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,140.0 km/h (87.0 mph),,,,,Carburettor,,,Air,5-speed,Chain   (final drive),,,,,Single disc,Expanding brake (drum brake),,,,,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva SST 250,1980,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 5500 RPM,,110.0 km/h (68.4 mph),,10.6:1,72.0 x 59.6 mm (2.8 x 2.3 inches),,,Port control,,Air,5-speed,Chain   (final drive),,,3.25-19 ,4.00-18 ,Single disc,Expanding brake,143.0 kg (315.3 pounds),,,10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XR 500,1980,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",36.0 HP (26.3  kW)) @ 6500 RPM,41.5 Nm (4.2 kgf-m or 30.6 ft.lbs) @ 5500 RPM,140.0 km/h (87.0 mph),,8.6:1,89.0 x 80.0 mm (3.5 x 3.1 inches),4,Carburettor. KEIHIN,Double Overhead Cams/Twin Cam (DOHC),CDI,Air,5-speed,Chain   (final drive),OIL DUMPED TELESCOPIC,PIVOTED REAR FORK,,,Expanding brake (drum brake),Expanding brake (drum brake),135.0 kg (297.6 pounds),2210 mm (87.0 inches),1400 mm (55.1 inches),10.00 litres (2.64 US gallons),Kick,WELDED TUBULAR,,,198 mm (7.8 inches),110 mm (4.3 inches),123.0 kg (271.2 pounds),0.2927 HP/kg,"880 mm (34.6 inches) If adjustable, lowest setting.",280 mm (11.0 inches),2.00 litres (2.11 US quarts),,,,,,,,,,DOUBLE EXHAUST PIPE,RED,7000,2.00 litres (0.53 US gallons),1215 mm (47.8 inches),875 mm (34.4 inches),,WET SUMP,WET PLATE,224 mm (8.8 inches),6.00 litres/100 km (16.7 km/l or 39.20 mpg),139.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,
BMW R 100 RT,1980,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,,179.0 km/h (111.2 mph),,9.5:1,94.0 x 70.6 mm (3.7 x 2.8 inches),2,,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,3.25-19 ,4.00-18 ,Dual disc,Single disc,260.0 kg (573.2 pounds),,,24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mototrans 350 Vento,1980,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,340.0 ccm (20.75 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7500 RPM,,150.0 km/h (93.2 mph),,10.0:1,76.0 x 75.0 mm (3.0 x 3.0 inches),2,,Desmodromic valve control,,Air,5-speed,Chain   (final drive),,,3.25-18 ,3.50-18 ,Dual disc,Single disc,164.0 kg (361.6 pounds),,,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 650 (reduced effect),1980,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",627.0 ccm (38.26 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8000 RPM,,175.0 km/h (108.7 mph),,9.0:1,59.8 x 55.8 mm (2.4 x 2.2 inches),2,,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,3.25-19 ,3.75-18 ,Dual disc,Expanding brake,220.0 kg (485.0 pounds),,,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLS 1000 Roadster,1980,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 5800 RPM,,170.0 km/h (105.6 mph),,9.0:1,81.0 x 96.8 mm (3.2 x 3.8 inches),2,,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,,3.75-19 ,5.10-16 ,Dual disc,Single disc,245.0 kg (540.1 pounds),,,13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 650 SR,1980,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",662.0 ccm (40.40 cubic inches),"In-line four, four-stroke",65.0 HP (47.4  kW)) @ 8500 RPM,,178.0 km/h (110.6 mph),,9.5:1,62.0 x 54.0 mm (2.4 x 2.1 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,3.50-19 ,130/90-16 ,Dual disc,Single disc,236.0 kg (520.3 pounds),,,14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda GL 1100 Gold Wing,1980,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1084.0 ccm (66.15 cubic inches),"Four cylinder boxer, four-stroke",83.0 HP (60.6  kW)) @ 7500 RPM,,192.0 km/h (119.3 mph),,9.2:1,75.0 x 61.4 mm (3.0 x 2.4 inches),2,,Overhead Cams (OHC),,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,110/90-19 ,130/90-17 ,Dual disc,Single disc,315.0 kg (694.5 pounds),,,19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GN 400 TD,1980,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",396.0 ccm (24.16 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7400 RPM,,129.0 km/h (80.2 mph),,9.3:1,88.0 x 65.2 mm (3.5 x 2.6 inches),2,,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,3.60-18 ,4.60-16 ,Single disc,Expanding brake,155.0 kg (341.7 pounds),,,14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CX 500,1980,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",497.0 ccm (30.33 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,,176.0 km/h (109.4 mph),,10.0:1,78.0 x 52.0 mm (3.1 x 2.0 inches),4,,Overhead Valves (OHV),,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,3.25-19 ,3.75-18 ,Dual disc,Expanding brake,221.0 kg (487.2 pounds),,,17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 650 US. Custom,1980,Classic," 4.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",654.0 ccm (39.91 cubic inches),"Twin, four-stroke",48.0 HP (35.0  kW)) @ 7100 RPM,,156.0 km/h (96.9 mph),,8.4:1,75.0 x 74.0 mm (3.0 x 2.9 inches),2,,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,3.50-19 ,130/90-16 ,Single disc,Expanding brake,221.0 kg (487.2 pounds),,,12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva SST 350,1980,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",342.0 ccm (20.87 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 5750 RPM,,136.0 km/h (84.5 mph),,9.6:1,80.0 x 68.0 mm (3.1 x 2.7 inches),,,Port control,,Air,5-speed,Chain   (final drive),,,3.25-19 ,4.00-18 ,Single disc,Expanding brake,145.0 kg (319.7 pounds),,,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXWG 1340 Wide Glide,1980,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5800 RPM,,164.0 km/h (101.9 mph),,7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,,MH 90-21 ,MT 90-16 ,Dual disc,Single disc,292.0 kg (643.7 pounds),,,19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 500,1980,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"In-line four, four-stroke",52.0 HP (38.0  kW)) @ 9000 RPM,44.1 Nm (4.5 kgf-m or 32.5 ft.lbs) @ 7500 RPM,180.0 km/h (111.8 mph),,9.5:1,55.0 x 52.4 mm (2.2 x 2.1 inches),2,Carburettor. TK,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),Telescopic fork,Dual shocks,3.25-19 ,3.75-18 ,Double disc,Single disc,210.0 kg (463.0 pounds),,,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,"Black, red, blue",,,,,,,,,,,,,,,,,,
Kawasaki KH 125,1980,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6300 RPM,,100.0 km/h (62.1 mph),,6.0:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,,Rotary valves,,Air,6-speed,Chain   (final drive),,,2.75-18 ,3.00-18 ,Single disc,Expanding brake,106.0 kg (233.7 pounds),,,11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 1000 MK II,1980,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1015.0 ccm (61.94 cubic inches),"In-line four, four-stroke",94.0 HP (68.6  kW)) @ 8000 RPM,,211.0 km/h (131.1 mph),,8.7:1,70.0 x 66.0 mm (2.8 x 2.6 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,3.25-19 ,4.00-18 ,Dual disc,Single disc,264.0 kg (582.0 pounds),,,16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
