Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Max RPM,Fuel system,Starter,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Dry weight,Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Oil capacity,Color options,Torque,Exhaust system,Diameter,Comments,Driveline,Electrical,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Wheels,Seat,Modifications compared to previous model,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Chain size,Chain links,Sprockets,Fork tube size
Yamaha XS 400,1979,Classic," 2.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",392.0 ccm (23.92 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,140.0 km/h (87.0 mph),9.2:1,69.0 x 52.4 mm (2.7 x 2.1 inches),2,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,182.0 kg (401.2 pounds),17.00 litres (4.49 US gallons),,Injection. 2 x  Mikuni  BS32,Electric,Battery ignition - With contact breaker points ,Pressure-lubricated wet sump,Wet multiplate,,,,,,Telescopic fork,,"Dual shocks swing arm, preload adjustable",,182.0 kg (401.2 pounds),0.1484 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,,1364 mm (53.7 inches),,,,31.2 Nm (3.2 kgf-m or 23.0 ft.lbs) @ 6000 RPM,,,,,Starting battery.,,,,,,,,,,,,,,
Kawasaki Z 1300,1979,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1285.0 ccm (78.41 cubic inches),"In-line six, four-stroke",99.0 HP (72.3  kW)) @ 8000 RPM,217.0 km/h (134.8 mph),9.9:1,62.0 x 71.0 mm (2.4 x 2.8 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),4.10-18 ,5.10-17 ,Dual disc,Single disc,322.0 kg (709.9 pounds),27.00 litres (7.13 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 650 Custom (reduced effect),1979,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,627.0 ccm (38.26 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8000 RPM,175.0 km/h (108.7 mph),9.0:1,59.8 x 55.8 mm (2.4 x 2.2 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-19 ,130/90-16 ,Dual disc,Expanding brake,220.0 kg (485.0 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 650 C,1979,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",652.0 ccm (39.79 cubic inches),"In-line four, four-stroke",66.0 HP (48.2  kW)) @ 8500 RPM,190.0 km/h (118.1 mph),9.5:1,62.0 x 54.0 mm (2.4 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Single disc,230.0 kg (507.1 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T 140 V Bonneville Special,1979,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",42.0 HP (30.7  kW)) @ 6000 RPM,160.0 km/h (99.4 mph),7.9:1,76.0 x 82.0 mm (3.0 x 3.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),4.10-19 ,4.25/85-18 ,Single disc,Single disc,200.0 kg (440.9 pounds),18.50 litres (4.89 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 650 SR,1979,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",652.0 ccm (39.79 cubic inches),"In-line four, four-stroke",65.0 HP (47.4  kW)) @ 8500 RPM,178.0 km/h (110.6 mph),9.5:1,62.0 x 54.0 mm (2.4 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.50-19 ,130/90-16 ,Dual disc,Single disc,236.0 kg (520.3 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural M-63 (with sidecar),1979,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",20.6 HP (15.0  kW)) @ 5200 RPM,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,,Air,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,,,,,,,,,,,,,,,,320.0 kg (705.5 pounds),0.0644 HP/kg,,,,,,,,,,,,,Model made by the Ural Irbits factory 1963-80. Weight includes sidecar.,,,,,,,,,,,,,,,,
Suzuki GS 1000 E,1979,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8200 RPM,219.0 km/h (136.1 mph),9.2:1,70.0 x 64.8 mm (2.8 x 2.6 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.50-19 ,4.50-17 ,Dual disc,Single disc,255.0 kg (562.2 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXE F 1200 Fat Bob,1979,Sport touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1206.0 ccm (73.59 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5150 RPM,165.0 km/h (102.5 mph),8.0:1,87.3 x 100.8 mm (3.4 x 4.0 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.75-19 ,5.10-16 ,Dual disc,Single disc,275.0 kg (606.3 pounds),15.50 litres (4.10 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 65,1979,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",45.0 HP (32.8  kW)) @ 7250 RPM,177.0 km/h (110.0 mph),9.2:1,82.0 x 61.5 mm (3.2 x 2.4 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-18 ,4.00-18 ,Single disc,Expanding brake,210.0 kg (463.0 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 500 LS,1979,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"In-line four, four-stroke",44.0 HP (32.1  kW)) @ 8500 RPM,173.0 km/h (107.5 mph),10.2:1,56.0 x 50.6 mm (2.2 x 2.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.10-18 ,Dual disc,Expanding brake,230.0 kg (507.1 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha AG100,1979,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",97.0 ccm (5.92 cubic inches),"Single cylinder, two-stroke",18.0 HP (13.1  kW)),116.0 km/h (72.1 mph),,,,Single Overhead Cams (SOHC),Air,5-speed,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,11.00 litres (2.91 US gallons),15000,Carburettor. Mikuni,Kick,Digital CDI,2 Stroke Mix,Dry Plate,,,Vibration Isolation System,,,,,Yamaha Adjustables,,99.0 kg (218.3 pounds),0.1818 HP/kg,,,,,,,,,"Orange, Yellow",6.0 Nm (0.6 kgf-m or 4.4 ft.lbs),Single Power Pipe,,,,,19.00 seconds,16.00 seconds,,,,,,,,,,,,
Honda ST 70 DAX,1979,"Minibike, cross"," 3.2  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",72.0 ccm (4.39 cubic inches),"Single cylinder, four-stroke",5.2 HP (3.8  kW)) @ 8000 RPM,75.0 km/h (46.6 mph),8.8:1,47.0 x 41.4 mm (1.9 x 1.6 inches),2,Overhead Cams (OHC),Air,3-speed,Chain   (final drive),3.50-10 ,3.50-10 ,Expanding brake,Expanding brake,75.0 kg (165.3 pounds),2.50 litres (0.66 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 1000 L,1979,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 9000 RPM,199.0 km/h (123.7 mph),9.2:1,70.0 x 64.8 mm (2.8 x 2.6 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.50-19 ,4.50-17 ,Dual disc,Single disc,252.0 kg (555.6 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLH 1340 Electra Glide,1979,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 6000 RPM,150.0 km/h (93.2 mph),7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),5.10-16 ,5.10-16 ,Single disc,Single disc,345.0 kg (760.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 900 F Bol d`Or,1979,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",901.0 ccm (54.98 cubic inches),"In-line four, four-stroke",95.0 HP (69.3  kW)) @ 9000 RPM,213.0 km/h (132.4 mph),8.8:1,64.5 x 69.0 mm (2.5 x 2.7 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Single disc,260.0 kg (573.2 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha IT,1979,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",397.0 ccm (24.22 cubic inches),"Single cylinder, two-stroke",36.7 HP (26.8  kW)) @ 6500 RPM,136.8 km/h (85.0 mph),7.9:1,85.0 x 64.0 mm (3.3 x 2.5 inches),,Port control,Air,6-speed,Chain   (final drive),3.00-21 ,5.10-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,12.00 litres (3.17 US gallons),,"Carburettor. Mikuni, 26mm",Kick,Magneto type,Pre mix,Wet multiple disc,,,Tubular steel double cradle,,,Telescopic fork,230 mm (9.1 inches),"Monoshock, nitrogen canister",205 mm (8.1 inches),113.4 kg (250.0 pounds),0.3237 HP/kg,,1170 mm (46.1 inches),2210 mm (87.0 inches),935 mm (36.8 inches),275 mm (10.8 inches),1420 mm (55.9 inches),,,,40.2 Nm (4.1 kgf-m or 29.7 ft.lbs),Upswept expansion chamber with USFS-approved spark arrestor and silencer,150 mm (5.9 inches),,,,,,,,,,,,,,,,,
Kawasaki KZ 1000 LTD,1979,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1015.0 ccm (61.94 cubic inches),"In-line four, four-stroke",86.0 HP (62.8  kW)) @ 8000 RPM,,8.7:1,70.0 x 66.0 mm (2.8 x 2.6 inches),,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,,ML90-19 LRB ,MT90-16T LRB ,,,,13.60 litres (3.59 US gallons),,Carburettor,,,,,,,,,,,,,,241.0 kg (531.3 pounds),0.3568 HP/kg,,1180 mm (46.5 inches),2220 mm (87.4 inches),830 mm (32.7 inches),155 mm (6.1 inches),1505 mm (59.3 inches),,,,83.3 Nm (8.5 kgf-m or 61.4 ft.lbs) @ 6500 RPM,,,,,,,,,,,,,,,,,,,
Laverda 500,1979,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",496.0 ccm (30.27 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 8200 RPM,167.0 km/h (103.8 mph),9.2:1,72.0 x 61.0 mm (2.8 x 2.4 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),100/90-18 ,110/90-18 ,Dual disc,Single disc,189.0 kg (416.7 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RV 125,1979,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",8.0 HP (5.8  kW)) @ 6000 RPM,92.0 km/h (57.2 mph),6.3:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,Port control,Air,5-speed,Chain   (final drive),5.40-14 ,6.70-10 ,Expanding brake,Expanding brake,110.0 kg (242.5 pounds),5.00 litres (1.32 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RX 125,1979,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",13.0 HP (9.5  kW)) @ 7000 RPM,,6.9:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.00-18 ,Single disc,Expanding brake (drum brake),,10.00 litres (2.64 US gallons),,Carburettor. Mikuni VM24SH,Kick,Magneto,Autolube,,,,Painted tubular steel,,,Telescopic forks,,Swing arm twin shocks,,96.0 kg (211.6 pounds),0.1354 HP/kg,,1060 mm (41.7 inches),1915 mm (75.4 inches),730 mm (28.7 inches),160 mm (6.3 inches),1240 mm (48.8 inches),,,Red/black,13.3 Nm (1.4 kgf-m or 9.8 ft.lbs) @ 7000 RPM,Single chrome pipe,,,,,,,,,,,,,,,,,,
Cagiva SST 350,1979,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",342.0 ccm (20.87 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 5750 RPM,136.0 km/h (84.5 mph),9.6:1,80.0 x 68.0 mm (3.1 x 2.7 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,145.0 kg (319.7 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva SST 250,1979,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,123.0 km/h (76.4 mph),10.6:1,72.0 x 59.6 mm (2.8 x 2.3 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,134.0 kg (295.4 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 550 L,1979,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",543.0 ccm (33.13 cubic inches),"In-line four, four-stroke",48.0 HP (35.0  kW)) @ 9200 RPM,158.0 km/h (98.2 mph),8.6:1,56.0 x 55.8 mm (2.2 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.25-19 ,3.75-18 ,Dual disc,Single disc,223.0 kg (491.6 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 400 G,1979,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7200 RPM,141.0 km/h (87.6 mph),9.5:1,64.0 x 62.0 mm (2.5 x 2.4 inches),2,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,182.0 kg (401.2 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico MD 250 WK,1979,Cross / motocross,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,245.0 ccm (14.95 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,151.0 km/h (93.8 mph),11.7:1,76.0 x 54.0 mm (3.0 x 2.1 inches),,Rotary valves,Liquid,6-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Single disc,132.0 kg (291.0 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 200 X 5 E,1979,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",196.0 ccm (11.96 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 8000 RPM,128.0 km/h (79.5 mph),6.9:1,50.0 x 50.0 mm (2.0 x 2.0 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,131.0 kg (288.8 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT 10 (with sidecar),1979,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",25.0 HP (18.2  kW)) @ 5200 RPM,110.0 km/h (68.4 mph),7.8:1,78.0 x 68.0 mm (3.1 x 2.7 inches),2,Overhead Valves (OHV),Air,4-speed with reverse,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,350.0 kg (771.6 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FS 1 DX Fizzy,1979,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",4.0 HP (2.9  kW)) @ 6500 RPM,45.0 km/h (28.0 mph),,,,Rotary valves,Air,4-speed,Chain   (final drive),3.00-17 ,3.00-17 ,Single disc,Expanding brake (drum brake),,11.00 litres (2.91 US gallons),7000,Carburettor,Kick,,,,2.00 litres/100 km (50.0 km/l or 117.61 mpg),46.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Pressed Steel,,,Damped Fork,,Twin Shock,,,,,,,,,,1.00 litres (0.26 US gallons),,"Red, blue, silver, black, yellow",,,,,,6V,,,"Chromed Steel, Spokes",2-Seater,,,,,,,,,,
Enfield 350 Bullet,1979,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",21.0 HP (15.3  kW)) @ 5800 RPM,110.0 km/h (68.4 mph),7.5:1,70.0 x 90.0 mm (2.8 x 3.5 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,3.50-19 ,Expanding brake,Expanding brake,170.0 kg (374.8 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malanca 125 E 2 C Sport,1979,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 9300 RPM,120.0 km/h (74.6 mph),10.0:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Dual disc,Single disc,115.0 kg (253.5 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ TS 125,1979,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6300 RPM,100.0 km/h (62.1 mph),10.0:1,52.0 x 58.0 mm (2.0 x 2.3 inches),,Port control,Air,4-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,127.0 kg (280.0 pounds),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva SX 350,1979,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",342.0 ccm (20.87 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,132.0 km/h (82.0 mph),9.6:1,80.0 x 68.0 mm (3.1 x 2.7 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,139.0 kg (306.4 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ 350 Twin,1979,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",22.0 HP (16.1  kW)) @ 5000 RPM,125.0 km/h (77.7 mph),9.2:1,58.0 x 65.0 mm (2.3 x 2.6 inches),,Port control,Air,4-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,155.0 kg (341.7 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda GL 1000 K 3 Gold Wing,1979,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",999.0 ccm (60.96 cubic inches),"Four cylinder boxer, four-stroke",78.0 HP (56.9  kW)) @ 7000 RPM,196.0 km/h (121.8 mph),9.3:1,72.0 x 61.4 mm (2.8 x 2.4 inches),2,Overhead Cams (OHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,4.50-17 ,Dual disc,Single disc,298.0 kg (657.0 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 400 N,1979,Sport touring," 2.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",395.0 ccm (24.10 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7500 RPM,137.0 km/h (85.1 mph),9.3:1,70.5 x 50.6 mm (2.8 x 2.0 inches),3,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.60-19 ,4.10-18 ,Dual disc,Expanding brake,185.0 kg (407.9 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ TS 250-1,1979,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5400 RPM,125.0 km/h (77.7 mph),8.5:1,69.0 x 65.0 mm (2.7 x 2.6 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.50-16 ,Expanding brake,Expanding brake,146.0 kg (321.9 pounds),17.50 litres (4.62 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CM 185 T Chopper,1979,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",181.0 ccm (11.04 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 9500 RPM,120.0 km/h (74.6 mph),9.2:1,53.0 x 41.0 mm (2.1 x 1.6 inches),2,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),3.00-17 ,3.50-16 ,Expanding brake,Expanding brake,137.0 kg (302.0 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silk 700S Sabre Mk2,1979,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,653.0 ccm (39.85 cubic inches),"Twin, two-stroke",54.0 HP (39.4  kW)) @ 6000 RPM,177.0 km/h (110.0 mph),,,,,Liquid,4-speed,Chain   (final drive),3.60-18 ,4.10-18 ,Single disc,Expanding brake (drum brake),,,,Carburettor,Kick,Electronic,50:1 petroil mix,,,,,,,Cerriani style forks,,Twin shocks,,140.0 kg (308.6 pounds),0.3857 HP/kg,,,,,,,,,Black,,"Exhaust pipes,Ossa silencer",180 mm (7.1 inches),Silk Engineering was British company. A total of 138 Silk 700S bikes was made from 1975 to 1979.,,,,,Six-spoke Campagnolo cast wheel,,,,,,,,,,,
IZH Planeta Sport,1979,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",340.0 ccm (20.75 cubic inches),"Single cylinder, two-stroke",26.0 HP (19.0  kW)) @ 6500 RPM,140.0 km/h (87.0 mph),10.0:1,76.0 x 75.0 mm (3.0 x 3.0 inches),,Port control,Air,4-speed,Chain   (final drive),3.00-19 ,3.50-18 ,Expanding brake,Expanding brake,145.0 kg (319.7 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RM 125,1979,Cross / motocross," 2.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,,56.0 x 50.0 mm (2.2 x 2.0 inches),,Rotary valves,Air,,Chain   (final drive),,,,,,,,Carburettor. 38MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
