Model,Year,Category,Rating,Displacement,Engine type,Power,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Top speed,Fuel system,Starter,Torque,Ignition,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Seat height,Wheelbase,Color options,Max RPM,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Lubrication system,Frame type,Reserve fuel capacity,1/4 mile (0.4 km),Diameter,Ground clearance,0-100 km/h (0-62 mph),Oil capacity,Rake (fork angle),Trail,Comments,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Oil filter,Battery,Belt teeth,Belt width,Pulley teeth,Coolant,Chain size
Yamaha FZ 750 (reduced effect),1991,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 10500 RPM,11.2:1,68.0 x 51.6 mm (2.7 x 2.0 inches),5,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,140/70-18 ,Dual disc,Single disc,232.0 kg (511.5 pounds),21.00 litres (5.55 US gallons),233.0 km/h (144.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100 GS,1991,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,8.5:1,94.0 x 70.6 mm (3.7 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-21 ,130/80-17 ,Single disc,Expanding brake,225.0 kg (496.0 pounds),26.00 litres (6.87 US gallons),164.0 km/h (101.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80 RT (reduced effect),1991,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",27.0 HP (19.7  kW)) @ 5500 RPM,8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,120/90-18 ,Single disc,Expanding brake,243.0 kg (535.7 pounds),22.00 litres (5.81 US gallons),145.0 km/h (90.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Tuareg 600 Wind (reduced effect),1991,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,9.4:1,94.0 x 81.0 mm (3.7 x 3.2 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Dual disc,Single disc,182.0 kg (401.2 pounds),18.00 litres (4.76 US gallons),130.0 km/h (80.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trophy 1200 (reduced effect),1991,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1179.0 ccm (71.94 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9250 RPM,10.6:1,76.0 x 65.0 mm (3.0 x 2.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,160/60-18 ,Dual disc,Single disc,267.0 kg (588.6 pounds),25.00 litres (6.61 US gallons),241.0 km/h (149.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350-639,1991,Naked bike," 2.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",344.0 ccm (20.99 cubic inches),"Twin, two-stroke",,,58.0 x 65.0 mm (2.3 x 2.6 inches),,,Air,,Chain   (final drive),,,Single disc,Expanding brake (drum brake),,17.00 litres (4.49 US gallons),130.0 km/h (80.8 mph),Carburettor,,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,,,,,,,,"red, black, white",,,4.00 litres/100 km (25.0 km/l or 58.81 mpg),92.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,Double stainless steel pipes,,,,,,mix,,2.00 litres (0.53 US gallons),,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna 125 WRK,1991,Enduro / offroad," 2.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 8500 RPM,15.5:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,Membrane & variable discharge openings,Liquid,6-speed,Chain   (final drive),90/90-21 ,120/90-18 ,Single disc,Expanding brake,91.0 kg (200.6 pounds),8.00 litres (2.11 US gallons),95.0 km/h (59.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 1000 Daytona Injection,1991,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,992.0 ccm (60.53 cubic inches),"V2, four-stroke",93.0 HP (67.9  kW)) @ 8000 RPM,10.0:1,90.0 x 78.0 mm (3.5 x 3.1 inches),4,Overhead Cams (OHC),Air,5-speed,Shaft drive (cardan)   (final drive),120/70-17 ,160/60-18 ,Dual disc,Single disc,239.0 kg (526.9 pounds),20.00 litres (5.28 US gallons),220.0 km/h (136.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 535,1991,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",535.0 ccm (32.65 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 7500 RPM,9.0:1,76.0 x 59.0 mm (3.0 x 2.3 inches),2,Overhead Cams (OHC),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-19 ,140/90-15 ,Single disc,Expanding brake,220.0 kg (485.0 pounds),13.50 litres (3.57 US gallons),148.0 km/h (92.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Elefant 350,1991,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",349.0 ccm (21.30 cubic inches),"V2, four-stroke",38.0 HP (27.7  kW)) @ 8000 RPM,10.3:1,66.0 x 51.0 mm (2.6 x 2.0 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),3.00-21 ,5.10-17 ,Single disc,Single disc,208.0 kg (458.6 pounds),18.00 litres (4.76 US gallons),140.0 km/h (87.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600 K,1991,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 6500 RPM,8.5:1,95.0 x 84.0 mm (3.7 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,120/90-17 ,Single disc,Single disc,177.0 kg (390.2 pounds),13.00 litres (3.43 US gallons),148.0 km/h (92.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 1100,1991,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1127.0 ccm (68.77 cubic inches),"In-line four, four-stroke",143.0 HP (104.4  kW)) @ 9500 RPM,10.0:1,78.0 x 59.0 mm (3.1 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),120/60-17 ,180/55-17 ,Dual disc,Single disc,253.0 kg (557.8 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM Enduro 250 TVC,1991,Enduro / offroad," 4.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7400 RPM,6.7:1,67.5 x 69.5 mm (2.7 x 2.7 inches),,Membrane & variable discharge openings,Liquid,5-speed,Chain   (final drive),90/90-21 ,140/80-18 ,Single disc,Single disc,103.0 kg (227.1 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Daytona 750 (reduced effect #2),1991,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,748.0 ccm (45.64 cubic inches),"In-line three, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,11.0:1,76.0 x 55.0 mm (3.0 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,160/60-18 ,Dual disc,Single disc,260.0 kg (573.2 pounds),25.00 litres (6.61 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 600 (reduced effect),1991,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 9250 RPM,10.0:1,58.5 x 55.1 mm (2.3 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),90/90-18 ,110/90-18 ,Dual disc,Single disc,212.0 kg (467.4 pounds),20.00 litres (5.28 US gallons),177.0 km/h (110.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NX 650 Dominator,1991,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)) @ 6000 RPM,8.3:1,100.0 x 82.0 mm (3.9 x 3.2 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,178.0 kg (392.4 pounds),13.00 litres (3.43 US gallons),153.0 km/h (95.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VFR 750 F,1991,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 10000 RPM,11.0:1,70.0 x 48.6 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,170/60-17 ,Dual disc,Single disc,244.0 kg (537.9 pounds),19.00 litres (5.02 US gallons),233.0 km/h (144.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLE 500 (reduced effect),1991,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,499.0 ccm (30.45 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7300 RPM,10.8:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,198.0 kg (436.5 pounds),15.00 litres (3.96 US gallons),138.0 km/h (85.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ ETZ 150,1991,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,143.0 ccm (8.73 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6000 RPM,10.0:1,56.0 x 58.0 mm (2.2 x 2.3 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.25-16 ,Single disc,Expanding brake,125.0 kg (275.6 pounds),13.00 litres (3.43 US gallons),95.0 km/h (59.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FJ 1200 (reduced effect),1991,Sport touring," 4.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1188.0 ccm (72.49 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8500 RPM,9.7:1,77.0 x 63.8 mm (3.0 x 2.5 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),120/80-16 ,150/80-16 ,Dual disc,Single disc,259.0 kg (571.0 pounds),24.00 litres (6.34 US gallons),231.0 km/h (143.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 250 (reduced effect),1991,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"V2, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,10.0:1,49.0 x 66.0 mm (1.9 x 2.6 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,130/90-15 ,Single disc,Expanding brake,154.0 kg (339.5 pounds),9.50 litres (2.51 US gallons),111.0 km/h (69.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZR 600 (reduced effect),1991,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8000 RPM,12.0:1,59.0 x 54.8 mm (2.3 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),110/70-17 ,130/10-18 ,Dual disc,Single disc,208.0 kg (458.6 pounds),18.00 litres (4.76 US gallons),180.0 km/h (111.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Electra Glide Ultra Classic (reduced effect),1991,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1337.0 ccm (81.58 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT90-16T ,MT90-16T ,Dual disc,Single disc,340.0 kg (749.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna 610 TE (reduced effect),1991,Enduro / offroad," 2.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",577.0 ccm (35.21 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5000 RPM,10.2:1,98.0 x 76.5 mm (3.9 x 3.0 inches),4,Overhead Cams (OHC),Liquid,6-speed,Chain   (final drive),90/90-21 ,140/90-18 ,Single disc,Single disc,132.0 kg (291.0 pounds),9.00 litres (2.38 US gallons),125.0 km/h (77.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZXR 250c,1991,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"In-line four, four-stroke",45.0 HP (32.8  kW)) @ 16000 RPM,12.4:1,,4,,Liquid,6-speed,Chain   (final drive),110/70-17 ,140/55-18 ,Double disc. 2 piston caliper,Single disc. single piston caliper,162.0 kg (357.1 pounds),15.00 litres (3.96 US gallons),215.0 km/h (133.6 mph),Carburettor,Electric,24.0 Nm (2.4 kgf-m or 17.7 ft.lbs) @ 11000 RPM,Electronic,Inverted forks,,,,,,,19000,Multi wet plate,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,4 into 1,141.0 kg (310.9 pounds),0.3191 HP/kg,,,,Wet sump,aluminum,3.00 litres (0.79 US gallons),,,,3.80 seconds,2.60 litres (2.75 US quarts),,,,,,,,,,,,,,,,,,,
Cagiva 125 Mito,1991,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 10500 RPM,13.0:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,Membrane & variable discharge openings,Liquid,7-speed,Chain   (final drive),110/70-17 ,150/60-17 ,Single disc,Single disc,135.0 kg (297.6 pounds),18.00 litres (4.76 US gallons),160.0 km/h (99.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico GS 250,1991,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5500 RPM,15.5:1,67.0 x 70.0 mm (2.6 x 2.8 inches),,Membrane & variable discharge openings,Liquid,5-speed,Chain   (final drive),3.00-21 ,130/80-18 ,Single disc,Single disc,105.0 kg (231.5 pounds),10.00 litres (2.64 US gallons),100.0 km/h (62.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 LT Limited Edition,1991,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",987.0 ccm (60.23 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),110/80-18 ,140/80-17 ,Dual disc,Single disc,283.0 kg (623.9 pounds),22.00 litres (5.81 US gallons),215.0 km/h (133.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLTC 1340 Tour Glide Classic,1991,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT90-16T ,MT90-16T ,Dual disc,Single disc,360.0 kg (793.7 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna 260 WRK,1991,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",260.0 ccm (15.87 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5500 RPM,13.5:1,71.5 x 64.8 mm (2.8 x 2.6 inches),,Membrane & variable discharge openings,Liquid,6-speed,Chain   (final drive),90/90-21 ,140/80-18 ,Single disc,Expanding brake,101.0 kg (222.7 pounds),8.50 litres (2.25 US gallons),110.0 km/h (68.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 906 Paso,1991,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",88.0 HP (64.2  kW)) @ 8000 RPM,9.2:1,92.0 x 68.0 mm (3.6 x 2.7 inches),2,Desmodromic valve control,Liquid,6-speed,Chain   (final drive),130/60-16 ,160/60-16 ,Dual disc,Single disc,237.0 kg (522.5 pounds),22.00 litres (5.81 US gallons),214.0 km/h (133.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ ETZ 251 (with sidecar),1991,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",21.0 HP (15.3  kW)) @ 5500 RPM,10.0:1,69.0 x 65.0 mm (2.7 x 2.6 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.50-16 ,Single disc,Expanding brake,228.0 kg (502.7 pounds),17.00 litres (4.49 US gallons),101.0 km/h (62.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki EN 500,1991,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,10.8:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Belt   (final drive),100/80-19 ,140/90-15 ,Single disc,Expanding brake,200.0 kg (440.9 pounds),11.00 litres (2.91 US gallons),157.0 km/h (97.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN-15 SE,1991,Custom / cruiser," 2.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1470.0 ccm (89.70 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5000 RPM,9.0:1,102.0 x 90.0 mm (4.0 x 3.5 inches),4,Overhead Cams (OHC),Liquid,4-speed,Shaft drive (cardan)   (final drive),100/90-19 ,150/90-15 ,Single disc,Single disc,281.0 kg (619.5 pounds),12.00 litres (3.17 US gallons),178.0 km/h (110.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR Big 800 S (reduced effect),1991,Super motard," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",779.0 ccm (47.53 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5800 RPM,9.5:1,105.0 x 90.0 mm (4.1 x 3.5 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,222.0 kg (489.4 pounds),24.00 litres (6.34 US gallons),125.0 km/h (77.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 75,1991,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",75.0 HP (54.7  kW)) @ 8500 RPM,11.0:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,130/90-17 ,Dual disc,Single disc,236.0 kg (520.3 pounds),21.00 litres (5.55 US gallons),194.0 km/h (120.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 600,1991,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",72.0 HP (52.6  kW)) @ 10000 RPM,10.0:1,58.5 x 55.7 mm (2.3 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),90/90-18 ,110/90-18 ,Dual disc,Single disc,212.0 kg (467.4 pounds),20.00 litres (5.28 US gallons),198.0 km/h (123.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico GS 350,1991,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6800 RPM,10.0:1,79.5 x 70.4 mm (3.1 x 2.8 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,130/80-18 ,Single disc,Single disc,135.0 kg (297.6 pounds),10.00 litres (2.64 US gallons),125.0 km/h (77.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Dyna Glide Sturgis,1991,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),100/90-19 ,130/90-16 ,Single disc,Single disc,280.0 kg (617.3 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Pegaso 600,1991,Trial," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 7000 RPM,9.4:1,94.0 x 81.0 mm (3.7 x 3.2 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),100/90-19 ,130/90-17 ,Single disc,Single disc,172.0 kg (379.2 pounds),11.50 litres (3.04 US gallons),152.0 km/h (94.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZR 750 R (reduced effect),1991,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 11250 RPM,11.4:1,72.0 x 46.0 mm (2.8 x 1.8 inches),5,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),130/70-17 ,180/55-17 ,Dual disc,Single disc,215.0 kg (474.0 pounds),20.00 litres (5.28 US gallons),234.0 km/h (145.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 65,1991,Enduro / offroad," 2.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",27.0 HP (19.7  kW)) @ 5500 RPM,8.4:1,82.0 x 61.5 mm (3.2 x 2.4 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,120/90-18 ,Single disc,Expanding brake,205.0 kg (451.9 pounds),22.00 litres (5.81 US gallons),147.0 km/h (91.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VFR 750 R - RC 30 (reduced effect),1991,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,748.0 ccm (45.64 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 11000 RPM,11.0:1,70.0 x 48.6 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,170/60-18 ,Dual disc,Single disc,210.0 kg (463.0 pounds),18.00 litres (4.76 US gallons),234.0 km/h (145.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
