Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Valves per cylinder,Cooling system,Gearbox,Transmission type,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Alternate seat height,Starter,Max RPM,Fuel consumption,Greenhouse gases,Fuel capacity,Compression,Fuel control,0-100 km/h (0-62 mph),Bore x stroke,Fuel system,Front tire,Rear tire,Wheelbase,Reserve fuel capacity,Color options,Comments,Ignition,Driveline,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Diameter,Wheels,"Weight incl. oil, gas, etc",Oil filter,Battery,Spark plugs,Belt teeth,Belt width,Lubrication system,Clutch,Frame type,1/4 mile (0.4 km),Ground clearance,Exhaust system,Oil capacity,Engine oil,Brake fluid,Coolant,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Overall length,Electrical,Overall height,Overall width,Carrying capacity
Laverda 750 S,1998,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"Twin, four-stroke",85.0 HP (62.0  kW)) @ 9200 RPM,75.0 Nm (7.6 kgf-m or 55.3 ft.lbs) @ 7200 RPM,200.0 km/h (124.3 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,,187.0 kg (412.3 pounds),0.4545 HP/kg,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Quota ES 1100,1998,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",71.0 HP (51.8  kW)) @ 6200 RPM,92.0 Nm (9.4 kgf-m or 67.9 ft.lbs) @ 3800 RPM,200.0 km/h (124.3 mph),2,Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,245.0 kg (540.1 pounds),0.2898 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600 E,1998,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",40.0 HP (29.2  kW)) @ 6000 RPM,48.0 Nm (4.9 kgf-m or 35.4 ft.lbs) @ 5000 RPM,150.0 km/h (93.2 mph),4,Air,5-speed,Chain   (final drive),Single disc,Single disc,156.0 kg (343.9 pounds),0.2564 HP/kg,"855 mm (33.7 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural Solo,1998,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5200 RPM,47.0 Nm (4.8 kgf-m or 34.7 ft.lbs) @ 4800 RPM,,,Air,4-speed,Shaft drive (cardan)   (final drive),Expanding brake,Expanding brake,225.0 kg (496.0 pounds),0.1422 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 916 SPS,1998,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",123.0 HP (89.8  kW)) @ 9500 RPM,101.0 Nm (10.3 kgf-m or 74.5 ft.lbs) @ 7000 RPM,250.0 km/h (155.3 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,190.0 kg (418.9 pounds),0.6474 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda PC 800 Pacific Coast,1998,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",798.0 ccm (48.69 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 6500 RPM,65.7 Nm (6.7 kgf-m or 48.5 ft.lbs) @ 5500 RPM,172.2 km/h (107.0 mph),3,Liquid,5-speed,Shaft drive (cardan)   (final drive),Double disc,Expanding brake (drum brake),272.6 kg (601.0 pounds),0.2091 HP/kg,"762 mm (30.0 inches) If adjustable, lowest setting.",,Electric,,4.70 litres/100 km (21.3 km/l or 50.05 mpg),109.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,15.89 litres (4.20 US gallons),,Single Overhead Cams (SOHC),,79.5 x 80.6 mm (3.1 x 3.2 inches),Carburettor. Two 34.2mm Keihin CV,120/80-17 ,140/80-16or15 ,1554 mm (61.2 inches),,,,,,,,41mm,145 mm (5.7 inches),,130 mm (5.1 inches),,,286.2 kg (631.0 pounds),,,,,,,"Hydraulicly actuated, multi-plate, wet clutch",,14.48 seconds,178 mm (7.0 inches),,,,,,,,,,,,,,,,,
KTM 400 EGS,1998,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 7300 RPM,,150.0 km/h (93.2 mph),4,Liquid,5-speed,Chain   (final drive),Single disc,Single disc,137.0 kg (302.0 pounds),0.3650 HP/kg,"940 mm (37.0 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 1100,1998,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1052.0 ccm (64.19 cubic inches),"In-line four, four-stroke",130.0 HP (94.9  kW)) @ 9500 RPM,100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 7000 RPM,250.0 km/h (155.3 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,242.0 kg (533.5 pounds),0.5372 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 1100 C3 Shadow Aero,1998,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1099.0 ccm (67.06 cubic inches),"V2, four-stroke",52.0 HP (38.0  kW)) @ 4750 RPM,84.0 Nm (8.6 kgf-m or 62.0 ft.lbs) @ 2500 RPM,160.0 km/h (99.4 mph),3,Liquid,5-speed,Shaft drive (cardan)   (final drive),Single disc,Single disc,283.0 kg (623.9 pounds),0.1837 HP/kg,"725 mm (28.5 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha ST 125,1998,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",36.0 HP (26.3  kW)),,160.0 km/h (99.4 mph),,Liquid,6-speed,Chain   (final drive),Single disc. Twin piston caliper,Single disc. Twin piston caliper,110.0 kg (242.5 pounds),0.3273 HP/kg,,,Kick,11000,8.00 litres/100 km (12.5 km/l or 29.40 mpg),185.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,10.00 litres (2.64 US gallons),,Port control,,,Carburettor. Mikuni,2.00-17 ,2.00-17 ,,,Purple/ silver,Made by Yamaha Thailand model code 4XC,electronic,,,,Rwu forks,,Monoshock,,,,,,,,,,Oil injection,Wet plate,Steel deltabox,,,Single expansion chamber and muffler,,,,,,,,,,,,,,,,
Dandy 125,1998,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",12.4 HP (9.1  kW)),,,,Air,5-speed,Chain   (final drive),,,103.0 kg (227.1 pounds),0.1204 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 600 V Transalp,1998,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)),53.0 Nm (5.4 kgf-m or 39.1 ft.lbs),170.0 km/h (105.6 mph),3,Liquid,5-speed,Chain   (final drive),Dual disc,Single disc,196.0 kg (432.1 pounds),0.2551 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 550 Lightning,1998,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",535.0 ccm (32.65 cubic inches),"Single cylinder, four-stroke",26.0 HP (19.0  kW)) @ 5500 RPM,42.0 Nm (4.3 kgf-m or 31.0 ft.lbs) @ 3000 RPM,,,,4-speed,Chain   (final drive),,,,,"760 mm (29.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TE 410 Enduro,1998,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",400.0 ccm (24.41 cubic inches),"Single cylinder, four-stroke",,,,,,6-speed,Chain   (final drive),Single disc,Single disc,116.0 kg (255.7 pounds),,"885 mm (34.8 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 600 F,1998,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",105.0 HP (76.6  kW)) @ 12000 RPM,66.0 Nm (6.7 kgf-m or 48.7 ft.lbs) @ 10500 RPM,250.0 km/h (155.3 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,186.0 kg (410.1 pounds),0.5645 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota Mantra,1998,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,904.0 ccm (55.16 cubic inches),"V2, four-stroke",80.0 HP (58.4  kW)) @ 7000 RPM,86.0 Nm (8.8 kgf-m or 63.4 ft.lbs) @ 5500 RPM,200.0 km/h (124.3 mph),2,Air,6-speed,Chain   (final drive),Dual disc,Single disc,182.0 kg (401.2 pounds),0.4396 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minsk 12,1998,Naked bike," 2.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)),,,,Air,4-speed,Chain   (final drive),,,105.0 kg (231.5 pounds),0.0952 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NSR 125,1998,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 9500 RPM,15.0 Nm (1.5 kgf-m or 11.1 ft.lbs) @ 8000 RPM,,,Liquid,6-speed,Chain   (final drive),Single disc,Single disc,132.0 kg (291.0 pounds),0.1136 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 600 N Bandit,1998,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",78.0 HP (56.9  kW)),54.0 Nm (5.5 kgf-m or 39.8 ft.lbs),200.0 km/h (124.3 mph),4,Air,6-speed,Chain   (final drive),Dual disc,Single disc,196.0 kg (432.1 pounds),0.3980 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki XF 650 Freewind,1998,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",47.0 HP (34.3  kW)) @ 7000 RPM,53.0 Nm (5.4 kgf-m or 39.1 ft.lbs) @ 5500 RPM,160.0 km/h (99.4 mph),4,Air,5-speed,Chain   (final drive),Single disc,Single disc,162.0 kg (357.1 pounds),0.2901 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.","830 mm (32.7 inches) If adjustable, highest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi Predator,1998,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,,,Air,,Belt   (final drive),,,,,,,,,,,,,,,,Carburettor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota YB9 SRI,1998,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",106.0 HP (77.4  kW)) @ 12500 RPM,67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 10000 RPM,250.0 km/h (155.3 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,175.0 kg (385.8 pounds),0.6057 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM Adventure,1998,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",609.0 ccm (37.16 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 7250 RPM,50.0 Nm (5.1 kgf-m or 36.9 ft.lbs) @ 5750 RPM,165.0 km/h (102.5 mph),4,Liquid,5-speed,Chain   (final drive),Single disc,Single disc,146.0 kg (321.9 pounds),0.3425 HP/kg,"920 mm (36.2 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 750 Diamante,1998,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"Twin, four-stroke",85.0 HP (62.0  kW)) @ 9200 RPM,75.0 Nm (7.6 kgf-m or 55.3 ft.lbs) @ 7200 RPM,200.0 km/h (124.3 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,,190.0 kg (418.9 pounds),0.4474 HP/kg,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vespa ET 4,1998,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",9.0 HP (6.6  kW)),,,,Air,,,,,104.0 kg (229.3 pounds),0.0865 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TRX 850,1998,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",849.0 ccm (51.81 cubic inches),"Twin, four-stroke",83.0 HP (60.6  kW)) @ 7500 RPM,87.0 Nm (8.9 kgf-m or 64.2 ft.lbs) @ 6000 RPM,220.0 km/h (136.7 mph),5,Liquid,5-speed,Chain   (final drive),Dual disc,Single disc,188.0 kg (414.5 pounds),0.4415 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLE 500,1998,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"Twin, four-stroke",34.0 HP (24.8  kW)) @ 7500 RPM,36.0 Nm (3.7 kgf-m or 26.6 ft.lbs) @ 3000 RPM,,,Liquid,6-speed,Chain   (final drive),Single disc,Single disc,181.0 kg (399.0 pounds),0.1878 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VTR 1000 F,1998,Sport," 4.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",110.0 HP (80.3  kW)) @ 9000 RPM,96.0 Nm (9.8 kgf-m or 70.8 ft.lbs) @ 7000 RPM,255.0 km/h (158.4 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,192.0 kg (423.3 pounds),0.5729 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GN 125,1998,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 9500 RPM,9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 8500 RPM,,,Air,5-speed,Chain   (final drive),Single disc,,101.0 kg (222.7 pounds),0.1188 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Sprint Sport,1998,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",81.0 HP (59.1  kW)) @ 8500 RPM,76.0 Nm (7.7 kgf-m or 56.1 ft.lbs) @ 6500 RPM,200.0 km/h (124.3 mph),3,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,224.0 kg (493.8 pounds),0.3616 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 350,1998,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",,,145.0 km/h (90.1 mph),4,Air,6-speed,Chain   (final drive),,,,,,,,8200,,,,9.0:1,Double Overhead Cams/Twin Cam (DOHC),,,Carburettor. teikei,,,,,,,,,,,,279 mm (11.0 inches),,203 mm (8.0 inches),,,,,,,,,wet sump,wet plate,steel,,,single pipe,,,,,,,,,,,,,,,,
Husaberg FE 501,1998,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",501.0 ccm (30.57 cubic inches),"Single cylinder, four-stroke",52.0 HP (38.0  kW)),,,,,6-speed,Chain   (final drive),Single disc,Single disc,109.0 kg (240.3 pounds),0.4771 HP/kg,"950 mm (37.4 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Dyna Glide Low Rider,1998,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",56.0 HP (40.9  kW)) @ 5000 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 2350 RPM,165.0 km/h (102.5 mph),2,Air,5-speed,Belt   (final drive),Single disc,,271.0 kg (597.5 pounds),0.2066 HP/kg,"673 mm (26.5 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW F 650 ST,1998,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)),57.0 Nm (5.8 kgf-m or 42.0 ft.lbs),165.0 km/h (102.5 mph),4,,5-speed,Chain   (final drive),Single disc,Single disc,173.0 kg (381.4 pounds),0.2775 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Voyager XII,1998,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1196.0 ccm (72.98 cubic inches),"In-line four, four-stroke",97.0 HP (70.8  kW)) @ 7000 RPM,107.8 Nm (11.0 kgf-m or 79.5 ft.lbs) @ 5000 RPM,,4,Liquid,5-speed,Shaft drive (cardan)   (final drive),Double disc. Hydraulic,Single disc. Hydraulic,330.0 kg (727.5 pounds),0.2939 HP/kg,"755 mm (29.7 inches) If adjustable, lowest setting.",,Electric,,5.22 litres/100 km (19.2 km/l or 45.06 mpg),121.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,23.20 litres (6.13 US gallons),10.0:1,Double Overhead Cams/Twin Cam (DOHC),,78.0 x 62.0 mm (3.1 x 2.4 inches),"Carburettor. Kehin ckv 30 (4) constant Velocity, Diaphram type.",130/90-16 ,150/90-15 ,1620 mm (63.8 inches),,Dark Green,,"12 v Battery and  coil, Transistorized Breakerless",,,,Air/Oil fork,,Air/Spring shocks,,256 mm (10.1 inches),,361.0 kg (795.9 pounds),,,,,,,"Wet, Multi-disc, Manual",,,140 mm (5.5 inches),,,,,,,,,,,,,,,,,
Yamaha TDM 850,1998,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",849.0 ccm (51.81 cubic inches),"Twin, four-stroke",80.0 HP (58.4  kW)) @ 7500 RPM,77.0 Nm (7.9 kgf-m or 56.8 ft.lbs) @ 6000 RPM,205.0 km/h (127.4 mph),5,Liquid,5-speed,Chain   (final drive),Dual disc,Single disc,201.0 kg (443.1 pounds),0.3980 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ Classic 300,1998,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",291.0 ccm (17.76 cubic inches),"Single cylinder, two-stroke",32.0 HP (23.4  kW)) @ 5500 RPM,29.5 Nm (3.0 kgf-m or 21.8 ft.lbs) @ 5200 RPM,,,Air,5-speed,,Single disc,Expanding brake,128.5 kg (283.3 pounds),0.2490 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1100 RS,1998,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1085.0 ccm (66.21 cubic inches),"Two cylinder boxer, four-stroke",90.0 HP (65.7  kW)) @ 7250 RPM,95.0 Nm (9.7 kgf-m or 70.1 ft.lbs) @ 5500 RPM,220.0 km/h (136.7 mph),4,Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,215.0 kg (474.0 pounds),0.4186 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.","820 mm (32.3 inches) If adjustable, highest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 500,1998,Naked bike," 2.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",487.0 ccm (29.72 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 9000 RPM,40.0 Nm (4.1 kgf-m or 29.5 ft.lbs) @ 7400 RPM,,,Air,6-speed,,Single disc,Single disc,169.0 kg (372.6 pounds),0.2663 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Pegaso 650,1998,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)),54.0 Nm (5.5 kgf-m or 39.8 ft.lbs),160.0 km/h (99.4 mph),5,,5-speed,Chain   (final drive),Single disc,Single disc,180.0 kg (396.8 pounds),0.2778 HP/kg,"870 mm (34.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minsk 13,1998,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)),,,,Air,4-speed,Chain   (final drive),,,112.0 kg (246.9 pounds),0.0893 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota Vdue 500,1998,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"V2, two-stroke",105.0 HP (76.6  kW)) @ 9600 RPM,77.0 Nm (7.9 kgf-m or 56.8 ft.lbs) @ 9300 RPM,260.0 km/h (161.6 mph),,Liquid,5-speed,Chain   (final drive),Dual disc,Single disc,165.0 kg (363.8 pounds),0.6364 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
