Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Torque,Clutch,Front suspension,Rear suspension,Diameter,Overall length,Overall width,Wheelbase,Color options,Fuel system,Ignition,Lubrication system,Exhaust system,Frame type,Front wheel travel,Rear wheel travel,Dry weight,Power/weight ratio,Seat height,Overall height,Ground clearance,Reserve fuel capacity,Starter,Comments,1/4 mile (0.4 km),Max RPM,Driveline,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Factory warranty,Front percentage of weight,Rear percentage of weight,Modifications compared to previous model,Oil capacity,Electrical,Engine oil,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),Alternate seat height
IZH Planeta 4,1984,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",350.0 ccm (21.36 cubic inches),"Single cylinder, two-stroke",20.0 HP (14.6  kW)) @ 4800 RPM,120.0 km/h (74.6 mph),8.5:1,72.0 x 85.0 mm (2.8 x 3.3 inches),,Port control,Air,4-speed,Chain   (final drive),-	3.50-18 ,,Expanding brake (drum brake),Expanding brake (drum brake),,17.00 litres (4.49 US gallons),27.5 Nm (2.8 kgf-m or 20.3 ft.lbs) @ 4700 RPM,,,,,2470 mm (97.2 inches),810 mm (31.9 inches),1450 mm (57.1 inches),Blue,Carburettor,,,Double stainless steel pipes,,,,155.0 kg (341.7 pounds),0.1290 HP/kg,,1170 mm (46.1 inches),135 mm (5.3 inches),0.75 litres (0.20 US gallons),Kick,Good at repairing,,,,5.50 litres/100 km (18.2 km/l or 42.77 mpg),127.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,12V instaliation,,,,,,,,,,,,,
BMW K 100 RT,1984,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",987.0 ccm (60.23 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,206.0 km/h (128.0 mph),10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,130/90-17 ,Dual disc,Single disc,272.0 kg (599.7 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 600 S,1984,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",590.0 ccm (36.00 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 6800 RPM,150.0 km/h (93.2 mph),9.5:1,94.0 x 85.0 mm (3.7 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),100/80-21 ,130/80-17 ,Single disc,Expanding brake,166.0 kg (366.0 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLS 1000 Roadster,1984,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,167.0 km/h (103.8 mph),8.8:1,81.0 x 96.8 mm (3.2 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,249.0 kg (549.0 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FJ 1100 (reduced effect),1984,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1097.0 ccm (66.94 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,220.0 km/h (136.7 mph),9.5:1,74.0 x 63.8 mm (2.9 x 2.5 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),120/80-16 ,150/80-16 ,Dual disc,Single disc,261.0 kg (575.4 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80,1984,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,181.0 km/h (112.5 mph),8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,120/90-18 ,Single disc,Expanding brake,207.0 kg (456.4 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 1000 F,1984,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",998.0 ccm (60.90 cubic inches),"V4, four-stroke",116.0 HP (84.7  kW)) @ 10000 RPM,,10.5:1,77.0 x 53.6 mm (3.0 x 2.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),120/80-16 ,140/80-17 ,Dual disc,Single disc,261.0 kg (575.4 pounds),23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 850 T 5,1984,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 6900 RPM,199.0 km/h (123.7 mph),9.5:1,83.0 x 78.0 mm (3.3 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),110/90-16 ,130/90-16 ,Dual disc,Single disc,244.0 kg (537.9 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLR 250,1984,"Minibike, cross"," 3.3  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 9000 RPM,133.0 km/h (82.6 mph),11.0:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),3.00-21 ,4.60-17 ,Single disc,Expanding brake,134.0 kg (295.4 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 650 (reduced effect),1984,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",653.0 ccm (39.85 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 7500 RPM,173.0 km/h (107.5 mph),8.5:1,63.0 x 52.4 mm (2.5 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,120/90-18 ,Dual disc,Expanding brake,231.0 kg (509.3 pounds),20.50 litres (5.42 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ ETZ 250,1984,Naked bike," 2.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5200 RPM,130.0 km/h (80.8 mph),10.0:1,69.0 x 65.0 mm (2.7 x 2.6 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.50-18 ,Single disc,Expanding brake,154.0 kg (339.5 pounds),17.50 litres (4.62 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT-10 36,1984,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5600 RPM,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,,,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,Dnepr made this bike in Kiev 1975-84.,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 1300 DFI,1984,Speedway," 3.3  See the detailed rating of engine performance, racing track capabilities, maintenance costs, etc. Compare with any other bike.",1285.0 ccm (78.41 cubic inches),"In-line six, four-stroke",130.0 HP (94.9  kW)) @ 8000 RPM,,9.3:1,62.0 x 71.0 mm (2.4 x 2.8 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),110/90-18 ,130/90-17 ,Dual disc,Single disc,324.0 kg (714.3 pounds),27.00 litres (7.13 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM XC 600 Enduro Sport,1984,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,130.0 km/h (80.8 mph),9.6:1,94.0 x 81.0 mm (3.7 x 3.2 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Single disc,Expanding brake,140.0 kg (308.6 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 3 1-2 L,1984,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,344.0 ccm (20.99 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6850 RPM,165.0 km/h (102.5 mph),11.1:1,62.0 x 57.0 mm (2.4 x 2.2 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),100/90-18 ,3.50-18 ,Single disc,Expanding brake,160.0 kg (352.7 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 750 Turbo,1984,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",739.0 ccm (45.09 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,225.0 km/h (139.8 mph),7.8:1,66.0 x 54.0 mm (2.6 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),110/90-18 ,130/80-18 ,Dual disc,Single disc,254.0 kg (560.0 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,Turbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 45 (reduced effect),1984,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,473.0 ccm (28.86 cubic inches),"Two cylinder boxer, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,141.0 km/h (87.6 mph),8.2:1,70.0 x 61.5 mm (2.8 x 2.4 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-18 ,4.00-18 ,Single disc,Expanding brake,206.0 kg (454.2 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 550 Sport,1984,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,184.0 km/h (114.3 mph),9.5:1,58.0 x 52.4 mm (2.3 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Expanding brake,208.0 kg (458.6 pounds),18.50 litres (4.89 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 450 N,1984,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",447.0 ccm (27.28 cubic inches),"Twin, four-stroke",43.0 HP (31.4  kW)) @ 9000 RPM,178.0 km/h (110.6 mph),9.3:1,75.0 x 50.6 mm (3.0 x 2.0 inches),3,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.60-19 ,4.10-18 ,Dual disc,Expanding brake,189.0 kg (416.7 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 750 F,1984,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",90.0 HP (65.7  kW)) @ 10000 RPM,216.0 km/h (134.2 mph),10.5:1,70.0 x 48.6 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),120/80-16 ,130/80-18 ,Dual disc,Single disc,248.0 kg (546.7 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBX 550 F 2 (reduced effect),1984,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,572.0 ccm (34.90 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,185.0 km/h (115.0 mph),9.5:1,59.2 x 52.0 mm (2.3 x 2.0 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.60-18 ,4.10-18 ,Dual disc,Single disc,213.0 kg (469.6 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KZ 700-A1,1984,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",694.0 ccm (42.35 cubic inches),"In-line four, four-stroke",,,9.7:1,64.0 x 54.0 mm (2.5 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-19-57H ,120/90-18-65H ,Double disc. 1-piston calipers,Single disc. 1-piston caliper,,21.70 litres (5.73 US gallons),,Wet plate,Air-adjustable telescopic fork,Dual shocks with adjustable preload and damping,,2170 mm (85.4 inches),770 mm (30.3 inches),1460 mm (57.5 inches),,Carburettor. Mikuni BS34,Transistorized ignition,Wet sump,,,,,216.0 kg (476.2 pounds),,"800 mm (31.5 inches) If adjustable, lowest setting.",1130 mm (44.5 inches),140 mm (5.5 inches),2.00 litres (0.53 US gallons),Electric,,,,,,,27.0°,107 mm (4.2 inches),,,,,,,,,,,,,,,,,
Suzuki GS 250 FWS,1984,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"In-line four, four-stroke",,,,,,Double Overhead Cams/Twin Cam (DOHC),,6-speed,,,,,,,,,,,,,,,,,Carburettor,,,,,,,157.0 kg (346.1 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 600 S,1984,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",72.0 HP (52.6  kW)) @ 10000 RPM,198.0 km/h (123.0 mph),10.0:1,58.5 x 55.7 mm (2.3 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),90/90-18 ,110/90-18 ,Dual disc,Single disc,212.0 kg (467.4 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 250 2 C,1984,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,231.0 ccm (14.10 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 7600 RPM,125.0 km/h (77.7 mph),10.0:1,56.0 x 41.0 mm (2.2 x 1.6 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Expanding brake,134.0 kg (295.4 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 550 ES,1984,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",572.0 ccm (34.90 cubic inches),"In-line four, four-stroke",64.0 HP (46.7  kW)) @ 10000 RPM,201.0 km/h (124.9 mph),10.0:1,60.0 x 50.6 mm (2.4 x 2.0 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),100/90-16 ,110/90-18 ,Dual disc,Single disc,216.0 kg (476.2 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 400 S,1984,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,396.0 ccm (24.16 cubic inches),"V2, four-stroke",37.0 HP (27.0  kW)) @ 8040 RPM,165.0 km/h (102.5 mph),11.0:1,66.5 x 57.0 mm (2.6 x 2.2 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),100/90-18 ,3.50-18 ,Dual disc,Single disc,156.0 kg (343.9 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CX 500 E (reduced effect),1984,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,497.0 ccm (30.33 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,145.0 km/h (90.1 mph),10.0:1,78.0 x 52.0 mm (3.1 x 2.0 inches),4,Overhead Valves (OHV),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/80-18 ,Dual disc,Single disc,228.0 kg (502.7 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 65 Lario,1984,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",643.0 ccm (39.24 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 7800 RPM,176.0 km/h (109.4 mph),10.3:1,80.0 x 64.0 mm (3.1 x 2.5 inches),4,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-16 ,120/90-16 ,Dual disc,Single disc,199.0 kg (438.7 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XLV 750 R (reduced effect),1984,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,749.0 ccm (45.70 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,,8.4:1,79.5 x 75.5 mm (3.1 x 3.0 inches),3,Overhead Cams (OHC),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-21 ,130/80-17 ,Single disc,Expanding brake,220.0 kg (485.0 pounds),19.50 litres (5.15 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 1000 F 2,1984,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",998.0 ccm (60.90 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 9500 RPM,232.0 km/h (144.2 mph),10.5:1,77.0 x 53.6 mm (3.0 x 2.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),100/90-18 ,140/80-17 ,Dual disc,Single disc,277.0 kg (610.7 pounds),23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GNX 250 E,1984,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7800 RPM,122.0 km/h (75.8 mph),9.0:1,72.0 x 61.2 mm (2.8 x 2.4 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,120/90-16 ,Single disc,Expanding brake,140.0 kg (308.6 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 400 F (reduced effect),1984,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,399.0 ccm (24.35 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 9000 RPM,145.0 km/h (90.1 mph),9.5:1,52.0 x 47.0 mm (2.0 x 1.9 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),90/90-19 ,110/90-18 ,Dual disc,Expanding brake,197.0 kg (434.3 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 65 C,1984,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",643.0 ccm (39.24 cubic inches),"V2, four-stroke",52.0 HP (38.0  kW)) @ 6900 RPM,172.0 km/h (106.9 mph),,80.0 x 64.0 mm (3.1 x 2.5 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,130/90-16 ,Double disc,Single disc,,16.00 litres (4.23 US gallons),52.0 Nm (5.3 kgf-m or 38.4 ft.lbs) @ 6000 RPM,,,,,,,,,Carburettor,,,,,,,199.0 kg (438.7 pounds),0.2613 HP/kg,,,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SR 500,1984,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,142.0 km/h (88.2 mph),9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Single disc,Expanding brake,167.0 kg (368.2 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 1100,1984,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1089.0 ccm (66.45 cubic inches),"In-line four, four-stroke",120.0 HP (87.6  kW)) @ 9000 RPM,,9.5:1,72.5 x 66.0 mm (2.9 x 2.6 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),110/90-18 ,130/90-17 ,Dual disc,Single disc,266.0 kg (586.4 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 550 GT,1984,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,177.0 km/h (110.0 mph),9.5:1,58.0 x 52.4 mm (2.3 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Shaft drive (cardan)   (final drive),100/90-19 ,120/90-18 ,Dual disc,Expanding brake,221.0 kg (487.2 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CM 200 T,1984,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",194.0 ccm (11.84 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 9000 RPM,119.0 km/h (73.9 mph),8.8:1,53.0 x 44.0 mm (2.1 x 1.7 inches),2,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),3.00-17 ,3.50-16 ,Expanding brake,Expanding brake,138.0 kg (304.2 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini AMEX 250 J,1984,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,239.0 ccm (14.58 cubic inches),"V2, four-stroke",23.0 HP (16.8  kW)) @ 8800 RPM,141.0 km/h (87.6 mph),11.7:1,59.0 x 43.8 mm (2.3 x 1.7 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Single disc,Expanding brake,145.0 kg (319.7 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 500 Camel,1984,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,478.0 ccm (29.17 cubic inches),"V2, four-stroke",38.0 HP (27.7  kW)) @ 7400 RPM,129.0 km/h (80.2 mph),11.2:1,69.0 x 64.0 mm (2.7 x 2.5 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,155.0 kg (341.7 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ ETZ 250 (with sidecar),1984,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",22.0 HP (16.1  kW)) @ 5800 RPM,100.0 km/h (62.1 mph),10.0:1,69.0 x 65.0 mm (2.7 x 2.6 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.50-18 ,Single disc,Expanding brake,240.0 kg (529.1 pounds),17.50 litres (4.62 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVM XN 506,1984,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,504.0 ccm (30.75 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,137.0 km/h (85.1 mph),9.5:1,89.0 x 81.0 mm (3.5 x 3.2 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,150.0 kg (330.7 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XBR 500,1984,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,145.0 km/h (90.1 mph),8.9:1,92.0 x 75.0 mm (3.6 x 3.0 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),100/90-18 ,110/90-18 ,Single disc,Expanding brake,182.0 kg (401.2 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
