Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Instruments,Comments,Driveline,Carrying capacity,Wheels,Engine details,Fuel consumption,Greenhouse gases,Exhaust system,Rake (fork angle),Trail,"Weight incl. oil, gas, etc",Oil capacity,Light,Top speed,Emission details,Factory warranty,Reserve fuel capacity,Seat,Electrical,0-100 km/h (0-62 mph),Alternate seat height,Max RPM,Modifications compared to previous model,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Tire pressure front,Tire pressure rear,Fork tube size,Engine oil,Chain size,1/4 mile (0.4 km),Chain links,Sprockets
Borile B500Ricki,2014,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,487.0 ccm (29.72 cubic inches),"Single cylinder, four-stroke",,,,87.0 x 82.0 mm (3.4 x 3.2 inches),,Carburettor,,Electronic,,Air,4-speed,Belt   (final drive),Dry,,Upside down fork,,Dual shock,,3.00-21 ,4.50-18 ,Single disc. Hydraulic,,Single disc. Hydraulic,,,"850 mm (33.5 inches) If adjustable, lowest setting.",,,,,1400 mm (55.1 inches),,Metal,Electric & kick,,Italian made bike. Limited edition.,Norton transmission,,,GM speedway engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1200 GS Adventure XE,2014,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1170.0 ccm (71.39 cubic inches),"Two cylinder boxer, two-stroke",125.0 HP (91.2  kW)) @ 7750 RPM,125.0 Nm (12.7 kgf-m or 92.2 ft.lbs) @ 6500 RPM,12.5:1,101.0 x 73.0 mm (4.0 x 2.9 inches),,Injection. Electronic intake pipe injection,Double Overhead Cams/Twin Cam (DOHC),,,Oil & air,6-speed,Shaft drive (cardan)   (final drive),"Oil lubricated clutch, hydraulically operated","Two-section frame consisting of front and rear sections, load- bearing engine-gearbox unit",BMW Motorrad Telelever,210 mm (8.3 inches),Cast aluminium single swinging arm with BMW Motorrad Paralever,220 mm (8.7 inches),120/70-R19 ,170/60-R17 ,Double disc. Floating discs. Four-piston calipers. ,275 mm (10.8 inches),Single disc. Floating disc. Two-piston calipers. ,229.1 kg (505.0 pounds),0.5457 HP/kg,"890 mm (35.0 inches) If adjustable, lowest setting.",1450 mm (57.1 inches),2255 mm (88.8 inches),980 mm (38.6 inches),,1510 mm (59.4 inches),30.00 litres (7.93 US gallons),"White, blue, olive",Electric,,,Constant mesh,,Cross-spoke wheels,,4.30 litres/100 km (23.3 km/l or 54.70 mpg),99.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,24.5°,93 mm (3.6 inches),260.0 kg (573.2 pounds),,,,"Closed-loop 3-way catalytic converter, emission standard EU-3",,4.00 litres (1.06 US gallons),,"12 V / 11.8 Ah, maintenance-free battery.",,,,,,,,,,,,,,,,,,,,,
KTM 65 SX,2014,Cross / motocross,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,64.9 ccm (3.96 cubic inches),"Single cylinder, two-stroke",,,,45.0 x 40.8 mm (1.8 x 1.6 inches),,Carburettor,,"Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment",Mixture oil lubrication,Liquid,6-speed,Chain   (final drive),Wet multi-disc clutch / hydraulically operated,"Central tube frame of chrome molybdenum steel tubing, powder-coated",WP  Suspension USD  35,215 mm (8.5 inches),WP  Suspension  3614 BAVP,270 mm (10.6 inches),,,Single disc. Four-piston calipers. ,160 mm (6.3 inches),Single disc. Two-piston calipers. ,55.5 kg (122.4 pounds),,"750 mm (29.5 inches) If adjustable, lowest setting.",,,,280 mm (11.0 inches),1137 mm (44.8 inches),3.50 litres (0.92 US gallons),Orange/black,Kick,,,14:48. Primary drive: 23:75 straight cut spur gear.,,,Reed intake. ,,,,25.5°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlas Honda Pridor 100,2014,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",97.1 ccm (5.93 cubic inches),"Single cylinder, four-stroke",,,9.1:1,50.0 x 49.5 mm (2.0 x 1.9 inches),,Carburettor,Overhead Cams (OHC),,,,4-speed,Chain   (final drive),Multiple wet plates,Double craddle tubular type,Telescopic Fork 94 mm travel,,Swing arm 84 mm travel,,2.75-18 ,2.50-17 ,Expanding brake (drum brake),,Expanding brake (drum brake),96.0 kg (211.6 pounds),,,1045 mm (41.1 inches),1983 mm (78.1 inches),735 mm (28.9 inches),160 mm (6.3 inches),,9.00 litres (2.38 US gallons),,Kick,,Sold in Pakistan.,Roller Chain,,,,,,,,,,,Multi Reflector Head Light,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 200 EXC,2014,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",193.0 ccm (11.78 cubic inches),"Single cylinder, two-stroke",,,,64.0 x 60.0 mm (2.5 x 2.4 inches),,,,"Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment, type Kokusan",,Liquid,6-speed,Chain   (final drive),Wet multi-disc clutch / hydraulically operated,Central tube frame made of chrome molybdenum steel tubing,WP  Suspension Up Side Down 4860 MXMA PA,300 mm (11.8 inches),WP  Suspension PDS 5018 DCC,335 mm (13.2 inches),,,Single disc,,Single disc,99.5 kg (219.4 pounds),,"960 mm (37.8 inches) If adjustable, lowest setting.",,,,355 mm (14.0 inches),1471 mm (57.9 inches),9.50 litres (2.51 US gallons),Orange/black,Electric & kick,,,14:45. Primary drive: 23:73.,,,Reed intake. ,,,,26.5°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherco 290 X-Ride,2014,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",272.0 ccm (16.60 cubic inches),"Single cylinder, two-stroke",,,,76.0 x 60.0 mm (3.0 x 2.4 inches),,Carburettor. Dell´Orto PHBL 26BS,,Hidria,,Liquid,5-speed,Chain   (final drive),"Wet multidisc, with hydraulic command",Perimetric 25CD4S Steel pipes,MARZOCCHI 40 mm hydraulic fork,,SACHS Adjustable hydraulic single damper,,,,Single disc,220 mm (8.7 inches),Single disc,92.5 kg (203.9 pounds),,"850 mm (33.5 inches) If adjustable, lowest setting.",,,,325 mm (12.8 inches),1404 mm (55.3 inches),7.00 litres (1.85 US gallons),Blue,Electric & kick,,Spanish brand.,"5 speed sequential gearbox with security selector system to prevent no-gear insertion. Gears in primary drive, secondary drive with chain .",,Anodized light alloy rims,,,,Stainless steel header pipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Versys  ABS,2014,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",,44.8 Nm (4.6 kgf-m or 33.0 ft.lbs) @ 6800 RPM,10.6:1,83.0 x 60.0 mm (3.3 x 2.4 inches),4,Injection. Digital fuel injection with two 38mm Keihin throttle bodies,Double Overhead Cams/Twin Cam (DOHC),TCBI with electronic advance,,Liquid,6-speed,Chain   (final drive),,"Semi-double cradle, high-tensile steel",41mm hydraulic telescopic fork with stepless adjustable rebound and preload / 5.9 in.,,Single offset laydown shock with 13-position adjustable rebound damping and adjustable spring preload / 5.7 in.,,120/70-17 ,160/60-17 ,Double disc. ABS. Two-piston calipers. ,220 mm (8.7 inches),Single disc. ABS. Single-piston caliper. ,,,"846 mm (33.3 inches) If adjustable, lowest setting.",1331 mm (52.4 inches),2126 mm (83.7 inches),841 mm (33.1 inches),,1415 mm (55.7 inches),18.93 litres (5.00 US gallons),"Candy Lime Green, Ebony",Electric,,,Sealed Chain,,,,,,,25.0°,109 mm (4.3 inches),209.0 kg (460.8 pounds),,,,,12 months,,,,,,,,,,,,,,,,,,,,,,,,
FGR Midalu 2500,2014,Prototype / concept model,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,2442.0 ccm (149.01 cubic inches),"V6, four-stroke",,,9.9:1,90.0 x 64.0 mm (3.5 x 2.5 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),,Wet sump,Liquid,6-speed,Chain   (final drive),"Anti-hopping, 12 discs",Steel tube truss with combined holder for composite fuel tank,Fully adjustable USD Ohlins 43mm forks,120 mm (4.7 inches),Fully adjustable Ohlins 46mm central spring unit,78 mm (3.1 inches),120/70-ZR17 ,200/50-ZR17 ,Double disc. Four piston radial Brembo Racing,215 mm (8.5 inches),Single disc. Four piston radial Brembo Racing,270.0 kg (595.2 pounds),,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,,1527 mm (60.1 inches),18.50 litres (4.89 US gallons),White/black,Electric,,Czech naked bike prototype.,,,,90 degree V engine,,,,24.0°,132 mm (5.2 inches),,,,,,,,,12 Volt,,,,,,,,,,,,,,,,,,,,,
E-Tropolis Milano,2014,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,2.0 HP (1.5  kW)),,,,,,,,,Air,1-speed,,No clutch,Steel,,,,,,,Single disc,,Single disc,107.0 kg (235.9 pounds),0.0188 HP/kg,,,1860 mm (73.2 inches),,,,,"Black, white, purple, blue",Electric,Digital,"Range 60km. Lithium ion battery, 48V 30 Ah. Charging time 6-8 h. Climbing capacity up to 12%. German brand also written Etropolis.",,,,,,,,,,,,,45.0 km/h (28.0 mph),Zero emissions,24 months.,,,,,,,,,,,,,,,,,,,,,,,,
Honda Interstate,2014,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1312.0 ccm (80.06 cubic inches),"V2, four-stroke",,,9.2:1,89.5 x 104.3 mm (3.5 x 4.1 inches),3,"Injection. PGM-FI with automatic enrichment circuit, one 38mm throttle body",Single Overhead Cams (SOHC),"Digital with 3-D mapping, two spark plugs per cylinder",,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,41mm fork,102 mm (4.0 inches),Single shock,99 mm (3.9 inches),140/80-17 ,170/80-15 ,Double disc. Two-piston calipers. ,296 mm (11.7 inches),Single disc. Single-piston caliper. ,,,"681 mm (26.8 inches) If adjustable, lowest setting.",,,,,1786 mm (70.3 inches),16.65 litres (4.40 US gallons),Light Silver Metallic,Electric,,Model ID: VT1300CT,,,,,5.11 litres/100 km (19.6 km/l or 46.03 mpg),118.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,33.0°,118 mm (4.6 inches),323.0 kg (712.0 pounds),,,,Meets current EPA standards. California version meets current California Air Resources Board (CARB) standards and may differ slightly due to emissions equipment.,One year. Unlimited milage. Transferable.,,,,,,,,,,,,,,,,,,,,,,,,
Travertson V-Rex,2014,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1250.0 ccm (76.28 cubic inches),"V2, four-stroke",120.0 HP (87.6  kW)),100.3 Nm (10.2 kgf-m or 74.0 ft.lbs) @ 7000 RPM,11.3:1,97.5 x 72.1 mm (3.8 x 2.8 inches),,Injection. ESPFI,Single Overhead Cams (SOHC),,,Air,,Belt   (final drive),,Steel tubing and cast aluminium,Aluminium twin swing arms and fully adjustable hydraulic monoshock,,Aluminium single sided swing arms and fully adjustable hydraulic  dual shock,,140/70-18 ,280/30-18 ,Single disc. 6-piston inverted caliper,,"Single disc. 2-piston caliper, floating disk",304.0 kg (670.2 pounds),0.3947 HP/kg,"660 mm (26.0 inches) If adjustable, lowest setting.",,,,,2010 mm (79.1 inches),18.20 litres (4.81 US gallons),"Orange/silver, custom colors",Electric,,Made in the US.,Gear primary drive,,Aluminium,Harley-Davidson V-Rod Evolution engine,,,Two-into-one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Fireblade,2014,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,999.0 ccm (60.96 cubic inches),"In-line four, four-stroke",,,12.3:1,76.0 x 55.1 mm (3.0 x 2.2 inches),4,"Injection. Programmed Dual Stage Fuel Injection (PGM-DSFI) with 46mm throttle bodies, Denso 12-hole injectors",Double Overhead Cams/Twin Cam (DOHC),Computer-controlled digital transistorized with 3-D mapping,,Liquid,6-speed,Chain   (final drive),,,"43mm inverted Big Piston fork with spring preload, rebound and compression damping adjustability",109 mm (4.3 inches),"Unit Pro-Link Balance Free Rear Shock with spring preload, rebound and compression-damping adjustability",137 mm (5.4 inches),120/70-ZR17 ,190/50-ZR17 ,Double disc. ABS. Floating discs. Four-piston calipers. Radially mounted. ,220 mm (8.7 inches),"Single disc. Hydraulic disc with single-piston calliper, Combined ABS and sintered metal pads ",,,"820 mm (32.3 inches) If adjustable, lowest setting.",1135 mm (44.7 inches),2077 mm (81.8 inches),,,1410 mm (55.5 inches),17.70 litres (4.68 US gallons),"Red/white/blue, Repsol",Electric,LCD Instrumentation.,,,,12-spoke cast aluminium,,5.74 litres/100 km (17.4 km/l or 40.98 mpg),133.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,23.0°,96 mm (3.8 inches),200.0 kg (440.9 pounds),,,,,One year. Unlimited milage. Transferable.,4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,
Keeway RKS 150,2014,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",148.0 ccm (9.03 cubic inches),"Single cylinder, four-stroke",11.9 HP (8.7  kW)) @ 8000 RPM,11.0 Nm (1.1 kgf-m or 8.1 ft.lbs) @ 6000 RPM,9.2:1,57.0 x 58.0 mm (2.2 x 2.3 inches),2,Carburettor,Single Overhead Cams (SOHC),TLI,Pressure splash,Air,5-speed,Chain   (final drive),"Wet, multiple-plate",Bassinet type,Telescopic forks,110 mm (4.3 inches),Telescopic coil spring oil damped,66 mm (2.6 inches),90/90-17 ,110/80-17 ,Single disc,130 mm (5.1 inches),Expanding brake (drum brake),117.0 kg (257.9 pounds),0.1021 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",1070 mm (42.1 inches),2040 mm (80.3 inches),780 mm (30.7 inches),185 mm (7.3 inches),1260 mm (49.6 inches),16.00 litres (4.23 US gallons),"Silver, red, blue",Electric,Analogue/digital,"Keeway is the American and European brand name of Qianjiang, China.",,,"Black, 6-spoke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CRF100F,2014,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,99.0 ccm (6.04 cubic inches),"Single cylinder, four-stroke",,,9.4:1,53.0 x 45.0 mm (2.1 x 1.8 inches),,Carburettor. 22mm piston-valve carburator,Single Overhead Cams (SOHC),CD,,Air,5-speed,Chain   (final drive),,,27.0mm leading-axle Showa® fork; 5.2-inch travel,,Pro-Link® Showa single shock; 5.8-inch travel,,2.50-19 ,3.00-16 ,Expanding brake (drum brake),99 mm (3.9 inches),Expanding brake (drum brake),,,"785 mm (30.9 inches) If adjustable, lowest setting.",,,,251 mm (9.9 inches),1250 mm (49.2 inches),4.92 litres (1.30 US gallons),Red,Electric,,Model ID: CRF100F,#428 chain; 14T/50T,,,,,,,28.5°,99 mm (3.9 inches),77.1 kg (170.0 pounds),,,,Meets current CARB and EPA standards.,6 months,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster 696,2014,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",803.0 ccm (49.00 cubic inches),"V2, four-stroke",87.0 HP (63.5  kW)) @ 8250 RPM,78.0 Nm (8.0 kgf-m or 57.5 ft.lbs) @ 6250 RPM,11.0:1,88.0 x 66.0 mm (3.5 x 2.6 inches),2,Injection. 45mm throttle body,Desmodromic valve control,,,Air,6-speed,Chain   (final drive),APTC wet multiplate with hydraulic control,Tubular steel Trellis frame,43mm upside-down forks,,Progressive linkage with preload and rebound Sachs adjustable monoshock,,120/60-17 ,160/60-17 ,Double disc. Optional ABS. Four-piston calipers. ,245 mm (9.6 inches),Single disc. Optional ABS. Two-piston calipers. ,167.0 kg (368.2 pounds),0.5210 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,2100 mm (82.7 inches),,,1450 mm (57.1 inches),15.00 litres (3.96 US gallons),"Black, red, white",Electric,"Digital unit displaying  Speedometer, rev counter, clock, scheduled maintenance warning, oil temperature, trip fuel, air temperature, lap time, warning light for low oil pressure, fuel level, fuel reserve, neutral, turn signals, overrev, immobilizer. Ready for DDA system.",,Chain; Front sprocket 15; Rear sprocket 45. Primary drive: Straight cut gears; Ratio 1.85.,,"Y-shaped, 5-spoke in light alloy",L-Twin,,,2 aluminum mufflers,24.0°,87 mm (3.4 inches),187.0 kg (412.3 pounds),,,,Euro 3,2 years unlimited mileage,,,,,,,,,,,,,,,,,,,,,,,,
Sym Symphony S 50,2014,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.5 ccm (3.02 cubic inches),"Single cylinder, four-stroke",,,12.2:1,,,,,,,Air,Automatic,Belt   (final drive),Auto centrifugal type,Steel,Telescopic fork,,Unit swing,,110/70-16 ,110/70-16 ,Single disc,130 mm (5.1 inches),Expanding brake (drum brake). Optional disk brake,100.0 kg (220.5 pounds),,,1125 mm (44.3 inches),2000 mm (78.7 inches),690 mm (27.2 inches),,1330 mm (52.4 inches),5.50 litres (1.45 US gallons),"Black, silver, grey, white",Electric & kick,,Sccoter made in Taiwan.,CVT,,,,,,,,,,,35W/35W headlight,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki W800 Special Edition,2014,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",773.0 ccm (47.17 cubic inches),"V2, four-stroke",46.9 HP (34.3  kW)) @ 6500 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 6100 RPM,8.4:1,77.0 x 83.0 mm (3.0 x 3.3 inches),,Injection,Single Overhead Cams (SOHC),Digital,"Forced lubrication, wet sump",Air,,Chain   (final drive),"Wet multi-disc, manual","Double-cradle, high-tensile steel",39 mm telescopic fork,,Twin shocks,,100/90-M19 ,130/80-M18 ,Single disc,,Expanding brake (drum brake),,,"790 mm (31.1 inches) If adjustable, lowest setting.",1075 mm (42.3 inches),2190 mm (86.2 inches),790 mm (31.1 inches),125 mm (4.9 inches),1465 mm (57.7 inches),14.00 litres (3.70 US gallons),,Electric,,,,,,Reed valve. ,,,,,,217.0 kg (478.4 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romet ADV 150,2014,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",17.4 HP (12.7  kW)),,,,,Carburettor,,,,Air,5-speed,Chain   (final drive),,Steel,Telescopic fork,,Twin shocks,,,,Single disc,,Expanding brake (drum brake),,,,1070 mm (42.1 inches),2090 mm (82.3 inches),860 mm (33.9 inches),,,,Black,Electric & kick,,Sold in Poland.,,,Aluminum alloy,,,,,,,,,,95.0 km/h (59.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SR 400,2014,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",399.0 ccm (24.35 cubic inches),"Single cylinder, four-stroke",22.9 HP (16.7  kW)) @ 6500 RPM,27.4 Nm (2.8 kgf-m or 20.2 ft.lbs) @ 3000 RPM,8.5:1,87.0 x 67.2 mm (3.4 x 2.6 inches),2,Injection,Overhead Cams (OHC),,Wet-sump,Air,5-speed,Chain   (final drive),"Wet, Multiple Disc",Steel Double Cradle,Telescopic fork,150 mm (5.9 inches),Dual shocks,125 mm (4.9 inches),90/100-18 ,110/90-18 ,Single disc. 2-piston calipers,,Expanding brake (drum brake),,,"790 mm (31.1 inches) If adjustable, lowest setting.",1100 mm (43.3 inches),2085 mm (82.1 inches),750 mm (29.5 inches),140 mm (5.5 inches),1410 mm (55.5 inches),12.00 litres (3.17 US gallons),"Matt grey, Black",Kick,,,,,,,,,,24.7°,111 mm (4.4 inches),174.0 kg (383.6 pounds),2.40 litres (2.54 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Interceptor DLX,2014,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",782.0 ccm (47.72 cubic inches),"V4, four-stroke",,,11.8:1,72.0 x 48.0 mm (2.8 x 1.9 inches),4,"Injection. PGM-FI with automatic enrichment circuit, 36mm throttle bodies",Double Overhead Cams/Twin Cam (DOHC),Computer-controlled digital with three-dimensional mapping and electronic advance,,Liquid,6-speed,Chain   (final drive),Wet multiplate,,43mm with spring-preload adjustability,109 mm (4.3 inches),Pro Arm single-side swingarm with Pro-Link single spring-preload and rebound damping adjustability,119 mm (4.7 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc. ABS. Floating discs. Four-piston calipers. ,256 mm (10.1 inches),Single disc. ABS,,,"805 mm (31.7 inches) If adjustable, lowest setting.",,,,,1458 mm (57.4 inches),21.95 litres (5.80 US gallons),"Red, Pearl White",Electric,,"Deluxe version adds ABS, traction control, grip heaters, self-canceling turn signals.",#525 O-ring chain,,,90 degrees V-4,,,,25.5°,95 mm (3.7 inches),249.0 kg (549.0 pounds),,,,Meets current California Air Resources Board (CARB) and EPA standards.,One year. Unlimited milage. Transferable.,3.03 litres (0.80 US gallons),,,,,,,,,,,,,,,,,,,,,,,
