Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Torque,0-100 km/h (0-62 mph),1/4 mile (0.4 km),"60-140 km/h (37-87 mph), highest gear",Max RPM,Fuel system,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Seat height,Alternate seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Color options,Starter,Diameter,Dry weight,Power/weight ratio,Oil capacity,Modifications compared to previous model,Engine oil,Brake fluid,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Tire pressure front,Tire pressure rear,Fork tube size,Oil filter,Coolant,Comments,Front percentage of weight,Rear percentage of weight,Electrical
Suzuki VS 750 GL Intruder,1986,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 7500 RPM,179.0 km/h (111.2 mph),10.0:1,80.0 x 74.4 mm (3.1 x 2.9 inches),4,Overhead Cams (OHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-19 ,140/90-15 ,Single disc,Expanding brake,207.0 kg (456.4 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZX 700 Fazer,1986,Naked bike," 4.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",697.0 ccm (42.53 cubic inches),"In-line four, four-stroke",,,,,5,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),,,Double disc,Single disc,,20.00 litres (5.28 US gallons),,,,,11000,Carburettor. Mikuni,,,Hydrolic,,,4 in to 2,,,,dual air assisted shocks,,38mm Decaron struts,,,,,,,,,,"Red/Black
",Electric,,200.0 kg (441.0 pounds),,,,,,,,,,,,,,,,,,,,
Honda VF 1000 R (reduced effect),1986,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",998.0 ccm (60.90 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,249.0 km/h (154.7 mph),11.0:1,77.0 x 53.6 mm (3.0 x 2.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),120/80-16 ,140/80-17 ,Dual disc,Single disc,272.0 kg (599.7 pounds),25.00 litres (6.61 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 750 EF,1986,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 9500 RPM,206.0 km/h (128.0 mph),9.6:1,67.0 x 53.0 mm (2.6 x 2.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-16 ,120/90-17 ,Dual disc,Single disc,237.0 kg (522.5 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CM 200 T,1986,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",194.0 ccm (11.84 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 9000 RPM,119.0 km/h (73.9 mph),8.8:1,53.0 x 44.0 mm (2.1 x 1.7 inches),2,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),3.00-17 ,3.50-16 ,Expanding brake,Expanding brake,138.0 kg (304.2 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 550 GT,1986,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,177.0 km/h (110.0 mph),9.5:1,58.0 x 52.4 mm (2.3 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Shaft drive (cardan)   (final drive),100/90-19 ,120/90-18 ,Dual disc,Expanding brake,221.0 kg (487.2 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kreidler Mustang 125,1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 7250 RPM,110.0 km/h (68.4 mph),10.0:1,55.0 x 52.0 mm (2.2 x 2.0 inches),,Port control,Liquid,5-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Single disc,Expanding brake,110.0 kg (242.5 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 1100 G,1986,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1074.0 ccm (65.54 cubic inches),"In-line four, four-stroke",94.0 HP (68.6  kW)) @ 8000 RPM,207.0 km/h (128.6 mph),8.3:1,72.0 x 66.0 mm (2.8 x 2.6 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,4.50-17 ,Dual disc,Single disc,268.0 kg (590.8 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera NGR 250,1986,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",33.0 HP (24.1  kW)) @ 7500 RPM,155.0 km/h (96.3 mph),13.5:1,71.5 x 62.0 mm (2.8 x 2.4 inches),,Rotary valves,Liquid,5-speed,Chain   (final drive),100/90-16 ,110/90-18 ,Dual disc,Single disc,160.0 kg (352.7 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules K 125 Military,1986,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 7000 RPM,94.0 km/h (58.4 mph),9.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,135.0 kg (297.6 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 1000 F,1986,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",998.0 ccm (60.90 cubic inches),"V4, four-stroke",116.0 HP (84.7  kW)) @ 10000 RPM,,10.5:1,77.0 x 53.6 mm (3.0 x 2.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),100/90-18 ,140/80-17 ,Dual disc,Single disc,272.0 kg (599.7 pounds),23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KMX 125,1986,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 8500 RPM,107.0 km/h (66.5 mph),7.8:1,54.0 x 54.4 mm (2.1 x 2.1 inches),,Membrane,Liquid,6-speed,Chain   (final drive),2.75-21 ,4.10-18 ,Single disc,Single disc,118.0 kg (260.1 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 450 LTD (reduced effect),1986,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",454.0 ccm (27.70 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8500 RPM,132.0 km/h (82.0 mph),10.7:1,72.5 x 55.0 mm (2.9 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Belt   (final drive),100/90-19 ,140/90-15 ,Single disc,Expanding brake,199.0 kg (438.7 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 550 Sport,1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,184.0 km/h (114.3 mph),9.5:1,58.0 x 52.4 mm (2.3 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Expanding brake,208.0 kg (458.6 pounds),18.50 litres (4.89 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NS 400 R,1986,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",387.0 ccm (23.61 cubic inches),"V3, two-stroke",72.0 HP (52.6  kW)) @ 9500 RPM,207.0 km/h (128.6 mph),7.0:1,57.0 x 50.6 mm (2.2 x 2.0 inches),,Membrane,Liquid,6-speed,Chain   (final drive),100/90-16 ,110/90-17 ,Dual disc,Single disc,192.0 kg (423.3 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CM 125 C,1986,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, four-stroke",10.0 HP (7.3  kW)) @ 9000 RPM,91.0 km/h (56.5 mph),9.4:1,44.0 x 41.0 mm (1.7 x 1.6 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-18 ,110/90-16 ,Expanding brake,Expanding brake,139.0 kg (306.4 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 250 R,1986,Allround," 4.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 8000 RPM,128.0 km/h (79.5 mph),10.2:1,75.0 x 56.5 mm (3.0 x 2.2 inches),4,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.00-21 ,4.60-17 ,Expanding brake,Expanding brake,131.0 kg (288.8 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 350 Kanguro,1986,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",344.0 ccm (20.99 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 7900 RPM,123.0 km/h (76.4 mph),11.0:1,62.0 x 57.0 mm (2.4 x 2.2 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Single disc,Expanding brake,150.0 kg (330.7 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 250 Traditional,1986,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Twin, four-stroke",36.2 HP (26.4  kW)) @ 10000 RPM,148.0 km/h (92.0 mph),10.5:1,60.0 x 44.2 mm (2.4 x 1.7 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),,,Single disc,Expanding brake (drum brake),,11.25 litres (2.97 US gallons),,,,,,Carburettor,,,,5.50 litres/100 km (18.2 km/l or 42.77 mpg),127.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,Electric,,175.0 kg (385.8 pounds),0.2069 HP/kg,,,,,,,,,,,,,,,,,,,
Honda H 100 S,1986,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",100.0 ccm (6.10 cubic inches),"Single cylinder, two-stroke",,125.0 km/h (77.7 mph),7.2:1,50.5 x 49.5 mm (2.0 x 1.9 inches),1,Single Overhead Cams (SOHC),Oil & air,4-speed,Chain   (final drive),2.50-18 ,2.75-18 ,Expanding brake (drum brake),Expanding brake (drum brake),93.0 kg (205.0 pounds),18.00 litres (4.76 US gallons),,12.00 seconds,,,4500,Carburettor,digital,,Wet plate,7.50 litres/100 km (13.3 km/l or 31.36 mpg),174.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Single stainless pipe,Stell cradle,,,Inverted forks,,Twin spring shocks,,"760 mm (29.9 inches) If adjustable, lowest setting.",,,1860 mm (73.2 inches),780 mm (30.7 inches),160 mm (6.3 inches),,4.00 litres (1.06 US gallons),"Brown/maroon, red, black",Kick,,,,,,,,,,,,,,,,,,,Model also called Honda H100S Super.,,,
BMW K 75 S Special,1986,Sport touring," 2.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",75.0 HP (54.7  kW)) @ 8500 RPM,210.0 km/h (130.5 mph),11.0:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,130/90-17 ,Dual disc,Single disc,235.0 kg (518.1 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simson S51 n,1986,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",51.0 ccm (3.11 cubic inches),"Single cylinder, two-stroke",4.0 HP (2.9  kW)) @ 5500 RPM,80.0 km/h (49.7 mph),9.0:1,38.0 x 44.0 mm (1.5 x 1.7 inches),,,Air,1-speed,Chain   (final drive),,,,,,,,,,,7200,Carburettor,,,,2.00 litres/100 km (50.0 km/l or 117.61 mpg),46.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,1.00 litres (0.26 US gallons),"Red, green",,,86.0 kg (189.6 pounds),0.0465 HP/kg,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1100 E,1986,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1135.0 ccm (69.26 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8100 RPM,224.0 km/h (139.2 mph),9.7:1,74.0 x 66.0 mm (2.9 x 2.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),110/90-16 ,130/90-17 ,Dual disc,Single disc,243.0 kg (535.7 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna 430 Automatic,1986,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",430.0 ccm (26.24 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5500 RPM,110.0 km/h (68.4 mph),12.6:1,86.0 x 74.0 mm (3.4 x 2.9 inches),,Membrane,Liquid,3-speed automatic,Chain   (final drive),3.00-21 ,5.00-18 ,Expanding brake,Expanding brake,107.0 kg (235.9 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVM S 3 250 GS,1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, two-stroke",32.0 HP (23.4  kW)) @ 11200 RPM,,10.0:1,72.0 x 61.0 mm (2.8 x 2.4 inches),,Rotary valves,Air,6-speed,Chain   (final drive),3.00-21 ,4.25-18 ,Single disc,Single disc,94.0 kg (207.2 pounds),8.00 litres (2.11 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FJ 1200,1986,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1188.0 ccm (72.49 cubic inches),"In-line four, four-stroke",130.0 HP (94.9  kW)) @ 9000 RPM,,9.7:1,77.0 x 63.8 mm (3.0 x 2.5 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),120/80-16 ,150/80-16 ,Dual disc,Single disc,259.0 kg (571.0 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 500 SE,1986,Custom / cruiser," 2.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",494.0 ccm (30.14 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 8000 RPM,152.0 km/h (94.4 mph),9.3:1,73.0 x 59.0 mm (2.9 x 2.3 inches),2,Overhead Cams (OHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.00-19 ,130/90-16 ,Single disc,Expanding brake,190.0 kg (418.9 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 350,1986,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",63.0 HP (46.0  kW)) @ 9000 RPM,190.0 km/h (118.1 mph),6.0:1,64.0 x 54.0 mm (2.5 x 2.1 inches),,Membrane & power valve,Liquid,6-speed,Chain   (final drive),190/90-18 ,110/80-18 ,Dual disc,Single disc,170.0 kg (374.8 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 304,1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,231.0 ccm (14.10 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 10500 RPM,135.0 km/h (83.9 mph),10.5:1,44.0 x 38.0 mm (1.7 x 1.5 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Expanding brake,134.0 kg (295.4 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1100 EF (reduced effect),1986,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1135.0 ccm (69.26 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8100 RPM,230.0 km/h (142.9 mph),9.7:1,74.0 x 66.0 mm (2.9 x 2.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),110/90-16 ,130/90-17 ,Dual disc,Single disc,256.0 kg (564.4 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 1000 Le Mans IV,1986,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",81.0 HP (59.1  kW)) @ 7400 RPM,217.0 km/h (134.8 mph),9.8:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),120/80-16 ,130/80-18 ,Dual disc,Single disc,245.0 kg (540.1 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 750 Special Edition (reduced effect),1986,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 11000 RPM,226.0 km/h (140.4 mph),9.8:1,70.0 x 48.7 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),110/90-18 ,150/10-18 ,Dual disc,Single disc,199.0 kg (438.7 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 1100 S Virago,1986,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1063.0 ccm (64.86 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)),160.0 km/h (99.4 mph),8.3:1,95.0 x 75.0 mm (3.7 x 3.0 inches),2,,Air,5-speed,Shaft drive (cardan)   (final drive),100/90-19 57H ,140/90-15 70H ,Double disc. 2-piston calipers,Expanding brake (drum brake),245.0 kg (540.1 pounds),16.00 litres (4.23 US gallons),,,,,7000,Carburettor. Hitachi HSC40,Fullytransistorized.Fixed,Oil pump,"Wet, multi-plate",,,,,,,,,,,,,,2320 mm (91.3 inches),880 mm (34.6 inches),,,3.00 litres (0.79 US gallons),,Electric,,,,,,,,,,,,,,,,,,,,,,
Gilera RV 200,1986,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",183.0 ccm (11.17 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 6500 RPM,115.0 km/h (71.5 mph),12.5:1,68.0 x 50.5 mm (2.7 x 2.0 inches),,Membrane,Liquid,6-speed,Chain   (final drive),3.25-16 ,3.50-18 ,Single disc,Single disc,143.0 kg (315.3 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 550 (reduced effect),1986,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,176.0 km/h (109.4 mph),10.0:1,58.0 x 52.4 mm (2.3 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),100/90-18 ,120/80-18 ,Dual disc,Single disc,209.0 kg (460.8 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia ETX 600,1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",49.0 HP (35.8  kW)) @ 6800 RPM,160.0 km/h (99.4 mph),9.4:1,94.0 x 81.0 mm (3.7 x 3.2 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,5.10-17 ,Single disc,Single disc,177.0 kg (390.2 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 65 (reduced effect),1986,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",27.0 HP (19.7  kW)) @ 5500 RPM,147.0 km/h (91.3 mph),8.4:1,82.0 x 61.5 mm (3.2 x 2.4 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,120/90-18 ,Single disc,Expanding brake,205.0 kg (451.9 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XLV 750 R,1986,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",749.0 ccm (45.70 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 7000 RPM,174.0 km/h (108.1 mph),8.4:1,79.5 x 75.5 mm (3.1 x 3.0 inches),3,Overhead Cams (OHC),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-21 ,130/80-17 ,Single disc,Expanding brake,220.0 kg (485.0 pounds),19.50 litres (5.15 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHTC 1340 Electra Glide Classic,1986,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 5000 RPM,150.0 km/h (93.2 mph),8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),T 80-16 T ,T 90-16T ,Dual disc,Single disc,350.0 kg (771.6 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch 350 HWE Safari,1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7900 RPM,130.0 km/h (80.8 mph),9.2:1,79.5 x 70.0 mm (3.1 x 2.8 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-21 ,4.50-18 ,Single disc,Expanding brake,150.0 kg (330.7 pounds),28.00 litres (7.40 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ ETZ 250 (with sidecar),1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",22.0 HP (16.1  kW)) @ 5800 RPM,100.0 km/h (62.1 mph),10.0:1,69.0 x 65.0 mm (2.7 x 2.6 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.50-18 ,Single disc,Expanding brake,240.0 kg (529.1 pounds),17.50 litres (4.62 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT 11 (with sidecar),1986,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",38.0 HP (27.7  kW)) @ 5900 RPM,125.0 km/h (77.7 mph),8.5:1,78.0 x 68.0 mm (3.1 x 2.7 inches),2,Overhead Valves (OHV),Air,4-speed with reverse,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,350.0 kg (771.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
