Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Valves per cylinder,Cooling system,Gearbox,Transmission type,Front brakes,Dry weight,Power/weight ratio,Seat height,Starter,Rear brakes,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Fuel consumption,Greenhouse gases,Front suspension,Rear suspension,Front tire,Rear tire,Diameter,"Weight incl. oil, gas, etc",Overall length,Ground clearance,Wheelbase,Fuel capacity,Color options,Frame type,Oil capacity,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Front wheel travel,Reserve fuel capacity,Comments,Exhaust system,Rear wheel travel,Chain links,Sprockets,Lubrication system,Clutch,Overall height,Overall width,Max RPM,Rake (fork angle),Trail,Engine details,Modifications compared to previous model,Alternate seat height,Electrical,Battery,Oil filter,Belt teeth,Belt width,Pulley teeth,Light
Kawasaki ZRX 1100,1997,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1052.0 ccm (64.19 cubic inches),"In-line four, four-stroke",110.0 HP (80.3  kW)) @ 8500 RPM,,,4,Liquid,5-speed,Chain   (final drive),Dual disc,222.0 kg (489.4 pounds),0.4955 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Centauro,1997,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",992.0 ccm (60.53 cubic inches),"V2, four-stroke",95.0 HP (69.3  kW)) @ 8200 RPM,88.0 Nm (9.0 kgf-m or 64.9 ft.lbs) @ 5800 RPM,,2,Air,5-speed,Shaft drive (cardan)   (final drive),,224.0 kg (493.8 pounds),0.4241 HP/kg,"735 mm (28.9 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trident 750,1997,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",749.0 ccm (45.70 cubic inches),"In-line three, four-stroke",90.0 HP (65.7  kW)) @ 10000 RPM,68.0 Nm (6.9 kgf-m or 50.2 ft.lbs) @ 8700 RPM,,,Liquid,6-speed,Chain   (final drive),Dual disc,212.0 kg (467.4 pounds),0.4245 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Electra Glide Classic,1997,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",59.0 HP (43.1  kW)) @ 5000 RPM,102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 3000 RPM,150.0 km/h (93.2 mph),2,Air,5-speed,Belt   (final drive),,336.0 kg (740.8 pounds),0.1756 HP/kg,"692 mm (27.2 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 1100 W,1997,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1074.0 ccm (65.54 cubic inches),"In-line four, four-stroke",155.0 HP (113.1  kW)) @ 10000 RPM,119.0 Nm (12.1 kgf-m or 87.8 ft.lbs) @ 9000 RPM,,,Liquid,5-speed,Chain   (final drive),Dual disc,221.0 kg (487.2 pounds),0.7014 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 600 F,1997,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",105.0 HP (76.6  kW)),63.0 Nm (6.4 kgf-m or 46.5 ft.lbs),250.0 km/h (155.3 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,185.0 kg (407.9 pounds),0.5676 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 800 S,1997,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",779.0 ccm (47.53 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)),59.0 Nm (6.0 kgf-m or 43.5 ft.lbs),,,,5-speed,Chain   (final drive),Single disc,201.0 kg (443.1 pounds),0.2488 HP/kg,"890 mm (35.0 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 1200 S Bandit,1997,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1157.0 ccm (70.60 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8500 RPM,93.0 Nm (9.5 kgf-m or 68.6 ft.lbs) @ 4500 RPM,225.0 km/h (139.8 mph),4,Liquid,5-speed,Chain   (final drive),Dual disc,225.0 kg (496.0 pounds),0.4356 HP/kg,"840 mm (33.1 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Electra Glide Standard,1997,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",59.0 HP (43.1  kW)) @ 5000 RPM,102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 3000 RPM,145.0 km/h (90.1 mph),2,Air,5-speed,Belt   (final drive),,322.0 kg (709.9 pounds),0.1832 HP/kg,"692 mm (27.2 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki XF 650 Freewind,1997,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",46.0 HP (33.6  kW)),54.0 Nm (5.5 kgf-m or 39.8 ft.lbs),,4,Air,5-speed,Chain   (final drive),Single disc,167.0 kg (368.2 pounds),0.2754 HP/kg,,,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TDM 850,1997,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",849.0 ccm (51.81 cubic inches),"Twin, four-stroke",80.0 HP (58.4  kW)) @ 7500 RPM,82.0 Nm (8.4 kgf-m or 60.5 ft.lbs) @ 6000 RPM,205.0 km/h (127.4 mph),5,Air,5-speed,Chain   (final drive),Dual disc,198.0 kg (436.5 pounds),0.4040 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 1100 XX Super Blackbird,1997,Sport touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1137.0 ccm (69.38 cubic inches),"In-line four, four-stroke",164.0 HP (119.7  kW)),127.0 Nm (12.9 kgf-m or 93.7 ft.lbs),295.0 km/h (183.3 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,223.0 kg (491.6 pounds),0.7354 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield Diesel,1997,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",325.0 ccm (19.83 cubic inches),Diesel,7.0 HP (5.1  kW)) @ 2500 RPM,15.0 Nm (1.5 kgf-m or 11.1 ft.lbs),,,,4-speed,Chain   (final drive),Expanding brake,175.0 kg (385.8 pounds),0.0400 HP/kg,"860 mm (33.9 inches) If adjustable, lowest setting.",,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Estrella RS,1997,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,18.0 Nm (1.8 kgf-m or 13.3 ft.lbs) @ 5000 RPM,,,Air,,Chain   (final drive),Single disc,142.0 kg (313.1 pounds),0.1197 HP/kg,"745 mm (29.3 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 125 LC2,1997,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",14.0 HP (10.2  kW)) @ 7500 RPM,11.0 Nm (1.1 kgf-m or 8.1 ft.lbs) @ 6800 RPM,,,Liquid,6-speed,Chain   (final drive),Single disc,121.0 kg (266.8 pounds),0.1157 HP/kg,"860 mm (33.9 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 750 C Magna,1997,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",78.0 HP (56.9  kW)) @ 9000 RPM,65.4 Nm (6.7 kgf-m or 48.2 ft.lbs) @ 7250 RPM,,4,Air,,Chain   (final drive),Single disc. 1-piston caliper,,,"711 mm (28.0 inches) If adjustable, lowest setting.",Electric,Expanding brake (drum brake),10.8:1,70.0 x 48.6 mm (2.8 x 1.9 inches),,Double Overhead Cams/Twin Cam (DOHC),Digital,,,,dualshock,120/80-17 ,150/80-15 ,315 mm (12.4 inches),244.5 kg (539.0 pounds),,,,13.62 litres (3.60 US gallons),,,,,,,,,,,,,,150 mm (5.9 inches),,,,99 mm (3.9 inches),,,Wet sump,,,,,,,,,,,,,,,,
Yamaha TRX 850,1997,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",849.0 ccm (51.81 cubic inches),"Twin, four-stroke",83.0 HP (60.6  kW)) @ 7500 RPM,87.0 Nm (8.9 kgf-m or 64.2 ft.lbs) @ 6000 RPM,220.0 km/h (136.7 mph),5,Air,5-speed,Chain   (final drive),Dual disc,188.0 kg (414.5 pounds),0.4415 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CA 125 Rebel,1997,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Twin, four-stroke",11.0 HP (8.0  kW)) @ 9500 RPM,9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 6000 RPM,,,Air,5-speed,Chain   (final drive),Single disc,140.0 kg (308.6 pounds),0.0786 HP/kg,"675 mm (26.6 inches) If adjustable, lowest setting.",,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600 E,1997,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",40.0 HP (29.2  kW)) @ 6000 RPM,49.0 Nm (5.0 kgf-m or 36.1 ft.lbs) @ 5500 RPM,150.0 km/h (93.2 mph),4,Air,5-speed,Chain   (final drive),Single disc,156.0 kg (343.9 pounds),0.2564 HP/kg,"855 mm (33.7 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda Ghost Legend,1997,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,668.0 ccm (40.76 cubic inches),"Twin, four-stroke",70.0 HP (51.1  kW)) @ 8000 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 6500 RPM,190.0 km/h (118.1 mph),4,Air,6-speed,Chain   (final drive),,185.0 kg (407.9 pounds),0.3784 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XTZ 600 Ténéré,1997,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",46.0 HP (33.6  kW)) @ 6250 RPM,57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 5000 RPM,160.0 km/h (99.4 mph),5,Liquid,5-speed,Chain   (final drive),Single disc,171.0 kg (377.0 pounds),0.2690 HP/kg,"865 mm (34.1 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Ninja 250 R,1997,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 11000 RPM,24.0 Nm (2.4 kgf-m or 17.7 ft.lbs) @ 10000 RPM,153.0 km/h (95.1 mph),4,Liquid,6-speed,Chain   (final drive),Single disc,138.3 kg (305.0 pounds),0.3253 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",Electric,Single disc,,62.0 x 41.0 mm (2.4 x 1.6 inches),Carburettor. Keihin CVK30 x 2,Double Overhead Cams/Twin Cam (DOHC),,,,Hydraulic fork,Bottom-Link UNI-TRAK,100/80-16 ,130/80-16 ,230 mm (9.1 inches),,,150 mm (5.9 inches),1400 mm (55.1 inches),18.16 litres (4.80 US gallons),Red,Diamond high-tensile steel,,,,,,,,,,,,,,,,,,,,,,,,27.0°,84 mm (3.3 inches),,,,,,,,,,
KTM 400 LC4 LSE,1997,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",41.0 HP (29.9  kW)) @ 8500 RPM,,155.0 km/h (96.3 mph),4,Liquid,5-speed,Chain   (final drive),Single disc,137.0 kg (302.0 pounds),0.2993 HP/kg,"870 mm (34.3 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Leonardo 125,1997,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)),10.0 Nm (1.0 kgf-m or 7.4 ft.lbs),,,Air,,,Single disc,123.0 kg (271.2 pounds),0.0976 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Heroism 125,1997,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)),9.0 Nm (0.9 kgf-m or 6.6 ft.lbs),,,,,,,105.0 kg (231.5 pounds),0.0952 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XC 125 TR Cygnus R,1997,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",9.0 HP (6.6  kW)) @ 7500 RPM,,,,Air,,,Single disc,103.0 kg (227.1 pounds),0.0874 HP/kg,"755 mm (29.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati SS 600,1997,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",53.0 HP (38.7  kW)),48.0 Nm (4.9 kgf-m or 35.4 ft.lbs),190.0 km/h (118.1 mph),2,Air,5-speed,Chain   (final drive),Single disc,172.0 kg (379.2 pounds),0.3081 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Zephyr 750,1997,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",739.0 ccm (45.09 cubic inches),"In-line four, four-stroke",72.0 HP (52.6  kW)) @ 9500 RPM,58.0 Nm (5.9 kgf-m or 42.8 ft.lbs) @ 7300 RPM,200.0 km/h (124.3 mph),2,,5-speed,Chain   (final drive),,201.0 kg (443.1 pounds),0.3582 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AArea code AR,FG:  
frame range ZR750C 060101 - ZR750C 999999, 
engine range KZ750EE 150001 - KZ750EE 999999
Area code AR,FG:  
frame range ZR750D 007001 - ZR750D 999999,  
engine range KZ750EE 150001 - KZ750EE 999999",,,,,,,,,,,,,,,,,,,,,
Yamaha YZF 1000 R Thunderace,1997,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1002.0 ccm (61.14 cubic inches),"In-line four, four-stroke",145.0 HP (105.8  kW)),110.0 Nm (11.2 kgf-m or 81.1 ft.lbs),275.0 km/h (170.9 mph),5,Liquid,5-speed,Chain   (final drive),Dual disc,198.0 kg (436.5 pounds),0.7323 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Dyna Glide Low Rider,1997,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 5000 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 2350 RPM,165.0 km/h (102.5 mph),2,Air,5-speed,Belt   (final drive),Dual disc,271.0 kg (597.5 pounds),0.2030 HP/kg,"673 mm (26.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 400 Bandit,1997,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",398.0 ccm (24.29 cubic inches),"In-line four, four-stroke",59.0 HP (43.1  kW)) @ 11000 RPM,35.2 Nm (3.6 kgf-m or 26.0 ft.lbs) @ 10500 RPM,177.0 km/h (110.0 mph),4,Liquid,6-speed,Chain   (final drive),Double disc. 2-piston calipers,168.0 kg (370.4 pounds),0.3512 HP/kg,"762 mm (30.0 inches) If adjustable, lowest setting.",Electric,Single disc. 2-piston caliper,11.8:1,56.0 x 40.4 mm (2.2 x 1.6 inches),Carburettor. Mikuni BST32SS x 4,Double Overhead Cams/Twin Cam (DOHC),Analogue CDI,5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Telescopic coil spring,oil damped",Monoshock,110/70-R17 ,150/60-R17 ,260 mm (10.2 inches),,2050 mm (80.7 inches),140 mm (5.5 inches),1410 mm (55.5 inches),18.00 litres (4.76 US gallons),,"Steel, Trellis",3.20 litres (3.38 US quarts),,,,,,,,,,,130 mm (5.1 inches),3.00 litres (0.79 US gallons),,4 into 1 stainless steel ,128 mm (5.0 inches),,,Wet sump,Wet multiplate,1055 mm (41.5 inches),720 mm (28.3 inches),12500,25.5°,99 mm (3.9 inches),VC Engine,"Completely different frame, tank, seat and bodystyle to the 91/95 models. Also with a fuel gauge now.",,,,,,,,
MuZ 660 Skorpion Sport,1997,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)),56.0 Nm (5.7 kgf-m or 41.3 ft.lbs),,,,5-speed,,Single disc,173.0 kg (381.4 pounds),0.2775 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SZR 660,1997,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6500 RPM,55.0 Nm (5.6 kgf-m or 40.6 ft.lbs) @ 5500 RPM,186.0 km/h (115.6 mph),5,Liquid,5-speed,Chain   (final drive),Single disc,159.0 kg (350.5 pounds),0.3019 HP/kg,"690 mm (27.2 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva W8 125,1997,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 9900 RPM,20.0 Nm (2.0 kgf-m or 14.8 ft.lbs),,,,6-speed,Chain   (final drive),Single disc,114.0 kg (251.3 pounds),0.1316 HP/kg,"870 mm (34.3 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLR 250,1997,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,,,Liquid,6-speed,Chain   (final drive),Single disc,117.0 kg (257.9 pounds),,,Kick,Expanding brake (drum brake),11.0:1,74.0 x 58.0 mm (2.9 x 2.3 inches),Carburettor. KEIHIN CVK34,Double Overhead Cams/Twin Cam (DOHC),CDI,,,Leading axle fork,UNI-TRAK® single-shock system,3.00-21 ,4.60-17 ,,,2140 mm (84.3 inches),270 mm (10.6 inches),1415 mm (55.7 inches),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,2.00 litres (0.53 US gallons),,,,,,Wet sump,"Wet, multi disc",1210 mm (47.6 inches),855 mm (33.7 inches),,28.5°,117 mm (4.6 inches),,,,,,,,,,
Yamaha SR 500,1997,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 6000 RPM,37.0 Nm (3.8 kgf-m or 27.3 ft.lbs) @ 3500 RPM,,,Air,5-speed,Chain   (final drive),Expanding brake,153.0 kg (337.3 pounds),0.1569 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ 660 Skorpion Traveller,1997,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)),56.0 Nm (5.7 kgf-m or 41.3 ft.lbs),,,,5-speed,,Single disc,182.0 kg (401.2 pounds),0.2637 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 900 S Diversion,1997,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",892.0 ccm (54.43 cubic inches),"In-line four, four-stroke",89.0 HP (65.0  kW)) @ 8250 RPM,84.0 Nm (8.6 kgf-m or 62.0 ft.lbs) @ 7000 RPM,220.0 km/h (136.7 mph),2,Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,239.0 kg (526.9 pounds),0.3724 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1100 LT Highline,1997,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1092.0 ccm (66.63 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,107.0 Nm (10.9 kgf-m or 78.9 ft.lbs) @ 5500 RPM,210.0 km/h (130.5 mph),4,Liquid,5-speed,Shaft drive (cardan)   (final drive),Dual disc,268.0 kg (590.8 pounds),0.3731 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TT 600 S,1997,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",41.0 HP (29.9  kW)) @ 6500 RPM,48.0 Nm (4.9 kgf-m or 35.4 ft.lbs) @ 5000 RPM,,,Air,5-speed,Chain   (final drive),Single disc,160.0 kg (352.7 pounds),0.2563 HP/kg,"960 mm (37.8 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VS 1400 GLP Intruder,1997,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1360.0 ccm (82.99 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 5000 RPM,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 2800 RPM,170.0 km/h (105.6 mph),3,Oil & air,5-speed,Shaft drive (cardan)   (final drive),Single disc. Two-piston calipers. ,247.0 kg (544.5 pounds),0.2470 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",Electric,Single disc. Single-piston caliper. ,9.3:1,94.0 x 98.0 mm (3.7 x 3.9 inches),Carburettor. 2 x Mikuni BDS36 /BS36,Single Overhead Cams (SOHC),Digital transistorized,6.76 litres/100 km (14.8 km/l or 34.80 mpg),156.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,"41 mm Telescopic fork, coil spring, oil damped","Twin shock, oil damped, 5-way adjustable spring preload",110/90-19 ,,275 mm (10.8 inches),,,,,13.00 litres (3.43 US gallons),,,5.00 litres (5.28 US quarts),,,,,,,,,,,,,,,,,,,,,,,,165 mm (6.5 inches),,,,,,,,,,
