Model,Year,Category,Rating,Displacement,Engine type,Power,Fuel system,Fuel control,Cooling system,Gearbox,Transmission type,Driveline,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Electrical,Carrying capacity,Comments,Top speed,Clutch,Fuel consumption,Greenhouse gases,Instruments,Factory warranty,Engine details,Compression,Bore x stroke,Valves per cylinder,Ignition,Lubrication system,Exhaust system,Front wheel travel,Rear wheel travel,Dry weight,Torque,Power/weight ratio,Oil capacity,"Weight incl. oil, gas, etc",Rake (fork angle),Trail,Light,Reserve fuel capacity,Seat,Emission details,Modifications compared to previous model,Front percentage of weight,Max RPM,Alternate seat height,0-100 km/h (0-62 mph),Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Rear percentage of weight,Chain size,Chain links,Sprockets,Coolant,1/4 mile (0.4 km)
Tauris Fiera 125 4T,2011,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",,Carburettor,,Air,Automatic,Belt   (final drive),CVT automatic,,Conventional fork,Twin shocks,130/60-13 ,130/60-13 ,Single disc,,Single disc,,"800 mm (31.5 inches) If adjustable, lowest setting.",1170 mm (46.1 inches),1880 mm (74.0 inches),715 mm (28.1 inches),,,7.20 litres (1.90 US gallons),"Red/white, black/white",Electric,,,Scooter sold in some EU countries.,,,,,Analogue,,,,,,,,,,,107.0 kg (235.9 pounds),,,0.90 litres (0.95 US quarts),,,,Dual front lights,,,,,,,,,,,,,,,,,,,,,,,
Can-Am Spyder Roadster RT Limited,2011,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",998.0 ccm (60.90 cubic inches),"V2, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,Injection. Multi-point EFI with 51 mm diameter throttle bodies,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Belt   (final drive),5-speed semi-automatic transmisssion (SE5) with reverse,SST Spyder,Double A-Arm with anti-roll bar. Gas shocks with 5-position.,Swing-arm with pneumatic adjustable preload,165/65-R14 ,225/50-R15 ,"Double disc. EBD, ABS. 4 piston calipers. Foot-actuated, fully integrated hydraulic 3-wheel braking system.",250 mm (9.8 inches),"Single disc. EBD, ABS",Aluminum smoked chrome,"772 mm (30.4 inches) If adjustable, lowest setting.",,2667 mm (105.0 inches),1473 mm (58.0 inches),115 mm (4.5 inches),1708 mm (67.2 inches),25.00 litres (6.61 US gallons),Pearl white,Electric,"12 volts / 21 amps/hour, sealed maintenance-free battery","4 semi-rigid travel bags (front, 2 sides, rear). 41 US gal. (155 l) total load capacity",Three wheel bike. Touring windshield with push-button electric height adjustment. Anti-theft system: D.E.S.S. Electronic Cruise control. AM/FM audio system with handlebar controls. ,,"Wet, multi-plate",,,,,BRP-Rotax engine,12.2:1,97.0 x 68.0 mm (3.8 x 2.7 inches),4,,,Exhaust system 2-into-1,151 mm (5.9 inches),145 mm (5.7 inches),423.0 kg (932.6 pounds),104.0 Nm (10.6 kgf-m or 76.7 ft.lbs) @ 5000 RPM,0.2364 HP/kg,3.90 litres (4.12 US quarts),,,,,,Ultra comfort saddle with passenger backrest and driver lumbar support,,,,,,,,,,,,,,,,,,,,,
Yamaha Vox,2011,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",4.2 HP (3.0  kW)) @ 8000 RPM,Injection,Single Overhead Cams (SOHC),Air,Automatic,Belt   (final drive),,Backbone pipe,Telescopic ,Swing unit,120/90-10 ,120/90-10 ,Expanding brake (drum brake),,Expanding brake (drum brake),,"735 mm (28.9 inches) If adjustable, lowest setting.",,,,115 mm (4.5 inches),,4.50 litres (1.19 US gallons),,Electric,,,,,,,,,,,12.0:1,38.0 x 43.5 mm (1.5 x 1.7 inches),2,TCI,,,,,88.0 kg (194.0 pounds),3.9 Nm (0.4 kgf-m or 2.9 ft.lbs) @ 6500 RPM,0.0473 HP/kg,,,26.0°,84 mm (3.3 inches),,,,,,,,,,,,,,,,,,,,,,,,
Derbi Senda X-Treme 50 SM,2011,Super motard," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,Carburettor,Single Overhead Cams (SOHC),Liquid,6-speed,Chain   (final drive),,,40 mms. hydraulic fork.,Monoshock  with progressive link system.,80/90-21 ,110/80-18 ,Single disc,180 mm (7.1 inches),Single disc,,"900 mm (35.4 inches) If adjustable, lowest setting.",1222 mm (48.1 inches),2222 mm (87.5 inches),805 mm (31.7 inches),,1355 mm (53.3 inches),7.00 litres (1.85 US gallons),"Red/black, yellow/black",Kick,12V 4Ah battery,,Spanish brand.,,Multi-plate,,,,,,11.0:1,39.9 x 40.0 mm (1.6 x 1.6 inches),,,Oil  pump,,190 mm (7.5 inches),182 mm (7.2 inches),97.0 kg (213.8 pounds),,,1.00 litres (1.06 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,
Xispa Chrono 150.com,2011,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",9.7 HP (7.1  kW)) @ 7200 RPM,Carburettor,,Air,Automatic,Shaft drive (cardan)   (final drive),,Steel,Telescopic,Single shock,120/70-12 ,130/70-12 ,Single disc,,Expanding brake (drum brake),,,,,,,1290 mm (50.8 inches),,"Red/white, black",Electric,,,Xispa is a Spanish brand.,105.0 km/h (65.2 mph),,1.50 litres/100 km (66.7 km/l or 156.81 mpg),34.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,3 years unlimited milage,,,,,CDI,,,,,97.0 kg (213.8 pounds),,0.0996 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 65 SX,2011,"Minibike, cross"," 3.6  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",64.9 ccm (3.96 cubic inches),"Single cylinder, two-stroke",,Carburettor. Mikuni TM 24,,Liquid,6-speed,Chain   (final drive),14:50. Primary drive: 23:75.,Double grinded central double-cradle-type frame. Subframe: Aluminium.,Marzocchi USD  35 mm (1.38 in),WP mono shock,60/100-14 ,80/100-12 ,Single disc,160 mm (6.3 inches),Single disc,"1.6 x 14in., 1.6 x 12in. Alu","750 mm (29.5 inches) If adjustable, lowest setting.",,,,280 mm (11.0 inches),1137 mm (44.8 inches),3.50 litres (0.92 US gallons),"Orange, black, white",Kick,,,,,"Wet mDouble disk clutch, operated hydraulically",,,,,,,45.0 x 40.8 mm (1.8 x 1.6 inches),,AET digital,Mixture oil lubrication 1:60,Aluminium,185 mm (7.3 inches),185 mm (7.3 inches),55.4 kg (122.1 pounds),,,,,25.5°,,,,,,,,,,,,,,,,,,,,,,,,,
Quantya MMX,2011,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,7.4 HP (5.4  kW)),,,,Automatic,Chain   (final drive),,,Paioli fork,Paioli monoshock,,,,,,"Front 17 inch, rear 14 inch","860 mm (33.9 inches) If adjustable, lowest setting.",,,,,1270 mm (50.0 inches),,White/black,Electric,,,52V 40Ah Lithium Polymer battery. Full charge time: Normal 2 hours/Fast 1 hours. Range: 40km/25 miles.,50.0 km/h (31.1 mph),,,,,,Axial Gap DC brush motor.,,,,,,,,,74.0 kg (163.1 pounds),16.0 Nm (1.6 kgf-m or 11.8 ft.lbs),0.0997 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1200 R ,2011,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1170.0 ccm (71.39 cubic inches),"Two cylinder boxer, four-stroke",107.3 HP (78.3  kW)) @ 7500 RPM,"Injection. Electronic intake pipe injection/BMS-K digital engine management with overrun fuel cut-off, twin-spark ignition",Single Overhead Cams (SOHC),Oil & air,6-speed,Shaft drive (cardan)   (final drive),,Two-section frame consisting of front and rear sections with load-bearing engine-gearbox unit,BMW Motorrad Telelever,Cast aluminium single-sided swing arm with BMW Motorrad Paralever,120/70-ZR17 ,180/55-ZR17 ,Double disc. Anti-lock braking,265 mm (10.4 inches),Single disc,Cast aluminium,"800 mm (31.5 inches) If adjustable, lowest setting.",1285 mm (50.6 inches),2145 mm (84.4 inches),872 mm (34.3 inches),,1495 mm (58.9 inches),18.00 litres (4.76 US gallons),"Blue, black, white, grey",Electric,,,,,"Single dry plate clutch, hydraulically operated",4.10 litres/100 km (24.4 km/l or 57.37 mpg),95.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,12.0:1,101.0 x 73.0 mm (4.0 x 2.9 inches),4,,Dry sump,"Closed-loop 3-way catalytic converter, emission standard EU-3",120 mm (4.7 inches),140 mm (5.5 inches),198.0 kg (436.5 pounds),115.0 Nm (11.7 kgf-m or 84.8 ft.lbs) @ 6000 RPM,0.5418 HP/kg,,223.0 kg (491.6 pounds),27.1°,119 mm (4.7 inches),,3.00 litres (0.79 US gallons),,"Closed-loop 3-way catalytic converter, emission standard EU-3",,,,,,,,,,,,,,,,,,,,
Brammo Empulse 10.0,2011,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,53.6 HP (39.2  kW)),,,Liquid,Automatic,Chain   (final drive),,Lightweight extruded and welded aluminum - serves a battery tray (patent pending),"OE Spec 43mm inverted forks, adjustable preload, compression  and  rebound",OE Spec Works Performance Shock with adjustable rebound and preload,120/70-17 ,180/55-17 ,"Double disc. Nissin 4 piston, fixed caliper",,"Single disc. Brembo Single piston, floating caliper",Cast Aluminum,"810 mm (31.9 inches) If adjustable, lowest setting.",1067 mm (42.0 inches),2057 mm (81.0 inches),,,,,Red/black,Electric,,,BRAMMO Lithium-Ion Battery. Capacity: 10.0 kWh. Recharge time approximately 10 hours. Range: 100 miles.,160.9 km/h (100.0 mph),,,,,12 months limited warranty against defects in material or workmanship,Sealed Permanent AC Synchronous motor,,,,,,,,,190.0 kg (418.9 pounds),80.0 Nm (8.2 kgf-m or 59.0 ft.lbs),0.2823 HP/kg,,,,,,,,No emission,,,,,,,,,,,,,,,,,,,,
Puma Rottaler 250 Motard,2011,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",21.5 HP (15.7  kW)),,,Air,5-speed,Chain   (final drive),,,Telescopic fork,Monoshock,110/70-17 ,140/70-17 ,Single disc. Hydraulic,,Single disc. Hydraulic,,"910 mm (35.8 inches) If adjustable, lowest setting.",1230 mm (48.4 inches),2150 mm (84.6 inches),830 mm (32.7 inches),,,10.00 litres (2.64 US gallons),"Blue, black, white, red, yellow, gray",Electric & kick,12 Volt,,Sold in Italy. A limited edition in carbon look is available. ,140.0 km/h (87.0 mph),Multidisk,,,,,,,,,,,,,,123.0 kg (271.2 pounds),,0.1745 HP/kg,1.00 litres (1.06 US quarts),131.0 kg (288.8 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,
Demak Ex 90,2011,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",90.0 ccm (5.49 cubic inches),"Single cylinder, four-stroke",,Carburettor,,Air,,Chain   (final drive),,Steel,Telescopic fork,Dual shocks,2.25-17 ,2.50-17 ,,,Expanding brake (drum brake),,,1043 mm (41.1 inches),1855 mm (73.0 inches),665 mm (26.2 inches),,,,"Red, white, blue",Electric & kick,12 Volt 5 Ah battery,,Made in Malaysia. Sold in Asia.,,,,,Analogue,,,,,,,,,,,90.0 kg (198.4 pounds),,,,,,,,,2-person seat,,,,,,,,,,,,,,,,,,,,,
Suzuki SV650 ABS,2011,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",645.0 ccm (39.36 cubic inches),"V2, four-stroke",,Injection,Double Overhead Cams/Twin Cam (DOHC),Oil & air,6-speed,Chain   (final drive),#525 chain,,"Telescopic, coil spring, oil damped, fully adjustable preload","Link-type, 7-way adjustable spring preload",120/60-ZR17 ,160/60-ZR17 ,Double disc. ABS,,Single disc. ABS,,"800 mm (31.5 inches) If adjustable, lowest setting.",650 mm (25.6 inches),2080 mm (81.9 inches),,150 mm (5.9 inches),1440 mm (56.7 inches),17.00 litres (4.49 US gallons),Gray,Electric,,Large under-seat storage area,,,Hydraulic clutch with coil springs,,,"Analog tach, LCD speedometer, odometer/tripmeters, and temperature gauge, plus LCD clock and low fuel warning light.",12 month unlimited mileage limited warranty,90 degree V-twin,,81.0 x 62.6 mm (3.2 x 2.5 inches),4,Digital/Transistorized,Wet Sump,Lightweight 2-into-1,130 mm (5.1 inches),,172.0 kg (379.2 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero Honda Glamour 125 PGM-FI,2011,Sport," 2.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.5 ccm (7.60 cubic inches),"Single cylinder, four-stroke",9.0 HP (6.6  kW)) @ 7000 RPM,Injection. Programmed electronic fuel injection ,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),Constant mesh,Tubular double cradle,Telescopic Hydraulic Fork,Swing Arm with Hydraulic Shock Absorbers,2.75-18 ,3.00-18 ,Single disc. Optional drum break,130 mm (5.1 inches),Expanding brake (drum brake),Alloy wheel,,,2005 mm (78.9 inches),735 mm (28.9 inches),150 mm (5.9 inches),,13.60 litres (3.59 US gallons),"Red, black",Electric & kick,2.5 Ah battery for kick start and 5 Ah for self start.,,Bike made in India. Version with electric start adds 4 kg to the total weight.,,"Multiplate, wet",,,,,,9.2:1,52.4 x 57.8 mm (2.1 x 2.3 inches),,FTI - Fully transistorized ignition,,,,,,10.4 Nm (1.1 kgf-m or 7.6 ft.lbs) @ 4000 RPM,,,125.0 kg (275.6 pounds),,,35W/35W headlight,1.00 litres (0.26 US gallons),,,,141.0,,,,,,,,,,,,,,,,,,
Kawasaki Brute Force 650 4x4i,2011,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,633.0 ccm (38.63 cubic inches),"V2, four-stroke",,Carburettor. (2) Keihin CVKR-D32,Single Overhead Cams (SOHC),Liquid,,Shaft drive (cardan)   (final drive),2x4 / 4x4 shaft,"Double cradle, tubular steel","Dual A-arms, two shocks with five-way preload adjustment / 6.7 in.","Dual A-arms, two shocks with five-way preload adjustment / 7.9 in.",25/8-12 ,25/10-12 ,Double disc,,Double disc. Sealed multidisk,,"904 mm (35.6 inches) If adjustable, lowest setting.",,2195 mm (86.4 inches),1166 mm (45.9 inches),246 mm (9.7 inches),1285 mm (50.6 inches),20.44 litres (5.40 US gallons),Dark Royal Red,Electric,,,,,,,,,12 Months,,9.9:1,80.0 x 63.0 mm (3.1 x 2.5 inches),,DC-CDI,,,,,,,,,296.1 kg (652.7 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,
Piaggio BV Tourer 250,2011,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",22.0 HP (16.1  kW)) @ 7250 RPM,Injection,,Liquid,Automatic,,,,,,110/70-16 ,140/70-16 ,Single disc,260 mm (10.2 inches),Single disc,,"787 mm (31.0 inches) If adjustable, lowest setting.",1320 mm (52.0 inches),2110 mm (83.1 inches),770 mm (30.3 inches),,,9.70 litres (2.56 US gallons),"Blue, gray",Electric,,,,129.0 km/h (80.2 mph),,,,,,Quasar engine,,75.0 x 63.0 mm (3.0 x 2.5 inches),4,,,Euro 3,,,,23.0 Nm (2.3 kgf-m or 17.0 ft.lbs) @ 6000 RPM,,,149.0 kg (328.5 pounds),,,,,,EPA and CARB,,,,,,,,,,,,,,,,,,,,
Honda VT1300CX,2011,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1312.0 ccm (80.06 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 4250 RPM,Injection. PGM-FI with automatic enricher circuit ,Single Overhead Cams (SOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),Shaft ,,45mm telescopic fork with 130mm stroke and 102.4mm axle travel ,"Monoshock with adjustable rebound damping and 35-position spring preload adjustability, 95mm axle travel ",90/90-R21 ,200/50-R18 ,Double disc,296 mm (11.7 inches),Single disc,cast aluminium,"678 mm (26.7 inches) If adjustable, lowest setting.",1150 mm (45.3 inches),2575 mm (101.4 inches),900 mm (35.4 inches),126 mm (5.0 inches),1805 mm (71.1 inches),20.30 litres (5.36 US gallons),"Blue, black",Electric,,,,,,,,,,,9.2:1,89.5 x 104.3 mm (3.5 x 4.1 inches),,"Digital with 3-dimensional mapping, 2 sparks per cylinder ",,,,,303.0 kg (668.0 pounds),107.0 Nm (10.9 kgf-m or 78.9 ft.lbs) @ 2250 RPM,0.1881 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boom Trikes Fighter X12,2011,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1997.0 ccm (121.86 cubic inches),"In-line four, four-stroke",140.0 HP (102.2  kW)),Injection,,Liquid,5-speed,,With reverse,Tubular frame,Polished stainless steel fork,"Independent suspension, aluminum semi-trailing link and adjustable suspension with Koni shock absorbers",170/60-17 ,295/50-15 ,Single disc,,"Single disc. Self-adjusting, ventilated rear disc brakes","Alloy rim SLC chrome, hole pattern",,1380 mm (54.3 inches),3700 mm (145.7 inches),1985 mm (78.1 inches),,,47.00 litres (12.42 US gallons),"White, red, yellow, black",Electric,,,Ford engine. German made trike.,120.0 km/h (74.6 mph),,8.00 litres/100 km (12.5 km/l or 29.40 mpg),185.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,2 years,,,,4,,,Polished stainless steel exhaust system,,,"780.0 kg (1,719.6 pounds)",190.0 Nm (19.4 kgf-m or 140.1 ft.lbs),0.1795 HP/kg,,,,,"2 Headlamps, halogen bulbs",,1-3 seats,Catalytic converter,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 1200 Sport 4V,2011,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1151.0 ccm (70.23 cubic inches),"V2, four-stroke",103.3 HP (75.4  kW)) @ 7000 RPM,Injection,Overhead Valves (OHV),Air,6-speed,Shaft drive (cardan)   (final drive),,"Tubular cradle, high tensile steel",Telescopic hydraulic fork with Ø 45 mm spring preload and rebound damping adjustable.,"Single arm suspension with progressive linkage, rear shock absorber adjustable in rebound and pre-load (hydraulic)",120/70-ZR17 ,180/55-ZR17 ,Double disc,282 mm (11.1 inches),Single disc,,"800 mm (31.5 inches) If adjustable, lowest setting.",,2195 mm (86.4 inches),,185 mm (7.3 inches),1485 mm (58.5 inches),23.00 litres (6.08 US gallons),"Black, gray",Electric,,,,,"Double disk, dry",,,,,90° V-Twin,11.0:1,95.0 x 81.2 mm (3.7 x 3.2 inches),4,,Splash,2-into1 exhaust,120 mm (4.7 inches),140 mm (5.5 inches),240.0 kg (529.1 pounds),105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 6750 RPM,0.4303 HP/kg,,261.0 kg (575.4 pounds),25.0°,120 mm (4.7 inches),,5.00 litres (1.32 US gallons),,Euro 3,,,,,,,,,,,,,,,,,,,,
Polaris Outlaw 90,2011,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,89.0 ccm (5.43 cubic inches),"Single cylinder, four-stroke",,,,Air,Automatic,Chain   (final drive),2WD. Automatic PVT F/N/R; O-ring Chain,,Single A-Arm with 5 in. (12.7 cm) travel,Mono-Shock Swingarm with 6 in. (15.2 cm) Ttravel,19/7-8 ,18/10-8 ,Expanding brake (drum brake),,Expanding brake (drum brake),,"686 mm (27.0 inches) If adjustable, lowest setting.",978 mm (38.5 inches),1556 mm (61.3 inches),933 mm (36.7 inches),102 mm (4.0 inches),1054 mm (41.5 inches),7.57 litres (2.00 US gallons),"Red/white, Pink",,,,,,,,,N/R Light,,,,,,,,,,,128.4 kg (283.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGB Hook 50,2011,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.3 ccm (3.01 cubic inches),"Single cylinder, two-stroke",4.7 HP (3.4  kW)) @ 7000 RPM,Carburettor,,Air,Automatic,Belt   (final drive),C.V.T.,,,,120/70-12 ,120/70-12 ,Single disc,,Expanding brake (drum brake),,,1170 mm (46.1 inches),1830 mm (72.0 inches),670 mm (26.4 inches),,,6.80 litres (1.80 US gallons),"Red, black, blue",Electric & kick,12V 4 Ah battery,,Made in Taiwan. Brand full name is Taiwan Golden Bee.,,,,,,,,,41.0 x 37.4 mm (1.6 x 1.5 inches),,CDI,Separate oil pump,,,,92.0 kg (202.8 pounds),,0.0511 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda ST1300 Pan-European,2011,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1261.0 ccm (76.95 cubic inches),"V4, four-stroke",,"Injection. PGM-FI with automatic enricher circuit, four-36mm throttle bodies, 8 holes per injector",Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),,45mm HMAS cartridge fork; 4.6 inches travel,45mm HMAS cartridge fork,HMAS gas-charged single shock with five-position spring-preload adjustability,120/70-ZR18 ,170/60-ZR17 ,Double disc,316 mm (12.4 inches),Single disc,,"790 mm (31.1 inches) If adjustable, lowest setting.",,,,,1491 mm (58.7 inches),29.14 litres (7.70 US gallons),Black,Electric,,,Model ID: ST1300,,,,,,"Three years transferable, unlimited-mileage limited warranty",,10.8:1,78.0 x 66.0 mm (3.1 x 2.6 inches),4,Computer-controlled digital with three-dimensional mapping and electronic advance,,,117 mm (4.6 inches),122 mm (4.8 inches),,,,,326.1 kg (719.0 pounds),26.0°,98 mm (3.9 inches),,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Burgman Fuel Cell,2011,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",,Electric,2.4 HP (1.8  kW)),,,Air,Automatic,Belt   (final drive),,Steel,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped",120/80-M14 ,150/70-M13 ,Double disc,,Single disc,,"710 mm (28.0 inches) If adjustable, lowest setting.",1360 mm (53.5 inches),2055 mm (80.9 inches),740 mm (29.1 inches),125 mm (4.9 inches),1585 mm (62.4 inches),,White,Electric,,,Polymer-electrolyte type fuel cell made by Intelligent Energy. Fuel storage system: High-pressure hydrogen tank (70MPa). Fueling time: 5 minuttes. Secondary battery: Lithium-ion. Range 350km.,,,,,,,Fuell Cell using Hydrogen to produce electricity,,,,,,,,,,,,,,,,,,,Water vapour only,,,,,,,,,,,,,,,,,,,,
Derbi Rambla 300i,2011,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",278.3 ccm (16.98 cubic inches),"Single cylinder, four-stroke",22.5 HP (16.4  kW)) @ 7250 RPM,Injection. EFI,,Liquid,Automatic,Belt   (final drive),,Tubular steel cradle,35 mm hydraulic fork.,Double hydraulic shock absorber with adjustable preload.,120/70-15 ,130/80-15 ,Single disc,220 mm (8.7 inches),Single disc,Five spoke black wheels,"775 mm (30.5 inches) If adjustable, lowest setting.",,1985 mm (78.1 inches),880 mm (34.6 inches),,1360 mm (53.5 inches),7.50 litres (1.98 US gallons),"Black, white",Electric,,"Under-seat storage compartment for a jet helmet, storage compartment in the rear of the leg shield, bag hook",Spanish scooter.,,Centrifugal,,,,,,11.5:1,75.0 x 63.0 mm (3.0 x 2.5 inches),4,,,,100 mm (3.9 inches),80 mm (3.1 inches),146.0 kg (321.9 pounds),,0.1541 HP/kg,,,,,,1.50 litres (0.40 US gallons),,Euro 3,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHXXX Street Glide Trike,2011,Custom / cruiser," 2.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1688.0 ccm (103.00 cubic inches),"V2, four-stroke",,Injection. Electronic Sequential Port Fuel Injection,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Belt   (final drive),"Primary Drive: Chain, 34/46 ratio. Final Drive: Belt, 30/70 ratio.","Mild steel, square-section backbone with twin downtubes","41.3 mm telescopic, triple-circuit damping",Air-adjustable shocks,MT90-B16 ,205/65-R16 ,Single disc. ABS,228 mm (9.0 inches),Double disc. ABS,"Black, 7-spoke Cast Aluminum","721 mm (28.4 inches) If adjustable, lowest setting.",,2687 mm (105.8 inches),1389 mm (54.7 inches),119 mm (4.7 inches),1691 mm (66.6 inches),22.71 litres (6.00 US gallons),"Vivid Black, Cool Blue Pearl, Merlot Sunglo/Vivid Black, Cool Blue Pearl / Vivid Black",Electric,,,Three wheel bike.,,"Multi-plate, wet",,,Fairing-mounted electronic speedometer with odometer; time-of-day clock on CD player/stereo; dual trip meter; low fuel indicator light and mileage countdown feature; low oil pressure indicator light; engine diagnostics readout; LED indicator lights; 6-spe,24 months,"Twin Cam 103. Pushrod-operated, overhead valves with hydraulic, self-adjusting lifters: two valves per cylinder.",9.6:1,95.3 x 111.0 mm (3.8 x 4.4 inches),,,"Pressurized, dry-sump with oil cooler",Two-into-One-into-Two chrome exhaust,117 mm (4.6 inches),75 mm (3.0 inches),"485.0 kg (1,069.2 pounds)",137.0 Nm (14.0 kgf-m or 101.1 ft.lbs) @ 3500 RPM,,3.70 litres (3.91 US quarts),"503.0 kg (1,108.9 pounds)",26.0°,100 mm (3.9 inches),"55-watt low beam, 60-watt high beam",,,,,,,,,,,,,,,,,,,,,,,
MV Agusta Brutale 990R,2011,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",139.0 HP (101.5  kW)) @ 10600 RPM,Injection. Sequential timed “Multipoint” electronic injection,Double Overhead Cams/Twin Cam (DOHC),Oil & air,6-speed,Chain   (final drive),Primay 50/79. Final 15/41.,CrMo Steel tubular trellis (TIG welded),Upside-down telescopic hydraulic fork with rebound-compression damping and spring preload adjustment,"Progressive, single shock absorber with rebound compression damping and spring preload",120/70-ZR17 ,190/55-ZR17 ,Double disc. 4-piston,210 mm (8.3 inches),Single disc. 4-piston,,"830 mm (32.7 inches) If adjustable, lowest setting.",,2093 mm (82.4 inches),,150 mm (5.9 inches),1438 mm (56.6 inches),23.00 litres (6.08 US gallons),"Red or Black, both with Silver tank side panels.",Electric,12V 8.6 Ah battery. 350W alternator.,,,265.0 km/h (164.7 mph),,,,,,,13.0:1,76.0 x 55.0 mm (3.0 x 2.2 inches),4,,,,130 mm (5.1 inches),120 mm (4.7 inches),190.0 kg (418.9 pounds),106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 8000 RPM,0.7316 HP/kg,,210.0 kg (463.0 pounds),,104 mm (4.1 inches),,4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,
