Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Reserve fuel capacity,Color options,Starter,Clutch,Dry weight,Comments,Fuel consumption,Greenhouse gases,Power/weight ratio,Lubrication system,Exhaust system,Top speed,Valves per cylinder,Front wheel travel,Rear wheel travel,Rake (fork angle),Trail,0-100 km/h (0-62 mph),Alternate seat height,Oil capacity,Engine details,Driveline,Wheels,Seat,Modifications compared to previous model,Max RPM,Front percentage of weight,Electrical,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Rear percentage of weight,Emission details,Factory warranty,Tire pressure front,Tire pressure rear,Fork tube size
Hyosung GT 250,2010,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"V2, four-stroke",,,10.3:1,57.0 x 48.8 mm (2.2 x 1.9 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),,Oil & air,5-speed,Chain   (final drive),, Upside down Telescopic fork, Swing arm with Progressive linkage Hydraulic Mono shock absorber,110/70-17 ,150/70-17 ,Double disc. 2 pistons caliper,230 mm (9.1 inches),Single disc. 2 pistons caliper,170.1 kg (375.0 pounds),"831 mm (32.7 inches) If adjustable, lowest setting.",,2096 mm (82.5 inches),719 mm (28.3 inches),175 mm (6.9 inches),1435 mm (56.5 inches),17.03 litres (4.50 US gallons),,"Red, black, white/black, red/black, silver/black",Electric,"  Wet, Multiplate",,,,,,  Wet sump,,,,,,25.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi Mulhacen Cafe 125,2010,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.2 ccm (7.58 cubic inches),"Single cylinder, four-stroke",15.0 HP (10.9  kW)) @ 9250 RPM,,12.0:1,58.0 x 47.0 mm (2.3 x 1.9 inches),Carburettor,Double Overhead Cams/Twin Cam (DOHC),Electronic CDI,Liquid,6-speed,Chain   (final drive),Steel perimetral double tube,40 upside down fork.,Mono-shock,100/80-17 ,130/70-17 ,Single disc,218 mm (8.6 inches),Single disc,126.0 kg (277.8 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",,2006 mm (79.0 inches),810 mm (31.9 inches),,1335 mm (52.6 inches),13.00 litres (3.43 US gallons),1.30 litres (0.34 US gallons),Red/black,Electric,Multi-plate in oil bath,120.0 kg (264.6 pounds),Bike made in Spain,,,0.1250 HP/kg,Oil Pump,Euro 3,,,110 mm (4.3 inches),130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSR Naked 125,2010,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.8 ccm (7.62 cubic inches),"Single cylinder, four-stroke",,,,,Carburettor,,,Liquid,,Chain   (final drive),Steel,,,90/90-13 ,130/90-15 ,Single disc,,Single disc,179.0 kg (394.6 pounds),,1085 mm (42.7 inches),2110 mm (83.1 inches),650 mm (25.6 inches),,,18.00 litres (4.76 US gallons),,"Black, silver",Electric,,161.0 kg (354.9 pounds),Also called NKT 125. Spanish brand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daelim S-One,2010,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,11.0:1,56.0 x 50.7 mm (2.2 x 2.0 inches),Carburettor. CV type,,Transistorized digital,Oil & air,Automatic,Belt   (final drive),,Telescopic fork,Swing arm,120/70-13 ,130/60-13 ,Single disc,,Single disc,138.0 kg (304.2 pounds),"770 mm (30.3 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),1965 mm (77.4 inches),,120 mm (4.7 inches),1350 mm (53.1 inches),9.50 litres (2.51 US gallons),,Black,Electric & kick,,126.0 kg (277.8 pounds),Called both S1 and S-One.,2.00 litres/100 km (50.0 km/l or 117.61 mpg),46.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM Racing MX 450 F,2010,Cross / motocross," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.2 ccm (27.41 cubic inches),"Single cylinder, four-stroke",,,,95.0 x 63.4 mm (3.7 x 2.5 inches),Carburettor. Keihin FCRD 41mm,Double Overhead Cams/Twin Cam (DOHC),Kokusan CDI Electronic with variable advance,Liquid,5-speed,Chain   (final drive),Perimetral aluminium section,Marzocchi USD,Sachs Boge ( optional Ohlins ),90/90-21 ,110/90-19 ,Single disc. Nissin pump and Brembo caliper,245 mm (9.6 inches),Single disc. Nissin pump and Brembo caliper,,,,,,,,8.20 litres (2.17 US gallons),,Blue,Kick,Multiuple-disk in oil-bath with hydaulic control,,Optional electric starter,,,,Dry sump with double rotor pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN2000 Classic,2010,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",2053.0 ccm (125.27 cubic inches),"V2, four-stroke",,166.0 Nm (16.9 kgf-m or 122.4 ft.lbs) @ 3000 RPM,9.5:1,103.0 x 123.2 mm (4.1 x 4.9 inches),Injection,Overhead Valves (OHV),TCBI with Digital Advance,Liquid,5-speed,Belt   (final drive),"Double-cradle, high-tensile steel",49mm telescopic fork / 5.9 in.,"Triangulated steel tube swingarm with direct-action single shock, fully-adjustable spring preload, eight-way rebound damping / 3.9 in.",150/80-16 ,200/60-16 ,Double disc,320 mm (12.6 inches),Single disc,380.0 kg (837.8 pounds),"681 mm (26.8 inches) If adjustable, lowest setting.",1156 mm (45.5 inches),2535 mm (99.8 inches),1025 mm (40.4 inches),135 mm (5.3 inches),1735 mm (68.3 inches),21.00 litres (5.55 US gallons),,Metallic Diablo Black,Electric,"Wet, multidisc",,,,,,,,,4,,,32.0°,182 mm (7.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero Honda Karizma,2010,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",223.0 ccm (13.61 cubic inches),"Single cylinder, four-stroke",16.9 HP (12.3  kW)) @ 7000 RPM,18.5 Nm (1.9 kgf-m or 13.6 ft.lbs) @ 6000 RPM,9.0:1,65.5 x 66.2 mm (2.6 x 2.6 inches),Carburettor,Overhead Cams (OHC),,Air,5-speed,,"Tubular single cradle, diamond type",Telescopic Hydraulic,Swing arm with 5 step hydraulic shock absorbers,2.75-18 ,100/90-18 ,Single disc,276 mm (10.9 inches),Expanding brake (drum brake),150.0 kg (330.7 pounds),,,2125 mm (83.7 inches),,,1355 mm (53.3 inches),15.00 litres (3.96 US gallons),,Black/red,Electric & kick,,,Bike made in India.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-Ton Viper 90 R,2010,ATV," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",88.4 ccm (5.39 cubic inches),"Single cylinder, four-stroke",,,10.6:1,57.4 x 57.8 mm (2.3 x 2.3 inches),Carburettor,,C.D.I.,Oil & air,Automatic,Belt   (final drive),,A-Arm,Swing arm,21/6-10 ,20/10-9 ,Expanding brake (drum brake),190 mm (7.5 inches),Single disc,,"680 mm (26.8 inches) If adjustable, lowest setting.",900 mm (35.4 inches),1500 mm (59.1 inches),850 mm (33.5 inches),120 mm (4.7 inches),930 mm (36.6 inches),3.60 litres (0.95 US gallons),,"Blue, Pink, Black/Silver",Electric & kick,,113.0 kg (249.1 pounds),Off-road ATV.,,,,,,48.0 km/h (29.8 mph),,50 mm (2.0 inches),75 mm (3.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UM Nitrox 125,2010,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,9.0:1,56.0 x 49.5 mm (2.2 x 1.9 inches),Carburettor,Single Overhead Cams (SOHC),CDI,Air,5-speed,Chain   (final drive),,Telescopic Fork,Swingarm with dual spring shock absorbers,2.75-18 ,90/90-18 ,Single disc,,Expanding brake (drum brake),,"786 mm (30.9 inches) If adjustable, lowest setting.",1080 mm (42.5 inches),2010 mm (79.1 inches),790 mm (31.1 inches),,1300 mm (51.2 inches),10.20 litres (2.69 US gallons),,"Black,Blue, Red,orange,green",Electric & kick,,110.0 kg (242.5 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos Muscle Bikes 4RWF V8,2010,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,5735.8 ccm (350.00 cubic inches),"V8, four-stroke",350.0 HP (255.5  kW)) @ 5250 RPM,,,,Injection,Double Overhead Cams/Twin Cam (DOHC),,Liquid,,,Monoblock on motor,,,,,Double disc,,Double disc,,"700 mm (27.6 inches) If adjustable, lowest setting.",,2060 mm (81.1 inches),,,2030 mm (79.9 inches),22.00 litres (5.81 US gallons),,,Electric,,"475.0 kg (1,047.2 pounds)",Dual front and read tyres. Brazilian made bikes.,,,0.7368 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda SH300i,2010,Scooter," 4.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",279.1 ccm (17.03 cubic inches),"Single cylinder, four-stroke",26.8 HP (19.6  kW)) @ 8250 RPM,26.0 Nm (2.7 kgf-m or 19.2 ft.lbs) @ 6000 RPM,10.5:1,72.0 x 68.5 mm (2.8 x 2.7 inches),Injection. PGM-FI electronic fuel injection ,Single Overhead Cams (SOHC),Digital transistorised with electronic advance ,Liquid,,Belt   (final drive),,"35mm telescopic fork, 102mm axle travel ","Dual-damper unit swingarm, 95mm axle travel ",110/70-(16 ,130/70-(16 ,Single disc,256 mm (10.1 inches),Single disc,,"785 mm (30.9 inches) If adjustable, lowest setting.",1220 mm (48.0 inches),2100 mm (82.7 inches),730 mm (28.7 inches),136 mm (5.4 inches),1420 mm (55.9 inches),9.00 litres (2.38 US gallons),,,Electric,,161.8 kg (356.7 pounds),,,,0.1658 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 1200 Sport 4V,2010,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1151.0 ccm (70.23 cubic inches),"V2, four-stroke",103.3 HP (75.4  kW)) @ 7000 RPM,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 6750 RPM,11.0:1,95.0 x 81.2 mm (3.7 x 3.2 inches),"Injection. Multipoint sequential electronic injection, Magneti Marelli IAW 5A phased, alfa-n system; 2 x Ø50 mm throttle bodies with Weber IWP 189 injectors, Lambda probe.",Overhead Valves (OHV),,Air,6-speed,Shaft drive (cardan)   (final drive),"Tubular cradle, high tensile steel",Telescopic hydraulic fork with Ø 45 mm spring preload and rebound damping adjustable.,"Single arm suspension with progressive linkage, rear shock absorber adjustable in rebound and pre-load (hydraulic)",120/70-ZR17 ,180/55-ZR17 ,Double disc,282 mm (11.1 inches),Single disc,,"800 mm (31.5 inches) If adjustable, lowest setting.",1160 mm (45.7 inches),2195 mm (86.4 inches),,185 mm (7.3 inches),1485 mm (58.5 inches),23.00 litres (6.08 US gallons),5.00 litres (1.32 US gallons),"Black, gray",Electric,"Double disk, dry",240.0 kg (529.1 pounds),,,,0.4303 HP/kg,Splash,Euro 3,,4,120 mm (4.7 inches),140 mm (5.5 inches),25.0°,120 mm (4.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXDB Street Bob,2010,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1584.0 ccm (96.66 cubic inches),"V2, four-stroke",,153.0 Nm (15.6 kgf-m or 112.9 ft.lbs) @ 3500 RPM,9.2:1,95.3 x 111.1 mm (3.8 x 4.4 inches),Injection. Electronic Sequential Port Fuel Injection (ESPFI),Overhead Valves (OHV),,Air,6-speed,Belt   (final drive),"Mild steel, tubular frame; rectangular section backbone;",49mm with polished aluminium fork triple clamp,Coil-over shock,100/90-19 ,160/70-B17 ,Single disc. 4-piston fixed,292 mm (11.5 inches),Single disc. 2-piston torque-free floating,,"680 mm (26.8 inches) If adjustable, lowest setting.",,2355 mm (92.7 inches),,120 mm (4.7 inches),1630 mm (64.2 inches),17.30 litres (4.57 US gallons),,"Vivid Black, Black Denim, Black Ice Denim, Red Hot Sunglo",Electric,"9-plate, wet",290.0 kg (639.3 pounds),"Black powder-coated engine with polished treatment covers; Mid-mounted rider
footpegs; Stainless steel, mini “ape-hanger” handlebars; “Teardrop” air cleaner
assembly; Chopped, Bobber-style rear fender and low-profile front fender; Solo
seat; LED retro-styled tail light; Internally wired handlebars; New tank medallion;
New Michelin® Scorcher™ tyres",,,,,"Chrome, staggered shorty exhaust with dual mufflers",,,127 mm (5.0 inches),79 mm (3.1 inches),29.0°,119 mm (4.7 inches),,,2.60 litres (2.75 US quarts),"Pushrod-operated, overhead valves with hydraulic, self-adjusting lifters; two valves per cylinder",,,,,,,,,,,,,,,,,,,,,,,
Vespa GTS 300 Super,2010,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",278.0 ccm (16.96 cubic inches),"Single cylinder, four-stroke",,,,,Injection,Single Overhead Cams (SOHC),Electronic by capacitive discharge (CDI),Liquid,Automatic,Belt   (final drive),,Single-sided trailing arm with dual chamber hydraulic shock absorber with coaxial spring.,Two dual effect shock absorbers with adjustable preload.,120/70-12 ,130/70-12 ,Single disc,220 mm (8.7 inches),Single disc,,"790 mm (31.1 inches) If adjustable, lowest setting.",730 mm (28.7 inches),2230 mm (87.8 inches),755 mm (29.7 inches),,,9.20 litres (2.43 US gallons),,"Nero Lucido, Giallo Lime, Montebianco
",Electric,"Dry, centrifugal type",158.0 kg (348.3 pounds),,,,,,Euro 3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keeway Speed 150,2010,Naked bike," 2.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",12.7 HP (9.3  kW)) @ 8500 RPM,12.0 Nm (1.2 kgf-m or 8.9 ft.lbs) @ 6500 RPM,9.2:1,62.0 x 49.5 mm (2.4 x 1.9 inches),Carburettor,,,Air,5-speed,Chain   (final drive),,,,2.75-18 ,3.25-18 ,Single disc,,Single disc,139.0 kg (306.4 pounds),,1070 mm (42.1 inches),1990 mm (78.3 inches),740 mm (29.1 inches),150 mm (5.9 inches),1300 mm (51.2 inches),11.00 litres (2.91 US gallons),,"Black, blue, silver",Electric & kick,Multidisc in oil bath,,,2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,100.0 km/h (62.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LML Select II,2010,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",149.6 ccm (9.13 cubic inches),"Single cylinder, two-stroke",8.0 HP (5.8  kW)) @ 5500 RPM,,,,Carburettor,,C.D.I.,Air,5-speed,,,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,150 mm (5.9 inches),1235 mm (48.6 inches),8.50 litres (2.25 US gallons),,"Midnight Bronze, Albert Green",Electric,,107.0 kg (235.9 pounds),"LML is an abbreviation of Lohia Machines Limited in India. Scooter sold in Sri Lanka, Bangladesh, Egypt, Africa, West Asia and India.",,,0.0748 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna SM 125S,2010,Super motard," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 9500 RPM,,8.8:1,54.0 x 54.5 mm (2.1 x 2.1 inches),Carburettor. Dell Orto VHST28,Double Overhead Cams/Twin Cam (DOHC),,Liquid,6-speed,Chain   (final drive),"Double tube cradle with steel round tubes, rear frame with steel square tubes",41mm Paioli USD,Paioli adjustable shock absorber with Soft Damp linkage,110/70-17 ,150/60-17 ,Single disc. 2-piston calipers,220 mm (8.7 inches),Single disc. 2-piston calipers,,"870 mm (34.3 inches) If adjustable, lowest setting.",,2210 mm (87.0 inches),825 mm (32.5 inches),265 mm (10.4 inches),1470 mm (57.9 inches),9.50 litres (2.51 US gallons),,"Red/white, white",Kick,"Wet multiplate type, mechanic control",113.5 kg (250.2 pounds),,,,0.1322 HP/kg,,,,,260 mm (10.2 inches),220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Boulevard M109R Limited Edition,2010,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1783.0 ccm (108.80 cubic inches),"V2, four-stroke",,,,112.0 x 90.5 mm (4.4 x 3.6 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition ,Liquid,5-speed,Shaft drive (cardan)   (final drive),,"Inverted telescopic, coil spring, oil damped","Link type, coil spring, oil damped",130/70-R18 ,240/40-R18 ,Double disc,,Single disc,347.0 kg (765.0 pounds),"705 mm (27.8 inches) If adjustable, lowest setting.",,2450 mm (96.5 inches),,,1710 mm (67.3 inches),19.50 litres (5.15 US gallons),,White/blue,Electric,,,,,,,Semi-Dry sump,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giantco g-Buddy,2010,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.6 ccm (3.03 cubic inches),"Single cylinder, four-stroke",3.0 HP (2.2  kW)) @ 7500 RPM,2.5 Nm (0.3 kgf-m or 1.8 ft.lbs) @ 6500 RPM,10.4:1,39.0 x 41.5 mm (1.5 x 1.6 inches),Carburettor,Single Overhead Cams (SOHC),CDI,Air,Automatic,Belt   (final drive),,Oil damped telescopic fork,Oil damped coil spring,3.50-10 ,3.50-10 ,Single disc,,Expanding brake (drum brake),,,1110 mm (43.7 inches),1710 mm (67.3 inches),654 mm (25.7 inches),,1210 mm (47.6 inches),5.80 litres (1.53 US gallons),,Black,Electric & kick,,82.0 kg (180.8 pounds),Also available with electric motor as e-Buddy.,,,0.0360 HP/kg,,,,,,,,,,,0.80 litres (0.85 US quarts),,,,,,,,,,,,,,,,,,,,,,,,
PRC (Pro Racing Cycles) LX-RR,2010,Cross / motocross," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",51.0 ccm (3.11 cubic inches),"Single cylinder, two-stroke",,,,39.5 x 41.0 mm (1.6 x 1.6 inches),Carburettor. PRC 19MM Carburetor,,,Liquid,,Chain   (final drive),,Marzocchi Front Forks,Penske Rear Shock,,,Single disc. Floating,140 mm (5.5 inches),Single disc,,,,,,,1167 mm (45.9 inches),,,"Black, red, yellow",,,52.6 kg (116.0 pounds),Egronomically designed for 6-9 year riders. Boyesen Carbon fiber reeds.,,,,,FMF Exhuast System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBF600S C-ABS,2010,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.3 ccm (36.57 cubic inches),"In-line four, four-stroke",76.4 HP (55.8  kW)) @ 10500 RPM,59.0 Nm (6.0 kgf-m or 43.5 ft.lbs) @ 8250 RPM,11.6:1,67.0 x 42.5 mm (2.6 x 1.7 inches),Injection. PGM-FI,Double Overhead Cams/Twin Cam (DOHC),Computer-controlled digital transistorised with electronic advance ,Liquid,6-speed,Chain   (final drive),,"41mm telescopic fork, 120mm axle travel ","Monoshock damper with 7-step adjustable preload, 125mm axle travel ",120/70-ZR17 ,160/60-ZR17 ,Double disc,240 mm (9.4 inches),Single disc,,"785 mm (30.9 inches) If adjustable, lowest setting.",,2160 mm (85.0 inches),765 mm (30.1 inches),130 mm (5.1 inches),1490 mm (58.7 inches),20.00 litres (5.28 US gallons),,,,,222.0 kg (489.4 pounds),,,,0.3443 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVS Metro 100,2010,Sport," 2.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",99.7 ccm (6.08 cubic inches),"Single cylinder, two-stroke",7.4 HP (5.4  kW)) @ 7500 RPM,7.5 Nm (0.8 kgf-m or 5.5 ft.lbs) @ 5000 RPM,9.2:1,51.0 x 48.8 mm (2.0 x 1.9 inches),,,A/C Digital CDI,Air,,Chain   (final drive),,,,2.75-18 ,3.00-18 ,Expanding brake (drum brake),110 mm (4.3 inches),Expanding brake (drum brake),108.0 kg (238.1 pounds),,,,,,1250 mm (49.2 inches),16.00 litres (4.23 US gallons),,Red,,,,Made in India.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polaris Outlaw 50,2010,ATV,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,,,,Carburettor,,,Air,Automatic,Chain   (final drive),,Single A-Arm with 3 in. (7.6 cm) Travel,Mono-Shock Swingarm with 3 in. (7.6 cm) Travel,16/7-7 ,16/8-7 ,Expanding brake (drum brake),,Expanding brake (drum brake),,"584 mm (23.0 inches) If adjustable, lowest setting.",,1219 mm (48.0 inches),,102 mm (4.0 inches),838 mm (33.0 inches),5.68 litres (1.50 US gallons),,"Indy Red/White, Pink Power",,,95.3 kg (210.0 pounds),Drive system: 2WD. Transmission: Automatic PVT Forward. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Bear Choppers Devils Advocate ProStreet 100 Carb,2010,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1638.8 ccm (100.00 cubic inches),"V2, four-stroke",95.0 HP (69.3  kW)),149.2 Nm (15.2 kgf-m or 110.0 ft.lbs),,101.6 x 101.6 mm (4.0 x 4.0 inches),Carburettor. S and S Super E Carburetor,,,,6-speed,,,BBC Smooth Mount Hidden Axle,Progressive,90/80-21 ,280/80-18 ,Single disc. PM. 4-piston calipers,,Single disc. BBC-PM  4-piston caliper BrakeDrive system,,"508 mm (20.0 inches) If adjustable, lowest setting.",,2921 mm (115.0 inches),,,2235 mm (88.0 inches),,,"Gross Black, satin black, charcoal metallic, silver metallic, black cherry, candy red, firecracker red, orange, electric blue, white.",Electric,,317.5 kg (700.0 pounds),Chrome Digital Dash,,,0.2992 HP/kg,,Chrome Radius Tuned Exhaust,,,,76 mm (3.0 inches),44.0°,76 mm (3.0 inches),,,4.70 litres (4.97 US quarts),,,,,,,,,,,,,,,,,,,,,,,,
Generic Trigger SM 50,2010,Super motard," 2.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.6 ccm (3.03 cubic inches),"Single cylinder, two-stroke",1.4 HP (1.0  kW)) @ 5500 RPM,2.6 Nm (0.3 kgf-m or 1.9 ft.lbs) @ 3000 RPM,,,Carburettor,,,Air,6-speed,Shaft drive (cardan)   (final drive),,,,90/90-21 ,110/80-18 ,Single disc,,Single disc,98.0 kg (216.1 pounds),,1230 mm (48.4 inches),2035 mm (80.1 inches),890 mm (35.0 inches),,1390 mm (54.7 inches),10.00 litres (2.64 US gallons),,"Green, black, white",Electric & kick,Multi-disc oil bath clutch,115.0 kg (253.5 pounds),,,,0.0121 HP/kg,Fresh oil lubrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda 250 Rebel,2010,Allround," 2.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",234.0 ccm (14.28 cubic inches),"Twin, four-stroke",,,9.2:1,53.0 x 53.0 mm (2.1 x 2.1 inches),Carburettor. Single 26mm diaphragm-type constant-velocity (CV) carburetor,Single Overhead Cams (SOHC),CD,Air,5-speed,Chain   (final drive),,33mm fork,Dual shocks with five-position spring-preload adjustability,2.00-18 ,130/90-15 ,Single disc,,Expanding brake (drum brake),150.1 kg (331.0 pounds),"676 mm (26.6 inches) If adjustable, lowest setting.",,,,,1450 mm (57.1 inches),9.84 litres (2.60 US gallons),,"Black, Ultra Blue Metallic",Electric,,,Model ID: CMX250C,,,,,,,2,117 mm (4.6 inches),74 mm (2.9 inches),30.0°,113 mm (4.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Ligier Be Four 50 HR,2010,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.3 ccm (3.01 cubic inches),"Single cylinder, two-stroke",3.0 HP (2.2  kW)) @ 5800 RPM,,,40.0 x 39.9 mm (1.6 x 1.6 inches),,,CDI,Air,Automatic,Chain   (final drive),,,,19/7-8 ,18/10-18 ,Expanding brake (drum brake),,Single disc,134.0 kg (295.4 pounds),,1007 mm (39.6 inches),1696 mm (66.8 inches),961 mm (37.8 inches),,,5.00 litres (1.32 US gallons),,White,Electric & kick,,129.0 kg (284.4 pounds),Ligier is an Italian brand. 2 seats.,,,0.0233 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS Halley 125 2T,2010,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",,,,54.0 x 54.5 mm (2.1 x 2.1 inches),Carburettor. 26 mm,,,Liquid,6-speed,Chain   (final drive),"Deltabox*, made with Cromoly tubing. Aluminium swing arm.","Fork, 41 mm.",One-piece aluminium swing arm,80/90-21 ,110/80-18 ,Single disc. Twin piston caliper.,220 mm (8.7 inches),Single disc. Single-piston,107.0 kg (235.9 pounds),"945 mm (37.2 inches) If adjustable, lowest setting.",,,,,1460 mm (57.5 inches),7.40 litres (1.96 US gallons),,Black/yellow,Kick,"Multiple disks in oil bath, hydraulic",99.0 kg (218.3 pounds),Spanish made bike.,,,,,,,,255 mm (10.0 inches),246 mm (9.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot Vivacity 4T,2010,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.5 ccm (3.02 cubic inches),"Single cylinder, four-stroke",,,,,Carburettor,,,Air,Automatic,Shaft drive (cardan)   (final drive),,,,120/70-12 ,120/70-12 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),,"786 mm (30.9 inches) If adjustable, lowest setting.",,1910 mm (75.2 inches),680 mm (26.8 inches),,1337 mm (52.6 inches),8.75 litres (2.31 US gallons),,"Black, white, blue, red",Electric,,98.0 kg (216.1 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonway GTS 500,2010,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Twin, four-stroke",21.5 HP (15.7  kW)) @ 7500 RPM,,,,Carburettor,,,Liquid,Automatic,,,,,120/80-14 ,130/80-14 ,Single disc,,Single disc,,,1395 mm (54.9 inches),2350 mm (92.5 inches),760 mm (29.9 inches),,1650 mm (65.0 inches),12.00 litres (3.17 US gallons),,,Electric,,160.0 kg (352.7 pounds),Produced by China Jonway Group.,,,0.1341 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
